Carryover,Disadvantaged,Priority Points,Applicant,Project #,Description/Needs Category,Service Area Population,IUP Amount Requested,Loan Amount,Additional Subsidization Amount,Additional Subsidization Funding Source,Est. Financing Schedule FY - Quarter
C,D,145,Princeton - AG,DW291370-01,"TP, Dis, Stor  Rehab,  Well, Well Rehab","1,166","$4,640,505.00","$1,728,877.00","$2,911,628.00",G,22-4
C,D,135,Chamois - AG,DW291365-01,"Well, Stor Rehab,  Dis",396,"$751,660.00","$187,915.00","$563,745.00",B,22-4
C,D,110,Newburg - AG,DW291229-02,"Dis, Stor, Well  Rehab",470,"$1,147,592.00","$286,898.00","$860,694.00",G,22-4
C,D,85,Licking - AG,DW291380-01,"Dis, Stor, Stor  Rehab,  Well","3,124","$4,851,173.00","$1,851,173.00","$3,000,000.00","B,  G",22-4
C,D,75,Pineville - AG,DW291142-02,"TP, Dis, Stor, Well  Rehab",790,"$2,374,800.00","$1,025,700.00","$1,349,100.00",G,22-4
C,D,70,Silex - AG,DW291377-01,"TP, Dis, Stor",187,"$2,109,688.00","$527,422.00","$1,582,266.00",G,22-4
,D,70, Centertown - AG,DW291337-03,Well,278,"$1,942,529.00","$485,632.00","$1,456,897.00",B,23-4
,D,65,Laurie - AG,DW291312-03,Dis,945,"$2,268,225.00","$702,056.00","$1,566,169.00",B,23-4
,D,58,Brashear - AG,DW291347-01,Stor,273,"$1,235,320.00","$308,830.00","$926,490.00",B,23-4
C,D,55,Mokane - AG,DW291381-01,"Well Rehab, Dis",185,"$1,521,100.00","$380,275.00","$1,140,825.00",G,22-4
,D,55,"Memphis, Phase II - AG",DW291363-02,"Stor, TP, Dis","1,822","$3,568,950.00","$1,679,662.00","$1,889,288.00",G,23-4
C,D,50,Paris - AG,DW291159-03A,Dis,"1,220","$3,023,820.00","$755,955.00","$2,267,865.00",G,22-4
,,92,Moniteau Co. PWSD #1* - AG,DW291378-01,"Dis, Stor, Well  Rehab",203,"$2,606,660.00","$500,000.00","$726,000.00",G,23-4
,,85,Meta*&**,DW291382-01,"Dis, Stor, Well  Rehab",229,"$5,709,999.00","$1,500,000.00",$  -,,23-4
,,55,Audrain Co. PWSD #1*,DW291304-03,"Dis, Stor","1,455","$4,888,000.00","$613,000.00",$  -,,23-4
,,43,  Platte Co. PWSD #8*,DW291273-02,Dis,"1,150","$1,392,700.00","$849,400.00",$  -,,23-4
,,43,Platte Co. PWSD #8 P&D Loan,DW291273-02A,PD,"1,150","$205,800.00","$205,800.00",$  -,,23-4
,,41,  Archie,DW291142-03,Dis,"1,170","$1,040,300.00","$1,040,300.00",$  -,,23-4
C,,35,Saline County PWSD #1,DW291359-01,"Dis, Stor",591,"$1,222,725.00","$1,222,725.00",$  -,,22-4
,,27,LaGrange,DW291384-01,Dis,931,"$536,853.00","$536,853.00",$  -,,23-4
,,101,"Clark Co. CPWSD #1 - AG, EC",DW291301-02,"Dis, TP, Stor","7,140","$6,795,940.00","$2,523,757.00","$4,272,183.00","B,  EC",23-4
,,77,"Barton, Dade, Cedar, Jasper  Co.  CPWSD #1*",DW291383-01,"Dis, Stor,  Well","9,375","$23,149,250.00","$10,000,000.00",$  -,,23-4
,,50,California*,DW291328-02,Dis,"4,278","$12,357,912.00","$4,565,400.00",$  -,,23-4
,,41,Bowling Green - AG,DW291167-04,Dis,"5,334","$1,325,610.00","$331,402.00","$994,208.00",B,23-4
,,37,Monroe Co. PWSD #2*,DW291213-03,"Dis, Stor","7,500","$1,401,109.00","$653,600.00",$  -,,23-4
,,35,"Lafayette, Johnson, and Saline  Co. CPWSD #2",DW291302-02,"Dis, Stor","7,007","$17,175,250.00","$17,175,250.00",$  -,,23-4
,,29,Cole Co. PWSD #4*,DW291208-04,Dis,"7,568","$5,631,010.00","$5,631,000.00",$  -,,23-4
  ,,101, CCWWC - Monroe City - RCG,DW291070-09,Dis,"73,672","$8,240,000.00","$5,240,000.00","$3,000,000.00",B,23-4
,,83,CCWWC - Laddonia - RCG,DW291070,Dis,"73,672","$2,060,000.00","$515,000.00","$1,545,000.00",B,23-4
,,75, Tri-County Water Authority*,DW291181-05,"Dis, Stor","120,000","$11,742,000.00","$11,742,000.00",$  -,,23-4
,,75,Tri-County Water Authority  P&D  Loan,DW291181-05A,PD,"120,000","$1,382,000.00","$1,382,000.00",$  -,,23-4
,D,90,Urich,DW291385-01,"Dis, Stor",505,"$5,467,000.00",,,,
,D,90,Jasper,DW291386-01,"Dis, Stor, Well  Rehab",931,"$12,525,000.00",,,,
,D,80,Kahoka,DW291170-02,"Dis, TP","2,078","$5,528,000.00",,,,
,,77,Anderson,DW291387-01,"Dis, Well, Stor","1,961","$8,231,503.00",,,,
,D,75,Filmore,DW291393-01,"Dis, Stor",173,"$3,770,250.00",,,,
,,71,Palmyra,DW291388-01,"Dis, Well Rehab,  TP,  Stor","3,595","$5,192,670.00",,,,
,D,60,Sarcoxie,DW291394-01,Dis,"1,330","$4,327,875.00",,,,
,,54, Sibley,DW291389-01,Dis,357,"$956,500.00",,,,
,D,45, New London,DW291390-01,Dis,974,"$3,106,018.00",,,,
,D,40,Liberal,DW291391-01,"Dis, Stor Rehab,  Well  Rehab",759,"$3,335,040.00",,,,
,,29,Clay Co. PWSD #9,DW291392-01,"Dis, Stor","2,532","$1,722,180.00",,,,
,,,Belton,DW291314-04,"Dis, Stor","25,000","60,000,000",,,,
