Project,County,"System Name /
Borrower",Description,Pop .,Project Cost,Score,"Cumulative
Total"
17299,Albany,RAVENA VILLAGE / Ravena (V),"Source, WTP, Storage, and Distribution Improvements., Upgrade Water Treatment Plant, Upgrade Surface Water Source, Upgrade Storage, Upgrade Distribution System","4,500",$0,80,$0
18535,Albany,WATERVLIET CITY / Watervliet (C),"Water System Improvements., Upgrade Water Treatment Plant, Upgrade Transmission","9,889",$0,80,$0
18903,Albany,ALBANY CITY / Albany MWFA,"2022 Water System Improvements., Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Pump Station","101,082","$6,100,000",70,"$6,100,000"
18523,Albany,ALBANY CITY / Albany MWFA,"Feura Bush WTP Upgrades., Upgrade Water Treatment Plant, Upgrade Storage","101,082",$0,65,"$6,100,000"
17548,Albany,MENANDS VILLAGE / Menands (V),"Upgrade Pump Station, Upgrade Distribution System","3,900","$6,936,000",60,"$13,036,000"
18659,Albany,WESTERLO WD 1 / Westerlo (T),"Aeration for for DBP treatment at well sources, Upgrade Water Treatment Plant",265,"$200,000",55,"$13,236,000"
18984,Albany,COHOES CITY / Cohoes (C),"Phase 2 WTP Upgrades., Upgrade Water Treatment Plant","15,550","$9,738,811",45,"$22,974,811"
18572,Albany,COHOES CITY / Cohoes (C),"WTP Improvements Phase I., Upgrade Water Treatment Plant","15,550","$9,609,256",45,"$32,584,067"
19157,Albany,ALBANY CITY / Albany MWFA,"Water System Improvements, Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Pump Station","101,082","$8,642,193",40,"$41,226,260"
19155,Albany,RAVENA VILLAGE / Ravena (V),"Phase 2 Water System Improvements, Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Pump Station, Upgrade Distribution System","4,500","$7,650,840",40,"$48,877,100"
19127,Albany,ALBANY CITY / Albany MWFA,"Basic Creek Reservoir Dam Safety Improvements, Upgrade Surface Water Source","101,082","$7,822,850",40,"$56,699,950"
18333,Albany,MENANDS VILLAGE / Menands (V),"South End Water Systen Improvements., Upgrade Distribution System","3,900","$4,934,800",35,"$61,634,750"
19059,Albany,GUILDERLAND TOWN WD / Guilderland (T),"Greensand Groundwater Filtration system. , Upgrade Water Treatment Plant","30,000","$5,005,050",35,"$66,639,800"
