Community,Project Score,Population,Total Project Cost,Affordability Score,Potential Principal Forgiveness,Est. Notice to Proceed,Est. Construction Start,Est. Construction Completion,Est. Interst Rate,Est. Terms,Project Description
City of Warrenton,60,"1,744","$791,100",37,"$711,990",10/2/2023,10/2/2023,10/2/2024,2.92%,20,"• Total Trihalomethane (TTHM) Reduction System – The City of Warrenton is under consent order for high TTHM concentrations over drinking water standards. To comply with the consent order, the City used loan funds to construct a TTHM reduction system at one of the water storage tanks known as the Camak Tank and added a carbon dioxide system at the water treatment plant. The project was considered successful (Nominee for GEFA Aquarius Award). The initial system does not treat water inside the City limits and a second treatment system is needed. The City received NOV 2023-12770 and 2023-12771 on October 20,2022 for the most recent violations. • Lead and Copper Rule EPD Compliance – Inventory and replace a portion of lead water service connection to meet new Lead and Copper Rule requirements to be enacted by EPA and EPD in 2021. • SCADA – Provide SCADA at pump stations and water treatment plant to improve responsiveness and monitoring by the City and connect the TTHM treatment systems to the overall SCADA system for monitoring."
City of Americus,60,"16,230","$12,000,000",30,"$5,500,000",1/1/2023,3/1/2023,2/1/2024,2.92%,20,The city of Americus is looking to pick up over 200 disenfranchised and low to moderate income customers who have been on a contaminated private system. This system is in EPD violation for over 10 years and the private owner lives in south Dakota and has no need to help these poor citizens in Americus. The city plans to connect every single customer with the help of EPD with approximately 17 miles of 12 and 8 inch water lines. They will be connected to the closest city 12 inch main. the city has plenty of capacity at its nearest tank and well sites.
City of Oak Park,60,647,"$326,453.50",30,"$163,227",4/10/2023,4/10/2023,8/30/2023,2.92%,20,"The City of Oak Park has received a Gross Alpha Particle Violation from the Environmental Protection Division and is under a Consent Order. To address the February 2021 and June 2021 Notices of Violation and Consent Order EPD-WP- 9130, the City of Oak Park is requesting funding from the Georgia Environmental Finance Authority (GEFA) for proposed water system improvements, including installing a Hydrous Manganese Oxide (HMO) Radium Removal System at the existing well. The City was awarded FY 2021 SLFRF funds to install a salt-based water softening system to eliminate radium from drinking water pulled at the existing well. Considering discoveries made during project design, a salt-based water softening system could underperform due to excess amounts of manganese also present in groundwater. Additional GEFA funds are being requested to supplement SLFRF funds and upgrade to an HMO Radium Removal System which will remove both manganese and radium from the system’s source water."
City of Gibson,50,630,"$275,000",30,"$137,500",1/23/2023,1/23/2023,6/30/2023,2.92%,20,Modifications to existing well number one to address consent order EPD-WP-9108 for multiple violations and non- compliance for combined radium.
Talbot County Board of Commissioners,50,"6,272","$4,500,000",30,"$2,250,000",6/1/2023,6/1/2023,6/28/2024,2.92%,20,"The preliminary project scope is as follows: 1. Well Development 2. Water Main Extensions 3. PRV/Hydrant/Meter/Valve Repair 4. Meters, AMR System, SCADA 5. Booster Pump Station Rehabilitation"
City of Maysville,50,"1,867","$950,000",24,,6/1/2024,7/1/2024,7/1/2025,2.92%,20,Maysville has had multiple disinfection by-product violations over the past few years. In order to improve its water quality and stop violating its EPD permit Maysville proposes to drill groundwater drinking wells in order to improve reliability and reduce operating costs.
City of Hahira,50,"3,384","$3,300,000",21,,6/12/2023,8/14/2023,12/31/2024,2.92%,20,The City's drinking water system has been experiencing violations relating to excessive HAA5 levels for several years. The project would improve the HAA5 levels by abandoning two problematic source wells and replacing them with new supply wells with new treatment systems.
Sale City,20,439,"$999,000",29,"$499,500",9/1/2023,11/1/2023,9/1/2024,2.92%,20,"Raising high water level of existing elevated tank, replacement of well pumps/motors with new high efficiency pumps/motors, and water system telemetry improvements."
City of McRae-Helena,10,"8,538","$500,000",32,"$300,000",4/3/2023,4/3/2023,4/3/2024,2.92%,20,The City of McRae-Helena is planning to install iron and manganese filters on 4 of its drinking water wells.
City of Swainsboro,10,"7,425","$1,773,377.55",32,Project already allocated principal forgiveness on a prevous IUP. The city has an executed loan agreement with this principal forgiviness awarded.,2/1/2023,3/1/2023,3/1/2024,2.92%,20,"According to a May 2019 Letter of Non-Compliance from a EPD Sanitary Survey, the City of Swainsboro had two elevated water tanks (a 75,000-gallon and 100,000-gallon) that had fallen into disrepair and were no longer capable of being inspected or maintained. The State Environmental Review Process was completed and Categorical Exclusion issued on 12-12-2019. In mid-2020, the City was awarded a $1,260,000 GEFA DWSRF loan to dismantle the existing 100,000-gallon elevated water tank and construct a new 500,000-gallon tank on the same site to replace the lost storage capacity. On October 27, 2022, bids were opened and exceeded available funds due to market increases as a result of Covid-19. The City is seeking $1,773,377 from the Bipartisan Infrastructure Law Supplemental Funding to accompany the GEFA DWSRF funding and offset the increase to the project costs resulting from the market changes that were not anticipated when this project was originally submitted and funded. This project is shovel ready and addresses non-compliance with Rule 391-3-5-.11(4), which is to maintain the storage tank or tanks to prevent contamination of the drinking water by infiltration or other means."
"City of Ludowici, Georgia",10,"1,590","$7,000,000",30,"$3,500,000",1/31/2023,2/15/2023,4/30/2025,2.92%,20,"The City of Ludowici, Georgia proposes to replace undersized and deteriorated water lines throughout the distribution system. Water mains to be replaced have histories of leaks, breaks and frequent repairs. Replacement will reduce real water losses and improve reliability. Adequately sized replacement lines will resolve pressure and flow problems at critical locations in the distribution system, as well as provide improved flow for fire protection. In addition the wells need major renovations including new well houses, aerators and emergency generators."
Hancock Country Board of Commissioners,10,"8,348","$450,000",29,"$225,000",6/1/2023,6/19/2023,12/31/2023,2.92%,20,Replacement of 500 Residential water meters and associated appurtenances. Conversion to drive by radio read smart meters to reduce water loses to acceptable levels. Reduce labor and fuel by conversion to AMR system. GEFA No. assigned DW2023005
City of Valdosta,10,"55,378","$11,692,505",25,,6/3/2024,6/3/2024,8/30/2025,2.92%,20,"The proposed project will reduce HAA5 violations by providing lower-age water to the South side of Valdosta, eliminating dead-end water lines by constructing new water lines. The new water lines will be connected to a new water source, Water Treatment Plant No. 2 (funded separately). The project is in response to two Notices of Violation within the last 12 months for Total Haloacetic Acid (HAA5) concentration violations. The City has struggled with elevated total organic carbon (TOCs) concentrations in the source water arising from the karst geology of the area. Since all water currently must travel from the City's only water plant located on the extreme north side of the city, water on the South side has a high water age, allowing TOC to develop into HA5 and other disinfection by products. Although the City has made major progress in combating disinfection byproducts through an ozone treatment system at the existing water plant, it continues to experience violations. The solution proposed to eliminate HAA5 violations is to reduce the system water age through connecting dead-end lines on the south side of the City, utilizing a new and closer water source (New WTP 2) and providing a connection from this proposed looped system into the downtown area. This project is in response to Notices Of Violation (NOVs) 2022-12540 and 2021-12539. These NOVs are uploaded as part of this pre-application."
Hart County Water and Sewer Authority,10,"26,406","$4,985,000",25,,9/1/2023,9/18/2023,8/1/2024,2.92%,20,"The HCWSA proposes to extend the existing water distribution system to the unserved northeast section of the County. The proposed project will include water distribution mains and an elevated water storage tank. This concentrated area of the County is served by individual wells and in some cases, small inadequate private systems. The existing residents experience ongoing water quality and quantity shortcomings. Many of the residential lots in this area do not meet current Health Departments standards, as they are inadequately sized for private wells and septic systems. The proposed project will provide a safe and sanitary source of water for the community"
City of Baldwin,10,"3,629","$4,500,000",24,,6/1/2023,7/1/2023,5/1/2024,2.92%,20,"The City of Baldwin proposes to increase its water production and supply for the expanding population and customer base by installing a pretreatment unit consisting of two (2) Trident HSR package clarification units at the City’s Water Treatment Facility. The City’s proposed water supply and storage expansion project would address the critical need for additional water capacity to address the expanding population in Baldwin and the local businesses. The proposed project will eliminate an imminent threat of a water shortage in the Baldwin water supply area that includes the City of Demorest, and portions of Habersham County. The DDR for the project has been approved by EPD."
City of Baldwin,10,"3,629","$1,250,000",24,,9/1/2023,10/1/2023,3/1/2024,2.92%,20,"The proposed project will improve the volume of water and pressure as well as needed fire protection in the City of Baldwin's South HWY 441 service delivery area. The residents in this area have experienced low pressure and velocity due to undersized water lines. The goal of the proposed project is to improve the City’s water infrastructure and provide needed pressure, volume and fire protection for the citizens in the South HWY 441 service delivery area. The proposed project will provide increase diameter sizing of current water system infrastructure and provide needed looping of water mains for increased pressure and volume of water for supply and fire protection. Preliminary plans have already been completed."
City of Baldwin,10,"3,629","$1,100,000",24,,8/1/2023,9/1/2023,2/1/2024,2.92%,20,"The proposed project will improve the volume of water available for needed fire protection as well as potable water usage in the City of Baldwin’s water service delivery area of the HWY 365 S corridor. The proposed Project is located in the Southern section of Habersham County on Thompson Road in the City of Baldwin. The goal of the proposed project is to improve the City’s water infrastructure and provide needed fire protection and potable water for the HWY 365 S corridor which is experiencing an unparalleled wave of development. These improvements will ensure potable water capacity and fire protection for the projected increase in potable water usage from the growing population as well as the additional population anticipated from the urban exodus being experienced by this and other suburban areas in the wake of the Pandemic. The proposed project will provide water line extensions, increase diameter sizing of current water system infrastructure and provide needed looping of water mains for water quality increased volume for fire protection."
Coosa Water Authority,10,"22,033","$4,340,000",24,,10/2/2023,10/2/2023,12/1/2026,2.92%,20,"Replace undersized, leaking water lines, locate and develop one or more new water supply wells, and improve system storage. Work will include water line replacements, one or more new wells with treatment facilities, a water storage tank, and appurtenances. One or more new wells will provide additional water supply, improving resilience in the event of problems with existing wells, and reducing risks of over-pumping existing wells. A new storage tank will maintain system pressures and supply and improve resilience in event of interrupted supply. Water mains to be replaced have histories of leaks, breaks, and frequent repairs. Under-sized lines reduce system pressures and restrict flow. Replacement will reduce real water losses, improve reliability of service, and improve flows and pressures."
Town of Homer,10,"1,264","$475,000",24,,10/1/2023,11/1/2023,6/1/2024,2.92%,20,The Town of Homer proposes to improve its water system by making modifications to well #6 as well as the distribution system to overcome issues caused by radionuclides. Well #6 has exceeded the Gross Alpha limit for radionuclides causing the Town to deactivate the well and rely on an alternate water source. The Town proposes to modify its existing water system as well as well #6 in order to reduce the radionuclides below maximum limits so the well can be place back in operation improving water quality and decreasing operational cost for the Town.
Town of Homer,10,"1,264","$650,000",24,,9/1/2023,10/1/2023,4/1/2024,2.92%,20,The Town of Homer proposes to improve its water system by drilling groundwater drinking wells in order to improve reliability and reduce operating costs.
Towns County Water and Sewerage Authority,10,"11,852","$2,900,000",24,,10/1/2023,10/1/2023,1/1/2027,2.92%,20,"The proposed project will include a new storage tank, booster pump stations, new water lines, replacement of leaking and under-sized lines, and other distribution system improvements to improve storage capacity, flows and pressures in the water system, reliability, redundancy, and water efficiency."
City of Helen,10,531,"$925,000",22,,10/1/2023,11/1/2023,8/1/2024,2.92%,20,The City of Helen proposes to improve its water system by drilling groundwater drinking wells in order to improve reliability and reduce operating costs.
Clayton County Water Authority (CCWA),10,"297,100","$40,000,000",22,,5/1/2023,6/1/2023,5/31/2026,2.92%,20,"The Clayton County Water Authority plans to replace approximately 89,000 AMR water meters with an AMI system. CCWA plans to install approximately 9,000 meters with remote shut off capability, replace approximately 5,000 meter boxes and approximately 75,000 meter box lids. This meter replacement project should require 3-years and has a slated payback of 9 years."
Carroll County Water Authority,10,"118,121","$3,000,000",21,,1/15/2024,1/15/2024,1/15/2026,2.92%,20,"The Carroll County Water Authority (CCWA) operates and maintains a water distribution system that serves potable water to unincorporated areas of Carroll County. At over 500 square miles, Carroll County is one of the largest counties in the State of Georgia in terms of total land area. Despite typical raw water total organic carbon levels of 2 – 3 parts per million, CCWA has observed elevated disinfection byproduct levels in select areas of its distribution system with higher water age. CCWA believes the elevated levels are primarily caused by pH drift as water age increases. CCWA desires to reduce the disinfection byproduct levels to ensure continued compliance with regulatory limits. Adding buffering capacity to stabilize treated water pH will lessen the likelihood of pH drift and lower disinfection byproduct levels. A technical memorandum prepared by CCWA’s engineering consultants investigated several alternatives for adding buffering capacity to treated water and concluded adding sodium bicarbonate at the Snake Creek Water Treatment Plant provides the greatest operational flexibility and can effectively raise finished water alkalinity without affecting finished water pH. The subject reservoir, the arber Creek rinking Water Reservoir, also known as arber Creek Watershed am"
City of Statham,10,"2,813","$5,508,093",21,,5/31/2023,7/31/2023,7/31/2025,2.92%,20,"Number 6, is located 1.5 miles southwest of Statham, Georgia, Barrow County. The Natural Resources Conservation Service (NRCS), the dam was originally designed and constructed as a Class A, or low-hazard dam. The State of Georgia's Safe Dams Program has classified the dam now as a Category I, or high-hazard structure. The Barber Creek Reservoir is located just south of Highway 316, and according to the City of Statham's Source Water Assessment Plan (SWAP) of 2002, the reservoir contains approximately 42 acres and has a watershed area of 5.5 square miles. The Georgia Department of Community Affairs (DCA) considers this to be a small drinking water supply watershed, and the reservoir is fed by Barber Creek. The City of Statham 's ""Barber Creek Drinking Water Reservoir Rehabilitation Project"" consists of dredging the City's 42- acre raw water reservoir to restore the City's main drinking water supply source, and to upgrade the City's water treatment facility so it will be capable of pre-treating the water intake. Since the reservoir's construction in 1959, the capacity of the reservoir has been reduced by 60 percent due to siltation rendering the body of water. In addition to the reservoir's shallow depth, the silt build-up has significantly caused taste and odor issues and the large number of customer complaints has forced the City of Statham to temporarily cease the operations of it's water treatment facility. The dredging and sediment removal of approximately 55,000 units will restore the City of Statham 's water supply asset and provide adequate drinking water for the 5,535 residents of Statham and the surrounding community. By means of dredging and sediment removal, bacteria would grow at a significantly lesser rate and create less of a burden on the City's water customers who currently deal with odor and taste issues. In order to make the Barber Creek Reservoir a once-again viable source of drinking water, the City of Statham will be required to dredge the reservoir and make upgrades to the water treatment facility to allow for pre-treatment of the raw water coming into the treatment facility. The City of Statham is currently purchasing water from two adjacent systems, however, this method is both temporary and extremely limited due to their own shortage of water supply. The City of Statham has a large investment in their water treatment facility, which is capable of treating up to one million gallons of water per day (1 M GPD), but the degraded raw water quality has made it nearly impossible to treat water at all."
City of Hoschton,10,"2,666","$1,000,000",17,,9/15/2023,10/12/2023,9/10/2024,2.92%,20,The City of Hoschton proposes to develop four new ground water wells to provide adequate drinking water to the existing population. The city currently has the ability to provide one-half days' supply and existing adjacent purchase systems have limited availability of purchase water
City of Hoschton,10,"2,666","$3,500,000",17,,6/15/2023,7/5/2023,7/10/2024,2.92%,20,The City of Hoschton Proposed to construct a 1 MG elevated water tank to solve low water pressure in the southern sector of the city. The Storage tank will also provide redundancy in the system and allow filling of the tank during off peak hours.
Town of Braselton,10,"13,403","$3,500,000",16,,6/1/2023,10/5/2023,11/1/2024,2.92%,20,The Town of Braselton proposes to construct a new 1-million-gallon elevated water storage tank in the upper service zone. The additional storage will provide redundancy and complete the desired two days' water supply in reserve. The additional storage will also allow filling during off-peak times of use.
Town of Braselton,10,"13,403","$1,800,000",16,,6/1/2023,7/5/2023,3/1/2024,2.92%,20,The Town of Braselton proposes to expand its permitted urban water reuse distribution system into two large residential and one Industrial area. The proposed project is estimated to replace 130 MG of potable water use being used for irrigation during the warm months of the year
