System Name,PWSID,Est. Loan  Amount,Points,Rank,Population,Project Description,Est. Date to Close Loan
Sabine WWD#1-Powhatan Colsolidation,1085036,"4,780,000",70,1,"6,045","CONSOLIDATION with Powhatan: The proposed project involves the construction of a  production water well, granular activated carbon (GAC) treatment unit, ground storage  tanks, booster station, chlorination systems, site piping, site work, distribution system  improvements and associated items. A new station shall be constructed to supply finished  water from the District to Powhatan. This station shall be located near the Allen  interchange of Interstate 49. The proposed GAC treatment improvements shall be  constructed at this site. The GAC system shall provide for polishing treatment for DBPs  within the Powhatan system. Powhatan AO C-20-069-045-ETT and Powhatan AO C-17- 069-038-ETT",23-Mar
"Red Hill Waterworks, Inc.",1043018,"930,000",62,2,"1,872","Proposed project involves the construction of two spray nozzle aeration systems, a new  54,000 gallon GST, two liquid ammonium sulfate (LAS) systems for chloramination, and  approxiamately 7,350 linear feet of 6"" water mains. AO: C-17-043-008-ETT",23-Jul
"River Road Water Works, Inc.",1083008,"2,380,000",51,3,"3,510","The WS proposes new treatment specifically for iron removal and DBP  remediation.The proposed project will include the following renovations;   River Road Station shall include a new GST, booster station, iron removal system,  disinfection system, electrical and control upgrades.  Goose Hollow Station a new  GST, booster station, disinfection, electrical and control upgrades, and the South  EST is to be fully rehabbed.",23-Oct
Tri Water System,1111020,"250,000",50,4,"1,245",Proposed change from Chlorine water Disinfection to chloromines water  disinfection in all four well location within the system.,23-Dec
"Creston Water System, Inc.",1069003,"1,310,000",43,5,660,"The purpose of the proposed project is to construct improvements to the Creston  Water System, Inc. to resolve ongoing deficiencies. The project includes select  distribution system replacement, ground storage tank, booster station, electrical &  control upgrades, iron/manganese treatment system, generators, site work, site  piping and related work. The system's raw water wells contain high levels of iron  and manganese. Iron and manganese  levels exceed the secondary maximum  containment levels as established by the EPA. Accordingly, this project is  proposed under the BIL Emerging Containments program of DWRLF",22-Nov
Village of Harrisonburg,1025004,"2,693,992",42,6,"1,290","To tie the Harrisonburg Water System into the Enterprise Water System via a  water transmission line from the existing Harrisonburg distribution line.  Harrisonburg: AO:C-19-025-027-ETT TTHMS Enterprise: AO: C-18-025-046-ETT- M-I for TTHMS, inadequate CR, PNs, corrosion control.",22-Sep
Lake St. John WWD,1029006,"238,000",39,7,"1,920","Lake St. John Waterworks District l proposes the construction of a new water  treatment plant (GAC), booster station, ground storage tank, site piping and  related work. This station shall function as the primary production and treatment  facility for the District. The new station shall be integrated with the existing  distribution system and elevated storage tank. The existing booster station shall  be abandoned and repurposed as the District's office. AO: C-18-029-010-P-1  (Notice of Penalties) Lake St. John also sells water to North Lake St. John WS  (1029014).  They are also under AO: C-18-029-024-P-I. The work should correct  this AO also.",23-Sep
City of Lake Charles,1127017,"20,000,000",38,8,"1,595","Proposed project involves the construction of a new ground storage tank at the Hanna's  Mill Facility of the Tannehill Water System, Inc.  The existing GST is undersized and  doesn't meet the current demand of the system.",23-Jan
City of Winnfield,1127012,"1,850,000",36,9,"5,000","Consolidation of HWY 84 West into the of City of Winnfield's water system.    Construction will consist of: installation of various distribution piping, valving, and  metering improvements to connect the existing distribution systems. Also included  in the project is the construction of an in-line booster station, chloramination  system, site piping and sity work. HWY 84: AO: C-14127-033-S1-DDBP-M-I for  TTHMS, Cross Connection, Pressure Tank Discharge piping corroded, lockable  ladder guard not provided.",22-Sep
"Tannehill Water System, Inc. (Loan 2)",1073060,"1,355,000",36,10,"4,800",The proposed project is to construct two new GAC treatment plants one at the  Tannehill site and the other at the Hanna's Mill site and associated items.  The  project also provides for a new booster station enclosures and electrical at both  stations.  A new ground storage tank is also proposed at the Tannehill Station.,22-Apr
L and R Utilities: Country Estates Water  System (North),1073011,"2,000,000",35,11,"1,073","The proposed project consist of constructing a new ground storage tank, booster  station, chlorination equipment and enclosure, granular activated carbon (GAC)  treatment plant, and a new production water well and associated items at the  North site. Ouachita Parish is co-funding project with $500,000. AO: C-17-073- 016-ETT",23-Oct
Town of Lutcher Loan 3,1093003,"861,750",33,12,"3,559","The proposed project consist of water plant upgrades, including lauderer  replacement, miscellaneous waterline replacement (8""), installing inserta valves,  meter procurement, raw water intake pumps, and new 8"" waterline (Labre).",22-Aug
Jefferson Parish (Loan 2),1051001,"30,000,000",33,13,"432,552","Rehabilitate the raw water intake pump station.  Construct a new 40MGD  treatment facility including; flow split/flash mixing, floccluation/sedimentation,  filtration, chemical storage/feed facilities, clearwell and high service pump, solid  handiling. Construct a new 10,000 sqft chemistry laboratory, and rehabilitate plant  3 to a facility capable of treating 62MGD.",24-Jun
City of Scott (Loan 2),1055026,"6,400,000",30,14,"3,131","This project will consist of upgrading and improving the City of Scott Water  System. This will be accomplished by purchasing property, constructing a water  well (to produce approx 40% of the water it now puchases from LUS nad provide  for source redundancy), constructing a water treatment facility to treat water  produced from the new water well, constructing an onsite ground storage tank (to  provide up to 2 days of potable water storage) with transmission pumps, installing  water mains to tie into the existing City water system, installing larger water mains  in existing areas of the City water system to eliminate low pressure areas,  installing SCADA programming and controls for the system, and installing  associated appurtenances.",23-Dec
City of Natchitoches (Loan 4),1069007,"2,110,000",28,15,"17,831","Phase I of the project shall provide the complete replacement of several sections  of the water distribution system within the City of Natchitoches that have recorded  many leaks and complaints of pressure loss.  The project shall include mains,  meters, valves, hydrants, erosion control and related work.",24-Apr
Town of Hornbeck,1115016,"1,500,000",27,16,"1,762",The proposed project consist of a new water treatment plant and water main  extensions.,23-Jun
City of Grambling Water System,1061006,"2,200,000",26,17,"5,000","Proposed project involves renovation of the City's distribution system.  The project  shall install various distribution piping, valving, and metering improvements to  eliminate excessive water losses.  Currently the City has an excess water loss of  25%.",23-Jun
L & R Utilities(Lincoln Subdivsion),1073090,"431,500",25,18,965,"All four systems consolidating together will then purchase water from Better  Waterworks PWS ID NO. LA1073003 (Pop Served 2160 Service Connections  720)Four WS to consolidate to Lincoln PWS ID NO. 1073090;Lincoln PWS ID  NO: LA1073090 (Private for Profit, Community GW System);Population Served  490 via  163 Service Connections (SDWIS States 150 via 50 SCs);Hidden WS  PWS ID No. LA1073061  (Private Not for Profit, Community GW System)  Population Served 390 via 130 SCs;Wildwood WS PWS ID No. LA1073110   (Private Not for Profit, Community GW System) Population Served 72 via 24  SCs;Pecan WS PWS ID No. LA1073063  (Private Not for Profit, Community GW  System) Population Served 50 via 17 SCs;Ouachita, OPH Region 8, District 4",22-Oct
"Walnut Bayou Water Association, Inc  Loan 2",1065004,"1,000,000",25,19,"3,100",Proposed project involves the construction of new water main from the WS  existing elevated tank to the WS Office Booster Station site.  USDA will pay the  remaining amount from existing USDA loan.  This contract is a part of the original  interim finance project in Loan 1.,23-Dec
Village of Simsboro,1061018,"1,500,000",24,20,"1,083","The proposed project shall provide for a partial replacement of the Village's water mains,  valves, meter assemblies and associated items.  The majority of the existing distribution  system is in excess of 50 years old. The DI mains have significant tuberculation causing  water quality and fire/peak demand issues.  Also most of he WS's isolation valves are lost  or not operational. .",22-Jan
Hebert Water System,1021006,"2,600,000",24,21,"2,875","This project consists of the construction of an Office/Shop Building, Pumping  Plant Rehabilitation, 150K Gal EST, Paint Existing EST, Waterline Replacement  (10,000' of 10"" dia, 13,515' of 8"" dia, 6,990' of 6"" dia., and 12,000' of 4"" dia.) and  other related system improvements.",24-Jun
"Southwest Ouachita Waterworks, Inc.",1073047,"2,000,000",24,22,"8,500",Purchase and installation of 3300 automatic read meters,23-Feb
Town of Zwolle,1085032,"680,000",22,23,"1,924","The general scope of the project includes the installation of a filtration system and  other treatment system improvements, along with associated piping to deliver  water to the filtration system, electric power and controls and miscellaneous other  items to complete the project. AO: C-16-085-035-ETT for DBP, (TTHM and  HAA5s).",23-May
Frost Town Water System,1073014,"1,470,000",20,24,"1,386","The proposed project consist of constructing a new well, ground storage tank,  booster station, electrical controls, generator, site piping and miscellaneuos items  associated with the project.",23-Oct
Town of Sunset (Loan 2),1097015,"2,350,000",20,25,"3,080","The proposed project consists of one water treatment facility, with appurtenances,  and interconnected water lines to treat water from existing water wells.",22-Oct
"Better Waterworks, Inc.",1073003,"1,210,000",19,26,"2,160","The proposed project shall provide for a 400,000 gallon GST, 40 HP booster station with  VFD and CMU building, 12"" Magnetic Flow meter, emergency power system, and  associated minor grubbing and piping for this site.",23-Sep
Lafayette Parish WWD North (2nd Loan),1055171,"10,527,000",18,27,"30,588","The LPWDN has complied an extensive list of future projects. It is believed it will  take at least 10 years to complete all the projects. The projects include:  installation of electronic meters, new transmission line from Gloria Switch Rd to  Jolie Rd, a new waterline along East I-49 Service Rd, one along Hwy 1252, and  another on landry Rd from Tabb Rd to North Fieldspan Rd.",24-Dec
Prairie Ronde Water System,1097014,"2,326,300",17,28,"6,700",Consolidation Project. To consolidate the Grand Prairie Water System into  Prairie Ronde water System. Grand Prairie is under AO:  C-18-097-037-ETT,24-May
Bayou Liberty Water Association,1103005,"1,500,000",17,29,"10,500",The proposed project will construct a new water well to replace Water Well No. 3  located at Camp Villere Road in Slidell.  The existing well was construction in  1980's and is currently production sand.,22-Sep
City of Natchitoches (Loan 5),1069007,"17,200,000",17,30,"17,831","The project involves construction of a new  2 mgd water treatment plant (Plant 4)  and associated improvements are proposed at the water treatment plant complex.  The plant will include new filter bays, clarifiers, chemical equipment, pumps, new  decant clarifier, backwash lift station, sludge press, and site work and piping  improvements in conjunction with the new plant.",23-Oct
Village of Mt. Lebanon,1013011,"300,000",16,31,190,The proposed project will drill a replacement water well.  Well No. 1 is producing  sand and is not in operaton.  The system is currently supplied by a single well with  no connections to other water systems.,23-Sep
"Savoy Swords Water System, Inc. (Loan  3)",1097024,"468,000",16,32,"8,306","Proposed project involves the construction of a new second water well at the Richard Well  Field, two standby generators at booster station sites, and upgrade computer and PLC  controllers for SCADA systems.",22-Dec
West Feliciana Parish WWD#13,1125010,"4,240,000",13,33,"10,946",The proposed project consist of installing drive-by-meters throughout the parish to  reduce water loss and accurately measure usage.  The WS will also upgrade  chemical feed equipment at each well site thoughout the parish.,22-Oct
Village of Forest Hill,1079009,"930,000",11,34,"2,700","Proposed project involves the construction of a new 300 gpm water well located at  the Town Hall elevated tank site.  The project shall include all electrical and  controls, piping and chlorination equipment.",22-Apr
Desoto WWD#1-Loan 4,1031030,"6,140,000",10,35,"6,822","To add an additonal 1.3 MGD MIEX system, increase treatment requirements to  accommodate 2.3 MGD capacity (Filtration & Sedimentation).  Distribution system  improvements (GST, pumps, booster station) to have the capacity to tie into water  systems with an emergency connection.",23-Jun
WWD#12 of Calcasieu (Ward 3),1019126,"2,000,000",8,36,2210,"The proposed project includes extending the distribution system along Ham Reid  Road, Lake Street, and Nelson Road to loop the system.",24-Mar
Milton Water System,1055046,"6,600,000",7,37,"11,123","The proposed project consists of the construction of a new 1.8 MGD water  treatment plant and administrative office building for Milton Water System.   Upon  completion of the WTP Milton WS will merge with Milton Purchase WS as one  water system. The new WTP will include three 1,000 GPM wells, six filters, two",22-Dec
"Hilly-Greenwood Water System, Inc.",1061027,"1,050,000",5,38,"1,380",The proposed project consist of the construction of a new water well and ancillary  improvements associated with new water well are proposed as well.,22-Nov
City of Bossier City,1015004,"30,000,000",2,39,"68,094","Construction involves the addition of 20 MGD nanofiltration (NF) system including  equipment, building, piping, wet well, pilings, site work, and miscellaneous items  needed for a complete and operable NF system.",23-Jan
Total,"$172,601,542 ",,,,,,
