Project Number,Pts*,Facility,County,PWS ID#,Pop,Estimated Project Cost,Approved Loan Amount,DAC*,Term (Yrs),Loan Type,Interest Rate,Project Description,Estimated Project Cost
160261D-T,210,"Hugo, Town of",Lincoln,CO0137010,761,"$25,012,500 ",,Y,,,,New Water Treatment Facilities; Improvement/Expansion  of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities; Water Supply Facilities; Water  Meters,
142021D-Q,200,"Ordway, Town of",Crowley,CO0113700,"1,066","$1,486,000 ",,,,,,New Water Treatment Facilities; Improvement/Expansion  of Water Treatment Facilities; Consolidation of Water  Treatment Facilities; Connection to a New or Existing  Water Treatment Facility; Construction or Rehabilitation  of Distribution and/or Transmission Lines; Water Storage,
140391D-I,195,"Cedaredge, Town of",Delta,CO0115171,"2,300","$1,379,368 ","$22,900 ",Y,NA,DL/PF ,NA ,Improvement/Expansion of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water  Supply Facilities; Water Meters; Source Water Protection  Plan; Green Infrastructure,
140391D-I,195,"Cedaredge, Town of",Delta,CO0115171,"2,300","$1,379,368 ","$879,368 ",Y,20,DL/PF,0.00%,Improvement/Expansion of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water  Supply Facilities; Water Meters; Source Water Protection  Plan; Green Infrastructure,
132331D-Q,190,St. Mary's Glacier Water and Sanitation District,Clear Creek,CO0110040,475,"$3,000,000 ","$1,800,000 ",Y,30,DL ,0.00%,Improvement/Expansion of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water Supply Facilities; Water Meters New Water Treatment Facilities; Improvement/Expansion,
132331D-Q,190,St. Mary's Glacier Water and Sanitation District,Clear Creek,CO0110040,475,"$3,000,000 ","$300,000 ",Y,NA,DL/PF,NA,Improvement/Expansion of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water Supply Facilities; Water Meters New Water Treatment Facilities; Improvement/Expansion,
132331D-Q,190,St. Mary's Glacier Water and Sanitation District,Clear Creek,CO0110040,475,"$3,000,000 ","$1,200,000 ",Y,NA,PF,NA,Improvement/Expansion of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water Supply Facilities; Water Meters New Water Treatment Facilities; Improvement/Expansion,
130351D-Q,160,"Aguilar, Town of",Las Animas,CO0136100,497,"$1,852,682 ",,Y,,,,of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities; Water Supply Facilities; Water  Meters,
140521D-Q,155,"Craig, City of",Moffat,CO0141188,"9,500","$5,200,000 ","$300,000 ",Y,NA,DL/PF,NA,,
140521D-Q,155,"Craig, City of",Moffat,CO0141188,"9,500","$5,200,000 ","$3,200,000 ",Y,20,DL,0.50%,Improvement/Expansion of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water  Supply Facilities; Green Infrastructure,
170361D-Q,155,Stratmoor Hills Water District,El Paso,CO121800,"6,700","$5,200,000 ","$285,000 ",Y,NA,DL/PF,NA,New Water Treatment Facilities; Improvement/Expansion  of Water Treatment Facilities; Connection to a New or  Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines;,
170361D-Q,155,Stratmoor Hills Water District,El Paso,CO121800,"6,700","$5,200,000 ","$3,000,000 ",Y,30,DL,0.50%,Water Storage Facilities; Water Supply Facilities; Water  Meters; Source Water Protection Plan,
170281D-Q,145,North Washington Water Users Association,Adams,CO0101110,110,"$1,000,000 ",,Y,,,,Improvement/Expansion of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Supply Facilities,
190211D-Q,145,"Hartman, Town of",Prowers,CO0150500,110,"$5,750,000 ",,Y,,,,New Water Treatment Facilities; Consolidation of Water  Treatment Facilities; Connection to a New or Existing  Water Treatment Facility; Construction or Rehabilitation  of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities,
200201D-Q,135,"Mancos, Town of",Montezuma,CO0142700,"1,419","$2,863,177 ","$233,177 ",Y,NA,DL/PF,NA,Improvement/Expansion of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities,
200201D-Q,135,"Mancos, Town of",Montezuma,CO0142700,"1,419","$2,863,177 ","$1,500,000 ",Y,30,DL,1.50%,Improvement/Expansion of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities,
140951D-I,130,Forest Hills Metropolitan District,Jefferson,CO0037044,369,"$640,148 ","$490,148 ",N,20,DL,2.50%,New Water Treatment Facilities; Improvement/Expansion  of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities; Water Supply Facilities,
140951D-I,130,Forest Hills Metropolitan District,Jefferson,CO0037044,369,"$640,148 ","$150,000 ",N,20,DL,2.50%,,
170021D-Q,125,Blue River Valley Ranch Lakes Association,Summit,CO0159005,130,"$700,000 ",,N,,,,Improvement/Expansion of Water Treatment Facilities;  Connection to a New or Existing Water Treatment  Facility; Construction or Rehabilitation of Distribution  and/or Transmission Lines; Water Storage Facilities;  Water Supply Facilities; Water Meters,
160451D-Q,105,"South Fork, Town of",Rio Grande,CO0253718,390,"$16,206,000 ","$300,000 ",Y,NA,DL/PF,NA,New Water Treatment Facilities; Improvement/Expansion  of Water Treatment Facilities; Consolidation of Water  Treatment Facilities; Connection to a New or Existing  Water Treatment Facility; Construction or Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters; Water  Rights; Source Water Protection Plan,
160451D-Q,105,"South Fork, Town of",Rio Grande,CO0253718,390,"$16,206,000 ","$400,000 ",Y,NA,DL/PF,NA,New Water Treatment Facilities; Improvement/Expansion  of Water Treatment Facilities; Consolidation of Water  Treatment Facilities; Connection to a New or Existing  Water Treatment Facility; Construction or Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters; Water  Rights; Source Water Protection Plan,
160451D-Q,105,"South Fork, Town of",Rio Grande,CO0253718,390,"$16,206,000 ","$2,600,000 ",Y,30,DL,0.50%,New Water Treatment Facilities; Improvement/Expansion  of Water Treatment Facilities; Consolidation of Water  Treatment Facilities; Connection to a New or Existing  Water Treatment Facility; Construction or Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters; Water  Rights; Source Water Protection Plan,
140791D-Q,100,"Eckley, Town of",Yuma,CO0163001,257,"$2,800,000 ","$717,000 ",Y,30,DL,0.50%,New Water Treatment Facilities; Improvement/Expansion  of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities; Water Supply Facilities; Water  Meters,
140791D-Q,100,"Eckley, Town of",Yuma,CO0163001,257,"$2,800,000 ","$1,000,000 ",Y,NA,DL/PF,NA,New Water Treatment Facilities; Improvement/Expansion  of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities; Water Supply Facilities; Water  Meters,
132321D-Q,100,"Simla, Town of",Elbert,CO0120025,644,"$1,491,000 ","$157,200 ",Y,NA,DL/PF,NA,New Water Treatment Facilities; Improvement/Expansion  of Water Treatment Facilities; Connection to a New or  Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines;,
132321D-Q,100,"Simla, Town of",Elbert,CO0120025,644,"$1,491,000 ","$400,000 ",Y,NA,DL/PF,NA,Water Storage Facilities; Water Supply Facilities; Water  M  S  W  P i  Pl  G,
132321D-Q,100,"Simla, Town of",Elbert,CO0120025,644,"$1,491,000 ","$1,032,300 ",Y,30,DL,0.50%,,
142871D-B,95,"Wellington, Town of",Larimer,CO0135838,"10,000","$26,597,432 ","$24,020,780 ",N,21,LL,1.69%,Improvement/Expansion of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water  Supply Facilities; Water Meters; Source Water Protection  Plan; Green Infrastructure,
140771D-I,90,East Alamosa Water and Sanitation District,Alamosa,CO0102200,"1,006","$2,983,695 ","$243,953 ",Y,NA,DL/PF,NA,Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water  Supply Facilities; Water Meters; Green Infrastructure,
140771D-I,90,East Alamosa Water and Sanitation District,Alamosa,CO0102200,"1,006","$2,983,695 ","$1,379,742 ",Y,30,DL,1.50%,,
141831D-A,85,Mount Werner Water and Sanitation District,Routt,CO0154524,"6,432","$2,500,000 ","$2,500,000 ",N,20,DL,2.25%,Improvement/Expansion of Water Treatment Facilities;  Water Storage Facilities; Water Supply Facilities,
141671D-B,80,Louviers Water and Sanitation District,Douglas,CO0118035,269,"$6,580,000 ",,Y,,,,New Water Treatment Facilities; Improvement/Expansion  of Water Treatment Facilities; Connection to a New or  Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities; Water Supply Facilities; Water  Meters; Water Rights,
142260D,75,"Rangely, Town of",Rio Blanco,CO0152666,"2,100","$25,500,000 ",,N,,,,New Water Treatment Facilities; Improvement/Expansion  of Water Treatment Facilities; Water Storage Facilities;  Water Meters,
140401D-M,65,"Center, Town of",Saguache,CO0155500,"2,300","$2,179,780 ","$24,810 ", Y,NA,DL/PF,NA,Connection to a New or Existing Water Treatment  Facility; Construction or Rehabilitation of Distribution  and/or Transmission Lines; Water Storage Facilities;  Water Supply Facilities; Water Meters; Green  Infrastructure,
