"Health  Applicati on","Water  System  ID","Final  Score","Applicant  Name","Project","County","Population","Loan  Request  Amount","Loan Total  w/  1.0 % loan  fee (if  applicable)","Subsidy  Award","Comments","Project Description"
"2021-4009","28970.0",113,"City of  Grandview","Source Well  Improvements and  Rehabilitation","Yakima",11010,"3542900.0",3578329,0,"AI=1.0, does not  qualify for subsidy.","This project is intended to address the City of Grandview’s source capacity reduction issue.  The project includes  drilling a new source well on City-owned property.  The new source will draw water from the higher yielding  Wanapum Basalt Aquifer (WBA) approximately 1,200 feet below grade level.  The new source well improvements  will include a new wellhouse building, well pump and VFD, chlorine disinfection equipment, all necessary  apparatus to make the well functional, and piping to the existing distribution system.  The project will also include  rehabilitation of at least one of the City's wells in order to increase source capacity."
"2021-3979","7610.0",85,"Boistfort  Valley Water","Boistfort Surface  Water Intake and  Adna Water  Treatment Plant","Lewis",2389,"3612972.0",3612972,1806486,"AI=3.2, qualifies for  30% principal  forgiveness.**","Boistfort's existing Adna surface water treatment plant needs to be relocated out of the floodplain. This project will  allow relocation of the treatment plant along with flood-proofing the facility. This treatment plant is vital to have on-line  to allow Boistfort to meet maximum daily demands.  Boistfort obtained a new surface water right withdrawal location  on the Chehalis River to allow full utilization of the Adna surface water treatment plant. This project allows construction  of the new intake and transmission main for the new water right withdrawal location"
"2021-3988","47150.0",71,"Liberty Lake  Sewer and  Water District  No. 1","Eastside Liberty Lake  Consolidation  Project, Phase 4","Spokane",10645,"1075801.0",1075801,537900,"Consolidation  project, qualifies for  50% principal  forgiveness.*","This project includes replacement of 2,500 LF of deteriorated and undersized water mains in the Eastside Liberty  Lake Improvement Club water system and is needed to facilitate the consolidation of Eastside Liberty Lake  Improvement Club into the Liberty Lake Water and Sewer District. Some lead joint pipes are expected to be  uncovered and will be replaced as part of this project."
"2021-3997","66400.0",69,"City of Pasco","West Pasco Water  Treatment Plant  Improvements Phase  2","Franklin",77540,"9656692.0",9753259,0,"AI=0.79, does not  qualify for subsidy.","This project is intended to add resiliency to the City of Pasco’s West Pasco Water Treatment Plant. It will add a 6  MGD pump station, auxiliary power, modifications to the clearwell to allow for more operational flexibility, and  relocation of the infiltration basin."
"2021-3977","79500.0",68,"Public Utility  District No. 1  of Skagit  County","Judy Reservoir to  Mount Vernon  Transmission Line  Phase II","Skagit",82542,"1.3E7",13130000,0,"AI=1.53 does not  qualify for subsidy.","The Judy Reservoir is the only permanent water source for the Skagit County PUD #1’s Judy Reservoir system.   This project will replace an aging and undersized transmission line 5.3 miles in length from the District's Water  Treatment Plant (WTP) at Judy Reservoir to the City of Mount Vernon.  Other improvements will also be installed  in the open trench including new fiber optic conduit, new distribution lines within the Old Day Creek Road right of  way, and a new source meter."
"2021-4016","97650.0",67,"City of  Bainbridge","Ferncliff Water Main  Extension  Consolidation","Kitsap",12384,"800000.0",800000,400000,"Consolidation  project, qualifies for  50% principal  forgiveness.*","This project is intended to facilitate system consolidation between an isolated City-owned water system known as  Casey Street and the non-City owned Ferncliff Water Association Group A water system.  This will be done  through the construction of 2,200 linear feet of 8-inch water main from the City of Bainbridge’s service area to  Casey Street and Ferncliff Water Systems."
"2021-3998","AB183",65,"Port of Walla  Walla","Wallula Dodd Water  System  Consolidation","Walla  Walla",146,"2500000.0",2525000,0,"AI=0 does not  qualify for subsidy.","To support consolidation of the Wallula water service area, the Port needs a more sustainable source of supply.   This will be done by drilling a new deep well and rehabilitating an existing shallow well to drinking water  standards.  The proposed project will also include installing approximately 16,850 linear feet of old 18-inch  diameter distribution main connecting the existing reservoir to the distribution system."
"2021-3989","23581.0",59,"Woodland  Heights  Maintenance  Association","Woodland Heights  Pump House and  Water Distribution  System upgrade","King",108,"560072.0",560072,280036,"AI=3.93, qualifies  for 50% principal  forgiveness.*","The entire system is deteriorated and causing reliability concerns.  This loan is intended to revitalize the system by  the replacement of the distribution system, pump house rehabilitation, storage tank rehabilitation, and the  installation of backup power."
"2021-3974","86294.0",55,"Pend Oreille  Public Utility  District","Sunvale Acres  Distribution  Replacement Project","Pend  Oreille",65,"591282.0",591282,295641,"AI=3.53, qualifies  for 50% principal  forgiveness.*","This proposed project includes replacement of 4,620 LF of deteriorating and undersized distribution mains."
"2021-3982","68900.0",55,"City of Port  Orchard","Well 11  Development,  Treatment, and  Booster Pump  Station","Kitsap",2760,"8000000.0",8080000,0,"AI=1.14 does not  qualify for subsidy.","The project is intended to help with source reliability and includes bringing an existing drilled well up to drinking  water standards.  This includes construction of a pump house, booster pumps, chlorination, potential fluoridation,  and any other treatment needed to meet drinking water quality standards.  An estimated 500,000-gallon storage  tank will be required to make an expected well production rate of 750 gpm functional for the utility."
