Municipality Name,,Project #,,Rating,,Project Description,"Loan Request
$",Population Served,,,Poverty Rate %,,Loan Forgiveness (Discretionary),,,Loan Forgiveness (Disadvantaged Community),,
Palco,,3104,,40,,New WTP to Reduce Nitrate,"$2,000,000",267,,,18.0%,,,,,"$600,000",,
Lucas,,3088,,40,,"New WTP  to Reduce Nitrate and Construction of  50,000 Gallon Storage Tower","$1,500,000",391,,,10.6%,,"$230,000",,,,,
Oakley,,3151,,39,,Nitrate Removal Water Treatment Plant and Well Improvements,"$6,860,886","2,076",,,11.4%,,,,,"$1,000,000",,
Copeland,,3114,,38,,New Water Supply Well to Reduce Nitrate Levels,"$600,000",297,,,3.0%,,"$180,000",,,,,
Waterville,,3142,,38,,"New Well to Reduce Nitrate,  Waterline Replacement,  New Treatment Plant","$1,350,000",636,,,5.4%,,"$405,000",,,,,
Burr Oak,,3107,,37,,"WTP Improvements to reduce Uranium and Selenium, Storage Rehab, and Wat","$2,921,857",161,,,25.8%,,,,,"$876,557",,
Barton Co RWD#2,,3134,,37,,"New Well to Reduce Nitrate, Chlorination Facility and Transmission Line","$800,000",368,,,4.5%,,"$240,000",,,,,
St. George,,3118,,37,,New WTP to resolve MCL for Nitrates,"$4,000,000",998,,,12.3%,,,,,"$1,000,000",,
Belle Plaine,,3064,,37,,New Water Treatment Plant to Reduce Nitrates and Replace Waterlines and St,"$6,000,000","1,556",,,13.8%,,,,,"$1,000,000",,
Barber Co. RWD #1,,3022,,20,,Replace Distribution System to Eliminate Drip Distribution System and Expand,"$5,000,000",275,,,10.9%,,,,,,,
Belpre,,3109,,19,,Rehabilitate Storage and Water Treatment Plant,"$500,000",82,,,32.7%,,,,,"$500,000",,
Council Grove,,3146,,17,,Extend Distribution System to Unserved Areas at Council Grove City Lake,"$8,100,000","2,121",,,10.2%,,,,,,,
Randall,,3096,,16,,"New Well to Reduce DBP's, Storage Tower, Waterline Replacement","$980,000",62,,,42.4%,,,,,"$500,000",,
Esbon,,3179,,16,,Replace Waterlines,"$1,200,000",92,,,31.1%,,,,,"$500,000",,
Lenora,,3140,,16,,Replace Waterlines and Meters,"$1,250,000",230,,,30.1%,,,,,"$375,000",,
Osage City,,3091,,16,,Waterline Replacement and WTP Rehabilitation,"$7,000,000","2,809",,,24.2%,,,,,"$1,000,000",,
Coolidge,,3030,,15,,"Replace Well Pump and Service Meters, Storage and  Treatment Plant Improve","$500,000",93,,,3.7%,,,,,"$500,000",,
Cedar Vale,,3111,,14,,Waterline Replacement,"$500,000",91,,,26.0%,,,,,"$500,000",,
Cawker City,,3094,,14,,Replace Water Storage Tower,"$900,000",433,,,23.7%,,,,,"$270,000",,
Russell Co RWD #3,,3167,,14,,Replace Waterlines - Post Merger Improvements with Barton Co RWD#1,"$900,000","1,300",,,13.0%,,,,,"$270,000",,
Hillsboro,,3069,,14,,Water Treatment Plant Rehabilitation,"$550,000","4,013",,,9.9%,,,,,,,
Wilson Co RWD #4,,3175,,13,,New Booster Pump Station with Disinfection and Connecting Waterlines,"$423,000",293,,,26.9%,,,,,"$126,900",,
Coldwater,,3095,,13,,"Waterline Replacement, New Well and Wellhouse, and Distribution Looping","$2,100,000",736,,,4.4%,,,,,,,
Neosho Co RWD#2,,3187,,13,,Replace Aging Waterlines to Prevent Excessive Waterloss,"$1,069,766","1,210",,,7.4%,,,,,,,
Chanute,,3033,,13,,Water Treatment Plant Improvements,"$2,750,000","9,042",,,19.5%,,,,,"$825,000",,
Winfield,,3158,,13,,Replace Failing Ozone Generating Equipment,"$1,500,000","11,943",,,18.7%,,,,,"$450,000",,
Haddam,,3050,,12,,Replace Waterlines and Rehab Water Storage,"$500,000",96,,,2.0%,,,,,"$500,000",,
Vermillion,,3098,,12,,Waterline Replacement,"$2,034,969",102,,,14.3%,,,,,"$610,491",,
Olmitz,,3157,,12,,"Rehabilitate Wells and Treatment Facility, New Generator, Replace","$500,000",105,,,12.7%,,,,,"$500,000",,
Republic,,3156,,12,,Replace Waterlines and Upgrade Water Meters,"$500,000",107,,,10.3%,,,,,"$500,000",,
Park,,3149,,12,,Waterline Replacement and Water Storage Tower Rehabilitation,"$450,000",113,,,13.6%,,,,,"$450,000",,
Dexter,,3152,,12,,Replace Waterlines,"$1,400,000",274,,,10.0%,,,,,,,
Smith Co. RWD#1,,3083,,12,,"New Wells, Chlorination Building, Rehab Storage, Replace Waterlines","$1,199,530",380,,,7.1%,,,,,,,
Linwood,,3093,,12,,Replace Waterlines,"$1,000,000",419,,,11.3%,,,,,,,
Municipality Name,,Project #,,Rating,,Project Description,"Loan Request
$",Population Served,,,Poverty Rate %,,Loan Forgiveness (Discretionary),,,Loan Forgiveness (Disadvantaged Community),,
Fowler,,3170,,12,,Replace Waterlines and Rehabilitate 2 Wells,"$5,500,000",517,,,19.0%,,,,,"$1,000,000",,
Attica,,3085,,12,,Rehabilitate Concrete Reservoir,"$100,000",557,,,18.1%,,,,,"$30,000",,
Leon,,3112,,12,,Water Distribution System Rehabilitation,"$2,300,000",733,,,25.9%,,,,,"$690,000",,
Downs,,3131,,12,,Replace Waterlines,"$500,000",814,,,13.5%,,,,,"$150,000",,
Mankato,,3178,,12,,Replace Waterlines and Water Meters,"$6,182,247",816,,,6.9%,,,,,,,
Caney,,3023,,12,,"Pump Station and Water Storage Improvements, Waterline Replacement","$1,500,000","1,991",,,14.9%,,,,,"$450,000",,
Onaga,,3119,,12,,New Groundwater Well and Replacement of SCADA Control Equipment,"$400,000","2,137",,,12.1%,,,,,"$120,000",,
Moundridge,,3076,,12,,New  Wells,"$450,000","2,268",,,4.5%,,,,,,,
South Hutchinson,,3065,,12,,Replace Waterlines,"$1,100,000","2,488",,,13.4%,,,,,"$330,000",,
Galena,,3115,,12,,"New Well, Replace Pumps, Chlorination Equipment, Waterline Replacement","$860,463","2,858",,,21.6%,,,,,"$258,139",,
Maize,,3128,,12,,New Wells and a New Water Storage Tower,"$5,000,000","4,934",,,4.8%,,,,,,,
Fontana,,3059,,11,,Replace Waterlines and Water Storage Tank,"$500,000",239,,,20.4%,,,,,"$150,000",,
Moscow,,3105,,11,,Replace Inoperable Water Supply Well,"$575,500",299,,,17.3%,,,,,"$172,650",,
Washington Co RWD#1,,3177,,11,,New  Water Storage Tank,"$1,100,000","1,093",,,10.3%,,,,,,,
Peabody,,3097,,11,,"Replace Distribution Mains, Service Lines, and Meters","$6,000,000","1,101",,,12.5%,,,,,"$1,000,000",,
Franklin Co RWD#4,,3129,,11,,"New Waterwell, Additional Water Supply Well","$200,000","2,281",,,3.4%,,,,,,,
Osawatomie,,3117,,11,,New Surface Water Treatment Plant and Replace Distribution Mains,"$38,324,560","6,061",,,19.3%,,,,,"$1,000,000",,
Wichita,,2979.3,,11,,New Water Treatment Plant - 3rd Year,"$70,000,000","64,709",,,15.5%,,,,,"$1,000,000",,
Topeka,,3133,,11,,"Water Main Replacement, West Plant Basin  Rehab and Upgrade  Meters","$39,105,205","125,310",,,13.9%,,,,,"$1,000,000",,
Bartlett,,3020,,10,,Distribution Mains and Service Connections Replacement,"$500,000",74,,,59.2%,,,,,"$500,000",,
Isabel,,3171,,10,,Replace Waterlines Meters,"$570,000",81,,,6.6%,,,,,"$500,000",,
Russell Co RWD #4,,3145,,10,,"Replace Waterlines, Rehab Water Storage Standpipe","$500,000",90,,,4.4%,,,,,"$500,000",,
Portis,,3148,,10,,Replace Waterlines and Meters,"$500,000",91,,,12.7%,,,,,"$500,000",,
Sawyer,,3127,,10,,"Replace Water Meters, Sets, and Pits","$500,000",131,,,0.8%,,,,,"$500,000",,
McPherson Co RWD#1,,3153,,10,,Replace Water lines and Meters,"$500,000",176,,,10.2%,,,,,,,
Burden,,3143,,10,,Replace Waterlines and Meters,"$2,600,000",526,,,12.3%,,,,,"$780,000",,
Washington Co RWD#2,,3164,,10,,Replace Waterlines,"$550,000",567,,,6.2%,,,,,,,
McPherson Co RWD#4,,3132,,10,,"Replace waterlines, New Water storage Tower","$1,500,000",636,,,5.7%,,,,,,,
Colwich,,3032,,10,,New Well and Disinfection Treatment Facility,"$485,000","1,409",,,0.3%,,,,,,,
Strother Field/Winfield,,3138.1,,10,,"New 200,000-gallon Water Storage Tower","$600,000","1,534",,,18.7%,,,,,"$180,000",,
Strother Field/Arkansas City,,3138.2,,10,,"New 200,000-gallon Water Storage Tower","$600,000","1,534",,,14.1%,,,,,"$180,000",,
Johnson Co RWD#7,,3162,,10,,Expand Water Treatment Plant at Hillsdale Reservoir,"$6,000,000","6,457",,,3.9%,,,,,,,
Emporia,,3070,,10,,Waterline Replacements,"$15,000,000","32,605",,,19.6%,,,,,"$1,000,000",,
Kansas City BPU,,3160,,10,,Replace Waterlines,"$3,300,000","152,960",,,19.2%,,,,,"$990,000",,
WaterOne,,3121,,10,,New Membrane and Controls at Wolcott Water Treatment Plant,"$7,701,320","469,000",,,4.7%,,,,,,,
Municipality Name,,Project #,,Rating,,Project Description,"Loan Request
$",Population Served,,,Poverty Rate %,,Loan Forgiveness (Discretionary),,,Loan Forgiveness (Disadvantaged Community),,
Paradise,,3078,,9,,Historic Limestone Water Tower Rehabilitation,"$400,000",48,,,0.0%,,,,,"$400,000",,
Oketo,,3147,,9,,"Emergency Power, Rehabilitate Well and Storage, and Replace Waterlines","$400,000",63,,,0.0%,,,,,"$400,000",,
Saline Co. RWD #8,,3110,,9,,New Booster Pumpstation and Waterline,"$750,000",298,,,4.1%,,,,,,,
Leavenworth Co. RWD #10,,3108,,9,,Rehabilitate Stand Pipes,"$400,000",419,,,5.6%,,,,,,,
Mount Hope,,3066,,9,,Waterline Replacement and AMR System,"$400,000",801,,,6.3%,,,,,,,
Saline Co RWD#3,,3116,,9,,"Replace Waterlines, Valve Vault, Booster Pump,  and Rehabilitate Standpipe","$350,000",843,,,3.8%,,,,,,,
Cherokee Co. RWD#4,,3079,,9,,New Storage Tank and Transmission Main,"$1,800,000","1,500",,,4.9%,,,,,,,
Douglass,,3080,,9,,Automated Meter Reading System Installation,"$200,000","1,658",,,9.3%,,,,,,,
Ellis,,3037,,9,,Water Treatment Plant Improvements to Reduce Bromide and TTHM,"$1,750,000","2,011",,,14.3%,,,,,"$525,000",,
Council Grove,,3186,,9,,Waterline Replacement,"$1,000,000","2,121",,,10.2%,,,,,,,
Ellsworth,,3130,,9,,Waterline Replacement,"$2,000,000","2,961",,,6.8%,,,,,,,
Osawatomie,,3086,,9,,Replace Waterlines,"$4,500,000","4,115",,,19.3%,,,,,"$1,000,000",,
WaterOne,,3122,,9,,New Horizontal Collector Well to Supply Water to Wolcott Water Treatment Pl,"$6,200,000","469,000",,,4.7%,,,,,,,
WaterOne,,3125,,9,,Construction of 8MGD Warm Water Horizontal Collector Well on the Kansas Riv,"$7,800,000","469,000",,,4.7%,,,,,,,
WaterOne,,3123,,9,,New Collector Well Pump House,"$11,382,810","469,000",,,4.7%,,,,,,,
