,Project.Number,County,System.Name,Borrower,Description,Pop,Project.Cost,Score,Cumulative.Total
1,18181,Oswego,ORWELL WD , Orwell (T),"New Source to Address Source Capacitiy Violation., Upgrade Ground Water Source",150,"$3,027,500",155,"$3,027,500"
2,18563,Herkimer,ILION (V) WATER WORKS , Ilion (V),"Medium Priority Distribution Imprvts and Eastern Mohawk Valley Regional Trans Main Connection. Related to Project #18897., New Transmission, Upgrade Distribution System, New System Consolidation","8,610","$28,474,350",145,"$31,501,850"
3,18811,Schuyler,WATKINS GLEN VILLAGE , Watkins Glen (V),"Water System Improvements. Address CT and Turbidity Issues, Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Distribution System","2,149","$22,052,300",145,"$53,554,150"
4,18846,Otsego,RICHFIELD SPRINGS VILLAGE , Richfield Springs (V),"RW Transmission Main SWTR Compliance., New Pump Station, New Distribution System","1,200","$1,155,569",140,"$54,709,719"
5,19151,St.Lawrence,MORRISTOWN VILLAGE , Morristown (T),"WTP & Distribution Improvements. River Road East Corridor Extension., New Water Treatment Plant, Upgrade Storage, UpgradeDistribution System, New Water District",490,"$16,789,000",140,"$71,498,719"
6,18270,Essex,TICONDEROGA WD , Ticonderoga (T),"Chilson-Eagle Lake SWTR Compliance Project., New Surface Water Treatment Rule Compliance Facility, Upgrade Distribution System","5,000","$8,306,300",135,"$79,805,019"
7,18907,Cattaraugus,LITTLE VALLEY VILLAGE , Little Valley (V),"Installation of wells, main replacement, and WTP improvements., Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Distribution System","1,188","$4,300,000",135,"$84,105,019"
8,18860,Herkimer,HERKIMER VILLAGE , Herkimer (V),"High Priority System Upgrades and Eastern Mohawk Valley RegionalTrans Main Connection. Related to Project #18897., Upgrade Storage, Upgrade Distribution System, New Inter-Connection","7,606","$17,498,670",125,"$101,603,689"
9,18941,Broome,ENDICOTT MUNICIPAL WATER WORKS , Endicott (V),"New Source Development to Address Fe/Mn/1,4-dioxane., New Ground Water Source","45,000","$7,310,218",120,"$108,913,907"
10,18842,Cattaraugus,SOUTH DAYTON VILLAGE , South Dayton (V),"Source and distribution upgrades., Upgrade Ground Water Source, Upgrade Distribution System",661,"$3,250,000",120,"$112,163,907"
11,19242,Wyoming,GARDEAU WATER DISTRICT , Castile (T),"Gardeau WD main replacement and district extention, Upgrade Distribution System, Extend Water District",60,"$2,755,250",115,"$114,919,157"
12,19258,Franklin,TUPPER LAKE V , Tupper Lake (V),"Tupper Lake Intake and WTP Rehab. , Upgrade Water Treatment Plant, Upgrade Surface Water Source","5,500","$8,867,991",110,"$123,787,148"
13,19093,Clinton,PLATTSBURGH CITY , Plattsburgh (C),"Phase 2 Water System Upgrades / New GW Source Development, New Ground Water Source, Upgrade Transmission, Upgrade Distribution System","18,000","$5,240,000",105,"$129,027,148"
14,18711,Herkimer,EAST SCHUYLER WD , Schuyler (T),"New Distribution System and Eastern Mohawk Valley Regional TransMain Connection. Related to Project #18897., New Transmission, New Distribution System, New System Consolidation",816,"$7,391,280",105,"$136,418,428"
15,18717,Chenango,SOUTH OTSELIC WATER DISTRICT , Otselic (T),"Water System Improvements - source, treatment, storage, distribution, and meters. , Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System",300,"$4,259,000",105,"$140,677,428"
16,18911,Jefferson,LERAY TOWN WD 2 , LeRay (T),"Consolidated Water District Extension along NYS Rt. 11 and former WD #3. Carey Well improvements, New Ground Water Source, Upgrade Distribution System, New Distribution System","2,500","$4,000,000",100,"$144,677,428"
17,19240,Jefferson,WEST CARTHAGE VILLAGE , West Carthage (V),"New storage tanks, distribution & transmission improvements, WTP improvements, Upgrade Water Treatment Plant, Upgrade Transmission, New Storage, Upgrade Distribution System","2,200","$21,945,180",100,"$166,622,608"
18,18898,Wyoming,PERRY VILLAGE , Perry (V),"WTP upgrade to Address DBPs. Short Term Alternative 1., Upgrade Water Treatment Plant, Upgrade Transmission, Upgrade Storage","3,945","$7,200,000",95,"$173,822,608"
19,17093,Otsego,HARTWICK WATER DISTRICT , Hartwick (T),"New Ground Water Source, Upgrade Storage, Upgrade Distribution System",416,"$3,760,078",95,"$177,582,686"
1,18772,Chautauqua,CHAUTAUQUA HEIGHTS WATER DISTRICT ,,"WD No. 2 Alternative Water Supply., New Ground Water Source",174,"$6,942,000",95,"$184,524,686"
2,18715,Herkimer,Chautauqua (T)FRANKFORT (V) WATER WORKS , Frankfort (V),"Distribution System Improvements and Eastern Mohawk Valley Regional Trans Main Connection. Related to Project #18897., New Transmission, Upgrade Distribution System, New System","2,995","$8,667,450",90,"$193,192,136"
3,19051,Allegany,SCIO WATER DISTRICT , Scio (T),"ConsolidationWater Storage Tank Replacement and Water System Improvements, Upgrade Storage, Upgrade Distribution System",900,"$2,550,000",90,"$195,742,136"
4,18939,St.Lawrence,HERMON VILLAGE , Hermon (T),"Source and WTP improvements, and replacement of entire distribution system for WD #1., Upgrade Water Treatment Plant, New Ground Water Source, New Transmission, New Distribution",492,"$7,879,500",90,"$203,621,636"
5,18197,Otsego,ONEONTA CITY , Oneonta (C),"SystemWTP, Distribution, and Storage Upgrades., Upgrade Water Treatment Plant, New Storage","15,779","$8,072,625",85,"$211,694,261"
6,18872,Herkimer,HERKIMER VILLAGE , Herkimer (V),"Phase 2 (2nd Priority) Water System Improvements., New Ground Water Source, New Storage, Upgrade Distribution System","7,606","$20,597,940",85,"$232,292,201"
7,18843,Cattaraugus,PORTVILLE VILLAGE , Portville (V),"Well, treatment, storage, and distribution upgrades., Upgrade WaterTreatment Plant, Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System","1,040","$5,408,530",85,"$237,700,731"
8,18367,Delaware,FISHS EDDY COMMUNITY WATER SUP , Hancock (T),"Fish's Eddy Water District., New Ground Water Source, Upgrade Distribution System, New Water District",150,"$4,184,504",85,"$241,885,235"
9,19215,Wayne,NEWARK VILLAGE , Newark (V),"BIL-GS Funding Line - Approximate and For RefNew 4.0 MG storage tank to replace Allerton Reservoir, New Storage","erence Only9,682","**$6,164,550",80,"$248,049,785"
10,18188,Orange,GOSHEN VILLAGE , Goshen (V),"Replace WTP at Prospect Reservoir, Upgrade Water Treatment Plant","5,676","$6,120,819",75,"$254,170,604"
11,18903,Albany,ALBANY CITY , Albany MWFA,"2022 Water System Improvements., Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Pump Station","101,082","$6,100,000",70,"$260,270,604"
12,18322,Chemung,ELMIRA WATER BOARD , Elmira Water Board,"Elmira Refresh Initiative., Upgrade Transmission, Upgrade Distribution System","65,000","$6,043,913",70,"$266,314,517"
13,18936,Jefferson,ALEXANDRIA VILLAGE , Alexandria Bay (V),"WTP upgrades and water main replacement., Upgrade Water Treatment Plant, Upgrade Distribution System","1,900","$13,103,000",70,"$279,417,517"
14,19266,Sullivan,WOODRIDGE VILLAGE , Woodridge (V),"Installation of storage tank, new membrane filter, rehab lagoon, Upgrade Water Treatment Plant, New Storage, Upgrade Distribution System",902,"$16,200,000",70,"$295,617,517"
15,19145,St.Lawrence,MASSENA (T) , Massena (T),"Proposed Service Area No. 1, New Water District",350,"$9,270,000",70,"$304,887,517"
16,19119,Jefferson,PHILADELPHIA (T) , Philadelphia (T),"New Proposed Water System, New Distribution System",183,"$6,787,746",70,"$311,675,263"
17,19244,Cattaraugus,SALAMANCA CITY , Salamanca (C),"Abandon Existing WTP, New Well Source, New Pump Building., Upgrade Water Treatment Plant","7,000","$12,303,767",65,"$323,979,030"
18,19184,Chenango,BAINBRIDGE VILLAGE , Bainbridge (V),"Water System Improvements - WM Replacement, New Well, Booster PS Improvements, New Ground Water Source, Upgrade Pump Station, Upgrade Distribution System","1,550","$7,455,600",65,"$331,434,630"
19,18981,Clinton,MORRISONVILLE WATER DISTRICT , Schuyler Falls (T),"Replacement of asbestos cement water main., Upgrade Distribution System","1,300","$6,899,500",65,"$338,334,130"
1,17791,Delaware,STAMFORD VILLAGE , Stamford (V),"Replace water storage tank and aging water mains, New Storage, Upgrade Distribution System","1,280","$1,973,600",65,"$340,307,730"
2,19171,Rockland,NYACK VILLAGE WATER SUPPLY , Nyack (V),"PFAS Treatment at Nyack Water Plant., New Other Expenses, New Other (OT)","14,700","$4,749,320",60,"$345,057,050"
3,19025,Orleans,ALBION VILLAGE , Albion (V),"Phase 2A and 2B WTP Improvements, Upgrade Water Treatment Plant, Upgrade Transmission, Upgrade Storage","6,000","$7,855,059",60,"$352,912,109"
4,19213,Allegany,WELLSVILLE VILLAGE PUBLIC WATER , Wellsville (V),"Village-Wide Watermain Replacement, Upgrade Distribution System","5,700","$5,166,480",60,"$358,078,589"
5,18896,Allegany,CUBA VILLAGE PUBLIC WATER , Cuba (V),"Water main replacement and improvements to well site and storage tanks., Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System","1,800","$7,373,770",60,"$365,452,359"
6,18813,Cattaraugus,FRANKLINVILLE VILLAGE , Franklinville (V),"South and North Wellhouse Improvements & Howard Street Water Main Replacement., Upgrade Ground Water Source, Upgrade Distribution System","1,760","$6,000,000",60,"$371,452,359"
7,18825,Lewis,COPENHAGEN VILLAGE , Copenhagen (V),"Woodbattle Road WTP and wells Rehabilitation., Upgrade Water Treatment Plant",850,"$1,134,000",60,"$372,586,359"
8,19149,Chemung,WELLSBURG VILLAGE , Wellsburg (V),"Tank decommissioning & replacements, distribution upgrades, new emergency ground supply, New Ground Water Source, Upgrade Storage, Upgrade Storage, Upgrade Distribution System",631,"$4,595,119",60,"$377,181,478"
9,18579,Lewis,TOWN OF DIANA WATER DISTRICT , Diana (T),"Upgrade Wells 1 and 3, Distribution Looping and New Water Meters., Upgrade Ground Water Source, Upgrade Distribution System",618,"$4,916,800",60,"$382,098,278"
10,18835,Sullivan,NARROWSBURG WD , Tusten (T),"System-wide Infrastructure Upgrades., Upgrade Storage, Upgrade Distribution System",550,"$4,635,000",60,"$386,733,278"
11,19165,Onondaga,SYRACUSE CITY , Syracuse (C),"Guilford, Brookford and Westminster Booster Pump Station Replacement, New Pump Station","192,000","$3,707,200",55,"$390,440,478"
