Project,County,System Name/Borrower,Description,Pop.,Project Cost,Score,Cumulative Total,dac
18670,Nassau,Hempstead (V)18670,"1,4-dioxane and PFAS removal at Clinton Street Plant, Upgrade Water Treatment Plant, Upgrade Storage",56000,53266504,90,53266504,dac
19714,Suffolk,Greenlawn WD19714,"Wellhead Treatment for PFAS & VOCs at Well Nos 10 & 15, Upgrade Water Treatment Plant",42000,4562500,80,57829004,
19485,Nassau,Port Washington WD19485,"New GAC to remove PFAS contamination at Ricks Well 7, Upgrade Water Treatment Plant",30000,9527500,80,67356504,
19337,Nassau,Port Washington WD19337,"Installation of GAC treatment to remove PFAS at Hewlett Well No. 4, Upgrade Water Treatment Plant",30000,7723610,80,75080114,
19820,Schenectady,Glenville (T)19820,"Installation of GAC for PFAS removal, Upgrade Water Treatment Plant",16000,8799355,80,83879469,
19369,Nassau,Williston Park (V)19369,"Well No.4 GAC PFAS treatment, Upgrade Water Treatment Plant",7300,8681870,80,92561339,
19750,Dutchess,DCWWA19750,"Quaker Hill WS Interconnection with Hyde Park Regional WS to resolve PFAS contamination, New Pump Station, New Inter-Connection",350,21875700,80,114437039,dac
19741,Westchester,Pound Ridge (T)19741,"Creation of the Scotts Corners WD to Serve Contaminated Private Wells, Consolidate Several Public Water Systems, and Address PFAS, New Water District",114,10907000,70,125344039,dac
18822,Dutchess,Wappingers Falls (V)18822,"New Greensand WTP for Mn Removal, New Water Treatment Plant, Upgrade Ground Water Source, Upgrade Storage",6731,3042840,55,128386879,dac
19568,Putnam,Kent (T)19568,"Installation of Ion Exchange to remove PFAS, Upgrade Water Treatment Plant",480,1004000,55,129390879,
19493,Warren,Queensbury (T)19493,"Extension to Jenkinsville to serve private wells contaminated with 1,4-Dioxane, New Distribution System",425,7316272,45,136707151,
19674,Suffolk,Smithtown (T)19674,"Extension of water district to serve PFAS contaminated private wells, Extend Distribution System",91,1426000,45,138133151,
19727,Suffolk,South Huntington WD19727,"Plant No. 15 - 1,4-dioxane removal via AOP, Upgrade Water Treatment Plant",81760,7700000,40,145833151,
19582,Nassau,Jericho WD19582,"Well 23 PFAS Removal, Upgrade Water Treatment Plant",58000,10431840,40,156264991,
19583,Nassau,Jericho WD19583,"Well 28 PFAS Removal, Upgrade Water Treatment Plant",58000,6677490,40,162942481,
19653,Nassau,Hempstead (T)19653,"Levittown WD Well 12 - 1,4-dioxane and iron removal treatment system, Upgrade Water Treatment Plant",53000,15000000,40,177942481,
19010,Nassau,Hicksville WD19010,"Plant No. 11 - AOP/GAC treatment for 1,4-dioxane, Upgrade Water Treatment Plant",48000,13996670,40,191939151,dac
19230,Nassau,Albertson WD19230,"Well No. 5 - GAC treatment for PFAS removal; and Replace PTAS, Upgrade Water Treatment Plant",13500,18486000,40,210425151,
19792,Nassau,Locust Valley WD19792,"Plant No. 9 - New GAC treatment for PFAS removal, Upgrade Water Treatment Plant",7500,7000000,40,217425151,
19591,Suffolk,Riverhead (T)19591,"Well No. 5-2A PFAS removal, Upgrade Water Treatment Plant",190,2327800,40,219752951,dac
19562,Dutchess,Beacon (C)19562,"Melzingah Reservoir Hypolimnetic Aeration System for HABs control, Upgrade Surface Water Source",14370,1485384,15,221238335,
19564,Dutchess,Beacon (C)19564,"Cargill Reservoir Hypolimnetic Aeration System for HABS control, Upgrade Surface Water Source",14370,2727167,15,223965502,
