SRF #	Applicant	County	BIL-EC Eligible Project Cost	BIL-EC Grant Award FFY25 IUP
19485	Port Washington WD Ricks Well 7	Nassau	9527500	3413607
19820	Glenville (T)	Schenectady	8799355	5000000
19714	Greenlawn WD	Suffolk	4562500	3193750
19337	Port Washington WD Hewlett Well 4	Nassau	7723610	996200
19674	Smithtown (T)	Suffolk	1426000	998200
19582	Jericho WD Well 23	Nassau	10431840	5000000
19230	Albertson WD	Nassau	18486000	5000000
19792	Locust Valley WD	Nassau	7000000	4900000
19591	Riverhead (T) WD, Well 5-2A	Suffolk	2327800	2327800
18822	Wappingers Falls (V)	Dutchess	3042840	3042840
19493	Queensbury (T) Jenkinsville	Warren	7316272	5000000
19727	South Huntington WD	Suffolk	7700000	2026603
