Project.Number,County,System Name,Borrower,Description,Pop.,Project Cost,Score,Cumulative Total,Code
18660,Ulster,ELLENVILLE (VILLAGE) WATER DIS,Ellenville (V),"Phase 2 of #15003 - New Well - replace GWUDI wells & other improvements, New Ground Water Source, Upgrade Storage, Upgrade Distribution System",4323,2800000,H,2800000,
18700,Ulster,ROSENDALE WATER DISTRICT,Rosendale (T),"Phase 2 of project 18111. Cost overrun., Upgrade Surface Water Treatment Rule Compliance Facility, New Ground Water Source, Upgrade Storage, Upgrade Distribution System",2200,2070000,H,4870000,
18061,Franklin,TUPPER LAKE (V),Tupper Lake (V),"New wells to replace SW source and inadequate DE plant., New Ground Water Source, Upgrade Distribution System",5500,0,H,4870000,
18721,Onondaga,JORDAN VILLAGE,Jordan (V),"Village's share of Elbridge (V) / Elbridge (T) / Jordan (V) Joint Water System Upgrades., Upgrade Storage, Upgrade Distribution System, New System Consolidation",1400,3500000,H,8370000,
17560,Sullivan,THE CALLICOON WATER COMPANY INC,Delaware (T),"Upgrade Water Treatment Plant, Upgrade Ground Water Source",854,0,H,8370000,
17629,Essex,ESSEX WD,Essex (T),"WTP Upgrades and New GW Source., Upgrade Water Treatment Plant, New Ground Water Source",300,0,H,8370000,
17504,Schoharie,CENTRAL BRIDGE WATER DISTRICT,Central Bridge WD,"Upgrade water treatment plant for DBP control and organics removal., Upgrade Water Treatment Plant, Upgrade Distribution System",1061,1000000,H,9370000,
18596,Oneida,VERONA WATER DISTRICT NO. 3,Verona (T),"Extension of water distribution system, new pump station and storage tank, and rehab to existing storage tank., Upgrade Storage, New Storage, New Pump Station, Extend Distribution System",1795,0,H,9370000,
18275,Essex,KEESEVILLE V,Chesterfield (T),"WTP, storage, and distribution improvements., Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Distribution System",2300,0,H,9370000,
18181,Oswego,ORWELL WD,Orwell (T),"New Source to Address Source Capacity Violation., Upgrade Ground Water Source",150,0,H,9370000,
15958,Greene,PRATTSVILLE WATER DISTRICT,Prattsville (T),"Address organics violations and inadequate source capacity, New Ground Water Source",410,150000,H,9520000,
18348,Delaware,ROXBURY WATER DISTRICT,Roxbury (T),"Roxbury and Grand Gorge Joint project., New Surface Water Treatment Rule Compliance Facility, Upgrade Ground Water Source, Upgrade Distribution System",755,0,H,9520000,
18811,Schuyler,WATKINS GLEN VILLAGE,Watkins Glen (V),"Water System Improvements. Address CT and Turbidity Issues, Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Distribution System",2149,0,H,9520000,
18563,Herkimer,ILION (V) WATER WORKS,Ilion (V),"Medium Priority Distribution Improvements and Eastern Mohawk Valley Regional Trans Main Connection. Related to Project #18897., Upgrade Distribution System, New System Consolidation",8610,0,H,9520000,
18826,Chautauqua,SINCLAIRVILLE VILLAGE,Sinclairville (V),"Phase 2 of Project #18105., Upgrade Ground Water Source, Upgrade Transmission, Extend Distribution System",772,0,H,9520000,
18338,Delaware,SIDNEY VILLAGE,Sidney (V),"New Ground Water Supply and WTP to Replace Existing Inadequate Wells., Upgrade Ground Water Source, Extend Distribution System, Upgrade Distribution System",5100,0,H,9520000,
17987,Otsego,SOUTHSIDE WATER DISTRICT NO. 6,Oneonta (T),"Southside Water District No. 6., New Ground Water Source, New Complete System (New System), New Storage, New Distribution System, New Water District",1569,500000,H,10020000,
18184,Essex,CROWN POINT WD,Crown Point (T),"Rehab and upgrades to contaminated wells and replacing mains with severe break history., Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Distribution System",995,0,H,10020000,
18907,Cattaraugus,LITTLE VALLEY VILLAGE,Little Valley (V),"Installation of wells, main replacement, and WTP improvements., Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Distribution System",1188,0,H,10020000,
18358,Allegany,ANDOVER (V),Andover (V),"Source (GWUDI Springs), Distribution, & Storage Improvements, New Water Treatment Plant, Upgrade Transmission, Upgrade Distribution System, New System Consolidation",2500,3155000,H,13175000,
18562,Herkimer,ILION (V) WATER WORKS,Ilion (V),"Dedicated Well Transmission Main and High Priority Distribution Improvements., Upgrade Ground Water Source, New Transmission, Upgrade Storage, Upgrade Distribution System",8610,0,H,13175000,
17976,Otsego,SOUTHSIDE WATER DISTRICT NO. 5,Oneonta (T),"Southside Water District No. 5. , New Ground Water Source, New Complete System (New System), New Storage, New Distribution System, New Water District",1570,1000000,H,14175000,
18351,Oswego,SANDY CREEK WD3/ RICHLAND WD 5,Sandy Creek (T),"Consolidates 7 regulated PWSs, Upgrade Ground Water Source, New Transmission, New Distribution System",2600,3000000,H,17175000,
18842,Cattaraugus,SOUTH DAYTON VILLAGE,South Dayton (V),"Source and distribution upgrades., Upgrade Ground Water Source, Upgrade Distribution System",661,0,H,17175000,
18214,Seneca,WATERLOO (V),Waterloo (V),"WTP, Distribution, and Storage Improvements., Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Inter-Connection",16900,300000,H,17475000,
18328,Clinton,PLATTSBURGH (C),Plattsburgh (C),"Phase 1 WTP, Source, Transmission, and Distribution Upgrades., Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Transmission, Upgrade Distribution System",18000,0,H,17475000,
18768,Steuben,CAMPBELL WATER DISTRICT,Campbell (T),"WD #1 Extension., New Ground Water Source, New System Consolidation",280,0,H,17475000,
18575,Washington,GREENWICH VILLAGE,Greenwich (V),"Mn Treatment, Replace Existing Wells, Replace Transm Main, Water Metering., Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Transmission, Upgrade Distribution System",2000,11000000,H,28475000,
18127,Seneca,INTERLAKEN VILLAGE,Interlaken (V),"Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System",650,0,H,28475000,
18803,Delaware,HOBART VILLAGE,Hobart (V),"Upgrade Water Treatment Plant, New Ground Water Source",370,0,H,28475000,
