Project.Number,County,System.Name,Borrower,Description,Pop,Project.Cost,Score,Cumulative.Total
17299,Albany,RAVENA VILLAGE,Ravena (V),"Source, WTP, Storage, and Distribution Improvements., Upgrade Water Treatment Plant, Upgrade Surface Water Source, Upgrade Storage, Upgrade Distribution System",4500,0,1080,0
18903,Albany,ALBANY (C),Albany MWFA,"2022 Water System Improvements., Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Pump Station",98000,0,1070,0
19814,Albany,RENSSELAERVILLE WATER DISTRICT,Rensselaerville (T),"Replacement of the WTP due to DBP violations and poor water quality., Upgrade Water Treatment Plant",200,2551786,145,2551786
18535,Albany,WATERVLIET (C),Watervliet (C),"Water System Improvements., Upgrade Water Treatment Plant, Upgrade Transmission",10450,0,80,2551786
18523,Albany,ALBANY (C),Albany MWFA,"Feura Bush WTP Upgrades., Upgrade Water Treatment Plant, Upgrade Storage",98000,0,65,2551786
19821,Albany,GREEN ISLAND (V),Green Island (V),"Upgrades to Water Treatment Plant., Upgrade Water Treatment Plant",3500,9888000,55,12439786
19720,Albany,BETHLEHEM (T),Bethlehem (T),"Clapper Road Trans. Main, Upgrade Transmission",35000,1038856,55,13478642
18572,Albany,COHOES CITY,Cohoes (C),"WTP Improvements Phase I., Upgrade Water Treatment Plant",15550,9609256,45,23087898
18984,Albany,COHOES CITY,Cohoes (C),"Phase 2 WTP Upgrades., Upgrade Water Treatment Plant",15550,9738811,45,32826709
19730,Albany,WATERVLIET (C),Watervliet,"Lead service line inventory., Upgrade Distribution System",10265,515000,40,33341709
19127,Albany,ALBANY (C),Albany MWFA,"Basic Creek Reservoir Dam Safety Improvements, Upgrade Surface Water Source",101082,8605000,40,41946709
19609,Albany,ALBANY (C),Albany MWFA,"Lead service line inventory., Upgrade Distribution System",100000,2000000,40,43946709
19558,Albany,ALBANY (C),Albany MWFA,"Rensselaer Lake Dam Safety Improvements, Upgrade Surface Water Source",98000,8003000,40,51949709
19155,Albany,RAVENA (V),Ravena (V),"Phase 2 Water System Improvements, Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Pump Station, Upgrade Distribution System",3271,7428000,40,59377709
19456,Albany,ALBANY (C),Albany MWFA,"Lead service line replacement., Upgrade Distribution System",7725,12864426,40,72242135
19157,Albany,ALBANY (C),Albany MWFA,"Water System Improvements, Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Pump Station",101082,9746301,40,81988436
19607,Albany,WATERVLIET (C),Watervliet (C),"Lead service line replacement., Upgrade Distribution System",120,518000,40,82506436
