Project #,County,System Name / Borrower,Description,Population,Project Cost,Score,Cumulative Total,emmali_notes,codes_if_scraped
18660,Ulster,ELLENVILLE (VILLAGE) WATER DIS,Phase 2 of #15003 - New Well - replace GWUDI wells & other Improvements,"4,323","$2,800,000.00",H,"$2,800,000.00",,
18700,Ulster,ROSENDALE WATER DISTRICT,"Phase 2 of project 18111. Cost overrun. Upgrade treatment, storage, and distribution","2,200","$2,070,000.00",H,"$4,870,000.00",,
18721,Onondaga,JORDAN VILLAGE,"Joint Water System Upgrades, Upgrade Storage, New System Consolidation","1,400","$3,500,000.00",H,"$8,370,000.00",,
17560,Sullivan,THE CALLICOON WATER COMPANY INC,"Upgrade Water Treatment Plant, Upgrade Ground Water Source",854,$0.00,H,"$8,370,000.00",,
17629,Essex,ESSEX WD,WTP Upgrades and New GW Source,300,1800000,H,"$8,370,000.00",,
17504,Schoharie,CENTRAL BRIDGE WATER DISTRICT,Upgrade water treatment plant for DBP control and organics removal,"1,061","$1,000,000.00",H,"$9,370,000.00",,
18596,Oneida,VERONA WATER DISTRICT NO. 3,"Extension of water distribution system, new pump station and storage tank","1,795",$0.00,H,"$9,370,000.00",,
18275,Essex,KEESEVILLE V,"WTP, storage, and distribution improvements","2,300",$0.00,H,"$9,370,000.00",,
18181,Oswego,ORWELL WD,New Source to Address Source Capacity Violation,150,$0.00,H,"$9,370,000.00",,
15958,Greene,PRATTSVILLE WATER DISTRICT,Address organics violations and inadequate source capacity,410,"$150,000.00",H,"$9,520,000.00",,
18348,Delaware,ROXBURY WATER DISTRICT,Roxbury and Grand Gorge Joint project. Upgrade treatment and distribution systems,755,$0.00,H,"$9,520,000.00",,
18811,Schuyler,WATKINS GLEN VILLAGE,Water System Improvements. Address CT and Turbidity Issues,"2,149",$0.00,H,"$9,520,000.00",,
18563,Herkimer,ILION (V) WATER WORKS,Medium Priority Distribution Improvements and Eastern Mohawk Valley Regional Connection,"8,610",$0.00,H,"$9,520,000.00",,
18826,Chautauqua,SINCLAIRVILLE VILLAGE,"Phase 2 of Project #18105. New GW source, distribution extension",772,$0.00,H,"$9,520,000.00",,
