Project,Project County,System Name/Borrower,Description,Population,Project Cost,Score,Cumulative Total
19814,Albany,RENSSELAERVILLE WATER DISTRICT,"Replacement of WTP due to DBP violations and poor water quality, Upgrade Water Treatment Plant",145,2551786,70,2551786
18915,Onondaga,CARDIFF WATER DISTRICT,"Cardiff Water District Improvements and Consolidation Project, New Storage, New Inter-Connection",135,4894000,70,7445786
19541,Onondaga,ROUTE 11A WATER DISTRICT,"Route 11A WD Improvements and Consolidation Project, Upgrade Water District",120,2747000,70,10192786
19796,Oswego,TOWN OF SCHROEPPEL SOUTH WD,"New South Water District, New Water District",8049,25450000,115,35642786
19802,Lewis,LYONSDALE (T),"Replacement and extension of Lyonsdale (T) Water District No. 1, New Water District",783,5871000,115,41513786
19151,St. Lawrence,MORRISTOWN WATER DISTRICT,"WTP & Distribution Improvements. Water Service Expansion in existing WD, Upgrade Water Treatment Plant",777,10145500,115,51659286
19760,Lewis,CROGHAN (V),"Water System Improvements Project, Upgrade Transmission, Upgrade Distribution System, New Water District",900,10197000,110,61856286
19182,Oneida,TRENTON (T),"Hamlet of Barneveld distribution and storage improvements and MVWA connection, Upgrade Storage, Upgrade Distribution System",300,11113000,110,72969286
19781,Cattaraugus,CATTARAUGUS (V),"New Well Source, Replace WM, Valves and Controls, New Ground Water Source, Upgrade Distribution System",1185,10788220,105,83757506
19828,Washington,ARGYLE (V),"Upgrade Source, Rehab Storage, Upgrade Distribution, Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System",725,14800000,105,98557506
19140,Jefferson,WATERTOWN WD #3 & #4,"System Water Looping to address disinfection byproducts, Upgrade Distribution System",660,10135200,105,108692706
19830,Clinton,PERU (T),"Upgrade Water Treatment Plant, New Ground Water Source, New Storage",6772,9400000,100,118092706
18531,Franklin,SARANAC LAKE (V),"New Surface Water Source, WM Replacement, New Water Treatment Plant",4887,22635000,100,140727706
17978,Jefferson,NORTHEAST WATER DISTRICT,"New Northeast Water District, New Water District",550,8085000,100,148812706
19525,Chautauqua,CLYMER (T),"New Well, New Storage Tank, and Replacement of WM, New Ground Water Source, Upgrade Distribution System",545,10707880,100,159520586
19170,Dutchess,PAWLING VILLAGE,"New GW Sources, new WTP and related utility work on well fields, New Water Treatment Plant, New Ground Water Source",1907,4000000,95,163520586
