RANKING,SYSTEM,COUNTY,PROJECT.NAME,PROJECT.DESCRIPTION.x,IJDC..NUMBER,X1..PERCENT..MHI,X3400.CURRENT,X3400.PROPOSED,AFFORD..ABILITY,DISADVAN...TAGED,DWTRF..TERMS.x,NEW.POPU...LATION,POINTS,HEALTH,COMPLIANCE,AFFORD..ABILITY.1,DWTRF..FUNDING..REQUESTED,TOTAL.COST,DWTRF.Eligible..Funding.Type,BYPASS.RATIONALE,PROJECT.DESCRIPTION.y,DWTRF..TERMS.y,POPULATION,ESTIMATED.DATE..OF..CONSTRUCTION,GREEN..PROJECT..DESIGNATION,GREEN..PROJECT..RESERVE,DWTRF..ASSISITANCE..FROM.BASE..GRANT,DWTRF..PRINCIPAL..FORGIVENESS..FROM.BASE..GRANT,DWTRF..ASSISITANCE..FROM..SUPPLEMENTAL..GRANT,DWTRF..PRINCIPAL..FORGIVENESS..FROM..SUPPLEMENTAL..GRANT,DWTRF..PRINCIPAL..FORGIVENESS..FROM..EMERGING..CONT..GRANT,DWTRF..ASSISITANCE..FROM.LSLR..GRANT,DWTRF..PRINCIPAL..FORGIVENESS..FROM.LSLR..GRANT,TOTAL.DWTRF..ASSISTANCE,TOTAL..PROJECT..COST
1,Clarksburg Water Board,Harrison,Lead Service Line Replacement,Project to replace lead service lines throughout the distribution system.,2021W-2054,$38.58 ,$26.28 ,TBD,TBD,Yes,"0%, Admin.  Waived, 30 yrs.,  Principal  Forgiveness","17,686",75,50,20,5,"$27,025,000 ","$27,025,000 ",Lead Service Line  Replacement  Funding,Project will be funded.,Project to replace lead service lines throughout the distribution system.,"0%, Admin.  Waived, 30 yrs.,  Principal  Forgiveness","17,686",23-Jul,N/A,$0 ,,,,,,"$20,757,017 ","$10,276,500 ","$20,757,017 ","$27,025,000 "
2,"Davy, Town of",McDowell,Lead Service Line Inventory,The project consists of the development of a lead service line inventory and GIS compatible surveying and mapping.,TBD,$24.65 ,$40.80 ,$40.80 ,2.07,Yes,Principal  Forgiveness,552,70,30,10,30,"$500,000 ","$500,000 ",Lead Service Line  Replacement  Funding,Project will be funded.,The project consists of the development of a lead service line inventory and GIS compatible surveying and mapping.,Principal  Forgiveness,552,23-Mar,N/A,$0 ,,,,,,"$500,000 ","$500,000 ","$500,000 ","$500,000 "
3,"Richwood, City of",Nicholas,Lead Service Line Inventory,The project includes the engineering services necessary to conduct an inventory of lead services and prepare engineering plans for the removal of lead service lines and joints in the City's water distribution system.,TBD,$28.37 ,$45.47 ,TBD,2,Yes,Principal  Forgiveness,"1,095",70,30,10,30,"$500,000 ","$500,000 ",Lead Service Line  Replacement  Funding,Project will be funded.,The project includes the engineering services necessary to conduct an inventory of lead services and prepare engineering plans for the removal of lead service lines and joints in the City's water distribution system.,Principal  Forgiveness,"1,095",23-Mar,N/A,$0 ,,,,,,"$500,000 ","$500,000 ","$500,000 ","$500,000 "
4,"Alderson, Town of",Greenbrier,Lead Service Line Replacement,Replace lead service lines throughout the distribution system.,2019W-1833,$25.68 ,$38.58 ,$58.49 ,2.85,Yes,Principal  Forgiveness,"2,458",70,30,10,30,"$615,000 ","$615,000 ",Lead Service Line  Replacement  Funding,Project will be funded.,Replace lead service lines throughout the distribution system.,Principal  Forgiveness,"2,458",,N/A,$0 ,,,,,,"$615,000 ","$615,000 ","$615,000 ","$615,000 "
5,Pineville Municipal Waterworks,Wyoming,Lead Service Line Inventory,"The project includes the engineering services necessary to conduct an inventory of lead services and prepare engineering plans for the removal of lead service lines in the systems water distribution system,",TBD,$35.14 ,$45.00 ,$63.46 ,2.26,Yes,Principal  Forgiveness,"2,945",70,30,10,30,"$250,000 ","$250,000 ",Lead Service Line  Replacement  Funding,Project will be funded.,"The project includes the engineering services necessary to conduct an inventory of lead services and prepare engineering plans for the removal of lead service lines in the systems water distribution system,",Principal  Forgiveness,"2,945",23-Mar,N/A,$0 ,,,,,,"$250,000 ","$250,000 ","$250,000 ","$250,000 "
6,"Rainelle, Town of",Greenbrier,Lead Service Line Inventory,The project consists of the development of a lead service line inventory and GIS compatible surveying and mapping.,TBD,$26.04 ,$29.75 ,TBD,1.43,Yes,Principal  Forgiveness,"1,381",55,30,10,15,"$500,000 ","$500,000 ",Lead Service Line  Replacement  Funding,Project will be funded.,The project consists of the development of a lead service line inventory and GIS compatible surveying and mapping.,Principal  Forgiveness,"1,381",23-Mar,N/A,$0 ,,,,,,"$500,000 ","$500,000 ","$500,000 ","$500,000 "
7,"Gary, City of",McDowell,Lead Service Line Inventory,This project includes the engineering services necessary to conduct an inventory of lead services and prepare engineering plans for the removal of lead service lines in the City's distribution system.,TBD,$32.98 ,$33.15 ,$33.15 ,1.26,Yes,Principal  Forgiveness,"1,633",55,30,10,15,"$500,000 ","$500,000 ",Lead Service Line  Replacement  Funding,Project will be funded.,This project includes the engineering services necessary to conduct an inventory of lead services and prepare engineering plans for the removal of lead service lines in the City's distribution system.,Principal  Forgiveness,"1,633",23-Mar,N/A,$0 ,,,,,,"$500,000 ","$500,000 ","$500,000 ","$500,000 "
8,Oakland PSD,Hancock,Lead Service Line Replacement,This project includes development of a lead service line inventory and replacing lead service lines throughout the distribution system.,TBD,$41.62 ,$47.02 ,TBD,1.41,Yes,Principal  Forgiveness,"1,846",55,30,10,15,TBD,TBD,Lead Service Line  Replacement  Funding,Project will be funded.,This project includes development of a lead service line inventory and replacing lead service lines throughout the distribution system.,Principal  Forgiveness,"1,846",23-Mar,N/A,$0 ,,,,,,"$250,000 ","$250,000 ","$250,000 ","$250,000 "
9,"Welch, City of",McDowell,Lead Service Line Inventory,The project includes the engineering services necessary to conduct an inventory of lead services and prepare engineering plans for the removal of lead service lines and joints in the City's water distribution system.,TBD,$29.28 ,$33.55 ,TBD,1.43,Yes,Principal  Forgiveness,"2,907",55,30,10,15,"$500,000 ","$500,000 ",Lead Service Line  Replacement  Funding,Project will be funded.,The project includes the engineering services necessary to conduct an inventory of lead services and prepare engineering plans for the removal of lead service lines and joints in the City's water distribution system.,Principal  Forgiveness,"2,907",23-Mar,N/A,$0 ,,,,,,"$500,000 ","$500,000 ","$500,000 ","$500,000 "
10,Mount Hope Water Assoc.,Upshur,Lead Service Line Inventory,Project to determine the service line material used from the meter to the customers structure.,TBD,$42.01 ,$40.44 ,TBD,1.2,No,TBD,"2,870",50,30,10,10,"$200,000 ","$200,000 ",Lead Service Line  Replacement  Funding,TBD,Project to determine the service line material used from the meter to the customers structure.,TBD,"2,870",23-Mar,N/A,$0 ,,,,,,"$200,000 ",,"$200,000 ","$200,000 "
