WATER SYSTEM NAME,DWRLF Project Number,System Population,Est. Loan Amount,Potential Funding Source(s),AMOUNT of PRINCIPAL FORGIVENESS,Expected Loan Term,Priority Points,Est. Date to Close Loan,Project Description,TYPE of Principal Forgiveness,Readiness to Proceed,Compliance Correction,Meets Affordability Criteria,Meets Filtration Requirements,ARPA-WSP Match Project,IIJA Project,PRELIMINARY WATER SYSTEM GRADE
"Tullos, Town of Water System",1059010-01-EC,792,"$1,400,000.00","IIJA-EC / LITACorp ($714,000)","$686,000.00",10-Yr,73,Jan-26,"IIJA-EC  The Town of Tullos Water System (TTWS) Water Treatment Plant will be upgraded with a coagulation/flocculation/clarification/filtration system to remove TTHMs and HAA5s prior to chlorination.  LITACorp has committed to and will be providing the match (or loan) portion ($714,000 of the proposed $1,400,000 request)  Loan Term = 10 Years IIJA-EC (100% PF)",IIJA-EC,NONE,,Yes,,NO,IIJA-EC,D
Plaquemines Parish Government,1075001-01-EC,20866,"$24,262,238.00",IIJA-EC,"$24,262,238.00",10-Yr,71,Jan-26,"IIJA-EC The purpose of applying for the DWRLF Loan is to construct (3) waterline projects that will assist with water pressure and meet capacity demands on an annual basis, especially during saltwater intrusion events that affect the Mississippi River.    According to Chloe Adelmann, EPA Region 6, Water Division, Assistance Programs Branch, Drinking Water Infrastructure Section 1201 Elm Street, Suite 500, Dallas, Texas 75270, Office: 214-665-6796 ""The eligibility of regionalization of small and disadvantaged PWSs that  have salt water intrusion concern with sodium above health advisory levels."" (see email 8/27/23 to Blake Fogleman in file).  Loan Term = 10 Years IIJA-EC (100% PF)",IIJA-EC,NONE,,Yes (+4 Add'l Priority Points),,,IIJA-EC,F
"Opelousas, City of (Loan 1)",1097010-02-GS,"19,764","$17,000,000.00",IIJA-GS,"$3,000,000.00",20-Yr,57,06/27/2025,"ADDRESSSING AOS via Rehab of existing well and storage facilities; replacement of portions of old distribution system, and conducing LSL Inventory.     20 YEAR LOAN TERM",IIJA-GS,CLOSED,Multiple AOs,Yes (+4 Add'l Priority Points),,NO,IIJA-GS,F (projected grade of D)
Patterson Water System,1101006-01-GS,"8,456","$5,519,500.00",IIJA-GS,"$2,704,555.00",,51,Jan-26,"Install an ACTIFLO Clarifier inside the newly constructed water plant for redundancy requirements by LDH, adding chemicals and cover for the chemical building, and replacement of the existing filters.",IIJA-GS,NONE,,Yes (+4 Add'l Priority Points),,NO,IIJA-GS,B
"Opelousas, City of (Loan 2)",1097010-01-EC,"19,764","$10,500,000.00",IIJA-EC,"$10,500,000.00",10-Yr,50,Oct-25,Upgrade of existing 3.0 MGD water treatment facility to improve water quality by removing iron and manganese  10 YEAR LOAN TERM - 100%PF,IIJA-EC,PLANNING,AO: C-22-097-021-ETT,Yes (+4 Add'l Priority Points,,NO,IIJA-EC,F (projected grade of D)
Grand Coteau Water System,1097001-01-EC,"1,650","$6,800,000.00",IIJA-EC,"$6,800,000.00",,50,Jan-26,"The proposed improvements include the construction of a new water treatment plant consisting of: a new building, filters, service pumps, a ground storage tank, a separate chlorine building, an emergency generator, and piping all on property currently owned by the Town of Grand Coteau",IIJA-EC,NONE,,Yes (+4 Add'l Priority Points),,NO,IIJA-EC,A
"West Winn Water System, Inc.",1127011-01-GS,"2,064","$2,600,000.00",IIJA-GS,"$1,274,000.00",30-Yr,49,Jan-26,"New water well, treatment facility, booster station, GST, and related items  Loan Terms = 30 Years",IIJA-GS,NONE,,Yes (+4 Add'l Priority Points),,NO,IIJA-GS,F
"Many, Town of (Loan 4)",1085016-04-EC,"4,575","$5,400,000.00",IIJA-EC,"$5,400,000.00",10-Yr,48,Jan-26,"Construction of new surface water intake where Bayou La Nana connects to Toledo Bend, close to the river channel, new raw water pumping station and raw water transmission main from the intake to current WTP.   10 Year Loan Term (100%PF)",IIJA-EC,NONE,,Yes (+4 Add'l Priority Points),,NO,IIJA-EC,C
Calcasieu Parish WDN5 of Wards 3 & 8 (Loan 2),1019084-02-GS,"5,388","$10,000,000.00",IIJA-GS,"$3,000,000.00",20-Yr,47,Jan-26,"Construction of a new 0.65 MG ground storage tank, installation of automated meter reading technology, rehabilitation of two (2) elevated storage tanks, and necessary waterline connection from improved transmission/distribution in the water system.",IIJA-GS,ENVIRONMENTAL,,Yes,,NO,IIJA-GS,C
"Backwood Village Water System, Inc.",1127022-01-GS,783,"$2,060,000.00",IIJA-GS,"$1,009,400.00",,43,Jan-26,"Construction of a GAC treatment unit, GST, booster station, chlorination system, site piping and associated items.",IIJA-GS,NONE,AO: C18-127-010-ETT,Yes (+4 Add'l Priority Points),,NO,IIJA-GS,F
