WATER SYSTEM NAME,DWRLF Project Number,System Population,Est. Loan Amount,Potential Funding Source(s),AMOUNT of PRINCIPAL FORGIVENESS,Expected Loan Term,Priority Points,Est. Date to Close Loan,Project Description,TYPE of Princiapal Forgiveness (PF) RECEIVED,Readiness to Proceed,Compliance Correction,Meets Affordability Criteria,Meets Filtration Requirements,ARPA-WSP Match Project,IIJA Project,PRELIMINARY WATER SYSTEM GRADE
"Opelousas, City of (Loan 2)",1097010-01-EC,19764,10500000,IIJA-EC,10500000,10-Yr,50,Oct-25,Upgrade of existing 3.0 MGD water treatment facility to improve water quality by removing iron and manganese  10 YEAR LOAN TERM - 100%PF,IIJA-EC,PLANNING,AO: C-22-097-021-ETT,Yes (+4 Add'l Priority Points,NO,NO,IIJA-EC,F (projected grade of D)
Bayou Teche Water Works,1099002-01-EC,9933,9245000.00,IIJA-EC,9245000,,25,Jan-26,"IIJA- EC (Manganese Treatment)  The proposed project is Bayou Teche Water Treatment Plant Reconstruction"" and has an estimated total project cost (incl. Eng) of $9245000.""",IIJA-EC,PLANNING,,Yes,NO,NO,IIJA-EC,C
"Lake Charles, City of (Loan 3)",1019029-03-EC,85000,1400000,IIJA-EC,1400000,10-Yr,21,Jun-25,Upgrade and replacement of existing chemical feed systems at the George West Water Plant.  To address manganese treatment.  10 Year Loan Term (100%PF),IIJA-EC,ENVIRONMENTAL,,Yes,NO,NO,IIJA-EC,A
"Lake Charles, City of (Loan 4)",1019029-04-EC,85000,1400000,IIJA-EC,1400000,10-Yr,21,Jun-25,Upgrade and replacement of existing chemical feed systems at the Southwest WTP.  To address manganese treatment.  10 Year Loan Term (100%PF),IIJA-EC,ENVIRONMENTAL,,Yes,NO,NO,IIJA-EC,A
St. Bernard Parish Waterworks (Loan 4),1087001-04-EC,44000,5000000,IIJA-EC,5000000,10-Yr,20,Apr-25,N. FOWLERI TREATMENT:  Replacement of existing aged and deteriorated cast iron water line segments in the St. Bernard Parish water distribution system (Lloyd's Avenue - formerly included in Proj 2.4 of 2015 SIP).  LOAN TERM = 10 YEARS (100% PF since IIJA-EC),IIJA-EC,ENVIRONMENTAL,,Yes,NO,NO,IIJA-EC,B
Bossier City Water System (Loan 2),1015004-02-EC,76685,550000,IIJA-EC,550000,10-Yr,17,Apr-25,Pilot two (2) Nanofiltration Membrane Systems in series with a Greensand Filtration System  10 Year Loan Term (100%PF),IIJA-EC,ENVIRONMENTAL,,Yes,NO,NO,IIJA-EC,A
Desoto Parish Water Works District 1  (Loan 4),1031030-04-EC,7653,500000,IIJA-EC,500000,10-Yr,16,4/11/2025,REPLACE FILTERS with upgraded/improved filters to improve produced water quality through improving the removal of manganese. May be just Procurement Only.  10 Year Loan Term (100%PF).,IIJA-EC,CLOSED,,Yes,NO,NO,IIJA-EC,B
Town of Vinton,1019048-01-EC,4101,3180000.00,IIJA-EC,3180000,,14,Jan-26,"REPLACE four (4) OLD 1975 WTP Filters with four (4) manganese greensand vertical pressure filters, relocation of chemical feed equipment for oxidation, backwash pumping, building to house the filters and equipment, and associated piping and electrical modifications.   BACKGROUND/ELIGIBILITY for EC: NEED TO REPLACE four (4) OLD 1975 WTP Filters for Iron and Manganese that are at the end of their design life and showing signs of deterioration.  The latest LDH Sample Results (provided) show water well sample results for Manganese of 0.41 mg/L in Well No 1, 0.38 mg/L in Well NO 2, and  0.27 mg/L in Well NO 3. *0.3 mg/L is the health concern level, and 0.05 mg/L is the SMCL so that explains why the WTP was installed and required back in 1975.",IIJA-EC,PLANNING,,Yes (+4 Add'l Priority Points),NO,NO,IIJA-EC,A
Mire Branch Water Corporation,1001024-01-EC,9147,6130000,IIJA-EC,6130000,10-Yr,12,Apr-25,Replace well #1 with a new 750gpm well; piping modifications so new well and well #3 can supply both plants #1 and #2; new filter with softener; new 500K grd storage tank and replace existing high service pumps and generator  LOAN TERM = 10 YEARS (100% PF since IIJA-EC),IIJA-EC,ENVIRONMENTAL,,Yes,NO,NO,IIJA-EC,A
"Buckeye Water District No 50, Inc. (Loan 3)",1079004-03-EC,12078,4750000,IIJA-EC,4750000,10-Yr,11,6/27/2025,"Manganese Avoidance: Install a new well and treatment site and provide additional water mains to tie together the two halves of their system.   The proposed project is to install a new well and treatment site and provide additional water mains to tie together the two halves of their system, which would eliminate or greatly reduce the District’s dependence upon the production wells in the Deville Area.  Although neither of the wells by themselves exceed the secondary MCL for manganese, the entry point following the ground storage tank in that area exceeds as documented by LDH and private third party testing performed in April 2022.  10 Year Loan Term (100%PF)",IIJA-EC,CLOSED,,Yes,NO,NO,IIJA-EC,A
