"PROJRANK","COUNTY","PWSID","PROJECT COST","DEP PROJECT RATING","APPLICANT NAME","STREET ADDRESS","CITY","PROJECT TYPE","FUND SOURCE","MTGDATE","REGION","POPULATION","PV RATING","GREEN CATEGORY","GREEN PROJECT","BUSINESS CASE","LOAN #","GREEN AMOUNT","PROJ. DESCRIPTION","PROB. DESCRIPTION"
"1","CLARION","6160004","$5,176,000","75","FOXBURG AREA WATER AND SEWER AUTHORITY - WATER SYSTEM IMPROVEMENTS","C/O NORMA SLAUGENHOUP,SEC.","FOXBURG","DS, WS, TREAT","DWSRF","4/15/2026","VI","925","125","Water Efficiency","Yes","Not Required","82260","$2,111,784","The project consists of the installation of 6,500 LF of 6-inch diameter waterline, 300 LF of 4-inch diameter waterline, 700 LF of 2-inch diameter waterline, fire hydrants and appurtenances. The water treatment plant work consists of a new water treatment plant, four (4) greensand filters, chemical feed systems and miscellaneous items. The existing water storage tank will be replaced with a 150,000 gallon storage tank.","The Foxburg Area Water & Sewer Authority has chosen to replace the aging waterlines and reduce their water losses. The water treatment plant’s existing building is not suitable for rehabilitation due to its construction and deteriorated state. In addition, the existing water treatment plant will not meet the Department’s drinking water standards. . The existing water storage tank is also in poor condition and beyond repair. Well No 6’s water quality is poor, but the Authority believes it can be modified and retained. The distribution system, consisting of cast iron pipe, has experienced multiple leaks, necessitating the replacement of many lines. In addition, there is only a single waterline that serves both the school and the business district. When leaks happen, these waterlines are shut down, cutting off water service to the key establishments in the service area."
"2","FRANKLIN","7280021","$3,845,572","73","MERCERSBURG WATER AUTHORITY – WATER SYSTEM IMPROVEMENTS, PHASE 2","113 SOUTH MAIN ST","MERCERBURG","TREAT","DWSRF","1/21/2026","III","2,350","88","N/A","No","Not Required","85231","$0","This water system improvement project includes abandoning the existing Buck Run water treatment facility and replacing it with a new greensand filtration facility. The new facility will treat water from the existing Buck Run Well with 50 gallon per minute capacity and the Zimm Well with 100 gallon per minute capacity using pH adjustment, oxidation and pressure filtration to remove iron, disinfection, and orthophosphate addition for corrosion control. The new facility, in conjunction with the Park Avenue well and treatment facility which are under construction, will allow the Authority to remove the Buck Run reservoir from service and continue to supply a reliable quality and quantity of water to its customers.","The Mercersburg Water Authority (Authority) owns the Buck Run filter plant which treats surface water from the Buck Run Reservoir. The existing reservoir and filter plant are in need of major rehabilitation or replacement as evidenced by numerous violations of the Safe Drinking Water Act which were recorded in a Notice of Violation (NOV) dated February 26, 2020. The Authority entered into a Consent Order and Agreement (COA) with the Department on September 10, 2020. This COA required the Authority to prepare an Existing Facilities and Treatment Alternative Study which outlined methods for compliance, the costs of those methods, and the Authority’s plan for achieving compliance. The Study concluded that the lowest cost, feasible compliance alternative was the development of a new groundwater source and the construction of two new water treatment facilities, the Park Avenue water treatment facility and the Buck Run water treatment facility. This alternative will allow the Authority to abandon the Buck Run Reservoir and existing filter plant."
"3","CAMBRIA","4110027","$16,565,000","69","THE MUNICIPAL AUTHORITY OF THE BOROUGH OF PORTAGE - WATERLINE & METER REPLACEMENT PROJECT","606 CAMBRIA STREET","PORTAGE","DS, LSL","DWSRF","7/16/2025","V","7,600","88","Water Efficiency","Yes","Not Required","82251","$13,323,800","The proposed project includes the installation of approximately 34,500 linear feet of water mains, approximately 15,700 linear feet of service lines, 24 fire hydrants, approximately 580 meter pits, and appurtenances by utilizing mostly open trench methods of excavation. Installations around railroad crossings and stream crossings will be completed by jack and bore to allow ease of replacement in the future, if required. The project also consists of replacing 6 identified lead and galvanized service lines and during construction, if any additional lead and galvanized service lines are encountered, the contractor will replace those as well.","Old, antiquated lines, exist in the system, many of which are nearing 100 years of service. This area has seen more breaks and leaks in recent months. Since the Authority has a high unaccounted water loss of 62.9%, this area seems to be a place to start water line replacement since it has a lot of older lines. As per a recommendation from the DEP, many of the meters will be removed from the structures and placed in meter pits at the property lines."
"4","BERKS","3060066","$41,060,000","66","WESTERN BERKS WATER AUTHORITY - WATER TREATMENT PLANT IMPROVEMENTS","91 WATER ROAD","SINKING SPRING","TREAT","DWSRF","10/15/2025","III","25,000","81","N/A","No","N/A","80313","$0","The project includes additions and modifications to the Authority's water treatment plant (WTP) which will enable the facility to provide a long-term, reliable quality and quantity of water. A new sulfuric acid chemical feed system will be added so that the pH of the water entering the WTP can be regulated. The coagulant, fluoride, chlorine, polyphosphate, and ammonium sulfate chemical feed systems will be upgraded with new chemical feed pumps, storage tanks, feed lines, and appurtenances. The existing, outdated Greenleaf filters will be demolished and replaced with four new dual-media rapid rate gravity filters, each with a capacity of 2.67 million gallons per day (MGD). This will allow the WTP to operate at its maximum capacity of 8 million gallons per day(MGD) with one filter out of service. The existing clearwell will be baffled and a new 400,000-gallon clearwell will be constructed to enhance the resiliency of the WTP's disinfection system. Four new 1,800 gallons per minute high service pumps are proposed. Improvements to the sludge handling and processing systems will include a new 54,000-gallon backwash receiving tank, new sludge mixers and pumps, and an additional 3,000-square feet of sludge drying area. WTP's electrical, instrumentation, and process control systems will be upgraded to support the plant improvements.","The Authority's water treatment plant (WTP) serves approximately 25,000 residents in Berks County, PA. The WTP is nearly 50 years old, and many treatment plant components have reached the end of their service life. The Authority has identified deteriorating chemical feed equipment, suboptimal filter backwashing, lack of operational flexibility in the clearwell, and insufficient sludge handling capacity as problems that need to be addressed in a complete WTP rehabilitation. Additionally, the emerging presence of harmful algal blooms (HABs) and cyanotoxins in Blue Marsh Lake present treatment challenges that the current WTP is not equipped to handle."
"5","PHILADELPHIA","1510001","$47,650,000","61","CITY OF PHILADELPHIA GEORGE'S HILL PUMP STATION","1101 MARKET STREET","PHILADELPHIA","PS","DWSRF","10/15/2025","I","1,600,000","76","Energy Efficiency","Yes","Not Required","82405","$1,760,000","This project includes a new pump station at George's Hill Reservoir that will have the capacity to meet the typical peak daily demand of the Belmont High Pressure District at 21 million gallon per day (MGD) with six (6) pumps, redundant feed systems, standby generator, and on-site stormwater management. The upgrades to the existing Belmont station will include replacement of the pumps and interior modifications.","The new George's Hill Pump Station is required to provide redundancy to the Belmont High Service Pressure District and will draw water from the lower regions of West Philadelphia and pump it up to the northern section of this region. The existing Belmont High Pump Station must be upgraded to allow it to work in tandem with the new station. This critical infrastructure will improve functionality and increase resilience during emergency operations."
"6","BUCKS","1090137","$2,672,152","60","BUCKINGHAM TOWNSHIP HEARTHSTONE PFAS TREATMENT","3103 PHILMONT AVENUE","HUNTINGDON VALLEY","PFAS","DWSRF","7/16/2025","I","4,760","65","N/A","No","N/A","80301","$0","The proposed treatment system will include a new building to house the proposed treatment system, air stripper, transfer pumps, granular activated carbon (GAC) filtration, and a backwash holding tank. The project will require an air stripper to reduce the radon that will be absorbed. SCADA controls will be installed to tie the PFAS system into the main control system. The project will be located at the Hearthstone Treatment Facility, which serves as a combined treatment facility for wells CS-3 and CS-4.","The Buckingham Township Cold Spring System serves residents in the northern portion of the Township. Samples of water collected at Entry Point (EP) 102 for wells CS-3 and CS-4 have been analyzed for PFOA and PFOS. Analytical results indicate PFOS levels of 12.56 ppt and PFOA level o 13.31 ppt at EP 102. It was also determined that an air stripper will be required to reduce the radon level in the water which impact the carbon disposal. The radon level, while not excessive, would cause a higher level of radioactive carbon for disposal which could cause higher disposal or reconditioning costs for the carbon."
"7","ALLEGHENY","5020006","$13,220,000","59","BOROUGH OF BRACKENRIDGE - WATER FILTRATION PLANT CONSENT ORDER IMPROVEMENTS","1000 BRACKENRIDGE AVENUE","BRACKENRIDGE","TREAT","DWSRF","4/15/2026","V","3,700","82","N/A","No","N/A","80323","$0","The project scope includes: (1) Site piping improvements for the Clearwell and on-site distribution storage tanks to provide automatic shutdown capability isolating the Clearwell from distribution storage in accordance with Consent Order and Agreement (COA) with the Department; (2) Flocculation and clarifier improvements for construction of a new flocculation tank with flash mixing, installation of new Lamella plate clarifier equipment inside of existing clarifier tank and demolition of exterior circular clarifier; (3) Repair and improvements to backwash equalization chamber and piping; (4) General electrical and control system improvements; and (5) Construction of an addition to the main building.","The Borough entered into a COA with the Department on June 27, 2024, to improve the Brackenridge Water Plant. The COA required the Borough to perform site piping improvements for the Clearwell and install on-site distribution storage tanks providing automatic shutdown capability to isolate the Clearwell from distribution storage. Other improvements are being proposed as well."
"8","ALLEGHENY","5020038","$70,350,208","53","PITTSBURGH WATER & SEWER AUTH. - 2024 AND 2023 A2 SMALL DIA. MAIN REPL. (NON-LEAD)","441 SMITHFIELD ST.","PITTSBURGH","DS","DWSRF","10/15/2025","V","520,000","80","Water Efficiency","Yes","Not Required","82253","$86,181,584","This project will replace an estimated 49,710 feet of 4-inch and 16-inch water lines thus replacing older and undersized mains. 2023 Small Diameter Water Main Replacement – Contract A2, 2024 Small Diameter Water Main Replacement – Contract B, and 2024 Small Diameter Water Main Replacement – Contract C include the replacement of aging 4” to 16” diameter pipes with new zinc coated ductile iron pipe ranging from 4” to 16”. This work includes the replacement of water mains, valves, fire hydrants, and water service lines. Water mains were selected for replacement based on a number of risk-factors, including the prioritization of undersized mains, and mains with a history of break.","Due to the advanced age of the pipes, replacement of these mains will reduce the frequency of water main breaks, which will minimize the risk to public health caused by the resulting potential exposure to infectious diseases and will reduce the impact of unplanned water outages and street closures required due to emergency repairs. The replacement of older, leak prone mains will also provide for more efficient management of water resources by reducing the amount of treated water that is lost from the system. Furthermore, the additional volume of water that will be able to be delivered to areas with inadequate flow will reduce restrictions on development within the affected areas."
"9","BLAIR","4070023","$9,750,000","51","ALTOONA WATER AUTHORITY - HORSESHOE CURVE AND KETTLE WATER TP OZONE SYS. UPGRADE","20 GREENWOOD ROAD","ALTOONA","TREAT","DWSRF","7/16/2025","III","62,500","66","N/A","No","N/A","80292","$0","The existing ozonation systems at the Kettle WTP (one treatment train) and the Horseshoe Curve WTP (two treatment trains) will be replaced with new equipment including systems for liquid oxygen storage and preparation, nitrogen generation, ozone generation, gas injection, ozone destruction, and ambient gas monitoring. Additionally, the aluminum sulfate and sodium hydroxide bulk chemical storage tanks will be replaced at the Horseshoe Curve WTP.","The Altoona Water Authority (Authority) operates six (6) water treatment plants (WTPs), all of which use ozone for the dual purposes of taste/odor control and oxidation of iron/manganese. Ozonation systems were first installed in each of the WTPs in the 1990s, and those systems started reaching the end of their design life after almost 30 years of use. The old systems are no longer manufactured and the Authority has found it difficult to acquire spare parts. The Authority has upgraded the ozone systems at the Mill Run, Plane Nine, and Tipton WTPs and upgrades at the Bellwood WTP are currently under construction. Similar upgrades are now planned for the Kettle WTP and the Horseshoe Curve WTP."
"10","COLUMBIA","4190013","$25,450,000","51","PA AMERICAN WATER COMPANY - BERWICK PFAS WTP","P O BOX 267","BERWICK","TREAT, PFAS","DWSRF","10/15/2025","IV","16,000","70","N/A","No","N/A","80311","$0","This project includes constructing a new water treatment plant (WTP). Raw water from the four wells will be conveyed from the Canal Street well site via a new pipeline to the new WTP. The WTP will have a buried clearwell, wetwell, and granular activated carbon (GAC) pressure filters. Disinfection and corrosion control will be included at the new facility. Sodium hypochlorite will replace the existing gas chlorine system. A corrosion inhibitor will be used, consistent with the current chemical used at the existing treatment site. The finished water will be conveyed from the new WTP to the existing distribution system via a new finished water transmission main.","The project aims to add the perfluoroalkyl and polyfluoroalkyl substances (PFAS) removal capabilities at the Pennsylvania American Water Company (PAWC) Berwick facilities. Current well source has identified PFOA level of 11.5 ppt. The project will reduce the PFOA levels in the finished drinking water to the customers."
