"PPL
Rank","PPL
Score",Participant,MHI,"Population
Served",PWSID No,"SRF
Project No.",Project Description,"Estimated Lead
Service Line
Replacement Cost","Estimated
Green Project
Reserve
Cost","Green
Project
Reserve
Category","Current
User Rate
(per 4,000 gallons)","Estimated
Post-Project
User Rate
(per 4,000
gallons)","Requested
Funds","Cumulative
Requested
Funds",Estimated Total Project Cost,Cumulative Total
1,104,Nashville/Brown Co. State Park,"$45,000","3,315",5207002,DW220307 01,"Water Main Extension, Storage, and Distribution System
Improvements",$0,TBD,WE,$72.73,$72.73,"$3,066,700","$3,066,700",,
2,89,Evansville - Treatment Plant,"$42,600","173,000",5282002,DW220482 03,New Treatment Plant,$0,TBD,TBD,$33.74,$45.86,"$200,000,000","$203,066,700",,
3,82,Northwest Jasper Regional Water District,"$47,083","3,815",5237015,DW210837 02,Water Main Extension and Storage,$0,$0,N/A,$44.01,$49.50,"$6,300,000","$209,366,700",,
4,76,Frankton,"$51,714","1,800",5248008,DW223648 01,"Storage, Distribution, and Supply Improvements; Lead
Service Line Replacement","$3,282,300",TBD,TBD,$42.28,TBD,"$21,362,000","$230,728,700",,
5,68,Fort Wayne,"$49,855","270,402",5202020,DW221802 06,Lead Service Line Replacement,"$11,191,300",N/A,N/A,$23.84,$30.32,"$11,091,300","$241,820,000",,
6,50,Jackson County Water Utility,"$51,250","14,747","5236003
5236008",DW210336 04,"Distribution System Improvements and Lead Service Line
Replacement","$1,300,000",$0,N/A,$46.15,$48.93,"$4,300,000","$246,120,000",,
7,49,Van Bibber Lake Conservancy District,"$25,313",830,5267010,DW191067 01,Distribution System Improvements,$0,$0,N/A,$78.00,$135.63,"$8,800,000","$254,920,000",,
8,49,Grabill,"$54,704","1,250",5202006,DW201302 02,"Supply, Storage, and Distribution Improvements",$0,"$296,000","EE, WE",$17.96,$41.14,"$3,700,000","$258,620,000",,
9,48,Wheatland,"$42,292",480,5242016,DW220142 01,"Distribution System Improvements + Lead Service Line
Replacement","$1,000,000",TBD,TBD,$42.47,$113.71,"$3,775,000","$262,395,000",,
10,48,Arcadia,"$50,547","1,700",5229001,DW222929 02,"Treatment, Supply, and Distribution Improvements","$3,083,200",N/A,N/A,$36.19,$96.98,"$7,889,820","$270,284,820",,
11,47,Oxford,"$42,250","1,200",5204005,DW223404 01,Supply and Treatment Improvements,"$1,854,050",N/A,N/A,$29.18,$113.97,"$12,344,000","$282,628,820",,
12,47,Kentland,"$45,125","1,735",5256005,DW222156 01,"Storage, Treatment, and Distribution Improvements","$2,592,840",TBD,TBD,$26.13,$80.01,"$11,063,500","$293,692,320",,
13,46,LaFontaine,"$45,917",906,5285004,DW223085 02,"Supply, Treatment, and Distribution System Improvements","$872,000",N/A,N/A,$41.95,$101.59,"$4,223,700","$297,916,020",,
14,46,Rensselaer,"$48,162","5,912",5237005,DW221937 02,"Storage, Treatment, and Distribution Improvements +
Lead Service Line Replacement","$5,128,970",$0,N/A,$39.19,$47.40,"$5,367,500","$303,283,520",,
15,45,Monticello - RCA Neighborhood,"$43,182","5,300",5291011,DW220791 03,"Distribution System Improvements and Lead Service Line
Replacement",$0,$0,N/A,$22.05,$25.07,"$1,287,000","$304,570,520",,
16,43,Monticello - Water Main Replacement,"$43,182","5,300",5291011,DW210191 02,Distribution System Improvements,$0,$0,N/A,$22.05,$25.07,"$2,316,000","$306,886,520",,
17,43,Chandler,"$53,056","19,295",5287002,DW181987 03,Distribution System Improvements,$0,$0,N/A,$35.21,$35.21,"$19,800,000","$326,686,520",,
18,41,Andrews,"$42,765","1,149",5235001,DW160935 01,New Treatment Plant and Distribution Improvements,$0,TBD,TBD,$38.48,$132.49,"$5,200,000","$331,886,520",,
19,36,Reelsville,"$51,008","2,800",5267006,DW221167 03,"Supply, Distribution, and Treatment Improvements",$0,$0,N/A,$47.54,$66.19,"$5,086,500","$336,973,020",,
20,35,Winamac/Tippecanoe River State Park,"$39,516","2,400",5266005,DW21466 01,Water Main Extension and Regionalization,$0,TBD,TBD,$37.14,$37.14,"$10,113,349","$347,086,369",,
21,34,Cambridge City,"$37,685","1,900",5289002,DW221689 02,Water Main Replacements and Storage Improvements,$0,$0,N/A,$21.97,$44.13,"$4,580,000","$351,666,369",,
22,34,Dillsboro,"$40,341","2,000",5215002,DW201515 01,Storage and Distribution System Improvements,$0,$0,N/A,$34.64,$54.11,"$2,600,000","$354,266,369",,
23,33,Milan,"$32,543","1,899",5269003,DW221569 01,Storage Improvements and Water Main Replacements,$0,TBD,TBD,$37.20,$58.74,"$2,487,484","$356,753,853",,
24,33,Elkhart,"$40,750","53,923",5220008,DW222320 01,Lead Service Line Replacement,"$1,360,000",TBD,TBD,$10.20,$10.20,"$1,360,000","$358,113,853",,
25,32,Edwardsville Water Corporation,"$30,300","10,442",5222001,DW201122 01,Storage and Distribution System Improvements,$0,TBD,"GI, EE",$38.26,$38.26,"$8,000,000","$366,113,853",,
26,32,Holton Community Water Corporation,"$56,332","2,363",5269008,DW223569 01,Water Main Replacements and Storage Improvements,$0,N/A,N/A,$54.18,TBD,"$3,987,377","$370,101,229",,
27,31,Cromwell,"$43,229",550,5257004,DW211657 02,"Supply, Treatment, Storage, and Distribution System
Improvements",$0,"$32,000",EE,$45.26,$97.31,"$3,500,000","$373,601,229",,
28,30,Hoosier Hills Regional Water District,"$40,341","8,642",5269002,DW210469 01,"Storage and Distribution System Improvements and Water
Main Extension",$0,TBD,TBD,$34.82,$37.00,"$3,272,000","$376,873,229",,
