"Project
Number",Applicant Name,County,Project Description,"Disadvantaged
Status",Population,Total Priority Points,Cost per Population Served,"Total Project
Costs","Lead Service
Line Costs","EC Related
Costs",DWSRF Traditional Loan,DWSRF Traditional PF,BIL DWSRF Supplemental Loan,BIL DWSRF Supplemental PF,BIL DWSRF Emerging Contaminants PF,ARPA Grant,DWI Grant,BIL DWSRF LSLR Loan,BIL DWSRF LSLR PF,LSLR + WM ARPA (new)
7710-01,Battle Creek,Calhoun,"WTP, LSLR, well",Overburdened,52000,95,473,24575000,2600000,,,,10961500,11013500,,,,1326000,1274000,
7756-01,City of Ironwood,Gogebic,"Watermain, LSLR",Significantly Overburdened,5045,95,2185,11021000,2044266,,,,,,,7123734,1853000,,,2044266
7741-01,City of Highland Park,Wayne,"Watermain, LSLR",Significantly Overburdened,8977,95,2117,19000000,1900000,,,,,,,17100000,,,,1900000
7846-01,City of Mt. Clemens,Macomb,"GLWA Connection, LSLR",Overburdened,17580,95,2392,42050000,660000,,21713400,,,12527080,,7149520,,336600,323400,
7686-01,Muskegon Heights,Muskegon,"WTP, watermain, LSLR, looping",Significantly Overburdened,9917,95,2160,21420000,6360000,,1420000,,,,,13640000,,,,6360000
7842-01,City of West Branch,Ogemaw,"Watermain, LSLR, looping, tower, new connection, well",Significantly Overburdened,2139,95,8415,18000000,500000,,,,,,,17500000,,,,500000
7549-01,City of St. Louis,Gratiot,"Watermain, LSLR, valves",Significantly Overburdened,1956,95,12014,23500000,120000,,3500000,,,,,20000000,,,,
7838-01,Whittemore,Iosco,"WTP, wells, tower, watermain",Significantly Overburdened,416,95,29639,12330000,,,,,,,,12330000,,,,
7784-01,Grand Rapids (City),Kent,"Watermain, LSLR, looping",Overburdened,202100,90,73,14775000,8000000,,3307500,3467500,,,,,,4080000,3920000,
7497-01,Owosso,Shiawassee,"Watermain, LSLR, WTP",Overburdened,27890,90,125,3490000,250000,,1617500,,,,,1622500,,127500,122500,
7501-01,City of Wakefield,Gogebic,LSLR,Overburdened,1850,90,189,350000,350000,,,,,,,4000,,176460,169540,
7774-01,Oakland County (Pontiac),Oakland,"Watermain, LSLR",Significantly Overburdened,63398,90,400,25365000,2644040,,4016540,,,,,,,1348460,1295580,18704420
7639-01,Inkster,yne,"Watermain, LSLR",Significantly Overburdened,25369,90,430,10905000,1600000,,,,,,,,,,,10905000
7629-01,Lincoln Park,yne,"Watermain, LSLR",Significantly Overburdened,38144,90,498,18985000,6940980,,,,,,,,,,,18985000
7743-01,City of Hamtramck,yne,"Watermain, LSLR",Significantly Overburdened,28190,90,533,15035000,5505300,,,,,,,,,,,15035000
7736-01,Jackson,Jackson,"WTP, watermain",Overburdened,31309,90,558,17460000,,,8730000,,,,,8730000,,,,
7832-01,City of Muskegon,Muskegon,"WTP, watermain, LSLR, looping",Overburdened,38300,90,681,26085000,10000000,,7942500,,,,,8142500,,5100000,4900000,
7750-01,City of Melvindale,Wayne,"Watermain, LSLR",Significantly Overburdened,12739,90,724,9225000,3000000,,,,,,,7929420,,,,1295580
7738-01,City of Ecorse,Wayne,"Watermain, LSLR",Significantly Overburdened,9512,90,796,7575000,278640,,,,,,,7575000,,,,
7841-01,City of Ithaca,Gratiot,"Watermain, LSLR",Overburdened,3098,90,836,2590000,13580,,1225742,,,,,1228458,,69258,66542,
7705-01,Charter Twp. of Union,Isabella,"Watermain, LSLR, new source, WTP",Significantly Overburdened,11699,90,939,10985000,1466000,,,,,,,10514266,,,,470734
7671-01,Springfield,Calhoun,"Watermain, LSLR",Overburdened,5292,90,1349,7140000,75000,,3531750,,,,,3533250,,38250,36750,
7744-01,City of Escanaba,Delta,"Watermain, LSLR, tank",Significantly Overburdened,13659,90,1464,20000000,10509200,,,,,,,20000000,,,,
7588-01,Croswell,Sanilac,"Watermain, LSLR",Overburdened,2422,90,3055,7400000,840000,,3271600,,,,,3288400,,428400,411600,
7708-01,City of Ishpeming,Marquette,"Watermain, LSLR, looping, tank",Overburdened,6470,90,3085,19960200,170000,,9893400,,,,,9896800,,86700,83300,
7664-01,Reed City,Osceola,"Watermain, LSLR, well, tank, meters",Overburdened,2490,90,3996,9950000,2142000,,3882580,,,,,3925420,,1092420,1049580,
7600-01,City of Corunna,Shiawassee,"Water system, LSLR",Overburdened,3046,90,4859,14800000,720500,,7032545,,,,,7046955,,367455,353045,
7852-01,City of Marine City,St. Clair,"Watermain, LSLR, WTP, storage, intake",Overburdened,4652,90,5589,26000000,3276000,,11329240,,,,,11394760,,1670760,1605240,
7745-01,City of Bessemer,Gogebic,"Watermain, LSLR, tank",Overburdened,1900,90,5992,11385000,350000,,5514000,,,,,5521000,,178500,171500,
7856-01,Village of Capac,St. Clair,"Watermain, LSLR, wells, tank, WTP, meters",Overburdened,1983,90,6107,12110000,150000,,5978500,,,,,5981500,,76500,73500,
7806-01,City of Scottville,Mason,"Watermain, LSLR, tank",Significantly Overburdened,1356,90,6413,8696400,375000,,,,,,,8696400,,,,
7616-01,Bessemer Township,Gogebic,"Watermain, looping, LSLR",Overburdened,1176,90,6892,8105000,1742500,,3163825,,,,,3198675,,888675,853825,
7837-01,Standish Township*,Arenac,Watermain extension,Overburdened,600,90,10055,6033058,,,,,3016529,,,3016529,,,,
7703-01,City of Alma,Gratiot,"Watermain, LSLR, meters, tank",Overburdened,1233,90,15783,19460000,1040000,,1097639,,779291,,,9220400,,530400,509600,
7830-01,Hesperia,Newaygo,"Watermain, LSLR looping, meters, tank, well address PFOA",Significantly Overburdened,1024,90,23145,23700000,4845000,945000,,,,,945000,14680950,2000000,2470950,2374050,
7676-01,Pentwater,Oceana,"New well, tank, watermain, LSLR",Overburdened,891,88,5039,4490000,800000,,,,,,,1853000,,408000,392000,
7855-01,DWSD/GLWA,Wayne,"Watermain, LSLR",Significantly Overburdened,21188,85,781,16550000,2382164,,,,,,,13950000,,,,2600000
7820-01,Garden City,Wayne,"Watermain, looping, LSLR",Overburdened,9221,85,877,8085000,1187772,,,,,,,1460492,2000000,605764,582008,
7859-01,City of Vassar,Tuscola,"Watermain, looping, new well",Overburdened,2727,85,1412,3850000,10000,,,,,,,1925000,,,,
7864-01,DWSD/GLWA,Wayne,"Watermain, LSLR",Significantly Overburdened,10891,85,1608,17510000,2467668,,,,,,,17510000,,,,
7740-01,City of River Rouge,Wayne,"Watermain, LSLR, valves",Significantly Overburdened,7224,85,1800,13000000,7316670,,,,,,,13000000,,,,
7776-01,Albion,Ca houn,"Watermain, LSLR, tank, WTP",Overburdened,8380,85,2291,19200000,1045350,,,101539,,,,7131512,1854728,533129,512222,
7818-01,City of Kingsford,Dickinson,"Watermain, LSLR, pump station, well",Overburdened,5139,85,2612,13425000,4459000,,,,,,,4527590,,2274090,2184910,
7551-01,Republic,Marquette,LSLR,Overburdened,108,85,2778,300000,300000,,,,,,,3000,,151470,145530,
7798-01,Benton Charter Twp.,Berrien,"WTP, watermain looping, new tanks",Significantly Overburdened,6733,85,2965,19965000,1970000,,,,,,,19965000,,,,
7648-01,Marquette County - KI Sawyer,Marquette,"Watermain, LSLR, tank, meters, wellhouse",Overburdened,2863,85,2969,8500000,1000000,,,,,,,3760000,,510000,490000,
7518-01,White Cloud,Newa g,LSLR,Significantly Overburdened,1190,85,3416,4065000,4065000,,,,,,,4065000,,,,
7835-01,Breckenridge,Gratiot,"WTP, looping, meters",Overburdened,1339,85,3510,4700000,100000,,,,,,,2301000,,51000,49000,
7692-01,Village of Baldwin,Lake,"Watermain, LSLR, well house, tanks",Significantly Overburdened,971,85,3666,3560000,906000,,,,,,,3560000,,,,
7775-01,South Haven Area SWA,Van Buren,"Watermain, LSLR, tank, booster station",Overburdened,9133,85,4134,37755000,17120000,,,,,,,10488700,,8731200,8388800,
7732-01,Eastpointe,Macomb,"Watermain, LSLR",Overburdened,3500,85,5201,18205000,975000,,,,,,,8624750,,497250,477750,
7836-01,Beaverton,Gladwin,"Watermain, looping, wells, tower, SCADA",Significantly Overburdened,1071,85,9617,10300000,,,,,,,,6630057,,,,
7725-01,Sheridan,Montcalm,"Watermain, looping, Iron removal plant",Overburdened,692,85,11517,7970000,,,,,,,,,,,,
7817-01,Negaunee/Ishpeming Water Authority,Marquette,"Well, wellhouse",Overburdened,10767,80,173,1860000,,,,,,,,,,,,
7810-01,Kalamazoo,Kalamazoo,"Watermain, LSLR",Overburdened,144500,80,173,25000000,15397500,,,,,,,,,7852725,7544775,
7851-01,City of Dearborn Heights,yne,"Watermain, LSLR, meters",Overburdened,63292,80,541,34270000,13800000,,,,,,,,,7038000,6762000,
7667-01,Newaygo,Newa g,"Watermain, LSLR",Overburdened,2471,80,1170,2890000,1200000,,,,,,,,,612000,588000,
7829-01,City of Harper Woods,yne,"Watermain, LSLR",Overburdened,15178,80,1186,18000000,2250000,,,,,,,,,1147500,1102500,
7621-01,Quincy,Branch,"Watermain, LSLR",Overburdened,1600,80,1278,2045000,217404,,,,,,,,,110876,106528,
7758-01,City of Iron Mountain,Dickinson,"Watermain, LSLR",Overburdened,7462,80,1773,13230000,4576598,,,,,,,,,2334065,2242533,
7727-01,Belding,Ionia,"Watermain, LSLR",Overburdened,5938,80,2041,12120000,4900500,,,,,,,,,2499255,2401245,
7790-01,Imlay City,Lapee,"Watermain, LSLR",Overburdened,3703,80,2549,9440000,359400,,,,,,,,,,,
7668-01,Stephenson,Menominee,"Watermain, new well, tank",Overburdened,837,80,2688,2250000,,,,,,,,,,,,
7748-01,Royal Oak Twp.,Oakland,Watermain,Significantly Overburdened,2373,80,3456,8200000,,,,,,,,,,,,
7544-01,City of St. Ignace,Mackinac,"WTP, watermain, LSLR",Overburdened,2452,80,5275,12935000,30000,,,,,,,,,,,
7845-01,City of Brown City,Lapeer/Sanilac,"Watermain, LSLR, WTP, meters, looping",Overburdened,1300,80,5704,7415000,800000,,,,,,,,,,,
7777-01,Hartford,Van Buren,"Watermain, LSLR, tank",Significantly Overburdened,2080,80,5817,12100000,4488000,,,,,,,,,,,
7520-01,Eaton Rapids,Eaton,"Watermain, WTP, LSLR, looping",Overburdened,5340,80,6331,33810000,3250000,,,,,,,,,,,
7827-01,City of Gaastra,Iron,"Watermain, LSLR, booster station",Significantly Overburdened,312,80,6522,2035000,225000,,,,,,,,,,,
7646-01,Village of Newberry,Luce,"Watermain , LSLR, tank, well",Significantly Overburdened,1600,80,6563,10500000,5000000,,,,,,,,,,,
7801-01,Mt. Morris,Genesee,"Watermain, LSLR",Significantly Overburdened,3170,80,6820,21620000,1777000,,,,,,,,,,,
7808-01,City of Evart,Osceola,"Watermain, LSLR, well",Significantly Overburdened,1742,80,7277,12676000,3190000,,,,,,,,,,,
7843-01,Village of Maple Rapids,Clinton,"Watermain, looping, LSLR, well, booster station, tank",Overburdened,573,80,9075,5200000,1200000,,,,,,,,,,,
7619-01,Sturgis,St Joseph,"LSLR, watermain, looping",Overburdened,184,80,9755,1795000,693827,,,,,,,,,,,
7761-01,Bronson,Branch,"Watermain, LSLR",Significantly Overburdened,2345,80,10623,24910000,13271400,,,,,,,,,,,
7805-01,Village of Kaleva,Manistee,"Watermain, LSLR, chemical feed",Significantly Overburdened,507,80,20572,10430000,392000,,,,,,,,,,,
7834-01,Akron,Tuscola,"Watermain, looping, WTP",Overburdened,402,80,32836,13200000,,,,,,,,,,,,
7848-01,GLWA,Wayne,Transmission main meters,Significantly Overburdened,3900000,75,8,31350000,,,,,,,,,,,,
7785-01,Grand Rapids (System),Kent,"Watermain, regionalization, PFAS",,307815,75,60,18345000,,11263050,7081950,,,,11263050,,,,,
7773-01,City of Roseville,Macomb,"Watermain, LSLR",Overburdened,47710,75,148,7075000,6603888,,,,,,,,,,,
7747-01,City of Marquette,Marquette,Watermain,Overburdened,20629,75,183,3775000,,,,,,,,,,,,
7675-01,Niles,Berrien,"Meters, LSLR",Overburdened,14215,75,211,3000000,1300000,,,,,,,,,,,
7722-01,Flint,Genesee,Transmission main,Significantly Overburdened,81252,75,345,28000000,,,,,,,,,,,,
7757-01,"Gogebic Range Water
Authority",Gogebic,"Watermain, well pump, generator",Overburdened,3650,75,521,1900000,,,,,,,,,,,,
7781-01,Sunfield,Eaton,Well,Overburdened,680,75,735,500000,,,,,,,,,,,,
7654-01,Big Rapids,Mecosta,"Watermain, LSLR, booster station, looping, WTP",Significantly Overburdened,10601,75,763,8090000,1125000,,,,,,,,,,,
7641-01,Oscoda Township,Iosco,"Watermain, WTP, pumpstation, hydrants",Overburdened,6797,75,1017,6915000,,1673300,,,3457500,,1673300,1784200,,,,
7816-01,City of Gladstone,Delta,"Transmission main, intake, LSLR",Overburdened,5248,75,1511,7930000,57724,,,,,,,,,,,
7799-01,Stanton,Montcalm,"Watermain, LSLR",Overburdened,1348,75,2600,3505000,423200,,,,,,,,,,,
7742-01,City of Hudson,Len we,"Watermain, LSLR, tank",Overburdened,2415,75,3530,8525000,1923659,,,,,,,,,,,
7815-01,City of Crystal Falls,Iron,"Watermain, LSLR",Overburdened,1598,75,3808,6085000,2761295,,,,,,,,,,,
7680-01,Hart,Oceana,"Watermain, LSLR, wellhouse, looping",Overburdened,900,75,4200,3780000,897000,,,,,,,,,,,
7839-01,AuSable Township,Iosco,"Looping, meters, addressing PFAS",Overburdened,1200,75,4250,5100000,,4313400,,,786600,,4313400,,,,,
7857-01,City of Caspian,Iron,"Watermain, tank, PRV, booster station",Overburdened,805,75,4441,3575000,,,,,,,,,,,,
7861-01,Manton,Wexford,"Watermain, LSLR, storage",Significantly Overburdened,1258,75,5167,6500000,3815000,,,,,,,,,,,
7826-01,Village of Alpha,Iron,"Watermain, LSLR, wellhouse",Significantly Overburdened,129,75,6977,900000,228000,,,,,,,,,,,
7786-01,Roscommon,Roscommon,"Watermain, LSLR looping, well ,tower",Overburdened,981,75,9786,9600000,1500000,,,,,,,,,,,
7833-01,Lansing BWL,Ingham,"Watermain, well",Overburdened,215869,70,59,12800000,,,,,,,,,,,,
7659-01,Redford Twp.,yne,Watermain,Overburdened,49500,70,168,8300000,,,,,,,,,,,,
7679-01,Holland BPW,Ottawa,"LSLR, chemical storage",,59224,70,169,10000000,6000000,,,,,,,,,,,
7768-01,City of Mt. Pleasant,Isabella,"WTP, LSLR",,21094,70,621,13100000,350000,,,,,,,,,,,
7792-01,City of Iron River,Iron,"Watermain, PRV, storage tank",Overburdened,2796,70,646,1805000,,,,,,,,,,,,
7749-01,City of Bangor,Van Buren,"Watermain, LSLR",Overburdened,1997,70,701,1400000,270000,,,,,,,,,,,
7822-01,Adams Township,Hough on,"Transmission main, storage tank, WTP",Overburdened,9417,70,850,8000000,,,,,,,,,,,,
7770-01,City of Munising,Alger,LSLR,Overburdened,1973,70,1067,2105000,210500,,,,,,,,,,,
7694-01,Davison,Genesee,"WTP, storage tank, watermain",Overburdened,5092,70,1068,5440000,,,,,,,,,,,,
7681-01,Bay City,Bay,"LSLR, watermain",Overburdened,3 644,70,1225,41225000,23690000,,,,,,,,,,,
7783-01,Caro,Tuscola,"Watermain, LSLR",Overburdened,4323,70,1241,5365000,89700,,,,,,,,,,,
7850-01,City of Grosse Pointe,Wayne,"Watermain, looping, LSLR",Overburdened,5678,70,1321,7500000,5702500,,,,,,,,,,,
7821-01,City of Farmington,Oakland,"Watermain, PRV, LSLR, new meter",,11597,70,1363,15805000,202400,,,,,,,,,,,
7791-01,Gladwin,Gladwin,"Watermain, LSLR",Significantly Overburdened,3069,70,1492,4580000,167170,,,,,,,,,,,
7793-01,McMillan Twp.,Ontonagon,"Well, treatment, storage tank",Overburdened,486,70,1872,910000,,,,,,,,,,,,
7665-01,Vermontville,Eaton,"New well, watermain, looping",Overburdened,716,70,1955,1400000,,,,,,,,,,,,
7764-01,Hastings,Barry,"Watermain, LSLR",Overburdened,7350,70,2280,16760000,1376331,,,,,,,,,,,
7795-01,City of Manistique,Schoolcraft,"Watermain, transmission main, LSLR, meters",,2814,70,2390,6725000,3115809,,,,,,,,,,,
7771-01,City of Sault Ste. Marie,Chippewa,"Watermain, LSLR, intake",Overburdened,13410,70,2595,34800000,1260400,,,,,,,,,,,
,Benton Harbor,Berrien,"Watermain, WTP",Significantly Overburdened,9100,70,3108,28280000,,,,,,,,,,,,
7778-01,Marcellus,Cass,"WTP, watermain, meters",Significantly Overburdened,1198,70,3460,4145000,,,,,,,,,,,,
7824-01,Osceola Twp.,Hough on,"Watermain, LSLR, tank, wellhouse, well pump",Overburdened,1553,70,3535,5490000,2065000,,,,,,,,,,,
7706-01,Schoolcraft,Kalamazoo,"Watermain, LSLR, well",,1454,70,6235,9065000,3002500,,,,,,,,,,,
7711-01,Benzonia,Benzie,"Watermain, LSLR, chemical feed, SCADA",,551,70,7350,4050000,2121000,,,,,,,,,,,
7831-01,Edmore,Montcalm,"Watermain, LSLR, tank, well",Overburdened,1210,70,7934,9600000,5000000,,,,,,,,,,,
7674-01,Pinconning,Bay,"Watermain, LSLR",Overburdened,1307,70,8083,10565000,3250000,,,,,,,,,,,
7754-01,Village of Hillman,Montmorency,"Watermain, tank, well",Significantly Overburdened,679,70,10199,6925000,,,,,,,,,,,,
7645-01,City of Pleasant Ridge,Oakland,"Watermain, LSLR",,2627,70,10327,27130000,7345000,,,,,,,,,,,
7683-01,Albee,Saginaw,distribution system expansion,Overburdened,365,70,14151,5165000,,,,,,,,,,,,
7797-01,Iron River Twp.,Iron,"Watermain, valves, storage tank",Overburdened,1160,70,17797,20645000,,,,,,,,,,,,
7746-01,Houghton Twp.,Keweenaw,"Watermain, service lines, reservoir, pump house",Overburdened,359,70,18663,6700000,,,,,,,,,,,,
7762-01,Saugatuck,Allegan,"Watermain, LSLR, looping, storage tank",,865,70,19110,16530000,5111000,,,,,,,,,,,
7554-01,City of Southgate,Wayne,LSLR,,30047,65,19,570000,570000,,,,,,,,,,,
7454-01,City of Livonia,Wayne,"Watermain, LSLR",,95540,65,72,6855000,150000,,,,,,,,,,,
7647-01,City of Trenton,Wayne,"Watermain , LSLR",,18544,65,295,5475000,288000,,,,,,,,,,,
7678-01,Flat Rock,Wayne,Watermain,Overburdened,10541,65,453,4775000,,,,,,,,,,,,
7823-01,City of Houghton,Houghton,"Watermain, LSLR, tank, booster station, PRV",Significantly Overburdened,7708,65,519,4000000,60000,,,,,,,,,,,
7588-01,Carsonville,Sanilac,"New well, well house",Significantly Overburdened,2422,65,1107,2680000,,,,,,,,,,,,
7760-01,Village of Milford,Oakland,"Watermain, LSLR, transmission main",,6366,65,1116,7105000,708400,,,,,,,,,,,
7494-01,Grosse Pointe Park,Wayne,"Watermain, LSLR",,11595,65,1169,13560000,2400000,,,,,,,,,,,
7853-01,Village of Almont,Lapeer,"Watermain, looping, LSLR, tower, mixing system",,2674,65,1309,3500000,100000,,,,,,,,,,,
7813-01,Village of Holly,Oakland,"Watermain, LSLR, WTP",Overburdened,5997,65,1718,10305000,1160000,,,,,,,,,,,
7812-01,Three Rivers,St Joseph,"Watermain, a LSLR",Overburdened,7811,65,1867,14585000,2772000,,,,,,,,,,,
7787-01,Beecher,Genesee,"Watermain, looping, SCADA, WTP",Overburdened,8717,65,2285,19915000,,,,,,,,,,,,
7661-01,Charter Township of Alpena,Alpena,"Watermain, service line, tank",Overburdened,5839,65,3435,20055000,,,,,,,,,,,,
7796-01,Ontonagon,Ontonagon,"Transmission main, tank",Overburdened,2174,65,4041,8785000,,,,,,,,,,,,
7803-01,City of Onaway,Presque Isle,"Watermain, LSLR, tower",Significantly Overburdened,890,65,4775,4250000,,,,,,,,,,,,
7789-01,Rose City,Ogemaw,"Watermain, looping, WTP, tank",Significantly Overburdened,180,65,41333,7440000,,,,,,,,,,,,
7723-01,Mackinac Island,Mackinac,"Watermain, WTP",Overburdened,492,65,62368,30685000,,,,,,,,,,,,
