Project #,Applicant Name,Project Name,Project Description Attachment,Project Description,City/Town,County,"Justice 40MapCoverage",Population,"DisadvantagedScore","PriorityRankingPoints","DW SRFAmountGranted","DW SRFAmount ofPF","DW SRF %PF","Applied forProject Amount",Fund
FS010153-06,Huntsville Utilities (2024 SUPP),Huntsville Utilities – Water System Improvements 2024,"The Huntsville Utilities Improvements Phase 2 consists of projects in two areas. The North Base
Water Supply Improvement projects will increase the water supply available to the North Base
Pressure Zone of the distribution system and address issues of water supply, water distribution,
lack of redundancies, aging infrastructure, and preparation for possible PFAS regulations. Much
of the North Base area falls within Justice 40 disadvantaged areas and such areas will directly
benefit from the proposed improvements. The proposed improvements to the western region of
Huntsville Utilities’ water service area address issues of water supply and transmission, water
distribution, and lack of redundancies.","Water System Improvents(2024)",Huntsville,Madison,N/A,"210,081",0.00,SUPP,"$7,500,000.00",$0.00,0%,"$7,500,000.00",DWSRF
FS010096-10,"Mobile, AL (MAWSS), Board ofWater and SewerCommissioners of the City of**","Mobile, Board of Water and Sewer Commissioners (MAWSS) – Master Plan Phase I","The Mobile Board of Water and Sewer Commissioners (MAWSS) proposes
improvements to Stickney WTP which include installation of VFD and actuator pumps, improvements to
Operations Building, HVAC improvements to blower and sludge pump buildings, replacement of six (6)
MCCs, new emergency generator, new main electrical and generator building, repairs and renovations
to reservoirs, new finished water line to clearwells, new laboratory, security upgrades, new flammable
storage building, and sludge removal; solids handling and SCADA improvements at Myers WTP; DC to
AC conversion study and emergency by-pass connection at Big Creek Pump Station; development of
SCADA change management processes and procedures; design and implementation support of Wide
Area Network (WAN) SCADA; development of updated radio telemetry; cybersecurity program design:
structural, mechanical, and electrical upgrades to various booster pump stations; and implementation
of permanent spill isolation and contamination prevention BMPS at Big Creek Lake. These
improvements will insure continued provision of safe drinking water to all service area customers.",Master Plan Phase I SUPP,Mobile,Mobile,N/A,"187,445",0.00,SUPP,"$8,935,000.00",$0.00,0%,"$8,935,000.00",DWSRF
FS010096-12,"Mobile, AL (MAWSS), Board ofWater and Sewer Commissionersof the City of","Mobile, Board of Water and Sewer Commissioners (MAWSS) – Causeway Water Main
Replacement","Mobile Board of Water & Sewer Commissioners proposes the emergency replacement and/or
rehabilitation of various existing sections of the Causeway Water Main to the Spanish Fort Water System
which are experiencing significant water loss. Proposed improvements will include replacing or
rehabilitating more than 9,300 LF of 20-inch HDPE main. As MAWSS currently supplies 70% of Spanish
Fort’s total water supply, these repairs are immediately and urgently needed to eliminate existing water
loss.",Causeway Water Main SUPP,Mobile,Mobile,N/A,"187,445",0.00,SUPP,"$1,700,000.00",$0.00,0%,"$1,700,000.00",DWSRF
FS010096-11,"Mobile, AL (MAWSS), Board ofWater and Sewer Commissionersof the City of","Mobile, Board of Water and Sewer Commissioners (MAWSS) - Master Plan SRF Water Project
Phase II","The Mobile Board of Water and Sewer Commissioners (MAWSS) proposes improvements to
Stickney WTP which include installation of VFD and actuator pumps, improvements to Operations
Building, HVAC improvements to blower and sludge pump buildings, replacement of six (6) MCCs,
new emergency generator, new main electrical and generator building, repairs and renovations to
reservoirs, new finished water line to clearwells, new laboratory, security upgrades, new flammable
storage building, and sludge removal; solids handling and SCADA improvements at Myers WTP; DC
to AC conversion study and emergency by-pass connection at Big Creek Pump Station;
development of SCADA change management processes and procedures; design and
implementation support of Wide Area Network (WAN) SCADA; development of updated radio
telemetry; cybersecurity program design: structural, mechanical, and electrical upgrades to
various booster pump stations; and implementation of permanent spill isolation and
contamination prevention BMPS at Big Creek Lake. These improvements will ensure continued
provision of safe drinking water to all service area customers.",Master Plan Phase II SUPP,Mobile,Mobile,N/A,"187,445",0.00,SUPP,"$12,483,768.00",$0.00,0%,"$21,848,988.00",DWSRF
FS010488-02,"Harpersville, Town of","Harpersville, Town of – Waterline Replacement","The Town of Harpersville proposes to replace the existing asbestos cement water line. The
proposed project will increase water quality and reliability for all customers throughout the system.","Harpersville WaterlineReplacement Project 2024",Harpersville,Shelby,Yes,"1,589",2.65,305,"$2,310,000.00","$577,500.00",25%,"$5,265,000.00",DWSRF/BIL LSL
FS010230-06,North Marshall Utilities Board,North Marshall Utilities Board – Water System Improvements,"The proposed project will install a new raw water intake at Honeycomb treatment plant, install a
new Highway 79 storage tank, replace the Mountainside pump station and water lines throughout
the system, and replace the high service pumps at the water treatment plant. The project will
increase water quality and pressure, reduce water loss, and increase reliability for all customers.","Water System Improvements -2024",Grant,Marshall,Yes,"1,524",3.16,240,"$2,500,000.00",$0.00,0%,"$20,227,650.00",DWSRF
FS010133-05,Warrior River Authority,Warrior River Authority – WTP Improvements,"The Warrior River Water Authority proposes to increase the water treatment plant capacity to
provide better redundancy for the loss of a groundwater source. The proposed project would
increase system redundancy and resiliency for all customers.",#1 of 4 WTP Improvements,Bessemer,Jefferson,N/A,"26,171",0.99,220,"$2,375,000.00",$0.00,0%,"$9,500,000.00",DWSRF
FS010522-05,"York, City of","York, City of – Water System Infrastructure Improvements","The City of York proposes to replace approximately 20,000 linear feet of cast iron water mains,
install a booster pump station, rehabilitate the two (2) deep finished well water sources, and install
SCADA. The proposed project would improve water quality and reliability for all customers
throughout the system.","Proposed York Water SystemInfrastructure Project",York,Sumter,Yes,"2,371",3.62,215,"$1,124,000.00","$1,124,000.00",100%,"$2,248,000.00",DWSRF
FS010200-04,"Ashville, City of","Ashville, City of – Water System Improvements","The City of Ashville proposes to upgrade the water treatment plant by increasing treatment
capacity, adding a pressure sand filter, chlorination and new pumps. The new pumps will be added
to an existing SCADA system for 24-7 monitoring. The proposed work includes the replacement of
3,300 LF of 4” water line along U.S. Highway 231 with a new 6” PVC water line. This will provide a
complete loop of 6” water lines along U.S. Highway 231, U.S. Highway 11, and Dietrich Road. This
removes the hydraulic restriction with the 4” pipe and allows customers in the area to be fed from
two directions to increase pressure and flow. A new booster pump station will be placed on U.S.
231 to boost pressure toward the interstate. The project will restore customer pressures along the
U.S. Highway 431 corridor north of Interstate 59.",Water System Improvements,Ashville,St. Clair,Yes,"2,096",2.60,185,"$1,853,785.00",$0.00,0%,"$3,707,570.00",DWSRF
FS010530-02,Clayton WW&SB,Clayton Water and Sewer Board – Water Supply Well,"The Clayton Water and Sewer Board proposes to construct a new water supply well and mains to
connect the existing system. The Town’s current well is experiencing low capacity and reduced
water quality. The purpose of the project is to improve water quality and reliability for the existing
customers.",Water Supply Well,Clayton,Barbour,N/A,"2,512",2.06,180,"$1,230,000.00",$0.00,0%,"$2,460,000.00",DWSRF
