Project #,Applicant Name,Project Description,City/Town,County,"Justice 40 Map Coverage",Population,"Disadvantaged Score","Priority Ranking Points","DW SRF Amount Granted","DW SRF Amount of PF","DW SRF % PF","Applied for Project Amount",Fund,Attachment Applicant,Attachment Project Title,Attachment Project Description
FS010153-06,Huntsville Utilities (2024 SUPP),"Water System Improvents
(2024)",Huntsville,Madison,N/A,"210,081",0,SUPP,"$7,500,000",$0,0%,"$7,500,000",DWSRF,Huntsville Utilities,2024 Supplemental,"Install mains, rehab 2 WTPs, build storage tank; improve system redundancy and coverage."
FS010096-10,"Mobile, AL (MAWSS), Board of
Water and Sewer
Commissioners of the City of**",Master Plan Phase I SUPP,Mobile,Mobile,N/A,"187,445",0,SUPP,"$8,935,000",$0,0%,"$8,935,000",DWSRF,Mobile MAWSS,Master Plan Phase I,"Upgrade Stickney and Myers WTPs, add SCADA, cybersecurity, and lake protection."
FS010096-12,"Mobile, AL (MAWSS), Board of
Water and Sewer Commissioners
of the City of",Causeway Water Main SUPP,Mobile,Mobile,N/A,"187,445",0,SUPP,"$1,700,000",$0,0%,"$1,700,000",DWSRF,Mobile MAWSS,Causeway Water Main Replacement,"Replace 9,300+ LF of 20” HDPE main supplying Spanish Fort to stop major water loss."
FS010096-11,"Mobile, AL (MAWSS), Board of
Water and Sewer Commissioners
of the City of",Master Plan Phase II SUPP,Mobile,Mobile,N/A,"187,445",0,SUPP,"$12,483,768",$0,0%,"$21,848,988",DWSRF,Mobile MAWSS,Master Plan Phase II,"Same as Phase I: WTP upgrades, SCADA, cybersecurity, lake BMPs."
FS010488-02,"Harpersville, Town of","Harpersville Waterline
Replacement Project 2024",Harpersville,Shelby,Yes,"1,589",2.65,305,"$2,310,000","$577,500",25%,"$5,265,000",DWSRF/BIL LSL,"Harpersville, Town of",Waterline Replacement,Replace asbestos cement lines to improve water quality and reliability.
FS010230-06,North Marshall Utilities Board,"Water System Improvements -
2024",Grant,Marshall,Yes,"1,524",3.16,240,"$2,500,000",$0,0%,"$20,227,650",DWSRF,North Marshall Utilities Board,Water System Improvements,"Install new intake, tank, pump stations, and lines; improve pressure and reliability."
FS010133-05,Warrior River Authority,#1 of 4 WTP Improvements,Bessemer,Jefferson,N/A,"26,171",0.99,220,"$2,375,000",$0,0%,"$9,500,000",DWSRF,Warrior River Authority,WTP Improvements,Increase WTP capacity to offset lost groundwater source and boost resiliency.
FS010522-05,"York, City of","Proposed York Water System
Infrastructure Project",York,Sumter,Yes,"2,371",3.62,215,"$1,124,000","$1,124,000",100%,"$2,248,000",DWSRF,"York, City of",Water Infrastructure Improvements,"Replace 20,000 LF of mains, install booster pump, rehab wells, add SCADA."
FS010200-04,"Ashville, City of",Water System Improvements,Ashville,St. Clair,Yes,"2,096",2.6,185,"$1,853,785",$0,0%,"$3,707,570",DWSRF,"Ashville, City of",Water System Improvements,"Upgrade WTP capacity, add sand filter, chlorination, pumps, SCADA; replace 4” line with 6” PVC and add booster station."
FS010530-02,Clayton WW&SB,Water Supply Well,Clayton,Barbour,N/A,"2,512",2.06,180,"$1,230,000",$0,0%,"$2,460,000",DWSRF,Clayton Water and Sewer Board,Water Supply Well,Construct new well and mains to replace failing well and improve quality.
