,Community,Affordability Score,2020 Pop.,Total Project Cost,Potential Principal Forgiveness,Estimated Start,Estimated Completion,Est. Interest Rate,Est. Terms,Project Description
1,City of Andersonville*,37,386,"$2,650",Primary,10/1/2023,4/30/2023,2.63%,20,Complete a lead service line inventory to determine need for replacement.
2,City of Arlington *,37,"1,209","$85,100",Primary,9/1/2023,9/30/2024,2.63%,20,"Project will create service line inventory to comply with new LCR rules. Inventory development will include field investigations to review line materials, researching year of install and review of plans to identify material type. Collected information will be incorporated in a GIS database. A service line replacement plan will also be developed to comply with new LCR rules."
3,City of Sparta *,37,"1,357","$71,900",Primary,8/16/2023,8/16/2024,2.63%,20,Inventory of customer water service lines on the Sparta system. The system has 1300 water customers. There are numerous known service lines installed prior to 1990.
4,City of Tennille*,37,"1,469","$133,900",Primary,6/1/2023,6/1/2024,2.63%,20,Investigation for lead/copper lines within the City. Replacement of lead service lines if found.
5,City of Pineview,36,454,"$66,100",,6/1/2023,10/16/2024,2.63%,20,"The City of Pineview is in need of funding for its Lead Service Line Inventory project. The City has a limited staff (1 part-time utility personnel) and is unable to complete the required inventory and other planning portions of the new LCRR on its own. The City is requesting $66,100 to cover the costs associated with the project including: development of the service line inventory and replacement capital improvement plan by a contracted consultant, field investigation services for identification of lead service lines by a contractor that will be incorporated into the service line inventory, an initial supply of filter pitchers for a pitcher filter program, an initial supply of tap sampling kits for a random lead sampling and monitoring program, and printing and postage costs for initial notification and public education materials as part of a community outreach and communication program. The City will begin the development of the Service Line Inventory immediately upon notification of grant approval. All work will be completed and submitted to EPD no later than October 16, 2024."
7,City of Ashburn*,35,"4,291","$82,300",Primary,6/1/2023,10/16/2024,2.63%,20,"The City of Ashburn is in need of funding for its Lead Service Line Inventory project. The City has a limited staff and is unable to complete the required inventory and other planning portions of the new LCRR on its own. The City is requesting $275,300 to cover the costs associated with the project including: development of the service line inventory and replacement capital improvement plan by a contracted consultant, field investigation services for identification of lead service lines by a contractor that will be incorporated into the service line inventory, an initial supply of filter pitchers for a pitcher filter program, an initial supply of tap sampling kits for a random lead sampling and monitoring program, and printing and postage costs for initial notification and public education materials as part of a community outreach and communication program. The City will begin the development of the Service Line Inventory immediately upon notification of grant approval. All work will be completed and submitted to EPD no later than October 16, 2024."
8,City of Colquitt*,35,"2,001","$83,798",Primary,5/1/2023,10/16/2024,2.63%,20,"The City of Colquitt is in need of funding for its Lead Service Line Inventory project. The City has a limited staff and is unable to complete the required inventory and other planning portions of the new LCRR on its own. The City is requesting $173,798.00 to cover the costs associated with the project including: development of the service line inventory and replacement capital improvement plan by a contracted consultant, field investigation services for identification of lead service lines by a contractor that will be incorporated into the service line inventory, an initial supply of filter pitchers for a pitcher filter program, an initial supply of tap sampling kits for a random lead sampling and monitoring program, and printing and postage costs for initial notification and public education materials as part of a community outreach and communication program. The City will begin the development of the Service Line Inventory immediately upon notification of grant approval. All work will be completed and submi(cid:425)ed to EPD no later than October 16, 2024."
9,City of Homerville*,35,"3,210","$16,500",Primary,-,-,2.63%,20,"Lead and Copper Rule Inventory and data collection plans, management programs, and line replacement capital improvement plan."
10,City of Summerville*,35,"4,400","$205,000",Primary,2/1/2023,10/1/2024,2.63%,20,"Develop all aspects of the lead service line inventory to meet EPD requirements. Project will involve methods including, but not limited to, desktop surveys, historical records research, field investigations of service materials, mapping, equipment, public notifications, point of use devices, representative sampling, and any other miscellaneous tasks required to complete and submit the inventory."
11,City of Wadley*,35,"1,643","$101,190",Primary,6/1/2023,6/1/2024,2.63%,20,Investigation for lead/copper lines within the City. Replacement of lead service lines if found.
15,City of Adrian*,34,552,"$479,500",Primary,1/1/2025,12/31/2026,2.63%,20,The City of Adrian is seeking funding to replace lead water lines and pipes according to EPA guidelines and so the quality of water is safer for our citizens.
16,City of Blakely *,34,"5,371","$118,915",Primary,5/1/2023,10/16/2024,2.63%,20,"The City of Blakely is in need of funding for its Lead Service Line Inventory project. The City has a limited staff and is unable to complete the required inventory and other planning portions of the new LCRR on its own. The City is requesting $319,915.00 to cover the costs associated with the project including: development of the service line inventory and replacement capital improvement plan by a contracted consultant, field investigation services for identification of lead service lines by a contractor that will be incorporated into the service line inventory, an initial supply of filter pitchers for a pitcher filter program, an initial supply of tap sampling kits for a random lead sampling and monitoring program, and printing and postage costs for initial notification and public education materials as part of a community outreach and communication program. The City will begin the development of the Service Line Inventory immediately upon notification of grant approval. All work will be completed and submi(cid:425)ed to EPD no later than October 16, 2024."
19,City of Doerun*,34,738,"$83,476",Primary,5/1/2023,10/16/2024,2.63%,20,"The City of Doerun is in need of funding for its Lead Service Line Inventory project. The City has a limited staff and is unable to complete the required inventory and other planning portions of the new LCRR on its own. The City is requesting $110,976.00 to cover the costs associated with the project including: development of the service line inventory and replacement capital improvement plan by a contracted consultant, field investigation services for identification of lead service lines by a contractor that will be incorporated into the service line inventory, an initial supply of filter pitchers for a pitcher filter program, an initial supply of tap sampling kits for a random lead sampling and monitoring program, and printing and postage costs for initial notification and public education materials as part of a community outreach and communication program. The City will begin the development of the Service Line Inventory immediately upon notification of grant approval. All work will be completed and submi(cid:425)ed to EPD no later than October 16, 2024."
20,City of Ideal*,34,496,"$11,500",Primary,11/1/2023,11/1/2024,2.63%,20,Lead Service Line Inventory funding is requested.
22,City of Nahunta*,34,"1,004","$118,980",Primary,1/3/2024,7/15/2024,2.63%,20,"This project will involve creating a complete service line inventory. The project will include review of existing plans and documentation for recorded data, as well as field investigations for unrecorded data. The end result will be a complete inventory of all service lines that will be submitted to GA EPD before the regulatory deadline. Part of this phase (after inventory) will include mapping of service lines that need replacing in preparation for future phases."
23,City of Reynolds*,34,941,"$100,415",Primary,7/1/2023,11/1/2024,2.63%,20,"The City of Reynolds is in need of funding for its Lead Service Line Inventory project for its water system serving approximately 570 customers. The City has a limited staff and is unable to complete the required inventory and other planning portions of the new LCRR on its own. The City is requesting $135,415.00 to cover the costs associated with the project including: development of the service line inventory and replacement capital improvement plan by a contracted consultant, field investigation services for identification of lead service lines by a contractor that will be incorporated into the service line inventory, an initial supply of filter pitchers for a pitcher filter program, an initial supply of tap sampling kits for a random lead sampling and monitoring program, and printing and postage costs for initial notification and public education materials as part of a community outreach and communication program. The City will begin the development of the Service Line Inventory immediately upon notification of grant approval. All work will be completed and submitted to EPD no later than October 16, 2024."
25,City of Sparks*,34,"2,031","$25,550",Primary,4/13/2023,,2.63%,20,Lead service line inventory and replacement
29,City of Moultrie*,34,"14,621","$124,000",Primary,9/1/2023,10/1/2024,2.63%,20,"Project will create service line inventory to comply with new LCR rules. Inventory development will include field investigations to review line materials, researching year of install and review of plans to identify material type. Collected information will be incorporated in a GIS database. A service line replacement plan will also be developed to comply with new LCR rules."
30,Fort Valley Utility Commission,34,"9,030","$200,000",,6/5/2023,10/1/2024,2.63%,20,"The Ft. Valley Utility Commission is seeking funding assistance to develop a complete lead & copper service line inventory program that will comply with EPA’s Lead & Copper Rule Revisions (LCRR) by the October 16, 2024 deadline. This program will include the inventory of existing service lines utilizing methodologies currently accepted by EPA/EPD to determine material type for 4,784 potable water service lines, including both system- and customer-owned sides. Additionally, the program will include submitting the Lead Service Line Replacement (LSLR) Plan to EPA/EPD by the LCRR deadline, planning for public education and outreach, and developing an economical strategy for performing and optimizing sampling and LSLR procedures, including funding strategies for disadvantaged communities."
