Project.Number,County,System.Name,Borrower,Description,Pop,Project.Cost,Score,Cumulative.Total,Code
18660,Ulster,ELLENVILLE (VILLAGE) WATER DIS,Ellenville (V),"Phase 2 of #15003 - New Well - replace GWUDI wells &
other Improvements, New Ground Water Source, 
Upgrade Storage, Upgrade Distribution System","4,323","$2,800,000",H,"$2,800,000",
18700,Ulster,ROSENDALE WATER DISTRICT,Rosendale (T),"Phase 2 of project 18111. Cost overrun., Upgrade 
Surface Water Treatment Rule Compliance Facility, New
Ground Water Source, Upgrade Storage, Upgrade 
Distribution System","2,200","$2,070,000",H,"$4,870,000",
17163,Essex,TICONDEROGA WD,Ticonderoga (T),"New Surface Water Treatment Rule Compliance Facility,
Upgrade Water Treatment Plant, New Ground Water 
Source, New Storage, Upgrade Distribution System","5,000",$0,H,"$4,870,000",
18061,Franklin,TUPPER LAKE V,Tupper Lake (V),"New wells to replace SW source and inadequate DE 
plant., New Ground Water Source, Upgrade Distribution
System","5,500",$0,H,"$4,870,000",
18381,Erie,LAWTONS WATER CO,North Collins (T),"Aquisit'n of private PWS & improvements for SWTR & 
Nitrate issues, New Surface Water Treatment Rule 
Compliance Facility, Upgrade Distribution System, New 
Inter-Connection",95,$0,H,"$4,870,000",
17560,Sullivan,THE CALLICOON WATER COMPANY INC,Delaware (T),"Upgrade Water Treatment Plant, Upgrade Ground Water
Source",854,$0,H,"$4,870,000",
18520,Chautauqua,MAYVILLE VILLAGE,Mayville (V),"New Source Development, Storage and Distribution 
Upgrades., Upgrade Other Expenses, New Ground 
Water Source, New Storage, Upgrade Distribution 
System, Upgrade Other (OT)","1,856","$500,000",H,"$5,370,000",
17629,Essex,ESSEX WD,Essex (T),"WTP Upgrades and New GW Source., Upgrade Water 
Treatment Plant, New Ground Water Source",300,$0,H,"$5,370,000",
18528,Jefferson,PAMELIA WATER SYSTEM PROJECT,Pamelia (T),"Water system improvements and expansion., Upgrade 
Storage, Upgrade Distribution System, New 
Inter-Connection, Extend System Consolidation","2,000","$2,750,000",H,"$8,120,000",
17504,Schoharie,CENTRAL BRIDGE WATER DISTRICT,Central Bridge WD,"Upgrade water treatment plant for DBP control and 
organics removal., Upgrade Water Treatment Plant, 
Upgrade Distribution System","1,061",$0,H,"$8,120,000",
18824,Allegany,HUME WATER DISTRICT,Hume (T),"Sanford Springs Consolidation and System Upgrades., 
Extend Distribution System, Upgrade Distribution 
System, New System Consolidation",620,"$600,000",H,"$8,720,000",
18038,Saratoga,MECHANICVILLE CITY,Mechanicville (C),"Interconnection to Saratoga County WA. Phase 1A 
improvements. Alternative to Project 17742., New 
Transmission, Upgrade Storage, Upgrade Distribution 
System, New Inter-Connection","5,100",$0,H,"$8,720,000",
18596,Oneida,RT. 365/SCONONDOA/SNYDERRD WD (SWP),Verona (T),"Extension of water distribution system, new pump 
station and storage tank, and rehab to existing storage 
tank., Upgrade Storage, New Storage, New Pump 
Station, Extend Distribution System","1,795",$0,H,"$8,720,000",
18275,Essex,KEESEVILLE V,Chesterfield (T),"WTP, storage, and distribution improvements., Upgrade
Water Treatment Plant, Upgrade Storage, Upgrade 
Distribution System","2,300",$0,H,"$8,720,000",
15958,Greene,PRATTSVILLE WATER DISTRICT,Prattsville (T),"Adress organics violations and inadequate source 
capacity, New Ground Water Source",410,$0,H,"$8,720,000",
18348,Delaware,ROXBURY WATER DISTRICT,Roxbury (T),"Roxbury and Grand Gorge Joint project. , New Surface 
Water Treatment Rule Compliance Facility, Upgrade 
Ground Water Source, Upgrade Distribution System",755,$0,H,"$8,720,000",
18721,Onondaga,JORDAN VILLAGE,Jordan (V),"Village's share of Elbridge (V) / Elbridge (T) / Jordan (V) 
Joint Water System Upgrades. Related to Project Nos. 
18719 &18720., Upgrade Storage, Upgrade Distribution
System, New System Consolidation","1,400",$0,H,"$8,720,000",
18826,Chautauqua,SINCLAIRVILLE VILLAGE,Sinclairville (V),"Phase 2 of Project #18105., Upgrade Ground Water 
Source, Upgrade Transmission, Extend Distribution 
System",772,$0,H,"$8,720,000",
18418,Jefferson,PHILADELPHIA VILLAGE,Philadelphia (V),"Upgrade Surface Water Source, New Storage, New 
Pump Station","1,800",$0,H,"$8,720,000",
18338,Delaware,SIDNEY VILLAGE,Sidney (V),"New Ground Water Supply and WTP to Replace 
Existing Inadequate Wells., Upgrade Ground Water 
Source, Extend Distribution System, Upgrade 
Distribution System","5,100",$0,H,"$8,720,000",
17987,Otsego,SOUTHSIDE WATER DISTRICT NO. 6,Oneonta (T),"Southside Water District No. 6., New Ground Water 
Source, New Complete System (New System), New 
Storage, New Distribution System, New Water District","1,569",$0,H,"$8,720,000",
18184,Essex,CROWN POINT WD,CrownPoint (T),"Rehab and upgrades to contaminated wells and 
replacing mains with severe break history., Upgrade 
Water Treatment Plant, New Ground Water Source, 
Upgrade Distribution System",995,$0,H,"$8,720,000",
18358,Allegany,ANDOVER VILLAGE PUBLIC WATER,Andover (V),"Source (GWUDI Springs), Distribution, & Storage 
Improvements., New Water Treatment Plant, Upgrade 
Transmission, Upgrade Distribution System, New 
System Consolidation","1,130","$2,547,345",H,"$11,267,345",
18562,Herkimer,ILION (V) WATER WORKS,Ilion (V),"Dedicated Well Transmission Main and High Priority 
Distribution Improvements., Upgrade Ground Water 
Source, New Transmission, Upgrade Storage, Upgrade 
Distribution System","8,610",$0,H,"$11,267,345",
17976,Otsego,SOUTHSIDE WATER DISTRICT NO. 5,Oneonta (T),"Southside Water District No. 5. , New Ground Water 
Source, New Complete System (New System), New 
Storage, New Distribution System, New Water District","1,570",$0,H,"$11,267,345",
17668,Steuben,HORNELL CITY,Hornell (C),"Upgrade Water Treatment Plant, Upgrade Ground Water
Source, Upgrade Storage","9,019",$0,H,"$11,267,345",
