IUP No.,Project Name,B/C Date # Actual ^ Estimated,Term (in years),Interest Rate,Additional  Subsidy,Disadvantaged Community,,Green Project Reserve,
,,,,,Principal  Forgiveness  Amt,Disadvantaged  eligible (Y/N),Disadvantaged Funds,Green Project  Reserve Amt (estimate),GPR Category (estimate)
1,Benton County Wa ter Authori ty #4,Jun-23,20,1.75%,$0,NO,**   $0,,$0 N/A
4,Centra l  Arka ns a s  Wa ter (CAW) Wes t Pul a s ki,Jun-23,30,2.25%,$0,NO,**   $0,,$0 N/A
4,Centra l  Arka ns a s  Wa ter (CAW) Wes t Pul a s ki,Jun-23,30,2.25%,"$2,200,000",NO,**   $0,,$0 N/A
4,Centra l  Arka ns a s  Wa ter  (CAW) Wes t Pul a s ki  - Servi ce Li ne Progra m,Jun-23,n/a,n/a,"$1,200,000",NO,**   $0,,$0 N/A
21,Centra l  Arka ns a s  Wa ter a s  the recei ver for  Ci ty of Perl a  - Meters,Ja n-23,10,1.00%,$0,YES,**   $0,,$0 N/A
43,Duma s (Pi ckens ),Ja n-23,20,1.75%,$0,YES,**   $0,,$0 N/A
74,Ea s t End Improvement Di s tri ct #1,Sep-22,20,1.75%,$0,YES,**   $0,,$0 N/A
39,Eudora,Dec-22,20,,,YES,"**   $1,630,211",,"$1,630,211 Wa ter Effi ci ency"
39,Eudora,Dec-23,20,,,YES,**   $0,,"$543,404 Wa ter Effi ci ency"
75,Monti cel l o,Jun-23,30,,,YES,**   $0,,$0 N/A
3,Mena  (Irons  Fork),Dec-22,30,,,YES,**   $0,,$0 N/A
7,SE Bra dl ey County,Jun-23,n/a,,,YES,"**   $505,323",,"$505,323 Energy Effi ci ency"
51,Strong,Nov-22,20,,,YES,**   $0,,$0 N/A
51,Strong,Nov-22,20,Draft,,YES,"**   $148,640",,$0 N/A
0,Rock-Moore Publ i c Wa ter,Jun-23,20,,,YES,**   $0,,$0 N/A
,Total Cost,,,,,"$2,284,174",,"$2,678,938",
,Total Count,,,,,3,,3,
