Base,PRIORITY POINTS,SYSTEM,LOAN AMOUNT,CUMULATIVE AMOUNT,POPULATION,"Severly Disadvantged, Disadvantged, or No",PROJECT DESCRIPTION,Anticipated Binding Commitment Date,Anticipated Construction Date,Project Number
Base,940,Cleveland MA,"$100,000.00 ","$100,000.00 ","4,870",S,Installation of an aeration system and mixing system in the  primary elevated water storage tanks and automated flushing hydrants.,11/1/2022,1/1/2023,P40-1021210-01
Base,690,Maysville MA,"$6,600,000.00 ","$6,700,000.00 ","1,212",S,"Abandon the dilapidated surface water treatment plant, develop 2  new wells, construct a new water treatment plant, and replace the majority of our distribution system to meet ODEQ regulations.",9/1/2022,11/1/2022,P40-1010807-01
Base,510,Wetumka PWA,"$100,000.00 ","$6,800,000.00 ","2,221",S,"Improvements to the raw water intake, treatment plant, and/or  distribution system to address the DBP exceedances occurring within the system.",8/1/2022,10/1/2022,P40-1020508-01
Base,490,Hugo MA,"$100,000.00 ","$6,900,000.00 ","5,786",S,Installation of a tank mixing system in the existing elevated tank  to assist in reduction of DBPs.,9/1/2022,11/1/2022,P40-1010314-01
Base,490,Okarche PWA,"$2,775,000.00 ","$9,675,000.00 ","1,110",N,Construct a Treatment Plant for Nitrate Removal.,7/1/2022,9/1/2022,P40-2003703-01
Base,360,Devol PWA,"$100,000.00 ","$9,775,000.00 ",150,D,Water treatment improvements for reduction of disinfection by- products.,9/1/2022,11/1/2022,P40-3001701-01
Base,335,Nowata MA,"$2,500,000.00 ","$12,275,000.00 ","5,566",S,Construct a composite elevated storage tank with tank aeration  for the removal of THMs.,7/1/2022,9/1/2022,P40-1021503-01
Base,285,Rogers Co. RWD #4 (II),"$3,600,000.00 ","$15,875,000.00 ","7,725",N,"Addition of a third ""Actifloc"" clarification/filtration unit at the  existing RWD #4 water treatment plant; installation of a 500,000 gallon water storage tank at the existing RWD #4 treatment  plant, and construct a two-mile long twelve-inch (12"") water line project on S. 4100 Road, located near Talala, OK.",7/1/2022,9/1/2022,P40-1021506-02
Base,250,Canadian Co. RWD #1,"$2,000,000.00 ","$17,875,000.00 ",750,N,"Construct one new Ion Exchange nitrate reduction water  treatment plant, two new distribution standpipes, and install eight new well pumps.",12/1/2022,2/1/2023,P40-2000908-01
Base,125,Edmond PWA (VIII),"$15,000,000.00 ","$32,875,000.00 ","80,214",N,"Installation of a 24-inch Water Line project along E. 33rd Street  from east of S. Broadway/Highway 77 to I-35.  The water system improvements will increase distribution reliability, boost pressure  and loop into other existing water lines.",11/1/2022,1/1/2023,P40-1020723-08
Base,100,Stilwell Area Development  Authority,"$15,500,000.00 ","$48,375,000.00 ","6,475",S,Expansion of the water treatment plant.,8/1/2022,10/1/2022,P40-1020205-01
Base,100,Edmond PWA (XI),"$46,000,000.00 ","$94,375,000.00 ","80,214",N,Raw Water and Finished Water Transmission Mains (MAIN-03);  AI-35 Complex Storage Improvements (TANK-02).,7/1/2022,9/1/2022,P40-1020723-12
Base,90,Stillwater UA (VI),"$60,000,000.00 ","$154,375,000.00 ","53,800",S,"WTP Rehabilitation and Improvements:  New chemical building,  new filters, new recarb., rehabilitation/expand chlorine system.",7/1/2022,9/1/2022,P40-1021220-06
BIL,1480,Barnsdall PWA,"$1,100,000.00 ","$1,100,000.00 ","1,955",S,"Upgrades to the water treatment plant which will incllude a new  clarifier, controls upgrade and the adition of aeration at the plant clearwell and distribution storage.",9/1/2022,11/1/2022,P40-1020304-01
BIL,1050,Beggs PWA,"$100,000.00 ","$1,200,000.00 ","1,364",S,Improvements to reduce Disinfection By-Products (DBPs).,10/1/2022,12/1/2022,P40-1020707-01
BIL/Base,930,Waurika PWA,"$4,915,000.00 ","$6,115,000.00 ","7,890",S,"Design, engineering, and construction of a new water treatment  plant intended to replace an existing plant that has been the subject of numerous consent orders for the last several years.",7/1/2022,9/1/2022,P40-1011201-01
BIL,750,Muskogee Co. RWD #3,"$200,000.00 ","$6,315,000.00 ","1,725",S,Installing water lines to loop in dead end lines to help with water  age and two (2) booster stations to help with pressure issues.,7/1/2022,9/1/2022,P40-1020710-01
BIL,745,McCurtain Co. RWD #1,"$2,990,000.00 ","$9,305,000.00 ","4,196",S,"Replacement of Asbestos Cement (AC) water mains with PVC  pipe, and rehabilitation of an existing standpipe and upgrades include:  spray aeration, inlet/outlet pipe upgrading, forced-air  ventilation, etc. for TTHM non compliance.",7/1/2022,9/1/2022,P40-3004806-01
BIL,710,Talihina PWA,"$275,000.00 ","$9,580,000.00 ","4,981",S,Improvements include clearwell modifications and tank aeration;  rehailitation of the existing filters and repainting the steel components in Clarifier 3.,10/1/2022,12/1/2022,P40-1010304-01
BIL,580,Pittsburg PWA,"$120,000.00 ","$9,700,000.00 ",280,S,"Replacement of the filter media in the slow sand filter, additional  chlorine feed point at the WTP, flushing hydrant, and booster chlorine station in the distribution system.",9/1/2022,11/1/2022,P40-1020604-01
BIL,490,Temple UA,"$824,000.00 ","$10,524,000.00 ","1,146",S,"Install Emergency Generators and Automatic Transfer Switch for  the WTP, and replace a 7.5 HP High Service Pump with a 20 HP pump, and additional items.",7/1/2022,9/1/2022,P40-1011306-01
BIL,455,McCurtain Co. RWD #9,"$1,380,167.00 ","$11,904,167.00 ",999,S,Install an elevated storage tank.,8/1/2022,10/1/2022,P40-3004820-01
BIL,420,Taft PWA,"$100,000.00 ","$12,004,167.00 ",250,S,Installing a dedicated water line to the standpipe to ensure all  customers receive aerated/recirculated water and DBP compliant water.,9/1/2022,11/1/2022,P40-3005118-01
BIL/Base,413,Fairview UA,"$13,154,300.00 ","$25,158,467.00 ","2,690",S,Construct a new water treatment plant and appurtenances.,7/1/2022,9/1/2022,P40-2004404-01
BIL/Base,510,Bryan Co. RWS and  SWMD #2 (VI),"$3,100,000.00 ","$28,258,467.00 ","8,656",S,"Construct a 350,000-gallon spiracone clarifier and 6 additional  12' filters, and construct a 105 foot, 500,000-gallon elevated tank.",9/1/2022,11/1/2022,P40-1010604-06
BIL,360,Indiahoma PWA,"$314,000.00 ","$28,572,467.00 ",350,S,"Install an aeration system in the water tower, replace blending  station, repair wellhouse, chlorination machine, and tank level guide repair.",10/1/2022,12/1/2022,P40-2001609-01
BIL,340,Frederick PWA (II),"$130,000.00 ","$28,702,467.00 ","4,218",S,Installation of a permanent Chlorine Dioxide Feed System and a  separate chlorine gas storage/feed building.,10/1/2022,12/1/2022,P40-1011401-02
BIL,330,Checotah PWA (II),"$1,200,000.00 ","$29,902,467.00 ","8,250",S,Water treatment plant improvements to reduce disinfection by- products.,7/1/2022,9/1/2022,P40-1020515-02
BIL/Base,310,Foss Reservoir MCD (II),"$15,000,000.00 ","$44,902,467.00 ","17,888",S,"Construct a second, redundant, clarifier to allow for maintenance  of the existing clarifier; construct a mixing basin along with additional bypass piping; and rehabilitation of the sand filter and  reworking the piping to increase redundancy.",7/1/2022,9/1/2022,P40-1010829-02
BIL/Base,295,Stillwater UA (V),"$16,000,000.00 ","$60,902,467.00 ","53,800",S,Construction of a WTP Finished Water Pump Station and  Clearwell Replacement.,12/1/2022,2/1/2023,P40-1021220-05
BIL,285,Town of Loyal,"$150,000.00 ","$61,052,467.00 ",81,Y,"Installation of an Ion Exchange Treatment Unit, Building and  Wastewater Disposal Storage Facility.",9/1/2022,11/1/2022,P40-2003701-01
BIL,240,Jet UA (III),"$991,700.00 ","$62,044,167.00 ",230,S,"Identification, planning, design, and replacement of lead  distribution  lines.",9/1/2022,11/1/2022,P40-2000211-03
BIL,185,Marietta PWA,"$5,200,000.00 ","$67,244,167.00 ","2,626",S,Construct a new groundwater well to supplement supply;  construct a new elevated water storage tank to provide system storage; and the rehabilitation of an existing standpipe to extend  its functional life.,7/1/2022,9/1/2022,P40-2004301-01
BIL/Base,160,Perry MA (II),"$4,000,000.00 ","$71,244,167.00 ","6,430",D,"Water system improvements consisting of water line  replacements, tower mixers and improvements, and pump improvements.",7/1/2022,9/1/2022,P40-1021206-02
BIL/Base,155,McCurtain Co. RWD #8  (III),"$6,500,000.00 ","$77,744,167.00 ","5,685",S,"Replacement of approximately 10.5 miles (55,500 feet) of  existing 8"" waterline to 12"", replacement of approximately 2.15 miles (11,360 feet) of 8"" waterline to 10"" to resolve all low  pressure issues throughout the system, and the purchase and implementation of a drive-by meter reading system.",7/1/2022,9/1/2022,P40-1010207-03
BIL/Base,150,Creek Co. RWD #2,"$5,695,081.40 ","$83,439,248.40 ","14,144",S,"Construction of four (4) miles of  12"" water line, a water tower  and a pump station, and.5 mile of 10"" water line replacement.",10/1/2022,12/1/2022,P40-3001902-01
BIL,140,Beckham Co. RWD #2,"$850,000.00 ","$84,289,248.40 ",857,S,"Construction to supply water to the community of Delhi,  Oklahoma which has high nitrate levels.",8/1/2022,10/1/2022,P40-2000510-01
BIL,125,Kingfisher PWA (II),"$1,000,000.00 ","$85,289,248.40 ","5,073",D,"Install a full SCADA automation system for the City's water wells,  treatment plant, and towers; Painting of the Meeker Water Tower; Valve Replacement in the distribution system; and Water  pipe replacement in the distribution system.",9/1/2022,11/1/2022,P40-2003702-02
BIL,120,Porum PWA,"$3,457,310.00 ","$88,746,558.40 ","5,290",S,"Installation of approximately 72,000 L.F. of line replacement and  additional line, a proposed water storage tank, rehabilitation of two standpipes, and a proposed booster station.",7/1/2022,9/1/2022,P40-1020302-01
BIL/Base,100,Norman UA (III),"$16,000,000.00 ","$104,746,558.40 ","92,256",D,"Install collection lines to bring the majority of the groundwater  wells to one centralized location, storage tank, pumping station, and distribution lines.",9/1/2022,11/1/2022,P40-1010801-03
BIL/Base,100,Canadian Co. RWD #4,"$3,500,000.00 ","$108,246,558.40 ",907,D,"Construction of water mains, booster stations, well  improvements, and water rights acquisition.",10/1/2022,12/1/2022,P40-2000930-01
BIL/Base,95,Lawton WA (V),"$25,000,000.00 ","$133,246,558.40 ","114,387",S,"Design and construction of two separate water main line  replacements, collectively called the Cache Road Waterline Replacement Project.",10/1/2022,12/1/2022,P40-1011303-05
BIL/Base,90,Wagoner Co. RWD #5 (V),"$12,770,000.00 ","$146,016,558.40 ","4,251",S,"Construct a new 5.0 MGD process building, high service pump  station, and a new chemical building.",7/1/2022,9/1/2022,P40-1021528-05
BIL,85,Fort Cobb PWA,"$357,621.00 ","$146,374,179.40 ",667,S,"Purchase and install new water meters, and Phase 1 waterline  replacement.",10/1/2022,12/1/2022,P40-2000810-01
BIL,65,Eufaula PWA (III),"$800,000.00 ","$147,174,179.40 ","4,617",S,Construct a 0.9 MG water storage standpipe to improve water  reliability.,9/1/2022,11/1/2022,P40-1020514-03
BIL,60,Arnett PFA,"$120,000.00 ","$147,294,179.40 ",496,S,"Replacement of aging 2 inch cast iron water mains and  associated services. $                                                                         301,669,179.40",7/1/2022,9/1/2022,P40-2002305-01
BIL/Base,640,Anadarko PWA (III),"$2,600,000.00 ","$2,600,000.00 ","7,604",S,Install a new baffled clearwell with new Cl2 feed system and  distribution pumping.,12/1/2022,2/1/2023,P40-2020906-03
Base,370,Chickasha MA,"$35,000,000.00 ","$37,600,000.00 ","16,926",S,Construction of a new water treatment plant.,2/1/2024,4/1/2024,P40-1010821-01
BiIL/Base,185,Guthrie PWA (V),"$31,474,076.00 ","$69,074,076.00 ","9,925",S,Replacement of roughly fifty-five (55) miles of water distribution  mains.,12/1/2022,2/1/2023,P40-1020903-05
Base,180,Mustang IA,"$8,800,000.00 ","$77,874,076.00 ","15,435",N,Construction of a one (1) million-gallon elevated storage tank.,1/1/2023,3/1/2023,P40-2000922-01
Base,175,Jay UA (III),"$6,000,000.00 ","$83,874,076.00 ","2,980",S,"Expansion of the existing treatment plant to 2.0 mgd including  new clarifiers, filters, chemical building, and control/lab building.",7/1/2023,9/1/2023,P40-1021674-03
BIL/Base,170,Clinton PWA (II),"$15,000,000.00 ","$98,874,076.00 ","10,485",S,Construction of a water pipeline between the cities of Clinton and  Weatherford.,10/1/2022,12/1/2022,P40-1010828-02
Base,100,Edmond PWA (X),"$222,000,000.00 ","$320,874,076.00 ","80,214",N,"Arcadia Lake Water Treatment Plant Expansion, remaining  processes (WTP-01C), new ozone generation system, new preozone pipeline contactor, three (3) new solids contact  clarifiers, two (2) new post ozone contactors, eight (8) new dual media filters, new pretreatment chemical building, new  posttreatment chemical building, and associated electrical, controls, yard piping, paving, and other site improvements  necessary to bring the new processes online and connect to existing processes and infrastructure.",6/1/2023,8/1/2023,P40-1020723-10
BIL/Base,85,Hobart PWA,"$20,000,000.00 ","$340,874,076.00 ","4,046",S,Replacing all of the water lines in the system.,9/1/2022,11/1/2022,P40-1011502-01
Base,70,Cherokee Co. RWD #11  (II),"$2,000,000.00 ","$342,874,076.00 ","3,395",S,Expansion of the water treatment plant on the existing site.,7/1/2023,9/1/2023,P40-1221637-02
BIL,70,Weatherford PWA (II),"$1,448,040.00 ","$344,322,116.00 ","10,833",S,Upgrading the meter reading system which includes  approximately 5500 meters.,9/1/2022,11/1/2022,P40-2002002-02
Base,60,Stillwater UA (VII),"$250,000,000.00 ","250,000,000.00 $","53,800",S,"Rehabilitate existing 36"" Raw WL, add new 42"" parallel Raw WL,  involves major river crossings.",7/1/2024,9/1/2024,P40-1021220-07
Base,60,Stillwater UA (VIII),"$25,000,000.00 ","$275,000,000.00 ","53,800",S,Expand Raw Water Supply PS to 25 MGD.,7/1/2024,9/1/2024,P40-1021220-08
Base,60,Stillwater UA (IX),"$50,000,000.00 ","$325,000,000.00 ","53,800",S,Terminal Storage Reservoir.,7/1/2024,9/1/2024,P40-1021220-09
Base,60,Stillwater UA (X),"$40,000,000.00 ","$40,000,000.00 ","53,800",S,"Water line from WTP to 6th Street. Demolish abandoned water treatment plant and clearwell;  construct a new 10"" waterline from OOWA supply line to new site at West Evanjoy Street and North Grace Street; Construct a new  duplex 300 gpm pump station with standby power at new site; Construct a new 375,000 gallon water storage tank at new site;  Construct new 40' x 60' maintenance and storage building; Demolish both existing water tanks at Jetton Hill Water Storage  site; Construct a new 350,000 gallon storage tank at Jetton Hill site; Replace Pine Creek Pump Station No. 1 with a new 50 gpm  above ground pump station w/standby power; Construct a new 50,000 gallon water tank; Construct 4"" water line from old tank to  new tank; Abandon and demolish Pine Crest Pump Station No. 2; Abandon and demolish Pine Crest Water Tank. Construct a new facility for reuse of wastewater effluent to  supplement the water supply. Install a liner in the water tower. Repair and refurbish two (2) towers; Raw water line replacement  of the 6 inch tranmission line from the Comanche Lake Pump Station to the Water Treatment Plant. Replace a pressure reducing valve an constructing a  Rechloramination and Nitrification Control station. Replace 10,637 LF of waterline on Main Street in the City of  Tonkawa. Installation of approximately 9,000 LF of 12"" PVC waterline. Expansion of the existing treatment plant to 2.0 mgd including  new clarifiers, filters, chemical building, and control/lab building. Replacement of the 10-inch waterline crossing the Arkansas  River which is no longer in service due to multiple fractures in the",7/1/2029,9/1/2029,P40-1021220-10
,495,Salina PWA (II),"$1,500,000.00 ",,"1,422",S,"Demolish abandoned water treatment plant and clearwell;  construct a new 10"" waterline from OOWA supply line to new site at West Evanjoy Street and North Grace Street; Construct a new  duplex 300 gpm pump station with standby power at new site; Construct a new 375,000 gallon water storage tank at new site;  Construct new 40' x 60' maintenance and storage building; Demolish both existing water tanks at Jetton Hill Water Storage  site; Construct a new 350,000 gallon storage tank at Jetton Hill site; Replace Pine Creek Pump Station No. 1 with a new 50 gpm  above ground pump station w/standby power; Construct a new 50,000 gallon water tank; Construct 4"" water line from old tank to  new tank; Abandon and demolish Pine Crest Pump Station No. 2; Abandon and demolish Pine Crest Water Tank. Construct a new facility for reuse of wastewater effluent to  supplement the water supply. Install a liner in the water tower. Repair and refurbish two (2) towers; Raw water line replacement  of the 6 inch tranmission line from the Comanche Lake Pump Station to the Water Treatment Plant. Replace a pressure reducing valve an constructing a  Rechloramination and Nitrification Control station. Replace 10,637 LF of waterline on Main Street in the City of  Tonkawa. Installation of approximately 9,000 LF of 12"" PVC waterline. Expansion of the existing treatment plant to 2.0 mgd including  new clarifiers, filters, chemical building, and control/lab building. Replacement of the 10-inch waterline crossing the Arkansas  River which is no longer in service due to multiple fractures in the",9/1/2022,11/1/2022,P40-1021603-02
,230,Guymon UA (III),"$20,000,000.00 ",,"11,442",S,"Construct a new facility for reuse of wastewater effluent to  supplement the water supply. Install a liner in the water tower. Repair and refurbish two (2) towers; Raw water line replacement  of the 6 inch tranmission line from the Comanche Lake Pump Station to the Water Treatment Plant. Replace a pressure reducing valve an constructing a  Rechloramination and Nitrification Control station. Replace 10,637 LF of waterline on Main Street in the City of  Tonkawa. Installation of approximately 9,000 LF of 12"" PVC waterline. Expansion of the existing treatment plant to 2.0 mgd including  new clarifiers, filters, chemical building, and control/lab building. Replacement of the 10-inch waterline crossing the Arkansas  River which is no longer in service due to multiple fractures in the",1/1/2023,3/1/2023,P40-2007003-03
,85,Bridgeport PWA,"$450,000.00 ",,109,S,"Install a liner in the water tower. Repair and refurbish two (2) towers; Raw water line replacement  of the 6 inch tranmission line from the Comanche Lake Pump Station to the Water Treatment Plant. Replace a pressure reducing valve an constructing a  Rechloramination and Nitrification Control station. Replace 10,637 LF of waterline on Main Street in the City of  Tonkawa. Installation of approximately 9,000 LF of 12"" PVC waterline. Expansion of the existing treatment plant to 2.0 mgd including  new clarifiers, filters, chemical building, and control/lab building. Replacement of the 10-inch waterline crossing the Arkansas  River which is no longer in service due to multiple fractures in the",7/1/2022,9/1/2022,P40-2000804-01
,220,Comanche PWA (III),"$602,550.00 ",,"3,259",S,"Repair and refurbish two (2) towers; Raw water line replacement  of the 6 inch tranmission line from the Comanche Lake Pump Station to the Water Treatment Plant. Replace a pressure reducing valve an constructing a  Rechloramination and Nitrification Control station. Replace 10,637 LF of waterline on Main Street in the City of  Tonkawa. Installation of approximately 9,000 LF of 12"" PVC waterline. Expansion of the existing treatment plant to 2.0 mgd including  new clarifiers, filters, chemical building, and control/lab building. Replacement of the 10-inch waterline crossing the Arkansas  River which is no longer in service due to multiple fractures in the",9/1/2022,11/1/2022,P40-1011101-03
,145,Davenport UA,"$379,400.00 ",,881,S,"Replace a pressure reducing valve an constructing a  Rechloramination and Nitrification Control station. Replace 10,637 LF of waterline on Main Street in the City of  Tonkawa. Installation of approximately 9,000 LF of 12"" PVC waterline. Expansion of the existing treatment plant to 2.0 mgd including  new clarifiers, filters, chemical building, and control/lab building. Replacement of the 10-inch waterline crossing the Arkansas  River which is no longer in service due to multiple fractures in the",11/1/2022,1/1/2023,P40-3004104-01
,95,Tonkawa MA (III),"$2,043,405.00 ",,"3,449",S,"Replace 10,637 LF of waterline on Main Street in the City of  Tonkawa. Installation of approximately 9,000 LF of 12"" PVC waterline. Expansion of the existing treatment plant to 2.0 mgd including  new clarifiers, filters, chemical building, and control/lab building. Replacement of the 10-inch waterline crossing the Arkansas  River which is no longer in service due to multiple fractures in the",7/1/2022,9/1/2022,P40-2003603-03
,250,Pawhuska PWA,"$1,000,000.00 ",,"4,060",S,"Installation of approximately 9,000 LF of 12"" PVC waterline. Expansion of the existing treatment plant to 2.0 mgd including  new clarifiers, filters, chemical building, and control/lab building. Replacement of the 10-inch waterline crossing the Arkansas  River which is no longer in service due to multiple fractures in the",8/1/2022,10/1/2022,P40-1021301-01
,175,Jay UA (III),"$8,000,000.00 ",,"2,980",Y,"Expansion of the existing treatment plant to 2.0 mgd including  new clarifiers, filters, chemical building, and control/lab building. Replacement of the 10-inch waterline crossing the Arkansas  River which is no longer in service due to multiple fractures in the",7/1/2023,9/1/2023,P40-1021674-03
,25,Jenks PWA,"$850,000.00 ",,"16,924",N,Replacement of the 10-inch waterline crossing the Arkansas  River which is no longer in service due to multiple fractures in the,7/1/2022,9/1/2022,P40-3007201-01
