Loan Applicant,L17#,Project Description,"Estimated
Construction Start Date",Requested Loan Amount,Project Manager,"Loan
Priority Score","Principal
Forgiveness Reserved",Loan Funding Reserved
Chicago,7618,"Replacement of approximately 160-200 lead
service lines.",2026-03-01 0:00:00,4000000,"Covert, Chris",400,2465000,1535000
Chicago,7619,"Replacement of approximately 160 to 200 lead
service lines.",2026-03-01 0:00:00,4000000,"Covert, Chris",395,2465000,1535000
Chicago,7620,"Replacement of approximately 160-200 lead
service lines.",2026-03-01 0:00:00,4000000,"Covert, Chris",390,2465000,1535000
Chicago,7617,"Replacement of approximately 160-200 lead
service lines.",2026-03-01 0:00:00,4000000,"Covert, Chris",375,2465000,1535000
Chicago,7621,"Replacement of approximately 160-200 lead
service lines.",2026-03-01 0:00:00,4000000,"Covert, Chris",375,2465000,1535000
Rockford,7157,"Phase 9 - Replacement of approximately 223 lead
service lines.",2025-12-01 0:00:00,2000000,"Jankousky, Bill",370,2000000,$       -
Rockford,7156,"Phase 8 - Replacement of approximately 445 lead
service lines.",2025-12-01 0:00:00,4000000,"Jankousky, Bill",365,2465000,1535000
Markham,6347,Replacement of approximately 207 lead service,2025-08-04 0:00:00,1015740,"Covert, Chris",355,1015740,$       -
Rockford,7158,"Phase 10 - Replacement of approximately 223
lead service lines.",2025-12-01 0:00:00,2000000,"Jankousky, Bill",350,2000000,$       -
Calumet City,5767,"Phase 3 - Replacement of approximately 400 lead
service lines.",2026-03-01 0:00:00,4000000,"Jankousky, Bill",335,2465000,1535000
Calumet Park,7003,Replacement of 400 lead service lines.,2025-12-01 0:00:00,4000000,"Rice, Chad",325,2465000,1535000
Lansing,6119,Replacement of 300 lead service lines.,2025-12-01 0:00:00,3500000,"Covert, Chris",320,2465000,1035000
Decatur,7055,"Replacement of approximately 380 galvanized water service lines downstream of lead
goosenecks.",2026-02-01 0:00:00,4029413,"VanPelt, Kim",320,2465000,1564413
Chicago Heights,7302,"Replacement of approximately 294 lead service
lines.",2025-10-13 0:00:00,5000000,"Covert, Chris",320,2465000,2535000
Waukegan,6212,Replacement of 400 lead service lines.,2025-12-01 0:00:00,4000000,"Heaton, Rachael",315,2465000,1535000
Dolton,6393,Replacement of 350 lead service lines.,2025-12-01 0:00:00,3500000,"Clark, Lanina",315,2465000,1035000
Waukegan,6213,Replacement of 300 lead service lines.,2025-09-01 0:00:00,3000000,"Heaton, Rachael",310,2465000,535000
Evanston,6321,"Replacement of approximately 500 lead service
lines.",2026-03-31 0:00:00,5000000,"Clark, Lanina",305,2465000,2535000
Monmouth,6326,"Phase 2 - Replacement of approximately 280 lead
service lines.",2025-11-30 0:00:00,3027000,"Rice, Chad",305,2465000,562000
Harvey,6979,"Replacement of approximately 294 lead service
lines.",2025-10-13 0:00:00,5000000,"Rice, Chad",300,2465000,2535000
Bloomington,7228,"Replacement of approximately 600 lead service
lines.",2026-03-31 0:00:00,7656000,"VanPelt, Kim",300,2465000,5191000
Burnham,7543,"Phase 2 - Replacement of approximately 128 lead
service lines.",2025-12-01 0:00:00,1900000,"Mallory, Jasmine",300,1900000,$       -
Calumet City,5766,"Phase 2 - Replacement of approximately 400 lead
service lines",2025-07-01 0:00:00,4000000,"Jankousky, Bill",295,2465000,1535000
Hillsboro,7603,"Phase 3 - Replacement of approximately 238 lead
service lines.",2025-11-30 0:00:00,3027000,"Rice, Chad",290,2465000,562000
Rockdale,6778,"Replacement of approximately 50 lead service
lines.",2025-08-04 0:00:00,1185000,"Jordal, Ellen",285,1185000,$       -
Berwyn,6318,"Replacement of approximately 400 lead service
lines.",2025-12-01 0:00:00,4000000,"Fowler, Jillian",280,$       -,4000000
Homewood,7418,"Replacement of approximately 258 lead service
lines.",2025-09-15 0:00:00,4137498,"Smith, Bryan",280,2465000,1672498
Berwyn,6317,"Replacement of approximately 400 lead service
lines.",2025-12-01 0:00:00,4000000,"Fowler, Jillian",275,2465000,1535000
Summit,6952,"Phase 2 - Replacement of approximately 294 lead
service lines.",2026-03-31 0:00:00,5000000,"Matthews, Julie",275,2465000,2535000
Summit,6953,"Phase 3 - Replacement of approximately 294 lead
service lines.",2026-03-31 0:00:00,5000000,"Matthews, Julie",275,2465000,2535000
Summit,6954,"Phase 4 - Replacement of approximately 294 lead
service lines.",2026-03-31 0:00:00,5000000,"Matthews, Julie",275,2465000,2535000
Summit,6955,"Phase 5 - Replacement of approximately 294 lead
service lines.",2026-03-31 0:00:00,5000000,"Matthews, Julie",275,2465000,2535000
North Chicago,7339,Phase 1 - Replacement of lead service lines.,2026-01-01 0:00:00,3200000,"Jordal, Ellen",275,2465000,735000
Chicago,7622,"Replacement of approximately 160-200 lead
service lines.",2026-03-01 0:00:00,4000000,"Covert, Chris",275,2465000,1535000
Chicago,7623,"Replacement of approximately 160-200 lead
service lines.",2026-03-01 0:00:00,4000000,"Covert, Chris",275,2465000,1535000
Evergreen Park,6765,"Replacement of approximately 800 lead service
lines.",2025-12-01 0:00:00,8000000,"Smith, Bryan",270,$       -,8000000
Aurora,6017,"Phase 3 - Replacement of approximately 450 lead
service lines.",2025-10-01 0:00:00,4000000,"Covert, Chris",265,2465000,1535000
Lansing,6203,Replacement of 400 lead service lines.,2025-12-01 0:00:00,4000000,"Covert, Chris",265,2465000,1535000
Moline,6793,Replacement of 400 lead service lines.,2025-12-01 0:00:00,4000000,"Smith, Bryan",265,2465000,1535000
South Chicago Heights,6923,Replacement of 350 lead service lines.,2025-12-01 0:00:00,3500000,"Smith, Bryan",265,2465000,1035000
Pana,7047,"Phase 1 - Replacement of approximately 431 lead
service lines.",2025-10-01 0:00:00,4199000,"Smith, Bryan",265,2465000,1734000
Mount Morris,7404,"Replacement of approximately 315 lead service
lines.",2025-09-01 0:00:00,5024000,"Smith, Bryan",265,2465000,2559000
