Loan Applicant,L17#,Project Description,Estimated Construction Start Date,Projected Loan Amount,Facility No
ABS Water Co-Operative,,Rehab three elevated storage tanks,2026-04-01 0:00:00,500000,IL0015350
Airview Mobile Home Park,,Water connection to the City of Milan.,2024-08-01 0:00:00,$       -,IL1610650
Atlanta,7354,"Improvements to the water treatment plant, water
distribution system and water storage.",2025-03-17 0:00:00,3900000,
Brimfield,,"Replace 70,000-gal storage tank and aerator; re-route
piping and chemical feed lines",2026-01-01 0:00:00,1000000,IL1430150
Browning,,"Connect to the Hickory Kerton as the sole water
supply and rehab the ground storage tank",2026-03-05 0:00:00,1500000,IL1690050
Camp Grove Water Company,,"Construct a secondary water supply well and
treatment plant",2026-08-01 0:00:00,2500000,IL1235100
Carlinville,,"Construct 14"" PVC transmission main to connect to Illinois Alluvial Regional Water Company and rehab
current structures",2026-08-01 0:00:00,3520000,IL1170150
"Central Lake County Joint Action
Water Agency",5186,"New 54"" raw water intake extending 5,000 LF into
Lake Michigan",2027-06-30 0:00:00,21000000,IL0971070
Chenoa,7338,"Replace lead service lines and watermains and loop
watermains",2026-02-25 0:00:00,2200000,IL1130300
Chenoa,7337,"Replace lead service lines, watermains, and looping
dead ends.",2026-02-25 0:00:00,2645000,IL1130300
Chester,,"Paint and repair 500,000-gal. multi legged tank and
100,000-gal. double ellipsoidal tank.",2026-07-01 0:00:00,1640000,IL1570100
Chester,,"Remove and replace pneumatic butterfly valves, replace bolts and gaskets on filter pipes and paint
them.",2026-07-01 0:00:00,1640000,IL1570100
Chester,,"Replace 4,770 LF of 8"", 400 LF of 6"" and 50 LF of 4""
watermain.",2026-07-01 0:00:00,1445400,IL1570100
Chester,,"New water source, collector well, raw watermain and
treatment plant improvements",2026-07-01 0:00:00,22519000,IL1570100
Chester,,Install activated carbon feed system at treatment plant,2026-07-01 0:00:00,4396000,IL1570100
Clark-Edgar Rural Water District,7542,"Regional consolidation of the Village water system into the Clark-Edgar Rural Water District & replacement of the Village of Vermillion distribution
system.",2026-09-07 0:00:00,2872500,IL0230100
Collinsville,,Construct a PFAS treatment system,2028-02-01 0:00:00,8100000,IL1194280
Cowden,,Paint water tower and construct new well,2025-12-01 0:00:00,966000,IL1730050
Crestwood,5525,"Replace watermains, valves, hydrants and service
lines, and loop watermains",2027-01-01 0:00:00,7724870,IL0310600
"Curran Gardner Townships Public
Water District",,Install booster pumps.,2026-03-01 0:00:00,478000,IL1675350
DeKalb,7481,"Loop 20,200' of 16"" watermain including crossing IL
Route 23.",2026-07-01 0:00:00,13091000,IL0370100
DeKalb,7482,"Construct Well No. 18 and 1,000' of raw watermain.",2026-05-01 0:00:00,3123000,IL0370100
Edwardsville,7627,Construct additional storage and treatment plant,2026-04-01 0:00:00,26685000,IL1190250
EJ Water Cooperative,7569,Expand treatment plant capacity,2026-04-15 0:00:00,8000000,
Ellis Grove,,"Install new watermain and interconnect with Chester
Water District.",2025-08-15 0:00:00,334500,IL1570200
Elmhurst,,Rehab reservoirs and booster stations,2026-08-15 0:00:00,7500000,IL0430350
Essex,,Construct a new community water system,2026-06-01 0:00:00,9900000,
Fayette Water Company,,"Install 7,500 LF of 8"" and bore 200 LF of 8"" watermain, new well and paint 150,000-gal. storage
tank",2026-03-01 0:00:00,1621490,IL0510010
Forrest,6389,"Construction of new 6-in water main to replace 4-in
water main.",2025-10-01 0:00:00,1765000,IL1050450
Freeport,5643,Construct Well No. 12 and well's treatment facility,2025-07-30 0:00:00,20000000,IL1770200
Geneseo,7593,WWTP Expansion,2027-05-01 0:00:00,10000000,
Glenwood,6593,"Replace 10,625 LF of watermain, valves and hydrants",2025-09-15 0:00:00,6300000,IL0311050
Godley Public Water District,5401,Construct a river water withdrawal facility,2026-03-01 0:00:00,5000000,IL1970130
Grand Prairie Water Commission,7658,"AWSP-05-03 - Install video surveillance equipment at
facilities",2028-08-17 0:00:00,1341000,IL1970470
Grand Prairie Water Commission,7659,"AWSP-05-04 - Install security equipment and systems
at facilities",2028-08-17 0:00:00,831000,IL1970470
Grand Prairie Water Commission,7652,"AWSP-06-01 - Primary and secondary feeder mains
servicing Romeoville and Crest hill",2027-02-10 0:00:00,39680000,IL1970470
Grand Prairie Water Commission,7646,AWSP-06-06 - Four case-in-place concrete delivery structures with controls and metering of flows,2025-11-25 0:00:00,5398000,IL1970470
Grand Prairie Water Commission,7648,"AWSP-06-07 - Four cast-in-place concrete delivery
structures",2026-05-21 0:00:00,5672000,IL1970470
Grand Prairie Water Commission,7650,"AWSP-06-08 - Three cast-in-place concrete delivery
structures",2027-01-11 0:00:00,10466000,IL1970470
Grand Prairie Water Commission,7654,AWSP-06-02 - Feeder main to Joliet,2027-05-12 0:00:00,45834000,IL1970470
Grand Prairie Water Commission,7656,"AWSP-06-09 - Two cast-in-place concrete delivery
structures",2027-12-07 0:00:00,8239000,IL1970470
Grand Prairie Water Commission,7649,"AWSP-07-01 - Install 66"" transmission main",2026-10-07 0:00:00,42932000,IL1970470
Grand Prairie Water Commission,7647,"AWSP-03-01 - Intermediate pump station and water
storage facility 1",2026-05-29 0:00:00,49716000,IL1970470
Grand Prairie Water Commission,7653,AWSP-04-01 - Intermediate water storage facility 2,2027-05-05 0:00:00,15494000,IL1970470
Grand Prairie Water Commission,7657,AWSP-05-01 - Fiber and network installation package,2028-02-03 0:00:00,13929000,IL1970470
Grand Prairie Water Commission,7655,"AWSP-05-02 - Programming and integration of
SCADA and communication systems",2027-06-07 0:00:00,706000,IL1970470
Grand Prairie Water Commission,7651,AWSP-02-05 - Finished water transmission mains,2027-01-27 0:00:00,134610000,IL1970470
Hanna City,7082,"Construct a elevated storage tank & appurtenances and a valve control building with piping, control & appurtenances; install a water salesman, diesel standby generator, and approx. 405ft of water main.",2026-05-01 0:00:00,3600000,IL1430400
Harristown,,"Replacement of approximately 32,000 LF of service line, approximately 490 1-inch services and 8,000 LF
of service bore.",2026-06-01 0:00:00,1986000,IL1150210
Herscher,7558,"Install & replace 2,150 LF of watermain.",2025-07-15 0:00:00,537383,IL0910450
Highwood,7633,Phase 1 - Watermain and service line replacement,2026-06-01 0:00:00,8662875,IL0970550
Highwood,7637,Treatment plant improvements,2026-06-01 0:00:00,2600000,IL0970550
Hopewell,,"Construct a second water supply well, elevated
storage tank, and treatment plant",2026-08-01 0:00:00,6000000,IL1235150
Hopkins Park,7628,"Replace 11,449 LF of 6"" watermain, hydrants, meters
and service lines",2026-02-28 0:00:00,180000,IL0910040
Hull,,"New ground storage tank, wells, backup generator and
transmission main.",2026-07-01 0:00:00,2172000,IL1490350
Illinois Alluvial Regional Water Company,7254,"Stage 3 - Regionalization project - constructing 14 miles of finished water transmission main and master
meter",2024-12-02 0:00:00,21500000,IL0830020
Joliet,7638,"JOL-08-05 - Construct four storage tanks for the
Alternative Water Source program",2026-05-15 0:00:00,32925000,IL1970450
Joliet,7639,"JOL-08-06 - Construct two new pump stations as part
of the Alternative Water Source Program",2026-11-02 0:00:00,29280000,IL1970450
Joliet,7640,JOL-08-07 - Construct a new 5 MGD pump station for the Alternative Water Source Program,2028-09-08 0:00:00,12519000,IL1970450
Le Roy,7601,"Replace 2,100 LF of watermains",2026-02-15 0:00:00,883270,IL1130750
Longview,7178,"Treatment plant and distribution system
improvements",2024-09-01 0:00:00,400000,IL0190350
Mattoon,7236,"Conversion of existing pebble lime slaker system to a
high density hydrated lime system.",2024-01-01 0:00:00,2000000,IL0290250
Maywood,,"Replace 12,300 LF of watermain",2026-05-28 0:00:00,10000000,IL0311830
Minooka,7180,Watermain improvements,2028-09-01 0:00:00,11419500,IL0630550
Minooka,7196,Construction of Delivery Site A Reservoir.,2026-09-01 0:00:00,6496400,IL0630550
Minooka,7197,"Construction of two Lake Michigan water Receiving
Stations.",2028-09-01 0:00:00,10249800,IL0630550
Mitchell Public Water District,7540,"Water system improvements including new 16"" water supply main, pump station & chemical feed building, and a 0.5 MG elevated storage reservoir.",2026-10-15 0:00:00,12077000,IL1195210
"Moultrie County Rural Public Water
District",7597,"Construct new underground booster pump station,
replace valves and hydrants",2026-12-30 0:00:00,1318000,IL1395150
Mound City,7022,"Replacement of water mains, hydrants, valves, water
service lines and water service meters.",2025-11-03 0:00:00,2257574,IL1530100
Mount Vernon,5593,"Replace approximately 28,850 LF of water main and
all associated fittings, hydrants, and valves.",2025-10-02 0:00:00,4650000,810300
Mount Vernon,5594,"Replace approx. 30,750 LF of water main and all
associated fittings, hydrants, and valves.",2026-10-02 0:00:00,4735000,810300
Murphysboro,,Purchase and install radio read meters,2026-04-01 0:00:00,1900000,IL0770500
New Haven,7417,"Construction of a new ground water well and
replacement of raw watermain",2026-02-01 0:00:00,1335000,IL0590150
New Holland,6753,"Construction of approx. 42,600 LF of watermain and
a new elevated storage tank.",2025-11-01 0:00:00,1821350,IL1070450
North Chicago,,"Rehab 4 MG standpipe and construct new booster
pump station",2027-12-01 0:00:00,3520000,IL0971250
North Pekin,7598,Upgrade water treatment for manganese removal.,2026-04-01 0:00:00,4500000,
North Pekin,7599,Water distribution system improvements.,2026-04-01 0:00:00,11570000,
Orangeville,7029,"Phase 2 - Replace watermains, valves, hydrants,
booster pump and generator",2026-10-01 0:00:00,1606945,IL1770350
Pike County Water District,6293,"Construct 23,750 LF of 8"" main for an emergency
interconnect",2025-10-15 0:00:00,1725700,IL1495000
Ridgway,7596,"Rehab storage standpipe and replace watermains,
valves and hydrants",2026-06-01 0:00:00,1800000,IL0590300
Rustic Acres Water Association,,Second well construction and an emergency generator,2026-05-31 0:00:00,525000,IL0735500
Salem,7398,Watermain Upgrades,2025-08-01 0:00:00,891157,IL1210450
Savanna,7432,"4th Street water main replacements, rehab Well #4,
and SCADA installation.",2026-07-15 0:00:00,4350000,IL0150250
Scales Mound,7450,"Phase 1: Well building and water main replacement;
and construction of a pump station",2026-03-31 0:00:00,2112100,850400
Scales Mound,7451,Phase 2: Purchase & installation of water meters,2027-03-31 0:00:00,801000,850400
Sibley,6537,"Water treatment plant upgrades including tank repainting, second booster pump, by-pass piping, and
related electrical work.",2026-07-01 0:00:00,550000,IL0530400
