Loan Applicant,Project Description,L17#,Facility No.,Population,Estimated Construction Start Date,Projected Loan Amount,Principal Forgiveness,Loan Priority Score
LaSalle,"Drill a new deep well, construct a well house,
replace valves & hydrants, and water treatment plant upgrades.",6943,IL0990300,9562,2025-12-15 0:00:00,9708000,2912400,705
Millstone Water District,"Phase 1 Improvements to water treatment plant,
water distribution system, Hound Ridge water tower, and a new well.",7248,IL1515050,14200,2025-11-03 0:00:00,3830000,1149000,510
Mazon,"Constuction of new water treatment plant, demolition of existing water treatment plant and construction of force main and lift station for
backwash disposal.",7030,,989,2026-02-27 0:00:00,1999000,599700,500
Bellmont,Painting water tower interior and exterior.,7061,IL1850100,297,2025-07-31 0:00:00,372000,111600,495
"W2E, Incorporated","Construct treatment plant, storage tank and
watermain",6742,,3521,2026-03-30 0:00:00,10698301,3209490,490
Macomb,"Construct a new treatment plant with four deeps
wells and well houses",4231,IL1090350,18352,2025-12-01 0:00:00,37000000,6000000,470
Fulton,"Repaint elevated storage tank and construct 7,260
LF of watermains ranging from 6"" to 12""",4297,IL1950250,3647,2025-11-03 0:00:00,2942000,882600,460
Pana,"Replacement of approx. 8,600 LF of watermain
including fittings, services, and interconnects.",6978,IL0210500,5199,2025-09-15 0:00:00,1084700,325410,445
Peoria Heights,"Implementation of a manganese treatment process
at the water treatment plant.",6810,IL1434750,5979,2026-02-23 0:00:00,2000000,600000,440
Crest Hill,Construct a pump station and receiving station,6383,IL1970250,21169,2026-03-02 0:00:00,10500000,3150000,435
Homer,"Replace 1,600' of 8"", 8,400' of 6"" and 3,000' of 4""
watermain, valves, hydrants and service lines.",6737,IL0190300,1073,2025-10-15 0:00:00,2800000,840000,435
Park Forest,Phase 1 Water System Improvements: Tamarack Standpipe repainting & improvements,6975,IL0314740,22704,2025-07-01 0:00:00,1570000,471000,420
Park Forest,"Phase 2 Water Main & Transmission Main
replacement",6976,IL0314740,22704,2025-07-01 0:00:00,5148000,1544400,420
St. Francisville,Rehab water tower,7510,IL1010250,533,2025-11-19 0:00:00,510000,153000,415
St. Anne,"Construct new 6"", 8"" and 10"" watermains to
replace 4"" and 6"" mains",6070,IL0910700,1209,2025-06-01 0:00:00,3080000,924000,395
Itasca,"Phase 3 North Side Infrastructure Improvements -
Watermain replacement",6243,IL0430500,8694,2026-03-01 0:00:00,6600000,$     -,390
Watseka,Replace watermain,5979,IL0750900,4510,2025-03-01 0:00:00,1500000,450000,390
Waverly,Treatment plant improvements,6592,IL1370450,1307,2025-10-01 0:00:00,3200000,960000,390
Fayette Water Company,"Construct a 100,000-gal detention tank, a 500,000-gal storage tank, and loop 13,250' of 8"" watermain",6552,IL0510010,2153,2026-03-01 0:00:00,3361000,1008300,370
Lake Zurich,"Bid Package 2 of the CLCJAWA Lake Zurich
Expansion, construct a pump station",7175,IL0970850,19759,2026-03-31 0:00:00,37000000,$     -,370
St. Anne,Looping watermains and rehab water tower,7364,IL0910700,1209,2025-11-01 0:00:00,1330000,399000,370
"Clear Water Service
Corp.","Construct 9 miles of watermain extension to
Cooks Mills",7016,IL0295100,3555,2025-12-15 0:00:00,2500000,750000,365
Walnut,"Construct 6,700 LF of 6"" and 8"" watermain and
new services for 81 residential customers",7044,IL0111100,1311,2025-11-03 0:00:00,2482690,744807,365
