Loan Applicant,L17#,Project Description,"Estimated
Construction Start Date",Projected Loan Amount,Facility No
Batavia,,Phase 4 - Replacement of 600 lead service lines.,2026-03-31 0:00:00,8000000,IL0894130
Belvidere,,Replacement of 115 lead service lines.,2025-07-07 0:00:00,1350000,IL0070050
Broadview,7446,Replacement of Lead Service Lines within Broadview,2026-03-01 0:00:00,4935000,IL0310300
Byron,,Replacement of approximately 120 lead service lines.,2026-03-31 0:00:00,2000000,IL0027804
"Central Stickney Sanitary
District",7406,Phase 1 - Replacement of 125 lead service lines.,2026-04-01 0:00:00,2300000,IL0317370
Elgin,7385,"Replacement of 1,000 lead service lines.",2029-03-31 0:00:00,19750000,IL0894380
Elgin,7386,"Replacement of 1,000 lead service lines.",2030-03-31 0:00:00,20400000,IL0894380
Ford Heights,7495,Replacement of lead service lines.,2025-10-13 0:00:00,5000000,
Ford Heights,7496,Replacement of lead service lines.,2025-10-13 0:00:00,5000000,
Ford Heights,7494,Replacement of lead service lines.,2025-10-13 0:00:00,5000000,
Ford Heights,7261,Replacement of approximately 394 lead service lines.,2026-05-05 0:00:00,5000000,
Ford Heights,7497,Replacement of lead service lines.,2025-10-13 0:00:00,5000000,
Fox Lake,7594,Phase 3: Replacement of lead service lines.,2026-04-01 0:00:00,3300000,IL0970200
Freeport,5922,Phase 4 - Replacement of 400 lead service lines.,2025-06-02 0:00:00,4000000,IL1770200
Highwood,7635,Replacement of 140 lead service lines.,2026-06-01 0:00:00,2548000,IL0970550
Ipava,7419,Replacement of approximately 26 lead service lines.,2025-08-15 0:00:00,360000,IL0570550
Kewanee,,Replacement of approximately 300 lead service lines.,2026-06-01 0:00:00,4000000,IL0730650
Kincaid,,Replacement of approximately 111 lead service lines.,2026-03-16 0:00:00,1800000,IL0210250
LaGrange Park,7631,Replacement of 290 lead service lines.,2026-02-15 0:00:00,5613000,IL0311560
Le Roy,7602,Replacement of approximately 57 lead service lines.,2026-02-15 0:00:00,1068250,IL1130750
Lewistown,,Replacement of lead service lines.,2026-04-01 0:00:00,1582200,IL0570600
Leyden Township,7229,Replacement of approximately 208 lead service lines.,2025-04-01 0:00:00,5090200,IL0315880
Metropolis,,"Replacement of approximately 2,000 lead service lines.",2027-02-01 0:00:00,10000000,IL1270150
North Aurora,7428,"Replace 8,000 LF of watermain and service lines",2026-03-01 0:00:00,4000000,IL0890600
North Aurora,7427,Replacement of approximately 91 lead service lines.,2026-03-01 0:00:00,1400000,IL0890600
Palatine,,Replacement of approximately 400 lead service lines.,2025-12-01 0:00:00,4000000,IL0312340
River Forest,,"Phase 2 - Replacement of approximately 500 lead service
lines.",2026-09-01 0:00:00,4000000,IL0312610
River Forest,,"Phase 3 - Replacement of approximately 500 lead service
lines.",2027-09-01 0:00:00,4000000,IL0312610
Savanna,7431,Replacement of approximately 250 lead service lines.,2026-03-31 0:00:00,2500000,IL0150250
Shelbyville,,Replacement of approximately 300 lead service lines.,2026-06-08 0:00:00,3000000,IL1730300
Skokie,7393,Replacement of approximately 200 lead service lines.,2026-02-01 0:00:00,3600000,IL0312880
Skokie,7394,Replacement of approximately 200 lead service lines.,2026-02-01 0:00:00,3600000,IL0312880
Skokie,7395,Replacement of approximately 200 lead service lines.,2026-02-01 0:00:00,3600000,IL0312880
Skokie,7396,Replacement of approximately 200 lead service lines.,2026-02-01 0:00:00,3600000,IL0312880
Skokie,7397,Replacement of approximately 200 lead service lines.,2026-02-01 0:00:00,3600000,IL0312880
Skokie,7519,"Replacement of approximately 1,000 lead service lines.",2027-02-01 0:00:00,18000000,IL0312880
Skokie,7520,"Replacement of approximately 1,000 lead service lines.",2028-02-01 0:00:00,18000000,IL0312880
Skokie,7521,"Replacement of approximately 1,000 lead service lines.",2029-02-01 0:00:00,18000000,IL0312880
Skokie,7522,"Replacement of approximately 1,000 lead service lines.",2030-02-01 0:00:00,18000000,IL0312880
Stickney,7269,"Phase 2 - Replacement of approximately 294 lead service
lines.",2026-10-13 0:00:00,5000000,IL0313000
Stickney,7270,"Phase 3 - Replacement of approximately 294 lead service
lines.",2027-10-13 0:00:00,5000000,IL0313000
Stickney,7271,"Phase 4 - Replacement of approximately 294 lead service
lines.",2028-10-13 0:00:00,5000000,IL0313000
Stickney,7272,"Phase 5 - Replacement of approximately 294 lead service
lines.",2029-10-13 0:00:00,5000000,IL0313000
Tampico,7430,Replacement of lead service lines.,2025-11-01 0:00:00,2706000,IL1950550
Villa Park,,Replacement of lead service lines.,2026-05-31 0:00:00,3000000,IL0430800
Wauconda,7174,Phase 1: Replacement of lead service lines.,2025-11-17 0:00:00,3579760,IL0971850
Westchester,7511,Replacement of lead service lines.,2026-03-01 0:00:00,2444000,IL0313150
Westchester,7677,Phase 2 - Replacement of lead service lines.,2026-03-01 0:00:00,1170000,IL0313150
Westmont,,Replacement of approximately 243 lead service lines.,2025-08-10 0:00:00,3645000,
Wilmington,7488,Replacement of lead service lines.,2026-03-01 0:00:00,21093800,IL1971100
Winslow,7662,Replacement of 137 lead service lines.,2025-12-01 0:00:00,938000,
Woodland,,Replacement of approximately 97 lead service lines.,2025-11-15 0:00:00,650000,IL0751000
Zion,7567,Replacement of approximately 42 lead service lines.,2026-05-01 0:00:00,1266000,IL0972000
