Entity,epic_project_id,Project,PWS ID,County,Estimated Loan Amount,Loan Type,Estimated Award Date,Rate,District Office
Akron,12,Copley Township WM Ext for PWS Reg,OH7700011,SUMMIT,"$1,400,000.00",Construction,Jul-24,REG,NEDO
Attica,48,Regionalization WL with Willard,OH7400011,SENECA,"$3,090,000.00",Construction,Jun-25,REG,NWDO
"Del-Co Water Company, Inc.",216,Hartford Water Main Imp,OH2101412,DELAWARE,"$17,215,308.00",Construction,Jun-25,REG,CDO
Lakeview,293,Midway Water System Improvements - Phase 1,OH4601512,LOGAN,"$379,310.00",Construction,Feb-25,REG,SWDO
Lakeview,294,Water Treatment Plant Upgrades,OH4601512,LOGAN,"$2,400,000.00",Construction,Apr-25,REG,SWDO
Licking County,305,Hanover Marne Ph 2 Water Line Ext,OH4500812,LICKING,"$15,016,181.00",Construction,Jun-25,REG,CDO
Licking County,307,Jacksontown Water Line Ext,OH4500812,LICKING,"$2,518,500.00",Construction,Jun-25,REG,CDO
Licking County,306,Edgewater Beach Water Line Ext,OH4500812,LICKING,"$4,875,900.00",Construction,Jun-25,REG,CDO
Lima,311,LaFayette Water Line Loop,OH0200811,ALLEN,"$4,661,140.00",Construction,Feb-25,REG,NWDO
Lisbon,312,North End & SR 45 Water Line Extensions,OH1501512,COLUMBIANA,"$699,573.00",Construction,Sep-24,REG,NEDO
Lithopolis,314,Jackson Lake Interconnect,OH2301112,FAIRFIELD,"$384,970.00",Construction,Dec-24,REG,CDO
Madison Water District,FLAG - 329 & 331,Distribution and WTP Improvements,OH7006712,RICHLAND,"$5,570,175.00",Construction,Mar-25,REG,NWDO
Marblehead,341,Johnson's Island Water Line Ext,OH6202411,OTTAWA,"$7,478,644.00",Construction,Sep-24,REG,NWDO
Miami County,352,Regional Water System for Casstown,OH5502303,MIAMI,"$4,800,000.00",Construction,Oct-24,REG,SWDO
Mid-Ohio Water And Sewer District,359,US 42 and Plain City Water Line Ext,OH4901012,MADISON,"$24,070,235.00",Construction,Jan-25,REG,CDO
Morgan Meigsville Rural,369,SR 60 Water Line Ext,OH5801003,MORGAN,"$1,792,000.00",Construction,Oct-24,REG,SEDO
Muskingum County,377,Maysville Reg Water Conn: Ph 2 WL Connection,OH6000412,MUSKINGUM,"$1,430,433.00",Construction,Aug-24,REG,SEDO
Muskingum County,376,Pidcock and Norwich Valley WM Ext,OH6000412,MUSKINGUM,"$947,600.00",Construction,Dec-24,REG,SEDO
Muskingum County,373,"WM Ext to Sunflower, Getz, Friendship, and Neptune",OH6000412,MUSKINGUM,"$1,012,200.00",Construction,May-25,REG,SEDO
Northwestern Water & Sewer District,392,Eastwood LSD Regional Water Line,OH8752212,WOOD,"$2,200,000.00",Construction,Apr-25,REG,NWDO
Northwestern Water & Sewer District,395,Dunbridge Area Regional Water Line,OH8752212,WOOD,"$3,000,000.00",Construction,Oct-24,REG,NWDO
Sabina,449,Water System Imps and Interconnect w/Wilmington,OH1400912,CLINTON,"$12,984,000.00",Construction,Feb-25,REG,SWDO
Southwest Licking Community Water,463,Summit Road / Morse Road Water Line Ext,OH4505412,LICKING,"$3,921,800.00",Construction,Dec-24,REG,CDO
