EPIC Project ID,Entity,Project,PWS ID,SDWIS Population,County,Estimated Loan Amount,Loan Type,Estimated Award Date,Rate,District Office
1,Adams County Regional Water District,Winchester Industrial Park Water System Improvements,OH0100012,"25,000",Adams,"$2,423,500 ",Construction,24-Oct,STD,SEDO
2,Adams County Regional Water District,ARPA Water System Improvements,OH0100012,"6,500",Adams,"$2,120,600 ",Construction,24-Aug,DIS/REG,SEDO
3,Addyston,"Distribution, LSL, and Transmission Main Replacement",OH3100012,884,Hamilton,"$838,190 ",Design,24-Sep,PLN/DES,SWDO
4,Addyston,"Distribution, LSL, and Transmission Main Replacement",OH3100012,900,Hamilton,"$10,728,381 ",Construction,25-Jun,SML/LSL,SWDO
5,Addyston,Sekitan Avenue Watermain and LSL Replacement,OH3100012,900,Hamilton,"$1,345,942 ",Construction,25-Jun,SML/LSL,SWDO
6,Adena,Blairmont Road Waterline,OH4100003,606,Jefferson,"$720,120 ",Construction,24-Sep,SML,SEDO
7,Akron,Fluoride and Hydrochloric Acid Feed System Replacement,OH7700011,"280,000",Summit,"$2,638,500 ",Construction,24-Aug,STD,NEDO
8,Akron,Raw Water Intake Valve Replacement & Repair ph 1,OH7700011,"280,000",Summit,"$385,000 ",Construction,24-Oct,STD,NEDO
9,Akron,Quayle Pumping Station Improvements,OH7700011,"280,000",Summit,"$760,342 ",Construction,24-Jul,STD,NEDO
10,Akron,Brittain Road Reservoir Replacement Construction,OH7700011,"280,000",Summit,"$40,000,000 ",Construction,25-Jan,STD,NEDO
11,Akron,Water Plant Water Main Upgrade,OH7700011,"280,000",Summit,"$210,000 ",Construction,24-Sep,STD,NEDO
12,Akron,Copley Township Water Main Extension for Regionalization,OH7700011,"280,000",Summit,"$1,400,000 ",Construction,24-Dec,REG,NEDO
13,Akron,Hawkins Ave (S) Water Main Extension,OH7700011,"280,000",Summit,"$324,600 ",Construction,24-Dec,STD,NEDO
14,Akron,Pump Ball Valve & Limitorque Manual Valve Replacement,OH7700011,"280,000",Summit,"$5,668,000 ",Construction,25-Jan,STD,NEDO
15,Akron,Lead Service Line Replacement 2024,OH7700011,"280,000",Summit,"$11,145,764 ",Construction,24-Aug,STD/LSL,NEDO
16,Akron,NSSM Arborwood Dr Water Main Replacement,OH7700011,"280,000",Summit,"$381,809 ",Construction,24-Sep,STD,NEDO
17,Akron,NSSM Hudson Aurora Rd Herrick Park Dr Water Main Ext.,OH7700011,"280,000",Summit,"$768,100 ",Construction,24-Oct,STD,NEDO
18,Akron,US 224 Waterloo Rd Water Main Extension,OH7700011,"280,000",Summit,"$2,312,500 ",Construction,25-Jan,STD,NEDO
19,Akron,Water Main Replacement Program 2024,OH7700011,"280,000",Summit,"$5,472,350 ",Construction,24-Oct,STD/LSL,NEDO
20,Akron,Lead Service Line Replacement Program 2025,OH7700011,"280,000",Summit,"$12,000,000 ",Construction,24-Aug,STD/LSL,NEDO
21,Akron,Wheeling and Lake Erie RR Yard Water Main Repair,OH7700011,"280,000",Summit,"$306,500 ",Construction,24-Dec,STD,NEDO
22,Akron,Sodium Hypochlorite Feed System Replacement,OH7700011,"280,000",Summit,"$3,105,000 ",Construction,24-Aug,STD,NEDO
23,Akron,Water Main Replacement Program 2025,OH7700011,"280,000",Summit,"$5,000,000 ",Construction,25-May,STD,NEDO
24,Albany,Water Tank Replacement Project,OH5000003,917,Athens,"$961,800 ",Construction,25-Apr,SML,SEDO
25,Amesville,Water Distribution Improvements,OH0500112,120,Athens,"$145,500 ",Design,24-Sep,PLN/DES,SEDO
26,Amesville,Water Distribution Improvements,OH0500112,120,Athens,"$3,000,000 ",Construction,25-Jun,SML,SEDO
27,Ansonia,Water Tower Replacement,OH1900012,"1,126",Darke,"$89,000 ",Construction,24-Oct,DIS,SWDO
28,Ansonia,Water Tower Rehab,OH1900012,"1,155",Darke,"$587,000 ",Construction,24-Jul,SML,SWDO
29,Aqua Ohio Inc.,Mansfield Regionalization Phase 1,OH7001612,766,Richland,"$3,200,000 ",Construction,25-Jan,DIS/EC,NWDO
30,Aqua Ohio Inc.,Mansfield Water Treatment Plant,OH7001612,766,All Counties,"$650,000 ",Design,25-Jun,PLN/DES,NWDO
31,Arlington,Mountain Ash Drive Waterline Improvements,OH3200012,"1,451",Hancock,"$190,000 ",Construction,24-Oct,SML,NWDO
32,Ashtabula County,Harpersfield Water Tower,OH0400803,"98,622",Ashtabula,"$3,300,000 ",Construction,25-Jan,STD,NEDO
33,Ashtabula County,Northeast Regional Waterline Extension,OH0400803,"14,200",Ashtabula,"$10,432,000 ",Construction,25-Jun,DIS/REG,NEDO
34,Ashtabula County,Lenox New Lyme Waterline Extension,OH0400803,"13,972",Ashtabula,"$1,744,600 ",Construction,24-Jul,DIS/REG,NEDO
35,Ashtabula County,Austinburg to Harpersfield Interconnect,OH0400803,"13,972",Ashtabula,"$1,600,000 ",Construction,25-May,STD,NEDO
36,Ashtabula County,Bishop Road Waterline Extension Phase 1,OH0400803,"13,972",Ashtabula,"$700,000 ",Construction,24-Jul,STD,NEDO
37,Ashtabula County,Bishop Road Waterline Extension Phase 2,OH0400803,"13,972",Ashtabula,"$670,000 ",Construction,25-Jan,STD,NEDO
38,Ashtabula County,Jefferson Booster Station Replacement,OH0400803,"13,972",Ashtabula,"$1,180,000 ",Construction,24-Sep,STD,NEDO
39,Ashtabula County,Lake Road Waterline Replacement,OH0400803,"13,972",Ashtabula,"$870,000 ",Construction,25-Jan,STD,NEDO
40,Ashtabula County,S River Road Waterline Extension Phase 2,OH0400803,"13,972",Ashtabula,"$1,988,000 ",Construction,25-Jan,DIS/REG,NEDO
41,Ashville,Water System Improvement Ashville/Earnhart Hill Connection,OH6500012,"4,505",Pickaway,"$78,488 ",Design,24-Jul,PLN/DES,CDO
42,Ashville,Water System Improvement Ashville/Earnhart Hill Connection,OH6500012,"4,671",Pickaway,"$784,878 ",Construction,25-May,SML,CDO
43,Ashville,Water System Improvement New Water Treatment Plant,OH6500012,"4,505",Pickaway,"$1,135,000 ",Design,24-Jul,PLN/DES,CDO
