County Served,Applicant Name,Project Name,Project Description,Population  Served,Priority  Point  Rank,Assistance Amount,Additional  Subsidization  (Principal  Forgiveness),Unfunded/Match  Portion,Estimated  Construction  Start Date,*GPR Component Cost,*GPR  Type,GPR  Project,Disadvantaged  Criteria,PWSID Number,Appropriation fund  being used
Mobile,"*Mobile, AL (MAWSS),  Board of Water and  Sewer Commissioners  of the City of",FS010096-08 Mobile Board of Water & Sewer Commissioners (MAWSS) - Mobile DWSRF Master Plan Phase I (2019-2023) Supplemental,"Project Description: The Mobile Board of Water and Sewer Commissioners (MAWSS) proposes improvements to Stickney WTP which include installation of VFD and actuator pumps, improvements to Operations Building, HVAC improvements to blower and sludge pump buildings, replacement of six (6) MCCs, new emergency generator, new main electrical and generator building, repairs and renovations to reservoirs, new finished water line to clearwells, new laboratory, security upgrades, new flammable storage building, and sludge removal; solids handling and SCADA improvements at Myers WTP; DC to AC conversion study and emergency by-pass connection at Big Creek Pump Station; development of SCADA change management processes and procedures; design and implementation support of Wide Area Network (WAN) SCADA; development of updated radio telemetry; cybersecurity program design: structural, mechanical, and electrical upgrades to various booster pump stations; and implementation of permanent spill isolation and contamination prevention BMPS at Big Creek Lake. These improvements will insure continued provision of safe drinking water to all service area customers. ","259,224",SUPP,"$7,336,075.00",$0.00,$0.00,N/A,N/A,N/A,N,Y,AL0001005,DWSRF/DWBIL
"Clarke,Monroe,Wilcox","*CWM (Clarke, Wilcox,  and Monroe) Water Authority","FS010404-01 Clarke, Wilcox, and Monroe Water Authority – CWM New Well and Treatment ","Project Description: The CWM Water Authority proposes a project to address longstanding water quality problems and provide a safe water supply to CWM customers by developing a water supply well at Lower Peach Tree and constructing a reverse osmosis Water Treatment Plant at the site. Water produced by this well/treatment facility would be virtually free of DBP precursors, total dissolved solids, and other contaminants which tend to produce HAA5 and TTHM compounds. The project would provide a safe and healthier supply of water to CWM customers. ","1,800",370,"$743,505.00","$743,505.00",$0.00,1/1/2023,"$336,170.00","WEE, GI",Y,Y,AL0001764,DWBIL
Wilcox,*Wilcox County Water and Sewer District,FS010384-01 Wilcox County Water and Sewer District - Wilcox Water Well Improvements ,"Project Description: Wilcox County Water and Sewer District proposes to install 2 new water wells to include well house, backup generator, telemetry, piping, and disinfection equipment. Completion of this project would result in lower costs for purchasing water. ","8,423",250,"$736,080.00",$0.00,"$4,500,000.00",N/A,N/A,N/A,N,Y,AL0001371,DWBIL/ARPA
Pickens,"*Reform, City of",FS010359-01 City of Reform – Reform Water System Upgrades,"Project Description: The City of Reform proposes to develop a new water supply well, install a new 500,000 gallon storage tank, and install strategic isolation valves in the distribution system. Completion of this project would result in improved service to existing customers. ","2,376",230,"$5,500,000.00","$5,500,000.00",$0.00,5/1/2023,"$1,119,500.00",WE,Y,y,AL0001107,DWBIL
Bibb,"*West Blockton, Town  of",FS010192-02 Town of West Blocton - West Blocton Water System Improvements ,"Project Description: The Town of West Blocton proposes a project for their system that entails 5.3 miles of water main replacements, the installation of an emergency generator, valve replacement, water meter replacement, and the replacement of a pump station. Completion of this project would result in improved service to existing customers. ","4,050",190,"$375,000.00",$0.00,"$2,998,990.00",2/15/2023,"$2,546,900.00",WE,Y,Y,AL0000097,DWBIL/ARPA
Greene,*Greene County Water and Sewer Authority,FS010431-01 Greene County Water and Sewer Authority - Greene County Water Improvements,"Project Description: The Greene County Water and Sewer Authority proposes crucial improvements to their drinking water source, treatment, storage, and distribution system. Proposed improvements include replacement of all existing water meters with new Automatic Meter Reading (AMR) meters; development and installation of a new drinking water supply/production well; replacement of approximately 1,165 LF of broken water main along US-43 two miles north of Forkland near CR-42 and of approximately 1,000 LF along SR-14 seven miles north of Clinton near CR-119; extension of approximately 1,700 LF of water main to eliminate a dead-end and create a complete loop along Acorn Circle and CR-18; and the inspection, repair, and rehabilitation of existing water supply well. These improvements will ensure the provision of safe drinking water and benefit all service area customers.","2,692",135,"$3,336,328.00","$3,011,328.00","$1,666,672.00",1/21/2023,"$420,600.00",WEE,Y,Y,AL0000643,DWBIL/ARPA
Clarke,"*Thomasville, City of",FS010304-01 City of Thomasville - Thomasville Water System Improvements ,"Project Description: The City of Thomasville proposes improvements to their drinking water system in active response to a Consent Order concerning exceedances of disinfection byproducts, total trihalomethanes (TTHM). Project scope will consist of the cleaning, media blasting, and recoating of interiors and exteriors of two existing 2.0 MG ground level water storage tanks (GSTs) and one 0.125 MG elevated water storage tank. New mixing systems will also be added to these same tanks to maintain chlorine residuals, regulate water temperature, and reduce water age within each tank. The remaining 1.0 MG ground level storage tank, which has been assessed as structurally deficient beyond repairs will be completely replaced by a new 1.0 MG GST with mixing system. Proposed improvements will deter future formation of disinfection byproducts in compliance with Consent Order requirements and insure the provision of safe drinking water to all service area customers. ","3,900",135,"$819,300.00",$0.00,"$5,000,000.00",4/1/2023,"$2,110,000.00","WEE, GI",Y,Y,AL0000262,DWBIL
Mobile,"*Mobile, AL (MAWSS),  Board of Water and  Sewer Commissioners  of the City of",FS010096-09 Mobile Board of Water & Sewer Commissioners (MAWSS) – Mobile Causeway Water Main Replacements and Rehabilitation,"Project Description: Mobile Board of Water & Sewer Commissioners proposes the emergency replacement and/or rehabilitation of various existing sections of the Causeway Water Main to the Spanish Fort Water System which are experiencing significant water loss. Proposed improvements will include replacing or rehabilitating more than 9,300 LF of 20-inch HDPE main. As MAWSS currently supplies 70% of Spanish Fort’s total water supply, these repairs are immediately and urgently needed to eliminate existing water loss. ","259,224",135,"$4,707,700.00",$0.00,$0.00,N/A,N/A,N/A,N,Y,AL0001005,DWSRF/DWBIL
Clarke,"*Grove Hill, Utilities  Board of the Town of","FS010197-02 Town of Grove Hill, Utilities Board – Grove Hill Water System Improvements ","Project Description: The Utilities Board of the Town of Grove Hill proposes installing of a new drinking water production well near US Highway 84 and Lavender Road. The Utilities Board currently operates four (4) 200-gpm wells for a combined production of approximately of 770,000 gpd when all four wells are operating at the maximum recommended running time of sixteen (16) hours a day. These maximized operating conditions, however, result in a reduction of both the design life and reliability of production equipment. Extreme dry weather conditions have also created a peak water demand of nearly 900,000 gpd such that an additional well of 200-gpm or greater is really needed. Additional proposed work items would include installation of approximately 500 LF of 8-inch water main in connecting the new well to the existing distribution system and nearly 4,000 LF of 6-inch water main to connect two dead end lines along Love Road (CR-18) to allow two-way feed from the well. Proposed improvements will insure an adequate supply of drinking water to all Grove Hill service area customers.","3,750",130,"$1,550,000.00","$775,000.00","$775,000.00",,$0.00,N/A,N,Y,AL0000255,DWBIL
Calhoun,"*Weaver, City of", FS010121-03 City of Weaver - Weaver Booster Pump Station , Project Description: The City of Weaver proposes to install a new booster pump station at the existing connection to the Anniston water system. Completion of this project would result in pressure adequate to completely fill the Water Tower Road tank. ,"3,061",95,"$671,250.00","$335,625.00",$0.00,4/1/2023,N/A,N/A,N,Y,AL0000168,DWBIL
