Score,WSID,Water System / Borrower,User Popln,Project, 2022 Loan Amount ,Loan Acct GB,GB Disadv Subsidy,Loan Acct GS,GS Disadv Subsidy,Years,Admin %
Continuing construction projects,,,,,,,,,,,
245,5290,Brattleboro,12200,Pleasant Valley water treatment plant $," $1,715,000.00 ",,,"$1,715,000 ","$857,500 ",30,0
210,5040,Lyndonville,4500,Vail Dr transmission main, $-   ,,,,,,
220,5136,"Alburgh, Village of",576,Water Tank replacement, $-   ,,,,,,
195,5212,Castleton FD1,1940,Ellis Orchard transmission main, $-   ,,,,,,
155,5112,Lunenburg FD 1,250,"Wells, transmission mains, bldg addition, generator, telemetry", $-   ,,,,,,
145,5609,Bull Run,420,Treatment for iron and manganese, $-   ,,,,,,
140,9073,Killington Center Owners  Assoc / KC Inn,132,"Radium treatment; storage, booster pump, and distribution upgrades", $-   ,,,,,,
140,5179,"Randolph, Town of",2700,N Reservoir tank and wellhouse, $-   ,,,,,,
130,5045,St Johnsbury,5000,Water treatment plant improvements $," $4,320,957.00 ",,,"$4,320,957 ","$2,160,479 ",40,0
130,5092,Champlain Water District  (wholesale popln),83500,Essex West pump station (continuing), $-   ,,,,,,
130,5083,Milton Mobile Home  Cooperative,260,Replace asbestos-cement mains," $200,000.00 ",,,"$200,000 ","$100,000 ",40,0
125,5609,Bull Run,420,New finished water storage tank, $-   ,,,,,,
105,5150,"Jeffersonville, Village of",700,"Jeff Heights tank, main & pipe upgrades"," $750,000.00 ",,,"$750,000 ","$375,000 ",30,2
105,5130,"St Albans, City of",10200,Aldis Hill storage tank, $-   ,,,,,,
90,5319,Hartford,7600,"S Main St, Gates St, N Main St", $-   ,,,,,,
Potential construction loans that submitted priority list applications,,,,,,,,,,,
175,21010,Killington Town, > 750,New community water system," $4,020,192.00 ","$4,020,192 ","$170,192 ",,,40,0
165,20964,South Alburgh FD2,150,Phase 2 of extensions to poor quality private wells," $1,145,384.00 ",,,"$1,145,384 ","$572,692 ",40,0
