Rank,Points,Entity,PIF No.,PWS ID No.,"Population
Served",Project Name,Project Description,"Requested
Phase(s)",Total Project Cost
1,62.99,Goliad,16050,TX0880001,"1,624","City of Goliad
LSLR 2024","The project will consist of digging on both sides of the meter
for from water main tap to the meter from meter to the
house service lines, evaluating the materials, classifying
logging if, lead ,galvanized, copper, pvc, or poly tubing After
making sure it is approved material, (a) document in the file
in LSLR survey packet files and cover up dig site,(b) If
material needs to be replace, do so with approved AWWA
material or document that it needs to be changed out, file it
in the LSLR survey report packet, and replace identified non
conforming services per TCEQ and guidelines.",PDC,"$530,000.00"
2,60.43,Cotulla,16051,TX1420001,"3,996","Lead Service Line
Inventory and
Replacement","The City of Cotulla aims to complete the service line
inventory and replace lead service lines in the area. This
project includes finishing the inventory and replacing the
galvanized and lead service lines in the system.",PDC,"$398,000.00"
3,51.81,Lower Valley WD,16052,TX0710154,"64,332","Lead Service Line
Replacement
Project","The District proposes to hire one (1) temporary staff person
to continue inventory, catalogue, and identify lead service
lines in private properties.  Staff will submit for plumbing
permits to replace lines that have been identified.  The
District will contract with a third-party vendor to replace
those lines that have been identified.  This vendor will
replace lines from the water meter to the homes to be
compliant. The project will include the installation of any
service lines, plumbing fixtures and appurtenances needed
to fulfill TCEQ’s requirements on the resident’s property.
The District will task an inspector that will make sure that
the work is completed to the resident’s satisfaction and
submit a final report for each property that was worked on.",PDC,"$570,000.00"
4,54.54,Beaumont,16053,TX1230001,"54,359","Lead Service Line
Inventory and
Replacement","The City of Beaumont aims to complete this service line
inventory and replace lead and galvanized service lines
requiring replacement in the area. This project includes
finishing the inventory and replacing the galvanized and
lead service lines in the defined project area. The project
will also conduct public outreach for awareness.",PDC,"$7,602,000.00"
5,54.68,"Pine Village Public Utility
District",16054,TX1010901,"3,516","Lead Service Line
Inventory and
Replacement
Program","The majority of the District’s utilities date back to the early
1970s. Therefore, the maintenance and upkeep of the
District’s assets is critical to ensure quality and reliable
service to its constituents. The proposed project is
comprised of two phases which includes the 1) lead service
line inventory and replacement plan, and 2) lead service line
replacement. The inventory and replacement plan will
identify and include both the public and private sides of the
water service lines. Additionally, the inventory and
replacement plans will identify possible changes to Lead
and Copper sampling within the system, water system
reporting, public education requirements, and the
introduction of a new lead trigger level. Further details on
the requirements of the lead service line replacement,
including environmental impact analysis, will be identified at
a later date. Once more information is available, we can
then provide additional details into the planning and scoping
for the lead service line replacement. For purposes of this
PIF, we used best judgement practices to estimate the
costs associated with the lead service line replacement. The
District is in the process of completing the lead service line
inventory. As of today, the District has confirmed 223
service lines do not contain lead material based on available
historical data and record drawings. The remaining 499
service lines were constructed prior to 1988 (most date
back to the early 1970s) and the material is currently listed
as unknown. The District is preparing to perform field
verification inspections soon to identify the material of the
499 service lines.",PDC,"$2,715,000.00"
6,54.39,Meridian,16055,TX0180002,"1,493","City of Meridian
LSLR","The City of Meridian is requesting funds to assist in the final
inventory and replacement of identified lead service lines.",PDC,"$7,940,395.00"
9,52.91,Beeville,16058,TX0130001,"13,680","Beeville Lead
Service Line
Replacement","Beginning in 2021 the City utilized a GIS program to identify
the City's main lines and location. The city of Beeville has
contracted with Mid Cimarron, LLC to asset city utility
maintenance crews to inventory customer water service
lines to identify the applicable pipe material. Per Lead and
Copper Rule Revisions (LCRR), upon completion all
unidentified lead and galvanized pipe service lines will be
replaced. As of March 29, 2024, 1,693 of the City's 4,761
services have been inventoried. The inventory of the
remaining service lines and identification of existing lead
and galvanized service line pipe materials will be
completed/known by June 1, 2024.",PDC,"$1,960,231.80"
10,52.27,Port Arthur,16059,TX1230009,"56,039","Lead Service Line
Inventory",Develop inventory,P,"$4,806,260.00"
