Rank,Points,Entity,PIF No.,PWS ID No.,Population Served,Project Name,Project Description,Requested Phase(s),Total Project Cost
1,62.99,Goliad,16050,TX0880001,1624,City of Goliad LSLR 2024,"The project will consist of digging on both sides of the meter for from water main tap to the meter from meter to the house service lines, evaluating the materials, classifying logging if, lead
,galvanized, copper, pvc, or poly tubing After making sure it is approved material, (a) document in the file in LSLR survey packet files and cover up dig site,(b) If material needs to be replace, do so with approved AWWA material or document that it needs to be changed out, file it in the LSLR survey report packet , and replace identified non-conforming services per TCEQ and guidelines.",PDC,530000
2,60.43,Cotulla,16051,TX1420001,3996,Lead Service Line Inventory and Replacement,The City of Cotulla aims to complete the service line inventory and replace lead service lines in the area. This project includes finishing the inventory and replacing the galvanized and lead service lines in the system.,PDC,398000
3,58.17,Brazoria,16081,TX0200003,2875,City of Brazoria Lead Service Line Replacement,"City plans to complete a GIS database of existing water services, a complete lead service line inventory with the replacement of all identified lead service lines. The project includes lead service line inventory, lead service line replacement plan, public communications plan, water sample/testing plan. With completion of planning phases, city will complete the design, bidding, and construction of replacement of lead service lines.",PDC,3224520
4,54.69,Italy,16063,TX0700028,1926,City of Italy LSLR,"This project will identify, map, and inventory the water service connections within the City of Italy, including evaluation of the piping material. The inventory will identify any lead service lines which will need to be replaced with future funding for design and construction.",P,200000
5,54.68,Pine Village Public Utility District,16054,TX1010901,3516,Lead Service Line Inventory and Replacement Program,"The majority of the District�s utilities date back to the early 1970s. Therefore, the maintenance and upkeep of the District�s assets is critical to ensure quality and reliable service to its constituents. The proposed project is comprised of two phases which includes the 1) lead service line inventory and replacement plan, and 2) lead service line replacement. The inventory and replacement plan will identify and include both the public and private sides of the water service lines. Additionally, the inventory and replacement plans will identify possible changes to Lead and Copper sampling within the system, water system reporting, public education requirements, and the introduction of a new lead trigger level. Further details on the requirements of the lead service line replacement, including environmental impact analysis, will be identified at a later date. Once more information is available, we can then provide additional details into the planning and scoping for the lead service line replacement. For purposes of this PIF, we used best judgement practices to estimate the costs associated with the lead service line replacement. The District is in the process of completing the lead service line inventory. As of today, the District has confirmed 223 service lines do not contain lead material based on available historical data and record drawings. The remaining 499 service lines were constructed prior to 1988 (most date back to the early 1970s) and the material is currently listed as unknown. The District is preparing to perform field verification inspections soon to identify the material of the 499 service lines.",PDC,2715000
6,54.54,Beaumont,16053,TX1230001,54359,Lead Service Line Inventory and Replacement,The City of Beaumont aims to complete this service line inventory and replace lead and galvanized service lines requiring replacement in the area. This project includes finishing the inventory and replacing the galvanized and lead service lines in the defined project area. The project will also conduct public outreach for awareness.,PDC,7602000
7,54.39,Meridian,16055,TX0180002,1493,City of Meridian LSLR,The City of Meridian is requesting funds to assist in the final inventory and replacement of identified lead service lines.,PDC,7940395
8,53.66,RPM WSC,16056,TX2340016,2300,FM 279 RPM Chandler County,"RPM WSC is required to replace all lead water service lines. They have found lead service lines down FM279, FM2010 and along Chandler Interconnect that will need to be replaced. RPM is requesting funding to be able to replace the existing lead service lines and provide safe and reliable drinking water.",DC,250000
9,52.91,Beeville,16058,TX0130001,13680,Beeville Lead Service Line Replacement,"Beginning in 2021 the City utilized a GIS program to identify the City's main lines and location. The city of Beeville has contracted with Mid Cimarron, LLC to asset city utility maintenance crews to inventory customer water service lines to identify the applicable pipe material. Per Lead and Copper Rule Revisions (LCRR), upon completion all unidentified lead and galvanized pipe service lines will be replaced. As of March 29, 2024, 1,693 of the City's 4,761 services have been inventoried. The inventory of the remaining service lines and identification of existing lead and galvanized service line pipe materials will be completed/known by June 1, 2024.",PDC,1960231.8
10,52.27,Port Arthur,16059,TX1230009,56039,Lead Service Line Inventory,Develop inventory,P,4806260
11,52.26,Crystal City,16060,TX2540001,6504,Crystal City Lead Service Line Replacement,"The City of Crystal City requests funds to complete an inventory of potential lead-service lines, as well as replacement funds for identified lines. The city estimates that approximately 90% of all households were built before 1980, which suggests there is a high prevalence of lead-service lines. Replacing water lines has continued to be a high priority for Crystal City, as it has identified approximately 40,750 linear feet of old cast iron and asbestos line that need to be replaced due to high water losses and continuous leaks. The proposed budget includes an estimated 2,430 service connections that will need proposed line replacements, which will require approximately 135,000 linear feet of service lines in yards from water meters to residential homes. This project also includes inventory funds, which will determine the complete scope of lead service line replacement needs, as well as meet the Texas Water Development Board�s inventory guidelines.",PDC,15231334
12,52.08,3-D Mobile Home and RV Park,16061,TX 0910072,95,Lead Service Line Replacement 3D,Project will be to replace all galvanized lines that were put in use when the mobile home park was built. Homes all have pex put in so will be main water lines to each lot that will need to be replaced.,DC,100000
13,51.82,Brady,16062,TX1540001,5770,City of Brady Phase II LSLR Project,"Replacement of galvanized lines for water services to include from the water main to the home plus paving repair, landscaping and other repairs as needed for affected areas.",C,11950000
14,51.81,Lower Valley WD,16052,TX0710154,64332,Lead Service Line Replacement Project,"The District proposes to hire one (1) temporary staff person to continue inventory, catalogue, and identify lead service lines in private properties. Staff will submit for plumbing permits to replace lines that have been identified. The District will contract with a third-party vendor to replace those lines that have been identified. This vendor will replace lines from the water meter to the homes to be compliant. The project will include the installation of any service lines, plumbing fixtures and appurtenances needed to fulfill TCEQ�s requirements on the resident�s property. The District will task an inspector that will make sure that the work is completed to the resident�s satisfaction and submit a final report for each property that was worked on.",PDC,570000
15,49.61,Willis,16065,TX1700003,6561,Lead Service Line Inventory and Replacement,"Create an inventory of the City's service lines connected to the water distribution system to develop an accurate analysis of the current condition and prepare for the removal of lead lines. This may include non-routine lead sampling, inventory methods, such as observation, excavation, vacuum, and analysis.",P,305000
16,49.59,Marshall,16068,TX1020002,23461,Water Service Line Replacement,"Design, bidding, inspection, and construction administration for replacement of an estimated 850 lead service lines to be confirmed in the lead service line inventory phase.",PDC,7457463
17,48.26,Wills Point,16064,TX2340005,6648,Wills Point LSLR Project,"Proposed project includes identifying lead service lines, design of removal and replacement, and construction work to remove and replace lead lines. City expects to use Force Accounting agreement to complete parts of the LSLR inventory.",PDC,631400
18,47.48,El Campo,16056,TX2410002,12602,Lead Service Line Replacement Project,The City of El Campo is currently preparing the initial lead and copper service line inventory. The TWDB LSLR funds will be used for the lead service line replacement project throughout the entire City of El Campo. The project will include design and construction.,DC,10053000
19,47.39,Wilmer,16067,TX0570018,5370,City of Wilmer Lead Service Line Inventory and Replacement Program,"The City of Wilmer, Texas has deep concern about the problem of lead water services. Their concern is rooted with a strong interest in protecting the public's health from the harmful effects of lead in drinking water. By undertaking this project, the City intends to eliminate lead water services from their system if any are identified. This project will be approached in two phases. The first phase will be to perform the EPA and TCEQ mandated lead service inventory and submit said inventory to TCEQ well in advance of the October 2024 deadline. The second phase of the project will be to replace all identified lead services with appropriate new water service materials. This second phase will include planning, design, stakeholder coordination, and construction services.",PDC,2768073.75
20,46.85,Granbury,16069,TX1110001,10080,Lead Service Line Replacement,"In accordance with the regulations set forth by the Texas Commission on Environmental Quality (TCEQ) in its revised Lead and Copper Rules, the City is required to develop an inventory of the materials of construction for all water service lines in the distribution system. The City currently provides potable water service to 6,159 connections within its distribution system. Based upon the age of the distribution system and insights provided by Staff, there is likely a significant portion of the distribution system which have water services which utilize lead or galvanized materials. The City is requesting financial assistance from Texas Water Development Board to determine the exact number and location as well as replacement of the lead and galvanized service lines within the distribution system.",,4240000
21,46.2,Alice,16057,TX1250001,17891,City of Alice LSLR,"The City of Alice is requesting funding in order to purchase a trailer-mounted hydro-excavator and truck to transport the hydro-excavator, funds to reimburse play for City Staff doing the Inventory; funds to pay for clerk who will input into TCEQ/EAP excel spreadsheet, the inventory data; funds to hire a consulting firm to locate service lines with GIS map coordinates, to investigate and to determine material of service lines, and to categorize such lines to determine non-lead or lead for replacement. These activities and investigations will enable the City to have a more accurate figure to be determined for sampling requirements under the rule, excavation, and for the replacement cost of known lead service lines immediately upon their discovery.",P,769321
22,45.88,Sherman,16070,TX0910006,43645,Lead Service Line Location and Replacement Program,Revised PIF from SFY2023. Seeking funding for on-going Phase 3 (Field Verification of Service Lines Material) and future Phase 4 (Monitoring & Public Communications to Support Verification of LSLs) and Phase 5 (LSLs Replacement Planning and Mitigation).,PDC,8768258.28
23,44.98,Cleburne,16072,TX1260003,31352,Cleburne LCRR Inventory and Replacement Plan,"This project will include completion of a lead service inventory, supplemental lead sampling, planning and design for infrastructure, design, and construction cost for removal/replacement of goosenecks pigtails/connectors/service lines/ and acquisition of temporary water filter systems for affected households.",PDC,48492400
24,44.96,Longview,16073,TX0920004,81092,Water Service Line Replacement,"The city is developing a water service line inventory to identify lead services. A crew is going to unknown services to identify material type. The city is also sending a survey to customers to identify their service line material. Any lines identified on the public side will be replaced. Private service lines identified will be reported to customers. The city will work with customers to replace lead/galvanized material. In addition, the City has hired KSA Engineers to assist in the data processing and reporting.",PDC,6246113
25,44.78,Panorama Village,16074,TX1700026,2513,Lead Service line Replacement Inventory Study,"Create an inventory of the City's service lines connected to the water distribution system to develop an accurate analysis of the current condition and prepare for the removal of lead lines. This may include non-routine lead sampling, inventory methods, such as observation, excavation, vacuum, and analysis.",P,125000
