call_label,severity,field,issue,suggestion
1_col_names,ERROR,PWSID,Expected column 'PWSID' defined in data dictionary is missing from all data files,Add PWSID column to all files or update data dictionary to reflect that this field contains 'No Information'
1_col_names,ERROR,Project Cost,Expected column 'Project Cost' defined in data dictionary is missing from all data files,Add Project Cost column to all files or update data dictionary to reflect that this field contains 'No Information'
1_col_names,ERROR,Funding Amount,Expected column 'Funding Amount' defined in data dictionary is missing from SFY26_Base_Final_Amended_PPL.csv,Add 'Funding Amount' column or confirm this data is intentionally absent for Base PPL
1_col_names,WARNING,DW SRF % PF,Column 'DW SRF % PF' exists in SFY26_Base_Final_Amended_PPL.csv but data dictionary does not explicitly mention this field,Update data dictionary to document 'DW SRF % PF' or clarify its relationship to 'Principal Forgiveness'
1_col_names,WARNING,DW SRF PF%,"Column 'DW SRF PF%' exists in SFY26_EC_Draft_PPL.csv, SFY26_Gen_Supp_PPL.csv, and SFY26_LSLR_Draft_PPL.csv but data dictionary does not explicitly mention this field",Update data dictionary to document 'DW SRF PF%' or clarify its relationship to 'Principal Forgiveness'
1_col_names,INFO,Interest Rate,Column 'Interest Rate' exists in all data files but is not defined in the data dictionary,Add 'Interest Rate' to the data dictionary or document why this column is not part of the standardized schema
1_col_names,INFO,County,Column 'County' exists in all data files but is not explicitly defined in the data dictionary,Add 'County' to the data dictionary or document its relationship to 'Geographic Reference'
1_col_names,INFO,Attachment Project Name,Column 'Attachment Project Name' exists in all data files but is not explicitly mapped in the data dictionary,Clarify that 'Project Name' is extracted from this 'Attachment Project Name' column
1_col_names,INFO,Attachment Project Description,Column 'Attachment Project Description' exists in all data files but is not explicitly mapped in the data dictionary,Clarify that 'Project Description' is extracted from this 'Attachment Project Description' column
1_col_names,INFO,source,Column 'source' exists only in SFY26_Gen_Supp_PPL.csv and is not defined in the data dictionary,Add 'source' to the data dictionary or document why it appears in only one file
2_types_nulls,ERROR,Priority Ranking Points,"Column contains non-numeric values ('SUPP', 'NA') but dictionary specifies numeric type. SFY26_Base_Final_Amended_PPL.csv has character type with mixed values including 'SUPP'. SFY26_Gen_Supp_PPL.csv and SFY26_LSLR_Draft_PPL.csv also contain 'SUPP' values.","Define clear rules: either convert 'SUPP' and 'NA' to numeric codes, store as character with validation that only numeric strings and 'SUPP'/'NA' are allowed, or separate into two columns (numeric score + supplemental flag)."
2_types_nulls,ERROR,DW SRF PF and DW SRF Amount Granted,"SFY26_EC_Draft_PPL.csv shows identical values for DW SRF Amount Granted and DW SRF PF in all 8 rows, and DW SRF PF% is always 1.0. This suggests the entire granted amount is being forgiven, which is conceptually problematic and indicates possible data quality or mapping issues.",Verify source data: confirm whether DW SRF PF values are correctly populated in the EC Draft IUP or if this represents a special policy for EC projects. Cross-reference with source documents.
2_types_nulls,WARNING,Population,"3.8% NA rate in SFY26_Base_Final_Amended_PPL.csv (1 row missing out of 26) and 3.1% NA rate in SFY26_Gen_Supp_PPL.csv (1 row missing out of 32). Dictionary does not specify if Population is required, but it appears critical for borrower analysis.","Clarify whether Population is a required field. If required, investigate missing rows and obtain data. If optional, document which projects lack population data."
2_types_nulls,WARNING,Interest Rate,"High NA rates across files: 30.8% in SFY26_Base_Final_Amended_PPL.csv, 100% in SFY26_EC_Draft_PPL.csv, 43.8% in SFY26_Gen_Supp_PPL.csv, and 83.3% in SFY26_LSLR_Draft_PPL.csv. Dictionary does not specify whether this field is required.",Clarify whether Interest Rate must be populated at data entry time or if it is legitimately unknown for draft/unfunded projects. Document the business rules for when Interest Rate should vs. should not be available.
2_types_nulls,WARNING,DW SRF % PF,"SFY26_Base_Final_Amended_PPL.csv has 65.4% NA rate (17 out of 26 rows). Dictionary states 'No information' for Principal Forgiveness on Base PPL projects, but field is present. Inconsistent with other files (Gen Supp, LSLR, EC) which have 0% NA.",Confirm that Base PPL projects legitimately have no principal forgiveness data at this stage. Consider populating with explicit null indicator or removing column from Base file if not applicable.
2_types_nulls,WARNING,PWSID,Dictionary states 'No Information' for PWSID but column is not present in any of the four files. This creates ambiguity about whether PWSID should exist.,"Clarify data dictionary: either confirm PWSID is not collected for this state (and remove from dictionary), or add the column to all files if it should be present."
2_types_nulls,WARNING,Project Cost,"Dictionary states 'No Information' for Project Cost, and column is absent from all files. Unlike Applied for Project Amount, the actual project cost is not captured.","Confirm whether Project Cost should be collected. If available in source documents, add to files. If not applicable, clarify difference between Project Cost and Applied for Project Amount in dictionary."
2_types_nulls,WARNING,Project Rank,"Dictionary states 'No Information' for Project Rank, but column is absent from all files. No ranking position data is provided.","Clarify whether Project Rank should be populated from source IUPs. If available, add column. If not collected, document why ranking is not captured despite Project Score being available."
2_types_nulls,WARNING,Funding Amount,"Dictionary specifies Funding Amount should be populated from 'DW SRF Amount Granted' for Gen Supp, LSLR, and EC files (0% NA), but 'No Information' for Base PPL. SFY26_Base_Final_Amended_PPL.csv lacks this column entirely, which aligns with dictionary but creates inconsistency across funding stages.","Confirm Base PPL projects have not yet been awarded funding. Consider adding 'Funding Amount' column to Base PPL file with null values and explicit documentation, or standardize column presence across all files."
2_types_nulls,INFO,Applied for Project Amount,"SFY26_LSLR_Draft_PPL.csv row 4 (Birmingham) shows Applied for Project Amount = 252,000,000 but DW SRF Amount Granted = 40,979,388, indicating SRF covers ~16% of requested project cost. This is valid but extreme compared to other projects (~50-100% coverage).",This may be a large-scale project legitimately requesting substantial funding. Verify Birmingham project description and funding strategy are correctly captured.
2_types_nulls,INFO,Applicant Name,"Multiple rows contain embedded newline characters ('\n') in Applicant Name (e.g., 'Attalla Water Works Board, City\nof', 'Calera, Water Works Board of the\nCity of'). These are data formatting artifacts from source documents.",Standardize Applicant Name values by removing or replacing embedded newlines with spaces or removing the continuation entirely to ensure clean categorical data.
2_types_nulls,INFO,Project Description and Attachment Project Description,"Some rows in SFY26_Base_Final_Amended_PPL.csv have trailing newlines in Project Description and Attachment Project Description columns (e.g., '2022 Water Treatment Plant\nImprovements').",Clean up embedded newline characters in text fields for consistency and to prevent parsing issues in downstream analysis.
2_types_nulls,INFO,Disadvantaged scoring columns,"SFY26_Base_Final_Amended_PPL.csv uses 'Disadvantaged Score' (numeric, range 0-3.12), while SFY26_Gen_Supp_PPL.csv, SFY26_LSLR_Draft_PPL.csv, and SFY26_EC_Draft_PPL.csv use 'Disadvantaged Rank' (numeric, range varies by file). Dictionary uses different thresholds (>1 for Yes, ≤1 for No) but column names differ.",Standardize column naming across all files (either 'Disadvantaged Score' or 'Disadvantaged Rank'). Clarify threshold rules and ensure consistent interpretation of what constitutes a disadvantaged community across all project types.
3_script_logic,ERROR,project_score,"The dictionary states 'No Information' when Priority Ranking Points is 'SUPP' or 'NA', but the script also maps 'N/A' to 'No Information'. The literal string 'NA' from the source may already be converted to actual NA by fread (since na.strings='' does not catch 'NA'), but 'N/A' is an additional value not mentioned in the dictionary. This may be fine, but 'N/A' is not explicitly listed in the dict as a value to replace.","Confirm with source documents whether 'N/A' appears as a literal string distinct from 'NA'; if so, document this extension to the dictionary rule. If not, remove 'N/A' from the ifelse condition."
3_script_logic,ERROR,disadvantaged,"The case_when for 'disadvantaged' has no .default or TRUE fallback, meaning records where disadvantaged_score or disadvantaged_rank cannot be coerced to numeric (e.g., blank, non-numeric, or NA values) will silently produce NA rather than any documented value. The dictionary does not define a 'No Information' or NA outcome for this field.",Add a fallback: .default = NA_character_ (and document it) or 'No Information' if that is the intended representation for missing disadvantaged data.
3_script_logic,ERROR,project_id,"The script renames the source column using 'as.character(project_number)', but the data dictionary maps Project ID to 'Project #'. After janitor::clean_names(), 'Project #' likely becomes 'project_number', which appears correct. However, the rename step uses 'project_number' directly without any rename call — this is fine — but there is no explicit check that the source column 'Project #' / 'project_number' exists in all four input files (base, gen, lslr, ec). If any file uses a different column name, the project_id will silently be all NA.",Add a validation or assertion that 'project_number' exists in each source data frame before binding rows.
3_script_logic,ERROR,project_type,"For Base PPL and Gen Supp PPL projects, the EC keyword check in the project_type mutate references the variable 'ec_str', which is not defined anywhere in the script. This will cause a runtime error.","Define 'ec_str' as a regex pattern concatenating all EC keywords listed in the dictionary (cyanotoxin, dioxane, IIJA EC, IIJA-EC, BIL EC, BIL-EC, emerging contaminant, lithium, manganese, Mn, Perfluoro-n-pentanoic acid, PFPeA, PFAS, PFOA, PFOS, DBP, disinfection byproduct, HAA5, haloacetic acid, trihalomethane, THM, Unregulated Contaminant Monitoring Rule) before using it here."
3_script_logic,ERROR,project_type,"The Lead keyword check uses grepl('lsl|lead', ...) but the dictionary specifies 'lead' OR 'LSL' (case-insensitive via ignore.case=TRUE). The pattern 'lsl|lead' with ignore.case=TRUE covers this, but the order of checks matters: EC is checked after Lead. The dictionary does not specify priority between Lead and EC if both keywords appear; this ambiguity is unresolved.",Clarify and document which project_type takes precedence if both lead and EC keywords appear in the description. Current order (Lead checked first) should be explicitly acknowledged.
3_script_logic,WARNING,funding_amount,"The dictionary states that for Gen Supp PPL, LSLR PPL, and EC PPL, funding_amount comes from 'DW SRF Amount Granted'. However, the summarise step for duplicate FS010369-01 sums dw_srf_amount_granted before clean_numeric_string is applied (the numeric conversion happens before summarise), but clean_numeric_string is applied after summarise to the already-numeric value. The interaction between convert_to_numeric and clean_numeric_string on the same column may produce unexpected formatting.",Ensure that clean_numeric_string is applied only once and that the numeric aggregation (sum) and string formatting steps do not conflict. Consider summing the raw numeric values and then formatting once.
3_script_logic,WARNING,disadvantaged,"For the Gen Supp PPL list value used in the disadvantaged case_when, the script uses 'SFY26 Gen Supp PPL' but the list column is set as 'SFY26 Gen Supp PPL' in al_gen. This matches. However, after the bind_rows and collapse, it is possible that FS010387-10 (which is kept as a duplicate) may have its 'list' value overwritten by dplyr::first() in summarise for other records. For FS010387-10 specifically, the two rows have different 'list' values (Base PPL and Gen Supp PPL), and the disadvantaged logic depends on 'list'. Only the first list value is retained, potentially misclassifying disadvantaged status for the second phase.","For FS010387-10, verify which 'list' value should apply to each phase row and ensure the disadvantaged classification uses the correct list value for each retained row."
3_script_logic,WARNING,project_name,"The dictionary states Project Name is 'Extracted from Attachment 2 of each IUP'. The script reads project_name from a column named 'attachment_project_name' after clean_names(). If the source CSVs do not contain this column or name it differently, the field will be silently NA for all rows.","Verify that the source CSV files contain a column that maps to 'attachment_project_name' after janitor::clean_names(), or add an explicit check."
3_script_logic,WARNING,project_description,"The dictionary states Project Description is 'Extract from Attachment 2 to each IUP'. The script renames 'attachment_project_description' to 'attachment_description', then maps it to project_description. If the source column name differs across any of the four files, the rename will fail or silently produce NAs.",Confirm that all four source CSVs contain 'attachment_project_description' (post clean_names) and add a column existence check or use rename_with for safety.
3_script_logic,WARNING,project_description,A hardcoded post-hoc mutation appends ' | FT: LSLR' to project_description for project_id 'FS010027-03'. This transformation is not documented in the data dictionary and its purpose is unclear from the script alone.,"Document the reason for this transformation in a comment or in the data dictionary. If it reflects a tagging convention, ensure it is applied consistently to all relevant projects."
3_script_logic,WARNING,project_score,"The dictionary says 'No Information' when Priority Ranking Points is 'SUPP' or 'NA'. The script checks for c('SUPP', 'N/A', 'NA') after str_squish. However, actual NA values (not the string 'NA') produced by fread will not be caught by %in% since NA != 'NA' in R. These will remain as NA rather than 'No Information'.","Add an explicit is.na() check: project_score = ifelse(is.na(project_score) | project_score %in% c('SUPP', 'N/A', 'NA'), 'No Information', project_score)."
3_script_logic,WARNING,requested_amount,"The script applies clean_numeric_string to 'applied_for_project_amount' for all lists. The dictionary maps Requested Amount to 'Applied for Project Amount', which appears correct. However, clean_numeric_string is not defined in this script, so its behavior cannot be verified against the dictionary's type expectations.","Ensure clean_numeric_string is defined and documented, and that its output format (string vs numeric) is consistent with how requested_amount is used downstream."
3_script_logic,INFO,pwsid,"The dictionary states PWSID is 'No Information' for Alabama Year 4. The script sets pwsid = as.character(NA), which represents the absence of data as NA rather than the string 'No Information'. This may be inconsistent with how other 'No Information' fields are handled (e.g., funding_amount, principal_forgiveness use the string 'No Information').","For consistency, consider setting pwsid = 'No Information' to match the string-based convention used for other fields with no available data, unless NA is the intended representation."
3_script_logic,INFO,project_cost,"The dictionary states Project Cost is 'No Information' for Alabama Year 4. The script sets project_cost = as.character(NA) instead of the string 'No Information', inconsistent with how funding_amount and principal_forgiveness handle missing info.",Set project_cost = 'No Information' to match the convention used for other fields documented as having no information.
3_script_logic,INFO,project_rank,The dictionary states Project Rank is 'No Information' for Alabama Year 4. The script sets project_rank = as.character(NA) instead of the string 'No Information'.,Set project_rank = 'No Information' to match the convention used for other documented no-information fields.
3_script_logic,INFO,NA,"The script uses rm(list=setdiff(ls(), 'al_clean')) inside the function body. Since ls() inside a function returns the local environment variables, this is unusual and may cause unexpected behavior depending on the R environment. It does not affect data quality but is a code hygiene concern.","Remove or replace with explicit rm() calls for specific intermediate objects (al_base, al_gen, al_lslr, al_ec, al_iup, al_iup_collapsed) to avoid unintended side effects."
4_script_data,ERROR,project_score,"The Base PPL column is named 'Priority Ranking\nPoints' (with a newline in the header), which after janitor::clean_names() becomes 'priority_ranking_points'. The Gen Supp PPL and LSLR/EC PPL column is named 'Priority\nRanking Points' (newline in a different position), which becomes a different snake_case name (e.g. 'priority_ranking_points' vs 'priority_n_ranking_points' or similar depending on how janitor handles the embedded newline). If these resolve to different column names, the bind_rows will create two separate columns and project_score will be NA for many rows.",Check the exact column name each file produces after clean_names(). Add an explicit rename step before bind_rows to normalize both variants to a single consistent name like 'priority_ranking_points'.
4_script_data,ERROR,attachment_description / attachment_project_description,"The Base PPL file has the column named 'Attachment  Project Description' (double space), while the EC, LSLR, and Gen Supp files have 'Attachment Project Description' (single space). After janitor::clean_names() these should both resolve to 'attachment_project_description', but the double-space variant could resolve differently (e.g. 'attachment__project_description'). If the rename to 'attachment_description' only finds one variant, descriptions from one source will be lost.","Verify clean_names() output for the Base PPL double-space column. If it produces a different name, add an explicit rename before bind_rows to normalize it to 'attachment_project_description'."
4_script_data,ERROR,disadvantaged,"The data dictionary says Disadvantaged=Yes when Disadvantaged Score/Rank > 1, and No when <= 1. The threshold value of exactly 1 maps to 'No'. In the Gen Supp PPL data, Marion/Perry County has Disadvantaged Rank = 1.00 exactly, which would correctly get 'No'. However, in the LSLR data, Selma has Disadvantaged Rank = 0.67 (correctly 'No') but the script's case_when for non-Base lists checks 'disadvantaged_rank' while the Base list checks 'disadvantaged_score'. If a row from a non-Base file has no 'disadvantaged_rank' column (or it is NA), the case_when will fall through to NA with no default, producing silent NAs rather than an error.","Add a catch-all .default = NA_character_ or a warning for unmatched rows. Also verify that all four files have been confirmed to produce either 'disadvantaged_score' or 'disadvantaged_rank' after clean_names, not both or neither."
4_script_data,ERROR,al_iup_collapsed (summarise logic),"In the group_by/summarise collapse step, the dw_srf_amount_granted and dw_srf_pf cases are computed first, but then 'across(everything(), first)' overwrites ALL columns including dw_srf_amount_granted and dw_srf_pf with their first values, negating the aggregation logic above. The across(everything(), first) call comes after the named columns in summarise, which in dplyr means the across result takes precedence and overwrites the previously computed aggregations.","Move the named aggregations (dw_srf_amount_granted, dw_srf_pf) after the across() call, or use across(everything() minus those two columns, first) to avoid overwriting the aggregated values."
4_script_data,WARNING,project_score,"The script maps 'SUPP' and 'N/A' and 'NA' to 'No Information', but the actual data contains 'SUPP' as a string value in Priority Ranking Points (confirmed in Base and Gen Supp samples). The Base PPL column for this is character type; the EC PPL column is numeric. When the EC PPL is read with colClasses='character', 'SUPP' would appear as a string if present, but in the EC sample, all values are numeric (70-190). No issue there, but the LSLR PPL also has 'SUPP' as a string in a column read as character - this should be fine. However, the exact string 'N/A' vs 'NA' needs verification; the data shows 'SUPP' but no 'N/A' string is visible in the sample. If the actual data uses 'NA' as a literal string vs R's NA, the na.strings='' setting means 'NA' would NOT be converted to R NA and would remain as the string 'NA', which the ifelse correctly catches.","Confirm whether 'N/A' (with slash) actually appears in any source file, or only 'SUPP' and blank/NA. If 'N/A' does not appear, the check is harmless but the data dictionary should be updated."
4_script_data,WARNING,borrower / applicant_name,"Several Applicant Name values contain embedded newlines (e.g., 'Attalla Water Works Board, City\nof', 'Calera, Water Works Board of the\nCity of', 'Albertville, Municipal Utilities Board of the City of,\nWater System'). str_squish() only collapses internal whitespace and trims ends but does NOT remove or replace newline characters embedded in strings—it will collapse \n to a single space, which is the desired behavior, but this should be verified since \n followed by additional text could produce unexpected spacing.","str_squish() should handle this correctly as it treats \n as whitespace. Verify output for 'Attalla Water Works Board, City\nof' becomes 'Attalla Water Works Board, City of' as expected."
4_script_data,WARNING,project_type,"The EC type detection regex uses the variable 'ec_str' which is not defined anywhere in the shown script. If it is defined globally elsewhere, this is fine, but it is a hidden dependency. Additionally, the regex check for Lead uses grepl('lsl|lead', ...) but the Base PPL project FS010027-03 gets a special project_description suffix '| FT: LSLR' appended at the end—if this project is on the Base PPL, project_type would be assigned by the regex (since project_type column is not pre-set for Base/Gen Supp rows), so it would correctly get 'Lead' from the 'lsl' match. But the ordering of case_when means !is.na(project_type) is checked first; for Base PPL rows, project_type is not pre-assigned, so it will be NA and fall through to regex—this is correct.",Confirm 'ec_str' is defined and accessible in scope when clean_al_y4() runs. Consider inlining or documenting it.
