No.,PWS,Total Points,PWS ID.,Project Cost,Population,Small System (Y/N),MHI,Disadvantaged (Y/N),Project Description
1,North East Water Association,331,33,"$12,200,000.00","3,540",YES,"$19,689.00",YES,System Expansion to serve Henderson & Gamaliel Areas
2,Benton County Water Authority #5,913,40,"$854,696.00","1,468",YES,"$48,077.00",NO,Main Replacements and Interconnection to Rambo Water District No. 1
3,Gillham Lake Regional Water System,185,658,"$4,083,100.00",N/A,NO,N/A,NO,Water Treatment Plant Rehabilitation and Expansion
4,Clinton Waterworks,175,564,"$4,400,000.00","5,725",YES,"$30,125.00",YES,Water Treatment Plant Clarifier
5,Mena Water Utilities,174,438,"$7,000,000.00","5,590",YES,"$28,222.00",YES,Irons Fork Water Treatment Facility Improvements
6,Hozanna Heights Water Association,149,884,"$5,180.00",79,YES,"$18,682.00",YES,New Treatment Installation
7,Central Arkansas Water,144,465,"$16,400,000.00","330,667",NO,"$51,165.00",NO,West Pulaski County Extension
8,Pleasant View Water PFB,127,202,"$1,287,098.00","1,698",YES,"$34,819.00",YES,Royal Oak and Manitou Mountain Extensions
9,Siloam Springs Water Works,124,56,"$21,033,125.00","19,022",NO,"$38,750.00",YES,Water Treatment Facility Improvements
10,Lockesburg,84,517,"$2,223,385.00",853,YES,"$31,213.00",YES,Replacement of Distribution System
11,Old Bella Vista POA,83,753,"$500,000.00",130,YES,"$30,700.00",YES,Water System Improvements
12,Viola,74,205,"$85,000.00",387,YES,"$35,673.00",YES,Rehabilitation of Existing Storage Tank
13,Scranton Waterworks,73,330,"$5,974,000.00","1,100",YES,"$24,500.00",YES,Connection to the City of Clarksville - Transmission Facilities
14,Lee County Water Association,64,313,"$222,500.00","5,033",YES,"$27,901.00",YES,Aerator Installment
15,Southeast Bradley County Water Association,64,870,"$2,358,073.00","2,665",YES,"$36,310.00",YES,Connection and Consolidation with Banks as well as main replacements
16,Central Arkansas Water,64,465,"$2,000,000.00","313,588",NO,"$43,890.00",YES,Galvanized Pipe Replacement Project
17,Bearden,63,401,"$780,200.00",921,YES,"$31,095.00",YES,Tank Rehabilitation Project
18,"Gould, City of",62,316,"$789,312.00","1,041",YES,"$34,107.00",YES,"New 150,000 Gal. Elevated Storage Tank"
19,Central Arkansas Water,60,465,"$35,000,000.00","313,588",NO,"$43,890.00",YES,"Ozark Point Water Treatment Plant - Reliability & Redundancy Improvements, solar panels"
20,Arkadelphia,60,85,"$2,843,900.00","10,716",NO,"$27,344.00",YES,Gum Springs Water System Improvements Project
21,Central Arkansas Water,58,465,"$675,000.00","313,588",NO,"$43,890.00",YES,"12"" Asbestos Cement & Cast Iron Pipe Replacement, Roosevelt Road"
22,Central Arkansas Water,58,465,"$1,750,000.00","313,588",NO,"$43,890.00",YES,"24"" Suction Main to Pump Station/Tank No. 23 - Montgomery"
23,Conway Corporation,53,189,"$8,000,000.00","52,000",NO,"$41,917.00",YES,Water Quality Compliance Project
24,Omaha,48,64,"$850,000.00","1,163",YES,"$23,740.00",YES,Water System Improvements
25,Jasper,47,397,"$1,108,260.00",466,YES,"$14,333.00",YES,Water Line Rehabilitation
26,Marshall,47,501,"$1,128,000.00","2,760",YES,"$30,214.00",YES,Water Line Rehabilitation
27,Chidester,45,403,"$817,500.00",335,YES,"$25,500.00",YES,New Storage Tank & Pump Replacement Project
28,Siloam Springs,45,56,"$9,600,000.00","14,672",NO,"$38,750.00",YES,"Rehab Tank, New RW Transmission Main, Rehab AC Dist Mains"
