"PPL
Rank","PPL
Score",Participant,MHI,"Population
Served","PWSID
No","SRF
Project No.",Project Description,"Lead Service Line
Replacement Cost","Emerging
Contaminants?","Disadvantaged
Community?","Green
Project
Reserve
Category","Current
User Rate
(per 4,000
gallons)","Estimated
Post-Project
User Rate
(per 4,000 gallons)","Requested
Funds","Cumulative
Requested
Funds",Estimated Total Project Cost,Cumulative Total
1,136,Huntington / Andrews,"$63,672","1,049",5235001,DW160935 02,"Regionalization with Andrews, Distribution Improvements +
Lead Service Line Replacements","$1,669,000",No,No,N/A,$37.95,TBD,"$28,454,000","$28,454,000",,
2,124,Jackson County Water Utility,"$79,088","13,667",36003/52360,DW243436 05,"Source, Storage, Treatment, and Distribution System
Improvements",$0,"Yes - PFAS, Mn",No,N/A,$50.40,TBD,"$29,289,000","$57,743,000",,
3,121,Evansville,"$52,070","173,000",5282002,DW220482 04,New Water Treatment Plant,$0,Yes - PFAS,Yes,"WE, EE",$33.74,$45.86,"$299,000,000","$356,743,000",,
4,120,Montezuma,"$53,152","1,022",5261005,DW233461 02,New Water Treatment Plant,$0,Yes - Mn,Yes,N/A,$44.16,$170.84,"$8,235,000","$364,978,000",,
5,118,Cayuga,"$49,449","1,162",5283002,DW232983 03,"Regionalization with Lodi and Source, Treatment, and
Distribution System Improvements",$0,TBD,Yes,N/A,$23.95,TBD,"$11,839,000","$376,817,000",,
6,111,Frankton,"$56,907","1,800",5248008,DW223648 01,"Source, Storage, and Distribution Improvements + Lead
Service Line Replacement","$2,784,000",No,No,WE,$42.28,$236.58,"$21,362,000","$398,179,000",,
7,106,Milford,"$46,650","1,556",5243017,DW242243 01,"Storage, Treatment, and Distribution Improvements + Lead
Service Line Replacement","$1,011,000",Yes - Mn,Yes,WE,$32.41,$96.09,"$6,910,000","$405,089,000",,
8,98,Huntington,"$53,925","17,022",5235001,DW244035 03,Source Improvements and New Water Treatment Plant,$0,No,No,"WE, EE",$40.40,TBD,"$36,601,000","$441,690,000",,
9,98,Union City,"$38,306","3,454",5268010,DW241868 01,"Source, Treatment, and Distribution Improvements + Lead
Service Line Replacement","$1,818,000",No,Yes,N/A,$26.57,$39.54,"$20,570,000","$462,260,000",,
10,92,Milton,"$49,291",650,5289011,DW224189 02,Distribution Improvements (Phase 2),"$920,000",No,Yes,WE,$58.76,TBD,"$5,889,000","$468,149,000",,
11,85,Oxford,"$45,833","1,165",5204005,DW223404 02,"Source, Storage, and Distribution Improvements + Lead
Service Line Replacement (Phase 1)","$2,730,000",No,Yes,N/A,$46.38,$105.00,"$10,227,000","$478,376,000",,
12,81,Chesterfield,"$43,944","2,800",5248004,DW230648 01,"Source, Treatment, and Distribution System Improvements
+ Lead Service Line Replacement","$1,145,000",No,Yes,N/A,$23.80,$73.59,"$16,912,000","$495,288,000",,
13,81,South Bend,"$38,675","115,000",5271014,DW234671 03,"Distribution Improvements + Lead Service Line
Replacements","$5,000,000",No,Yes,EE,$17.27,$17.99,"$14,253,000","$509,541,000",,
14,77,Goshen,"$45,745","35,000",5220009,DW244420 03,"Distribution Improvements + Lead Service Line
Replacements","$4,534,000",No,Yes,N/A,$34.23,$35.50,"$7,037,000","$516,578,000",,
15,73,Kentland,"$55,329","1,735",5256005,DW222156 01,Source and Treatment Improvements,$0,Yes - Mn,No,TBD,$26.13,$80.01,"$10,934,000","$527,512,000",,
16,72,Hamlet,"$55,000",801,5275001,DW243675 01,"Distribution System Improvements + Lead Service Line
Replacement","$268,000",No,No,WE,$23.56,$49.40,"$2,209,000","$529,721,000",,
17,70,Glenwood,"$68,660",313,5270002,DW233070 03,"Regionalization with Connersville and Distribution
Improvements",$0,Yes - Mn,No,"WE, EE",$68.27,$816.57,"$13,215,000","$542,936,000",,
18,69,Valley Rural Utility Company,"$112,500","5,529",5215004,DW224615 01,"Distribution Improvements + Lead Service Line
Replacement",TBD,No,No,WE,$32.68,$78.74,"$14,071,000","$557,007,000",,
19,65,Anderson,"$44,974","58,942",5248002,DW243948 02,"Distribution System Improvements - Phase I + Lead
Service Line Replacement","$26,228,000",No,Yes,N/A,$21.98,TBD,"$80,795,000","$637,802,000",,
20,64,Rochester,"$65,508","6,089",5225006,DW243025 01,"Distribution System Improvements + Lead Service Line
Replacement","$966,000",No,No,WE,$18.88,$28.32,"$7,275,000","$645,077,000",,
21,62,Citizens Energy Group (Indianapolis),"$39,985","936,630",5249004,DW234049 02,"Disribution Improvements + Lead Service Line
Replacement","$1,300,000",No,Yes,N/A,$29.08,$29.08,"$16,992,000","$662,069,000",,
22,62,Eaton,"$76,036","1,500",5218006,DW23261801,"Source, Treatment, and Distribution Improvements (Phase
2) + Lead Service Line Replacement","$2,400,000",No,No,"WE, EE",$43.65,$78.27,"$14,526,000","$676,595,000",,
23,61,Converse,"$54,479","1,265",5252006,DW241552 02,"New Water Treatment Plant and Distribution System
Improvements",$0,Yes - Mn,No,N/A,$60.00,$98.33,"$4,175,000","$680,770,000",,
24,61,North Manchester,"$63,029","5,277",5285009,DW241985 01,"Distribution System Improvements + Lead Service Line
Replacement",TBD,No,No,N/A,$31.84,$52.48,"$13,325,000","$694,095,000",,
25,60,Brazil,"$70,299","12,000",5211001,DW243311 02,Source and Distribution System Improvements,$0,Yes - Mn,No,"WE, CR",$33.40,$47.04,"$12,658,000","$706,753,000",,
26,60,Odon,"$40,341","1,379",5214005,DW223714 02,"Treatment, Storage, and Supply Improvements",$0,Yes - Mn,Yes,EE,$36.24,$70.71,"$4,764,000","$711,517,000",,
27,54,Brookston,"$60,370","1,631",5291002,DW243891 02,"Source, Treatment, and Distribution System Improvements",$0,Yes - Mn,No,WE,$38.05,$48.05,"$1,824,000","$713,341,000",,
28,54,"Turkey Creek Regional Sewer District
Water Utility","$76,923",575,5243012,DW247143 01,"Treatment, Storage, and Distribution Improvements",TBD,Yes - Mn,No,WE,$24.77,TBD,"$11,627,000","$724,968,000",,
