Loan Applicant,L17#,Project Description             ,Facility No.,"Estimated Construction
Start","Projected
Loan Amount","Disadvantaged Community
Principal
Forgiveness","Service
Population","Loan Priority
Score"
LIMA,5738,"NEW WATER SOURCE, CONNECT TO CLAYTON CAMP POINT WATER
COMMISSION",!L0010400,2022-06-01 0:00:00,"$500,000",250000,125,460
ASSUMPTION,5867,NEW WTP BUILDING W/ FILTERS/SOFTENERS/NITRATE REMOVAL/AERATOR/CHEMICAL FEED,IL0210050,2022-07-20 0:00:00,4065456,1250000,1368,435
1NDIAN CREEK HOA,5927,REPAINT WATER TOWER,ll113S2S0,2022-11-21 0:00:00,300000,150000,228,365
LASALLE,3780,TREATMENT PLANT IMPROVEMENTS,!L0990300,2023-01-02 0:00:00,1172000,586000,8897,360
NORTH CHICAGO,5812,NEW TRANSMISSION MAIN & WATERMAIN REPLACEMENT,!L09712SO,2022-12-01 0:00:00,9000000,1250000,16667,355
CULLOM,5780,"NEW 125,000-GAlLON WATER TOWER ANO DEMOLISH OLD TOWER",IL1050200,2022-11-07 0:00:00,2270000,1135000,550,345
GROVELAND TOWNSHIP WD,3077,"REPLACE PUMP STAT!ON, STORAGE TANK, CHEMICAL FEED, AND WATERMAINS",ll1795200,2022-11-17 0:00:00,1902000,951000,2430,345
BLUE MOUND,5761,"PHASE 2 - WATERMAIN REPLACEMENT & REHAB 2 ELEVATED WATER
TOWERS",1l1150100,2022-08-01 0:00:00,1383000,691500,1300,330
CARROLLTON,4008,NEW TREATMENT PLANT,ll05100SO,"11/1/2,022",4500000,1250000,2441,325
FORRESTON,5892,REPLACEMENT OF 660 WATER METERS & METER READ SYSTEM,ll1410200,2022-07-15 0:00:00,450000,225000,1368,320
MACON,5736,WATER METER AND WATERMA!N REPLACEMENT AND CONSTRUCT A NEW WELL,ll1150250,2022-05-01 0:00:00,1838571,919286,1215,315
CARMI,5832,"REPLACE 2,500 LF OF WATERMA1NS & REPLACE 1 PRESSURE REDUCING
STATION",ll1930100,2022-07-01 0:00:00,1150000,575000,4740,315
PROPHETSTOWN,3559,NEW WELL & NEW WTP,ll1950400,2022-09-01 0:00:00,4420000,1250000,1946,310
MOUNT CARROLL,6005,WATEMA!N REPLACEMENT & LOOPING,ll0150200,2022-11-01 0:00:00,511800,255900,1717,305
SIBLEY,2037,"WTP UPGRADES, SECTION OF WATERMAIN REPLACEMENT, & WATER
METER REPLACEMENT",IL0530400,2022-05-01 0:00:00,612000,306000,272,305
PLEASANT PLAINS,3225,NEW ELEVATED WATER TOWER,!L1670900,2023-01-01 0:00:00,1390000,N/E,800,300
WILLIAMSFIELD,5989,"UPGRADE WTP, NEW GROUND STORAGE TANK, & REPlACE OLD WATER
MAINS",IL0950650,2022-10-01 0:00:00,1000000,500000,578,300
EVANSTON,3797,REPlACE RAW WATER INTAKE,!L0310810,S/1/2022,42230164,N/E,"504,000",285
ROCK FALLS,5719,PHASE 2 - WATERMAIN REPLACEMENT & LOOPING (PF limited),JU950450,2023-03-01 0:00:00,884000,429667,8789,285
ST. CHARLES,6102,NEW DEEP WELL & IMPROVEMENTS AT OHIO AVE WTP,IL0894830,2023-03-15 0:00:00,14000000,N/E,32709,280
MOUND CITY,4312,WATERMAIN EXTENSION,IU530100,2022-06-30 0:00:00,675500,337750,744,275
LEE,3252,NEW WATER TOWER AND NEW WELL,IU034600,2022-08-29 0:00:00,1607000,803500,327,275
MANUUS,5998,NEW WATER SERVICES FOR NEW CUSTOMERS & DEWATERING STRUCTURE AT PlANT,1L0110600,2023-02-01 0:00:00,254000,127000,359,275
VANDALIA,4177,NEW WATER TREATMENT PLANT & RAW WATERMAIN FOR NEW WATER SOURCE,IL0510350,2023-02-01 0:00:00,21099000,1250000,7458,270
DONNELLSON,6090,REPAINT WATER TOWER & INSTALL AMMONIA INJECTION EQUIPMENT,ll0054360,2023-02-01 0:00:00,600000,300000,210,250
KIRKWOOD,3452,DRILL NEW WELL & lN.si-ALl RAW WATERMAIN,IU870050,2022-10-30 0:00:00,313300,156650,714,250
NOKOMIS,6048,WATERMA1N REPlACEMENT & REHAB FILTERS/SOFTENERS/DETENTION TANK AT PLANT,lU3S0450,2022-08-15 0:00:00,3000000,1250000,2055,250
POLO,6050,PHASE 1 - WATER SYSTEM IMPROVEMENTS.,!l1410450,2023-10-01 0:00:00,2289000,1144500,2355,250
SOUTH HIGHWAY WD,4071,CONSTRUCTION OF 1600 LF OF WATERMA1N & REPLACEMENT OF BELOW GROUND PUMP STATION WITH AN ABOVEGROUND PUMP STATION,110775400,2022-08-01 0:00:00,530000,265000,4650,250
DOWNS,5234,"WTP UPGRADES, NEW WEU.. & NEW RAW WATER MAIN",!U130SOO,2022-08-15 0:00:00,"$3,574,000",N/E,949,245
ELIZABETH,5787,PHASE 2 - WELL HOUSE & WELL Ill IMPROVEMENTS,110850150,2023-03-01 0:00:00,537700,268850,761,245
FORSYTH,5864,lNSTAtlATION OF NEW WELL & WELLBUILDING,IU150200,2022-09-05 0:00:00,964000,N/E,3602,245
GREENVILLE,5774,CONSTRUCT NEWTflEATMENT PLANT,JLOOS0050,2023-02-01 0:00:00,17123050,1250000,6761,245
KIRKLAND,5850,WATERMAIN REPLACEMENT & INSTALL VALVES,110370300,2023-03-31 0:00:00,2984000,1250000,3477,235
ROCKFORD,4594,WELL NO. 34 TREATMENT IMPROVEMENTS TO REMOVE RADIUM AND IRON,ll2010300,2022-11-01 0:00:00,10555500,N/E,149597,235
GILMAN,1411,WATERMAIN REPLACEMENT,lL07504SO,2022-12-05 0:00:00,940000,470000,1814,230
MORRISON,3475,"PHASE 3 - 4,780 Ff WATERMAIN",1U950350,2023-02-01 0:00:00,1434000,717000,4188,230
DIXON,5648,PHASE 3 - REPLACEMENT & REHABILITATION OF WATERMAIN {PF limited),ll1030200,2023-03-01 0:00:00,3030500,259750,15733,225
DOWNS,3104,PHASE 1- INSTALLBOOSTERPUMPS STATION & WATERMA\N EXTENSION,111130500,2022-12-01 0:00:00,1620000,N/E,949,225
DONOVAN,5803,WATER SYSTEM IMPROVEMENTS,IL750400,6/6/2022,"$1,460,000",730000,306,220
SYCAMORE,5816,BRING WELL NO & BACK ONLINE,IL0370550,1/3/2022,"$3,403,595",1250000,17897,205
DIXMOOR,5975,WATER METER REPLACEMENT PHASE 1,IL0310660,2022-10-15 0:00:00,576000,288000,3518,205
OAK LAWN,5083,#5 - TRANSMISSION MAIN FROM MARION AVETHROUGll CROSSING CALUMET - SAG,IL0312220,2022-12-19 0:00:00,55300000,N/E,350000,205
OAK LAWN,5530,BID PACKAGE 7B- ORLAND PARK SPUR,IL0312220,2022-09-26 0:00:00,18700000,N/E,"3SO,OOO",205
OAK LAWN,5085,"#2- TRANSMISSION MAIN FROM ORLAND PARK & BOOSTER (Applieįd for
$45.SM but funding limited dueto 25% Program Cap)",IL0312220,2023-02-06 0:00:00,11000000,N/E,350000,205
TAYLOR SPRINGS,5788,PHASE 2 - REPLACE ASBESTOS CEMENT MAINS (PF),1l1350650,2022-09-01 0:00:00,900000,450000,690,185
RUSHVILLE,5778,"REPLACE GROUND STORAGE TANK, VALVES AND HYDRANTS. & REHAB
PUMP STATION",JU690200,2022-10-01 0:00:00,2120000,1060000,3200,180
