Rank,Points,Entity,PIF #,PWS ID,Name of Project,Project Description,Emerging Contaminant(s),Requested Phase(s),Total Project Cost
1,245,City of Idalou,17918,TX1520001,PFAS Water Treatment Improvements,"The City of Idalou discovered PFAS/PFOA contamination in their drinking water supply. The City currently operates four (4) active groundwater wells that function as separate entry points to the distribution system. The proposed project will include the pipe for all the waterline connections necessary to consolidate the entry points and acquiring easements as needed. It also includes the installation of PFAS specific media treatment equipment designed to effectively remove PFAS compounds from the City’s well water supply. In conjunction with the PFAS treatment improvements, the City will expand and upgrade its aeration equipment, treatment building, new piping and appurtenances, electrical system upgrades, instrumentation, and control system enhancements to integrate the new treatment components into the City’s existing SCADA and operational framework. Additionally, the City will expand its head tank capacity. The City of Idalou previously completed a USDA-funded water system improvement project to address 1,1-dichloroethylene (1,1-DCE) contamination, the City is requesting refinancing of the remaining USDA-related debt.",PFAS,PADC,8600000
2,240,Parker County SUD,17923,TX1840079,PCSUD SWTP No. 2,"The proposed project consists of constructing a new emerging contaminants reduction facility to address PFAS detected in the District’s source water. Major improvements include a new raw water transfer pump station with variable frequency drives, new chlorine dioxide pretreatment, and a chloramine feed system to minimize biofouling. The project also provides a new UF/RO splitter structure, two new UF trains, two new RO trains, two  new GAC contactor trains, permeate storage and flushing systems, and new UF and RO CIP systems. A new RO permeate degasification system will be installed to stabilize permeate prior to blending. Additional components include new HVAC systems, new chlorinator and chemical feed systems, a new finished-water clearwell, a new high-service pump station with VFDs, and a backup generator compliant with the District’s Emergency Preparedness Plan. The project also includes a new waste holding tank and disposal system, on-site irrigation and ancillary equipment, and construction of new control, treatment, and maintenance buildings. A new SCADA system will be provided to support and integrate the facility with the District’s existing SCADA network.",PFAS,DC,96463350
3,240,MacBee Special Utility District,17920,TX2340012,PFOS Pilot Study and Installation of a PFOS Treatment Plant,"The proposed project consists of the temporary deployment of a pilot-scale treatment system to evaluate technologies capable  of removing and destroying per- and polyfluoroalkyl substances (PFAS) from the District’s existing surface water supply. Upon successful completion of pilot testing and regulatory review, the project will include full-scale installation of a permanent PFAS treatment system designed to achieve compliance with current and anticipated EPA drinking water standards. The permanent system will provide both removal and on-site destruction of PFAS, eliminating the generation of long-term residual waste streams and ensuring protection of public health for the District’s 8,700 residents served.",PFOS (PFAS),PDC,8753500
4,235,East Rio Hondo WSC,17915,TX0310096,Martha Ann Simpson WTP Treatment Improvements,"The proposed project requests planning, design, and construction costs for treatment and removal of PFAS (perfluorooctanesulfonic acid [PFOS]) and lithium in finished water. East Rio Hondo Water Supply Corporation (ERHWSC) owns and operates the Martha Ann Simpson Water Treatment Plant (MASWTP), which serves the rural community of extreme South Texas in the Rio Grande Valley. The intent of this project is to equip the MASWTP with additional treatment capabilities to remove the currently identified regulated emerging  contaminants as well as those that may be present in the future. The current conceptual design utilizes brackish groundwater for blending to achieve downstream concentration goals. Additional improvements include pretreatment filtration and post-treatment systems, clean-in-place system, electrical, mechanical, and piping improvements, an injection well for concentrate disposal, two brackish groundwater wells, backup generators, and new building.","PFAS, Lithium",PDC,57416458.9
5,232,"North Texas MWD
Tawakoni WTP",17922,TX1290052,Tawakoni WTP PFAS Improvements,"The proposed project includes the design and construction of a granular activated carbon (GAC) treatment facility with a new pump station to treat raw water supplied from Lake Tawakoni for per and polyfluoroalkyl substances (PFAS). Project components include a new influent pump station, new GAC contactor vessels, associated piping, valves, instrumentation and  controls, electrical system, and site improvements necessary to reliably integrate PFAS treatment into the existing water treatment infrastructure.","PFOS, PFAS",DC,59000000
6,230,Donna,17914,TX1080002,Donna Water Treatment Plant PFAS Improvements,"City of Donna owns and operates the Southwest Surface Water Treatment Plant (SWSWTP). SWSWTP is currently rated at 4.5 million gallons per day (MGD) diverted from the Rio Grande River. UCMR 5 sampling uncovered the presence of several per-fluoroalkyl substances (PFAS) such as PFBS, PFBA, PFHxA, PFHxS, PFOS, PFPeA, and lithium, of which PFOS was fond to be above the proposed maximum contaminant limit. To mitigate these PFAS levels within the source water, the City of Donna proposes a reverse osmosis (RO) system that will reduce the concentration of these emerging contaminants in water.","PFAS, lithium",PDC,129743900
7,230,Brownsville Public Utilities Board,17911,TX0310001,"WTP #1 and WTP #2
PFAS Improvements","Brownsville Public Utilities Board owns and operates both the Water Treatment Plant #1 and Water Treatment Plant #2. Each plant is currently rated at 20 million gallons per day (MGD) diverted from the Rio Grande River for a total of 40 MGD. UCMR 5 sampling uncovered the presence of several per-fluoroalkyl substances (PFAS) such as PFBS, PFBA, PFOA, PFHxA, PFHxS, PFOS, PFPeA, and lithium, of which PFOS and PFOA were found to be above the proposed maximum contaminant limit. To mitigate these PFAS levels within the source water, Brownsville Public Utilities Board proposes an reverse osmosis (RO) system at each plant that will reduce the concentration of these emerging contaminants in the water to below detectable limits.","PFAS, Lithium",DC,487735300
8,230,City of Fort Worth,17916,TX2200012,Holly Water Treatment Plant PFAS Treatment Construction,This project will construct a per- and polyfluoroalkyl substance (PFAS) treatment at the City's South Holly municipal water treatment facility. This treatment will reduce the PFAS levels below the Maximum contaminant Level in the potable water supply. The City will use Granular Activated Carbon (GAC) adsorption to reduce the PFAS levels. GAC adsorption is recognized as the best available technology to reduce the PFAS levels in potable water.,PFAS,C,177312632
9,230,Dallas Water Utilities,17913,TX0570004,Bachman Water Treatment Plant PFAS Assessment,"The City of Dallas’ (DWU) Bachman Water Treatment Plant (WTP) is a critical water treatment facility accounting for 17% (150 million gallons per day (mgd)) of the City’s drinking water treatment rated capacity (900 MGD). Regular sampling of the primary source water supply (Elm Fork of the Trinity River) and at the WTP has measured concentrations of seven PFAS compounds approaching or above the EPAs established maximum contaminant levels (MCL). Specifically, PFOA and PFOS have been measured above MCLs. The proposed project includes preliminary engineering, design, and construction of the identified PFAS treatment strategy and plant improvements required to integrate new technology within the existing treatment process.",PFAS,PDC,440000000
10,207,Baytown Area Water Authority,17910,TX1011742,BAWA Surface Water Treatment Plants PFAS Removal System,"The Baytown Area Water Authority (BAWA) operates two surface water treatment plants: the BAWA Fritz Lanham SWTP and the BAWA East Surface Water Treatment Plant. BAWA conducted multiple sampling and testing events throughout 2023-2026. The results confirmed the presence of regulated PFAS compounds, including PFOA, PFOS, PFHxS, PFNA, and PFBS, in the finished water. BAWA is preparing to design, construct, and commission a treatment system to ensure regulatory compliance for PFAS removal before enforcement begins. To achieve this, BAWA plans to explore a Granular Activated Carbon (GAC) system at both the BAWA Fritz Lanham SWTP and BAWA East SWTP to effectively adsorb and remove PFAS chemicals from the finished water. However, part of the design will be researching different treatment options with both capital and life cycle costs evaluations.",PFAS,PDC,117582661
