No.,PWS,Total  Points,PWS  ID.,Project  Cost,Population,Small  System  (Y/N),MHI,Disadv-  antaged  (Y/N),Project  Description,Base or  General,LSL,EC
1,Benton County Water Authority  #5,913,40,"$854,696 ","1,468",YES,"$48,077 ",NO,Main Replacements and Interconnection  to Rambo Water District No. 1,X,,
2,Gillham Lake Regional Water  System,185,658,"$4,083,100 ",N/A,,N/A,N/A,Water Treatment Plant Rehabilitation and  Expansion,X,,
3,Mena Water Utilities,174,438,"$1,084,000 ","5,590",YES,"$28,222 ",YES,Irons Fork Water Treatment Facility  Improvements,X,,
4,Central Arkansas Water,144,465,"$18,500,000 ","330,667",NO,"$52,000 ",NO,West Pulaski County Extension,X,,
5,Siloam Springs Water Works,124,56,"$21,033,125 ","19,022",NO,"$38,750 ",YES,Water Treatment Facility Improvements,X,,
6,Lee County Water Association,64,313,"$222,500 ","5,033",,,,Aerator Installment,X,,
7,Southeast Bradley County  Water Association,64,870,"$2,358,073 ","2,665",,,,Connection and Consolidation with  Banks as well as main replacements,X,,
8,Central Arkansas Water,64,465,"$2,000,000 ","313,588",,,,Galvanized Pipe Replacement Project,X,,
9,Central Arkansas Water,60,465,"$35,000,000 ","313,588",,,,"Ozark Point Water Treatment Plant -  Reliability & Redundancy Improvements,  solar panels",X,,
10,Arkadelphia,60,85,"$2,843,900 ","10,716",,,,Gum Springs Water System  Improvements Project,X,,
11,Compton Waterworks,59,669,"$4,761,500 ",811,,,,Water Distribution System  Rehab/Replacement,X,,
12,Central Arkansas Water,54,465,"$1,300,000 ","330,667",,,,Ridgefield Estates Consolidation,X,,
13,Big Flat Waterworks,50,26,"$3,831,738 ",523,,,,Water System Rehab,X,,
14,Omaha,48,64,"$850,000 ","1,163",,,,Water System Improvements,X,,
15,Tillar,47,186,"$2,567,912 ",397,YES,"$36,705 ",YES,Water System Replacement,X,,
16,Central Arkansas Water,44,465,"$6,050,000 ","330,667",NO,"$51,165 ",NO,Paron Owensville Consolidation,X,,
17,Clinton Waterworks,43,564,"$5,150,000 ","2,506",YES,"$36,988 ",YES,Water Improvements,X,,
18,Bee Branch,43,462,"$3,724,000 ","5,700",YES,"$40,442 ",YES,Water System Improvements,X,,
19,Fifty Six,42,46,"$2,643,649 ",595,YES,"$33,750 ",YES,Water Main Replacement Project,X,,
20,Riversouth,42,674,"$2,849,400 ","4,168",YES,"$34,104 ",YES,Water System Improvements,X,,
21,CAW,40,465,"$3,225,000 ","313,588",NO,"$52,000 ",NO,Perla Consolidation,X,,
22,Southwest White County Water,40,185,"$14,441,906 ","11,270",NO,"$44,029 ",YES,Water System Improvements,X,,
23,Arkansas City,39,167,"$2,750,000 ",366,YES,"$39,922 ",YES,Water System Replacement,X,,
24,Rosston Water Department,38,395,"$545,651 ",750,YES,"$27,500 ",YES,Water Meter and Tank Improvements,X,,
25,Parkers Chapel,38,560,"$1,545,089 ","2,369",YES,"$41,106 ",YES,Water System Improvements,X,,
26,Central Arkansas Water,38,465,"$5,835,000 ","313,588",NO,"$43,890 ",YES,"Improve Pump Station 1A, Wilson Water  Treatment Plant",X,,
27,Siloam Springs Water Works,37,56,"$31,000,000 ","19,205",NO,"$58,569 ",NO,Water Treatment Facility Improvements,X,,
28,Felsenthal,36,545,"$713,874 ",150,YES,"$27,143 ",YES,Distribution Improvements,X,,
29,Lee County Water Association,35,313,"$881,500 ","5,033",YES,"$27,901 ",YES,Water Line Replacement,X,,
30,Judsonia Waterworks,34,582,"$1,365,270 ","2,745",YES,"$39,650 ",YES,Water System Improvements,X,,
31,New Hope Water Association,34,683,"$330,156 ","1,136",YES,"$41,106 ",YES,Water System Rehabilitation,X,,
32,Tumbling Shoals Water,33,579,"$5,055,000 ","3,150",YES,"$37,361 ",YES,Water System Improvements,X,,
33,Dermott Waterworks,32,82,"$3,981,696 ","2,889",,,,Waterline Replacement,X,,
34,"Strong, City of",32,556,"$1,341,781 ","1,220",,,,Water Line Replacement,X,,
35,"Reed, City of",32,603,"$612,256 ",141,,,,Water Line replacement,X,,
36,Caraway Waterworks,31,127,"$527,000 ","1,375",,,,Water Supply Well and Tank Rehab,X,,
37,Dota Public Water Authority,31,698,"$550,000 ","2,850",,,,New Tank,X,,
38,Leslie Waterworks,31,500,"$2,789,484 ",740,,,,Water Main Replacement Project,X,,
39,"Eudora, City of",30,83,"$4,000,000 ","3,158",,,,Water Line Replacement and System  Improvements,X,,
40,Washington Water Authority,29,574,"$12,000,000 ","15,103",,,,Water Main Extension,X,,
41,Johnson Township,29,640,"$1,394,995 ",600,,,,Water System Improvements,X,,
42,Batts Lapille,28,622,"$284,350 ",583,,,,Water System Improvements,X,,
43,Dumas Waterworks,28,171,"$270,023 ","6,061",YES,"$35,625 ",YES,Connection with Pickens,X,,
44,Cotter Waterworks,27,28,"$5,171,000 ",886,YES,"$29,423 ",YES,Water Main Rehab,X,,
45,Mitchellville,27,169,"$284,987 ",496,YES,"$18,383 ",YES,Water System Rehabilitation and Tank  Rehabilitation,X,,
46,Dermott Waterworks,26,82,"$1,040,383 ","2,889",YES,"$27,045 ",YES,New Well,X,,
47,Deer Water Association,25,670,"$468,275 ",398,YES,"$23,095 ",YES,Smith Mountain Road Extension,X,,
48,Mountainburg,25,141,"$30,000 ",950,YES,"$22,019 ",YES,Emergency Power,X,,
49,Village Water Association,24,115,"$402,183 ",379,YES,"$48,393 ",NO,Tank Rehab,X,,
50,Wright-Pastoria Water  Association,24,695,"$3,180,875 ","1,268",YES,"$35,381 ",YES,Water Main and Water Meter  Replacement Project,X,,
51,Strong,23,556,"$495,466 ","1,131",YES,"$29,884 ",YES,Well Construction,X,,
52,Lawson Urbana Water  Association,23,548,"$707,784 ","1,108",YES,"$41,106 ",YES,Well No. 4 Construction,X,,
53,Tri County Regional Water,22,782,"$800,000 ","16,698",NO,"$40,668 ",YES,Hector Plant Upgrade/Raw Water Pumps,X,,
54,Hickory Ridge,22,159,"$1,207,411 ",280,YES,"$30,568 ",YES,Water System Replacement,X,,
55,Vilonia,21,195,"$17,500,000 ","25,500",NO,"$67,650 ",NO,Water System Improvements,X,,
56,Holiday Island,21,78,"$7,510,000 ","2,373",YES,"$37,284 ",YES,Water Main and PRV Replacement,X,,
57,Marshall Waterworks,21,501,"$1,855,200 ","3,295",YES,"$27,154 ",YES,Water Main Rehab,X,,
58,Tyronza,21,426,"$245,000 ","1,262",YES,"$38,125 ",YES,Painting Elevated Tank,X,,
59,Dermott Waterworks,21,82,"$1,735,648 ","2,889",YES,"$22,077 ",YES,Water System Rehabilitation,X,,
60,Lewisville Waterworks,21,337,"$3,316,583 ","1,687",YES,"$23,182 ",YES,Waterline Improvements,X,,
61,Junction City Waterworks,21,552,"$2,283,408 ",552,,,,Water System Rehabilitation,X,,
62,Mountain View Water &  Wastewater,21,542,"$675,000 ","5,864",,,,Distribution System Improvements,X,,
63,Salem Water Users,21,492,"$9,000,000 ","15,713",,,,Water System Improvements,X,,
64,Mountain View,19,542,"$9,500,000 ","2,902",,,,Water System Improvements,X,,
65,CAW,18,465,"$4,000,000 ","313,588",,,,HSPS Phase 2,X,,
66,Bee Branch,17,642,"$65,000 ","3,345",,,,Water Line Replacement,X,,
67,Madison County Water  Facilities Board,17,349,"$1,255,696 ","9,688",,,,Booster Pump Station & Tank Rehab,X,,
68,North White County,14,583,"$521,350 ","5,300",,,,Water Meter Replacement,X,,
69,Watson Chapel,14,284,"$775,000 ","5,865",,,,Water Meter Replacement,X,,
70,Smackover Waterworks,13,555,"$942,429 ","2,821",YES,"$49,630 ",NO,Mount Holly Highway Water Line  Extension,X,,
71,Lisbon Water Association,13,716,"$276,337 ",487,YES,"$41,106 ",YES,Water Main Extension,X,,
72,Vilonia,11,195,"$1,045,300 ","23,177",NO,"$50,000 ",NO,Waterline Improvements,X,,
73,"Prescott, City of",11,394,"$3,397,276 ","5,198",YES,"$25,104 ",YES,Raw Water Main Replacement,X,,
74,East End Waterworks,11,646,"$2,500,000 ","5,800",YES,"$53,732 ",NO,Water Storage Tank,X,,
75,Monticello,3,184,"$2,146,616 ","9,467",YES,"$33,802 ",YES,Main St. Relocations,X,,
76,Helena Water Sewer,3,418,"$750,000 ","5,500",Yes,"$21,653 ",YES,Water Meter Replacement Project &  ESCO,X,,
77,West Helena Water Works,3,416,"$750,000 ","7,500",Yes,"$21,653 ",YES,Water Meter Replacement Project &  ESCO,X,,
78,Hope WL,3,230,"$450,000 ","11,405",NO,"$33,774 ",YES,Water Line Replacement,X,,
79,Central Arkansas Water,3,465,"$50,000,000 ","313,588",NO,"$43,890 ",YES,ESCO Audit,X,,
80,MARYSVILLE WATER  ASSOCIATION,3,1,"$6,000 ",744,YES,,,LSLI,,X,
81,MOUNT HOLLY  WATERWORKS,3,2,"$5,000 ",384,YES,,,LSLI,,X,
82,CALICO ROCK  WATERWORKS,3,3,"$14,320 ","1,603",YES,,,LSLI,,X,
83,FORREST CITY  WATERWORKS,3,4,"$97,140 ","15,435",NO,,,LSLI,,X,
84,ST CHARLES WATERWORKS,3,5,"$5,000 ",347,YES,,,LSLI,,X,
85,ALMYRA WATERWORKS,3,6,"$5,000 ",348,YES,,,LSLI,,X,
86,NORTHEAST DEWITT  WATER ASSOC,3,7,"$5,240 ",662,YES,,,LSLI,,X,
87,DEWITT WATERWORKS,3,8,"$30,620 ","3,294",YES,,,LSLI,,X,
88,GILLETT WATER DEPT,3,9,"$6,820 ",655,,,,LSLI,,X,
89,HUMPHREY WATERWORKS,3,10,"$5,060 ",602,,,,LSLI,,X,
90,HUGHES COMMUNITY  WATER ASSOC,3,11,"$17,300 ","2,030",,,,LSLI,,X,
91,NORTH LAGRUE WATER  ASSOC,3,12,"$5,000 ",296,,,,LSLI,,X,
92,STUTTGART WATERWORKS,3,13,"$85,400 ","9,085",,,,LSLI,,X,
93,MONTROSE / BOYDELL  WATER SYSTEM,3,14,"$5,000 ",473,,,,LSLI,,X,
94,HAMBURG WATERWORKS,3,15,"$46,000 ","5,357",,,,LSLI,,X,
95,FOUNTAIN HILL  WATERWORKS,3,16,"$7,780 ",890,,,,LSLI,,X,
96,CROSSETT WATER  COMMISSION,3,17,"$59,660 ","7,900",,,,LSLI,,X,
97,PORTLAND WATERWORKS,3,18,"$5,000 ",430,YES,,,LSLI,,X,
98,PARKDALE WATERWORKS,3,19,"$5,000 ",288,YES,,,LSLI,,X,
99,WILMOT WATERWORKS,3,21,"$5,580 ",550,YES,,,LSLI,,X,
100,NORTH CROSSETT  UTILITIES,3,22,"$25,780 ","2,924",YES,,,LSLI,,X,
101,NORTH EAST CROSSETT  WATER ASSN,3,23,"$5,000 ",154,YES,,,LSLI,,X,
102,BRIARCLIFF WATERWORKS,3,24,"$5,000 ",315,YES,,,LSLI,,X,
103,MOUNTAIN HOME  WATERWORKS,3,25,"$150,080 ","16,333",NO,,,LSLI,,X,
104,BIG FLAT WATERWORKS,3,26,"$5,000 ",523,YES,,,LSLI,,X,
105,LAKEVIEW MIDWAY PUBLIC  WATER AUTHORITY,3,27,"$31,560 ","3,012",YES,,,LSLI,,X,
106,COTTER WATERWORKS,3,28,"$9,120 ","1,125",YES,,,LSLI,,X,
107,LAKE BULL SHOALS  ESTATES WATER,3,31,"$5,000 ",54,YES,,,LSLI,,X,
108,NORTH EAST PUBLIC  WATER AUTH,3,33,"$36,280 ","4,011",YES,,,LSLI,,X,
109,GASSVILLE WATERWORKS,3,34,"$17,380 ","1,672",YES,,,LSLI,,X,
110,NORFORK WATERWORKS,3,35,"$7,720 ","1,503",YES,,,LSLI,,X,
111,COMMUNITY WATER  ASSOCIATION (SALESVILLE),3,36,"$6,300 ",627,YES,,,LSLI,,X,
112,BENTON CO WATER,3,37,"$46,000 ","5,743",YES,,,LSLI,,X,
113,BEAVER WATER DISTRICT,3,38,"$5,000 ",54,YES,,,LSLI,,X,
114,BELLA VISTA P.O.A.,3,39,"$272,300 ","27,128",NO,,,LSLI,,X,
115,BENTONVILLE WATER  UTILITIES,3,41,"$402,560 ","47,195",,,,LSLI,,X,
116,MOCKINGBIRD HILL WATER  ASSOC,3,42,"$6,180 ",860,,,,LSLI,,X,
117,CAVE SPRINGS  WATERWORKS,3,43,"$38,720 ","4,802",,,,LSLI,,X,
