"",,,,Service,,Loan,
Project Project Title,,Zip,Priority,Area,Eligible,Amount,Statewide
"",,,,,PF,,
"",,Code,Points,Population,,Requested,Cum. $
"",,,,,Amount,,
Category III: Primary Drinking Water Standards Projects,,,,,,,
"Edwards, Town of New Charcoal Filtration System",,39066,260,1050,$0,"$2,685,000","$2,685,000"
Category IV: One Well Projects,,,,,,,
Winterville Water Association New Water Well,,38703,64,108,"$456,435","$1,014,300","$3,699,300"
"Falcon, Town of Back-up Well, Distribution Improvements",,38670,35,96,"$500,000","$1,998,676","$5,697,976"
Category VII: System Capacity Expansion to Serve Existing Unserved Residences/Businesses,,,,,,,
Bernard Bayou Industrial District Paint 2 Elevated Storage Tanks,,39503,846,6000,$0,"$354,675","$6,052,651"
Jackson Co. Utility Authority Expansion to Unserved Area/ Consolidation,,39567,63,12000,$0,"$5,000,000","$11,052,651"
Category VIII: Back-up Water Supply Sources Projects,,,,,,,
"Aberdeen, Town of 400 P Well/100,000 Gal. Elev.Tank/Rehab Lines",,39730,3127,6415,"$500,000","$1,481,949","$12,534,600"
"Eupora, City of New Water Well",,39744,1659,5564,"$308,250","$1,233,000","$13,767,600"
Central Water Association Rehab/ Replacement of Existing Facilities,,39350,415,20143,$0,"$11,370,738","$25,138,338"
"Braxton, Town of Construction of New Well",,39044,288,775,$0,"$819,000","$25,957,338"
Category IX: Existing Facilities Upgrade (Meeting Primary Standards),,,,,,,
CS&I Water Association Rehab/ Replacement of Existing Facilities,,39150,6450,945,$0,"$80,000","$26,037,338"
Highway 28 Water Association Distribution Improvements,,39111,5327,1500,"$36,750","$105,000","$26,142,338"
"Crystal Springs, City of Rehab/ Replacement of Existing Facilities",,39059,5271,5050,"$138,880","$396,800","$26,539,138"
"Carthage, City of Rehab/ Replacement of Existing Facilities",,39051,5079,5075,"$255,150","$567,000","$27,106,138"
Natchez Water Works Rehab/ Replacement of Existing Facilities,,39121,3756,15792,"$500,000","$3,250,000","$30,356,138"
Central Yazoo Water Association Elevated Water Tank & SCADA Upgrades,,39194,2740,9960,$0,"$1,500,000","$31,856,138"
West Tallahatchie Utilities,,,,,,,
Association,Rehab/ Replacement of Existing Facilities,38966,2282,7500,$0,"$1,643,067","$33,499,204"
"Bassfield, Town of",Well Rehabilitation,39241,2101,1165,$0,"$332,718","$33,831,922"
"Clinton, City of",New Well/ Distribution Improvements,39056,2010,28100,"$435,000","$4,084,100","$37,916,022"
Bear Creek Water Association,Replace Tank With New 2 Mil Gal Tank,39046,1534,45000,$0,"$4,890,000","$42,806,022"
Sunnyhill Water Association,New 500 gpm Well/ Booster Station/ Water Main,39649,1450,3828,$0,"$1,500,000","$44,306,022"
"Webb, Town of",Repair/Rehab Water Tank,38966,1250,586,"$105,840","$235,200","$44,541,222"
Lewisburg Water Association,"New Treatment Plant/ New 500,000 gallon Well",38654,1234,8277,$0,"$2,683,000","$47,224,222"
"Crystal Springs, City of",Water System Improvements,39059,1083,5050,"$500,000","$1,931,368","$49,155,590"
Canton Municipal Utilities,Water System Improvements,39046,1036,8000,"$500,000","$2,825,000","$51,980,590"
"H&H Water System, Inc.",Distribution Improvements,39080,1030,3012,"$367,500","$1,050,000","$53,030,590"
"Hattiesburg, City of",Rehab/ Replacement of Existing Facilities,39403,907,45951,"$500,000","$15,000,000","$68,030,590"
"Isola, Town of",Rehab/ Replacement of Existing Facilities,38754,903,713,"$209,250","$465,000","$68,495,590"
"Batesville, City of",New Well/ Storage Tank,38606,820,9973,"$500,000","$4,482,780","$72,978,370"
Casey Jones Water Association,Rehab/ Replacement of Existing Facilities,39179,713,1112,"$405,000","$900,000","$73,878,370"
"Shannon, Town of",Rehab/ Replacement of Existing Facilities,38868,691,1850,$0,"$1,079,325","$74,957,695"
"Metcalfe, Town of",Rehab/ Replacement of Existing Facilities,38760,678,1125,"$424,125","$942,500","$75,900,195"
"Bolton, Town of",Rehab/ Replacement of Existing Facilities,39041,665,640,"$118,188","$337,681","$76,237,876"
"Quitman, City of",Rehab/ Replacement of Existing Facilities,39355,607,2386,"$500,000","$2,613,060","$78,850,936"
Harland Creek Water Association,Rehab/ Replacement of Existing Facilities,39095,554,1338,"$500,000","$2,484,300","$81,335,236"
Acona Water Assocaiation,Rehab/ Replacement of Existing Facilities,39095,549,1550,"$500,000","$1,419,800","$82,755,036"
East Madison Water Association,Distribution Improvements,39046,544,7265,"$500,000","$5,000,000","$87,755,036"
Poorhouse Water Association,"New Main, Distribution Improvements",38902,494,4550,$0,"$2,543,800","$90,298,836"
"Mendenhall, City of","New 500 GPM Well/250,000 Gal Tank/Treatment Plant",39114,476,2504,"$500,000","$2,634,100","$92,932,936"
Topisaw Creek Water Association,Rehab/ Replacement of Existing Facilities,39662,473,4910,"$477,750","$3,185,000","$96,117,936"
"Greenville, City of",Rehab Facilities,38701,459,30000,"$500,000","$40,000,000","$136,117,936"
Looxahoma Water Association,Distribution Improvement/ AMR Upgrade,38668,457,686,$0,"$500,000","$136,617,936"
Youngs Water & Sewer District,"New 100,000 Gal. Elevated Storage Tank",38922,436,925,$0,"$1,055,673","$137,673,609"
Lake Eddins,Rehab/ Replacement of Existing Facilities,39347,419,294,"$500,000","$1,369,941","$139,043,550"
Big Field Water Association,Rehab/ Replacement of Existing Facilities,38646,371,599,"$383,426","$852,057","$139,895,607"
