System Name,PWSID,Est. Loan Amount,Points,Rank,Population,Project Description,Est. Date to Close Loan
City of Opelousas,1097010,14679975,57,1,16500,The proposed facilities include the following: a. Rehabilitation of existing water wells b. Rehabilitation of existing storage facilities c. Replacement of existing City owned galvanized steel water mains and service lines d.Replacement of defective fire hydrants e. Replacement of existing valves or installation of new isolation valves on existing mains throughout the water system f. Setting up an Asset Management Plan including GIS mapping of existing facilities g. Construct hydraulic model of water system (including report) h. Assist the City with implementation of a Backflow Prevention Program i. Assist the City with training and organizational management as it relates to the operations of the water system j. Other capital improvements as determined from hydraulic modeling or as outlined in the System Improvement Plan,September-23
"Bastrop Water System, Inc.",1067003,8700000,37,2,18105,"The proposed project includes construction of a new booster station, ground storage tank, treatment systems, site piping, site work, and related items at the Donaldson Facility / replace existing metering system with electronic read meters. BIL Base Supplemental",January-24
"Tannehill Water System, Inc. (Loan 2)",1073060,1600000,36,3,4800,The proposed project is to construct two new GAC treatment plants one at the Tannehill site and the other at the Hanna's Mill site and associated items. The project also provides for a new booster station enclosures and electrical at both stations. A new ground storage tank is also proposed at the Tannehill Station.,December-22
"Southwest Ouachita Waterworks, Inc",1073047,6120000,32,4,10092,System wide meter replacements and distribution system renovations,February-23
West Monroe,1073056,6069000,25,5,13065,"The project will allow increase in source water, disinfection, storage of treated water, modernize controls, and generators.",April-23
"Monterey Rural Water System, Inc.",1029007,6700000,17,6,5600,"Consist of 3 new water wells, approximately 13,600 L.F. of water transmission main and a new 100,000 gallon GST. BIL BS funding",December-23
Bayou Liberty Water Association,1103005,3200000,17,7,10500,The proposed project will construct a new water well to replace Water Well No. 3 located at Camp Villere Road in Slidell. The existing well was construction in 1980's and is currently production sand.,September-22
"Savoy Swords Water System, Inc. (Loan 3)",1097024,913000,16,8,8306,"Proposed project involves the construction of a new second water well at the Richard Well Field, two standby generators at booster station sites, and upgrade computer and PLC controllers for SCADA systems.",December-22
"Prarie Ronde Water System, Inc.",1097014,710000,14,33,6700,Addition of reinforcing water lines and repair and paint Whiteville Elevated Storage,January-24
St. Martin Parish Waterworks District No. 3- Cade,1099028,4550000,13,9,3249,"WWDN3 proposes to place additonal water lines, water wells, storage unit, and service pump in the system. Automatic read meters are also being proposed to replace the existing outdated meters",May-24
"Magnolia Plantation Water System,Inc.",1113032,7520000,13,10,8325,The proposed project will provide additional capacity and storage to the distribution system in order to meet current demand and address issues and violations. BIL BS funding,March-25
"Mire Branch Water Corporation, Inc.",1001024,6130000,12,11,9063,"Replace Well #1 with a new 750 gpm well; piping modifications so new well and well #3 can supply both Plants #1 and #2; new filter and softener, new 500K grd storage tank and replace existing high service pumps and generator. BIL BS funding",May-24
Village of Forest Hill,1079009,919000,11,12,2700,"Proposed project involves the construction of a new 300 gpm water well located at the Town Hall elevated tank site. The project shall include all electrical and controls, piping and chlorination equipment.",April-22
"Tangipahoa Water District, Inc.",1105008,6000000,9,13,59529,New water well and elevated tank within current system and/or to assist with acquisition of nearby systems. BIL BS funding,September-23
"Milton Water System, Inc.",1055046,6600000,7,14,11123,"The proposed project consists of the construction of a new 1.8 MGD water treatment plant and administrative office building for Milton Water System. Upon completion of the WTP Milton WS will merge with Milton Purchase WS as one water system. The new WTP will include three 1,000 GPM wells, six filters, two 500,000 gallon GST, a generator and a new 2,100 square foot office building.",December-22
