RANK,SYSTEM,PROJECT,PROJECT ID,POINTS,POPULATION,PROJECT COST
1,Ellsworth,Other - Reduce Nitrate Connect to LPSRW,1530005-2,40,497,"$2,143,800.00"
2,Hastings,Treatment - PFAS Treatment Phase 1,1190012-1,33,"22,250","$20,600,000.00"
3,Clitherall,New System - NO3 Connect to Battle Lake,1560033-2,30,25,"$9,634,500.00"
4,Hayward,Treatment - Radium Treatment & New Well,1240012-1,30,227,"$3,881,000.00"
5,Danube,Treatment - New Ra/Fe/Mn Plant,1650004-2,30,493,"$4,787,000.00"
6,Rush City,Treatment - Plant Upgrade,1130013-7,30,"3,175","$287,503.00"
7,Lexington,Treatment - Radium TP & Booster Station,1020032-2,30,"2,071","$5,000,000.00"
8,Elysian,Treatment - Radium Treatment with RO,1400003-2,30,703,"$4,100,000.00"
9,Tower,Treatment - Plant Improvements,1690051-2,25,500,"$5,600,000.00"
10,Dunnell,Other - Manganese Connect to Sherburn,1460002-1,23,270,"$4,480,000.00"
11,Browns Valley,Treatment - Manganese Treatment Plant,1780001-3,23,595,"$12,546,500.00"
12,Avoca,Other - Manganese Connect to Red Rock,1510001-1,23,142,"$795,000.00"
13,Rose Creek,Source - New Well,1500014-1,23,454,"$2,370,000.00"
14,Rich Prairie Sewer and Water District,Other - LSL Replacement,1490004-6,20,"1,500","$496,700.00"
15,Clinton,Treatment - Manganese Plant,1060003-2,20,450,"$1,690,000.00"
16,Aurora,Other - LSL Replacement (W 3rd Ave/Main),1690002-10,20,"1,709","$300,000.00"
17,Aurora,Other - LSL Replacement (W 1st Ave N),1690002-8,20,"1,709","$396,000.00"
18,Belview,Treatment - Manganese Plant,1640001-2,20,360,"$3,017,000.00"
19,Crosby,Other - LSL Replacement,1180008-12,20,"2,677","$250,000.00"
20,Marble,Other - LSL Replacement,1310023-5,20,550,"$991,875.00"
21,Palisade,Treatment - Manganese New Plant,1010013-2,20,165,"$2,000,000.00"
22,Clearbrook,Treatment - Manganese Plant & Well,1150003-3,20,671,"$4,080,998.00"
23,Sebeka,Other - LSL Replacement,1800002-15,20,777,"$49,800.00"
24,Hill City,Treatment - Manganese Treatment Plant,1010011-2,20,569,"$6,500,000.00"
25,Staples,Other - LSL Replacement (2024 Phase),1770011-10,20,"1,859","$283,500.00"
26,Staples,Other - LSL Replacement (4th St. NE),1770011-11,20,"1,859","$126,000.00"
27,Kiester,Other - LSL Replacement,1220008-6,20,589,"$203,000.00"
28,Henning,Other - LSL Replacement,1560016-10,20,806,"$3,325,000.00"
29,Currie,Treatment - Manganese TP Rehab,1510003-6,20,200,"$822,000.00"
30,Park Rapids,Other - LSL Replacement Central Ave,1290003-8,20,"4,163","$421,642.00"
31,Walker,Other - LSL Replacement,1110013-9,20,890,"$33,000.00"
32,Little Falls,Other - LSL Replacement-4th Street,1490002-10,20,"9,049","$472,500.00"
33,Little Falls,Other - LSL Replacement-1st Street,1490002-11,20,"9,049","$252,000.00"
34,Riverton,Treatment - Wellhouse & Treatment Expans,1180025-6,20,152,"$729,000.00"
35,Princeton,Other - LSL Replacement,1480008-8,20,"4,753","$600,000.00"
36,Ely,Other - LSL Replacement,1690014-6,20,"3,280","$358,000.00"
37,Houston,Other - LSL Replacement Spruce St,1280005-5,20,892,"$41,000.00"
38,Madison,Other - LSL Replacement,1370004-7,20,"1,483","$72,150.00"
39,Chisholm,Other - LSL Replacement,1690007-4,20,"4,784","$300,000.00"
40,Browerville,Other - LSL Replacement,1770002-8,20,920,"$275,000.00"
41,Morgan,Treatment - Manganese Plant,1640006-3,20,896,"$4,775,000.00"
42,Wells,Other - LSL Replacement,1220010-5,20,"2,283","$50,000.00"
43,Chisholm,Other - LSL 2025 Replacement,1690007-6,20,"4,759","$297,700.00"
44,Pipestone,Other - LSL Replacement Main St. Area,1590005-13,20,"4,185","$62,500.00"
45,Granada,Treatment - Manganese & Radium Plant,1460004-1,20,247,"$6,885,000.00"
46,Granada,Other - LSL Replacement,1460004-3,20,247,"$55,000.00"
47,Fergus Falls,Other - LSL Replacement Phase 1,1560014-2,20,"14,108","$581,250.00"
48,Fergus Falls,Other - LSL Replacement Phase 2,1560014-3,20,"14,108","$1,556,250.00"
49,Fergus Falls,Other - LSL Replacement Phase 3,1560014-4,20,"14,108","$1,500,000.00"
50,Fergus Falls,Other - LSL Replacement Phase 4,1560014-5,20,"14,108","$1,700,000.00"
51,Fergus Falls,Other - LSL Replacement Phase 5,1560014-6,20,"14,108","$1,925,000.00"
52,Fergus Falls,Other - LSL Replacement Phase 6,1560014-7,20,"14,108","$1,462,500.00"
53,Cromwell,Treatment - Manganese Treatment Plant,1090007-8,20,250,"$6,500,000.00"
54,Red Lake Falls,Other - LSL Replacement,1630003-5,20,"1,372","$1,190,696.00"
55,Hibbing,Other - LSL Replacement Phase 2,1690022-13,20,"16,224","$1,512,000.00"
56,Hibbing,Other - LSL Replacement Phase 1,1690022-9,20,"16,224","$399,300.00"
57,Albert Lea,Other - LSL Replacement - 2024,1240001-4,20,"18,433","$1,500,000.00"
58,Albert Lea,Other - LSL Replacement - 2025,1240001-5,20,"18,433","$1,500,000.00"
59,Marble,Treatment - Manganese Plant,1310023-7,20,699,"$6,500,000.00"
60,Lewisville,Other - LSL Replacement,1830003-8,20,333,"$65,250.00"
61,International Falls,Other - LSL Replacement,1360002-4,20,"5,859","$3,629,980.00"
62,Winnebago,Other - LSL Replacement - Cleveland Ave.,1220011-7,20,"1,253","$23,500.00"
63,Battle Lake,Treatment - PFAS Removal,1560001-6,20,857,"$7,525,250.00"
64,Waite Park,Treatment - PFAS Removal,1730039-5,20,"8,290","$17,685,000.00"
65,Willmar,Other - LSL Replacement,1340016-2,20,"20,823","$400,700.00"
66,Two Harbors,Other - LSL Replacement,1380005-10,20,"3,616","$400,000.00"
67,Saint Cloud,Other - LSL Repl (Pantown Neighborhood),1730027-27,20,"54,937","$1,183,000.00"
68,Royalton,Other - LSL Replacement,1490006-8,20,"1,236","$300,000.00"
