System Name,MDH 2025 PPL Rank,MDH 2025 PPL Points,Project Description,Project Number,Population,Est. Const. Start,Estimated Project Cost,Estimated DWRF Loan,Estimated DWRF Emerging Contaminant PF Grant NOT FINAL (1),Estimated DWRF Emerging Contaminant PF Grant NOT FINAL (2),Estimated WIF Grant NOT FINAL (3),State of federal appropriation,Other funds, IUP Status
PART A - FUNDABLE: Carryover Projects From Prior IUPs,,,,(Shaded rows indicate FY 2025 project awards to date),,,,,,,,,,
Ellsworth,1,40,Other - Reduce Nitrate Connect to LPSRW,1530005-2,497,Aug-24,"1,926,000","1 ,516,268",-,"409,732",-,-,-,24 Carryover
Elysian,8,30,Treatment - Radium Treatment with RO,1400003-2,703,May-25,"8,345,295","2 ,984,510",-,"1,860,785",-,"3 ,500,000",-,24 Carryover
Tower,9,25,Treatment - Plant Improvements,1690051-2,500,May-24,"5,600,000","1 39,392",-,"557,568",-,-,"4,903,040",20 Carryover
Clearbrook,22,20,Treatment - Manganese Plant & Well,1150003-3,671,Jun-23,"5,018,701",-,"97,991",-,-,"4 ,920,710",-,23 Carryover
Hill City,24,20,Treatment - Manganese Treatment Plant,1010011-2,569,May-24,"9,831,350","1 ,831,350","3,000,000","5,000,000",-,-,-,24 Carryover
Atwater,69,20,Treatment - Manganese Treatment & Well,1340001-9,"1,141",Jul-24,"7,303,000","8 60,600","3,000,000","3,442,400",-,-,-,24 Carryover
Wabasso,70,20,Treatment - Manganese Plant & Well,1640013-3,671,Sep-24,"1,965,000","9 82,500","982,500",-,-,-,-,24 Carryover
Delavan,83,20,Treatment - Manganese Plant Rehab,1220003-1,206,Apr-24,"2,018,300","08 03,0918",-,"205,235",-,-,"1,009,147",24 Carryover
Aurora,165,15,Consolidation - E Mesabi Joint Water Sys,1690002-6,"2,225",Apr-24,"32,997,318","1 2,347,318",-,"5,000,000",-,"1 4,000,000","1,650,000",23 Carryover
Inver Grove Heights,187,15,Treatment - Radium Treatment Plant Reha,1190014-2,"35,539",Jun-24,"4,792,901","2 ,165,171",-,-,-,-,"2,627,730",24 Carryover
Lino Lakes,197,15,Treatment - Manganese Treatment Plant,1020023-3,"21,180",Jul-24,"32,496,190","1 5,996,190","3,000,000",-,-,"1 3,500,000",-,24 Carryover
Otsego,199,15,Treatment - Manganese Pumphouse 4,1860026-3,"19,565",Jul-24,"10,550,000","2 ,627,612","3,000,000",,,"4 ,922,388",-,24 Carryover
