System Name,"MDH
 2025
 PPL
 Rank","MDH
 2025
 PPL
 Points",Project Description,"Project
 Number",Population,"Est.
 Const
 Start","Estimated
 Project Cost","Estimated
 DWRF Loan","Estimated
 DWRF
 Emerging
 Contaminant
 PF Grant
 NOT FINAL
 (1)","Estimated
 DWRF
 Disadvantgd
 Community
 Principal
 Forgiveness
 NOT FINAL
 (2)","Estimated
 WIF Grant
 NOT FINAL
 (3)","State or
 Federal
 Appropriation",Other Funds,IUP Status
PART B2 - NOT FUNDABLE AT THIS TIME: New IUP Project Requests - Non Emerging Contaminant Projects,,,,,,,,,,,,,,
Coates,161,17.5,Other - New System Supplied by Rosemou,1190035-1,25,Jun-25,"16,800,000","1 6,800,000",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
New York Mills,167,15,Treatment - New TP/Well,1560017-9,"1,166",Jun-25,"7,000,000","7 ,000,000",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Winnebago,213,13,Source - Well 3 & Wellhouse,1220011-6,"1,245",Mar-25,"910,000","9 10,2000",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Deer River,229,12,Treatment - Wellhouse 4 Rehab,1310007-5,908,Apr-25,"1,098,900","1 ,098,900",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Browns Valley,234,12,Watermain - Replace & Loop,1780001-1,595,Sep-25,"2,667,000","2 ,667,000",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Elbow Lake,235,12,Watermain - Replace & Loop 2nd,1260003-7,"1,200",Jun-25,"1,200,000","1 ,200,000",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Little Falls,247,12,Watermain - River Crossings,1490002-12,"9,084",May-25,"2,187,500","2 ,187,500",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Fertile,261,12,Watermain - Replace & Loop,1600008-6,931,Jun-25,"1,551,000","9 51,000",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,"600,000",Part B2
Blue Earth,271,12,Watermain - Looping,1220001-6,"3,252",May-25,"2,030,000","2 ,030,000",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,-,-,Part B2
Grand Rapids,275,12,Treatment - Treatment Plant Improvement,1310011-4,"11,158",Jul-25,"10,000,000","7 ,500,000",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,"2 ,500,000",-,Part B2
Le Sueur,297,12,Treatment - Plant Rehab,1400010-6,"4,174",Aug-24,"4,000,000","3 ,040,248",-,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,Eligibility for Disadvantaged Community Principal Forgiveness and WIF grants is based on affordability criteria in state statutes and cannot be determined until a complete loan application is received,"9 59,752",-,Part B2
