key,0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,,,,,DAC? -,,Funding,,,Anticipa,,
,,Water System/,Population,Comprehensive,,,"A, E, W,",,Appropri,,,ted,Anticipated,
,Rank,Borrower,Served,Project Name,Project Description,Amount,U,Total Points,ation,Financing,Terms,subsidy,Subsidy Amount,Notes
1,,,,,,,,,,,,,,Anticipated to
1,,,,,Consolidation to,,,,,,,,,be Bypassed
1,,Countryside,,Upgrades and,Artesian - See Adam,,,,,,,State,,for State
1,1,Hamlet MHP,66,Interconnect,Gould emails,"$745,470.00",,800,State,,,Grant,"$745,470.00",Funds
2,,,,Water System,"New distribution, fire",,,,,,,,,Anticipated to
2,,,,Improvements and,"hydrants, water meters",,,,,,,,,be Bypassed
2,,Stage Village,,Consolidation with,and connections to,,,,,,,State,,for State
2,2,MHP,93,Delmar,Delmar,"$687,800.00",U,730,State,,,Grant,"$687,800.00",Funds
3,,,,,"System Upgrades, add",,,,,,,,,
3,,Willow Tree,,MHP Water System,storage Kitts,,,,Suppleme,,,Sup,,
3,3,MHP,141,Upgrades,Hummock Road,"$1,700,000.00",U,680,ntal,,,DAC,"$1,700,000.00",
4,,,,,Water Main,,,,Suppleme,,,Sup,,
4,4,New Castle,5364,Hewlett-Janvier,Replacement,"$1,490,000.00",W,670,ntal,,,DAC,"$1,490,000.00",
5,,,,,,,,,,,,Base,,
5,,Delmar to Holly,4500,,Consolidation Holly,,,,,,,Congres,,
5,5,Oak MHP,210,Water Line Extension,Oak MHP,"$1,100,000.00",,630,Base,2.00%,20 years,sional,"$981,120.00",
6A,,,,,"Carey, Walnut and",,,,,,,,,
6A,,,,,Mill Street Main,,,,,,,,,
6A,,,,,Replacement and LSL,,,,,,,,,
6A,6,Milton,3200,LSL replacement,replacement,"$1,330,000.00",,620,LSLR,2.00%,20 years,,$0.00,
6B,,,,,Service line,,,,,,,,,
6B,,,,,improvements and,,,,,,,,,
6B,,,,,LSL removal $22.5M,,,,,,,94%,,
6B,6,Wilmington,107976,LSL Removal,LSLR,"$22,500,000.00","E, W",620,LSLR,,,LSLR,"$12,875,792.00",
7,,,,Martin Farms LSL,,,,,,,,,,
7,7,Seaford,6699,Abatement,Abatement,"$2,072,149.00",,590,Corpus,2.00%,TBD,,$0.00,
8,,,,Raw Water,From Brandywine,,,,,,,,,
8,,,,Transmission,Creek to either Porter,,,,Suppleme,,,Sup,,
8,8,Wilmington,107976,Improvements,or Hoopes,"$10,000,000.00","E, W",580,ntal,,,DAC,"$5,626,080.00",
9A,,,,,Consolidation Capes,,,,Suppleme,,,,,
9A,9,Lewes BPW,3000,Capes Cove,Cove MHP,"$320,600.00",,560,ntal,2.00%,20 years,,$0.00,
9B,,,,Woolford Street LSL,,,,,,,,,,
9B,9,Seaford,6699,Abatement,Abatement,"$601,574.00",,560,Corpus,2.00%,TBD,,$0.00,
10,,,,Jackson St. Service,,,,,,,,,,
10,10,Frederica,870,Connections,LSL replacement,"$512,000.00",A*,530,LSLR,,,,"$512,000.00",
11,,,,,Water Main,,,,,,,Base,,
11,11,Magnolia,425,North Main Street,Improvements,"$900,000.00",A*,525,Base,,,DAC,"$900,000.00",
12A,,,,,LSL regulatory,,,,,,,,,
12A,,Dover,,LSL inventory,requirements,,,,LSLR,,,,,
12A,12,,38000,,,"$60,000.00","E,",480,,,,,"$60,000.00",
,,,,,,DAC? -,,Funding,,,Anticipa,,,
,,Water System/,Population,Comprehensive,,"A, E, W,",,Appropri,,,ted,Anticipated,,
,Rank,Borrower,Served,Project Name,"Project Description
Amount",U,Total Points,ation,Financing,Terms,subsidy,Subsidy Amount,Notes,
12B,,,,,"New 6"" Water well and",,,,,,Base,,,
12B,12,Greenwood,973,Well Replacement,"test well
$378,000",A*,480,Base,,,DAC,"$378,000.00",,
12C,,,,,,,,Suppleme,,,,,,
12C,,New Castle,,Delaware Street,Water Main Extension,,,ntal,,,,,,
12C,12,,5364,,"$1,743,000.00",W,480,,2.00%,20 years,,$0.00,,
13A,,,,Porter Filter Plant,,,,,,,,,,
13A,,,,PFAs Removal- $45M,,,,,,,,,,
13A,13,Wilmington,107976,project EC,"Construct GAC vessels $4,787,405","E, W",450,EC,,,,"75% EC $4,787,405",,
13B,,,,Porter Filter Plant,,,,,,,,,,
13B,,,,PFAs Removal -,,,,,,,,,,
13B,13,Wilmington,107976,$45M project Base,"Construct GAC vessels $40,212,595","E, W",450,Corpus,2.00%,20 years,,$0.00,,
14,,,,Dulany Well Abandon,,,,,,,,,,
14,,,,and Nylon Well,Abandonment and,,,,,,,,,
14,14,Seaford,6699,Rehab,"Rehabilitation
$1,901,990",,430,Corpus,2.00%,20 years,,$0.00,,
15,,,,,,,,,,,Base,,,
15,15,Frederica,870,Market Street,"Water Main Renewal
$328,000",A*,420,Base,,,DAC,"$328,000.00",,
16,,,,Waterline and Service,1 of (7?) Phases to,,,,,,,,,
16,,,,Line Replacements,replace water and,,,,,,,,,
16,,Rehoboth Beach,,Phase I,service lines,,,LSLR,,,,,,
16,16,,1400,,"$2,527,000.00",,410,,2.00%,20 years,,$0.00,,
17,,,,,Pressure and,,,,,,Base,,,
17,17,Magnolia,425,Elevated Storage Tank,"Redundancy
$2,637,700",A*,405,Base,,,DAC,"$800,000.00",,
18A,,,,,Mapping and,,,,,,,,,
18A,,Lewes BPW,,LSL inventory,Replacement Planning,,,LSLR,,,,,,
18A,18,,3000,,"$263,000.00",,400,,2.00%,20 years,,$0.00,,
18B,,,,,Well and Treatment,,,,,,,,,
18B,,,,Federal Street Well,upgrades with ARPA,,,,,,,,,
18B,18,Milton,3200,and WT,"match
$301,381",,400,Base,2.00%,20 years,,$0.00,,
19A,,,,SWFWTP PFAs,,,,,,,,,,
19A,19,Newark,40000,Treatment - $4.4M EC PFA WTP Upgrades,"$1,591,169.00",,380,EC,,,,"25% EC $1,591,169",,
19B,,,,SWFWTP PFAs,,,,,,,,,,
19B,,,,Treatment $4.4M,,,,,,,,,,
19B,19,Newark,40000,Base,"PFA WTP Upgrades
$2,808,831",,380,Corpus,2.00%,20 years,,$0.00,,
19C,,,,,Clearwell and,,,,,,,,,
19C,,,,Porter Clearwell,associated,,,,,,,,,
19C,19,Wilmington,107976,Improvements,"infrastrucure
$19,000,000","E, W",380,Corpus,2.00%,20 years,,$0.00,,
20A,,,,Brandywine Springs,,,,Suppleme,,,,,,
20A,20,Artesian,209706,Manor,"Water Main Renewal
$1,035,000",,375,ntal,2.00%,20 years,,$0.00,,
20B,,,,,,,,Suppleme,,,,,,
20B,20,Artesian,13511,Knox Street,"Water Main Renewal
$250,000",,375,ntal,2.00%,20 years,,$0.00,,
20C,20,Artesian,209706,Stratford,"Water Main Renewal
$1,354,000",,375,Corpus,2.00%,20 years,,$0.00,,
20D,,,,Water Production,,,,,,,,,,
20D,20,Magnolia,425,Well,"Well Improvements
$850,500",A*,375,Corpus,2.00%,20 years,,$0.00,,
,,,,,,,DAC? -,,Funding,,,Anticipa,,
,,Water System/,Population,Comprehensive,,,"A, E, W,",,Appropri,,,ted,Anticipated,
,Rank,Borrower,Served,Project Name,Project Description,Amount,U,Total Points,ation,Financing,Terms,subsidy,Subsidy Amount,Notes
21A,,,,School Lane Solar,Install of additional,,,,,,,,,
21A,21,New Castle,5364,Panels,solar panels,"$547,000.00",W,370,Base,2.00%,20 years,,$0.00,
21B,,,,SCADA,SCADA and,,,,,,,,,
21B,21,New Castle,5364,Improvements,monitoring Upgrades,"$50,000.00",W,370,Bse,2.00%,20 years,,$0.00,
22A,22,Artesian,1872,Delaware City,Interconnect,"$3,850,000.00",,360,Corpus,2.00%,20 years,,$0.00,
22B,,,,"John, S. Laws, Oak",,,,,,,,,,
22B,,,,Streets and Elem,,,,,,,,,,
22B,22,Bridgeville,2256,School,Water Main Renewal,"$2,033,000.00",,360,Corpus,2.00%,20 years,,$0.00,
22C,,Cheswold/TUI,,Main and Commerce,Water Main Extension,,,,,,,,,
22C,22,Garrison Lake,12567,Street,Loop,"$290,000.00","E,",360,Corpus,2.00%,20 years,,$0.00,
22D,,,,,LSL inventory and,,,,,,,,,
22D,22,Dover,38000,Brandywine Court,replacement,"$115,000.00","E,",360,LSLR,2.00%,20 years,,"$115,000.00",
22E,,,,,Water Main,,,,,,,,,
