Project,Project Title,Zip Code,Priority Points,Service Area Population,Eligible PF Amount,Loan Amount Requested,Statewide Cum. $
Category IV: One Well Projects,,,,,,,
Mt. Olivet Water Assoc ,New Well/ Tank Rehab/ Distribution Improvements,38606,99,1048,"$500,000","$4,002,513","$4,002,513"
Winterville Water Assoc ,New Water Well,38703,64,108,"$456,435","$1,014,300","$5,016,813"
"Falcon, Town of ","Back-up Well, Distribution Improvements",38670,35,96,"$500,000","$1,998,676","$7,015,489"
Category VII: System Capacity Expansion to Serve Existing Unserved Residences/Businesses,,,,,,,
Bernard Bayou Industrial District ,Paint 2 Elevated Storage Tanks,39503,846,6000,$0,"$354,675","$7,370,164"
Jackson Co. Utility Authority,Expansion to Unserved Area/ Consolidation,39567,63,12000,$0,"$5,000,000","$12,370,164"
Category VIII: Back-up Water Supply Sources Projects,,,,,,,
"Aberdeen, Town of ","400 P Well/100,000 Gal. Elev.Tank/Rehab Lines",39730,3127,6415,"$500,000","$1,481,949","$13,852,113"
"Eupora, City of ",New Water Well,39744,1659,5564,"$308,250","$1,233,000","$15,085,113"
Cason Water Assoc ,Surface Water Connection,38858,1623,4543,"$435,575","$1,244,500","$16,329,613"
Broadmoor Utilities ,New Well/ Waterline Extension,39120,999,1800,"$307,397","$683,105","$17,012,718"
Mt. Olivet Water Assoc ,New Well/Paint Elevated Tank,38606,708,1300,"$232,218","$516,040","$17,528,758"
"Braxton, Town of ",Construction of New Well,39044,288,775,"$204,750","$819,000","$18,347,758"
Category IX: Existing Facilities Upgrade (Meeting Primary Standards),,,,,,,
Clarkdale Water Assoc ,SCADA and Distribution Upgrades,39301,11242,4000,"$500,000","$2,158,032","$20,505,790"
CS&I Water Assoc ,Rehab/ Replacement of Existing Facilities,39175,6450,945,"$36,000","$80,000","$20,585,790"
Highway 28 Water Assn ,Distribution Improvements,39111,5327,1500,"$36,750","$105,000","$20,690,790"
"Crystal Springs, City of ",Rehab/ Replacement of Existing Facilities,39059,5271,5050,"$138,880","$396,800","$21,087,590"
"Carthage, City of ",Rehab/ Replacement of Existing Facilities,39051,5079,5075,"$255,150","$567,000","$21,654,590"
Tunica Co. Utility District ,Automated Meters,38676,3008,9458,"$500,000","$2,368,576","$24,023,166"
N.E. Itawamba Water Assoc ,Rehab/ Replacement of Existing Facilities,38847,2943,4700,"$364,725","$810,500","$24,833,666"
West Tallahatchie Utilities Assoc ,Rehab/ Replacement of Existing Facilities,38966,2282,7500,"$500,000","$1,643,067","$26,476,732"
"Bassfield, Town of ",Well Rehabilitation,39241,2101,1165,"$149,723","$332,718","$26,809,450"
"Brookhaven, City of ",Rehab/ Replacement of Existing Facilities,39206,2042,12500,"$500,000","$3,870,350","$30,679,800"
