Priority Ranking (Supplemental),Priority  Ranking (Emerging  Contaminants),Priority  Ranking (Lead),Tracking No.,System Name,Disadvantaged  Community,Present  Population,Project Description,"Project Cost  ($1,000)","Project Cost -  Emerging  Contaminants  ($1,000)","Project Cost -  Lead ($1,000)",Construction  Start Date,Est. Loan  Term,
23,-,-,1801056-21-01,Agassiz WUD,Yes,"3,525",User and transmission expansion phase 2,"3,850",-,-,2023,,
217,-,55,1801056-22-01,Agassiz WUD,Yes,"3,525",Lead service line inventory,200,-,200,-,10,
33,-,-,4001153-14-01,All Seasons WUD,Yes,"4,295",System 3 improvements - Bottineau & Renville Counties,"1,060",-,-,2023,,
9,-,-,4001153-14-02,All Seasons WUD,Yes,"4,295",System 3 improvements - Turtle Mountains & Lake Metigoshe  area,"29,000",-,-,2023,20+,
65,-,-,4001153-15-01,All Seasons WUD,Yes,"4,295",System 4 to system 1 water supply project,"6,638",-,-,2023,,
18,-,-,4001153-21-01,All Seasons WUD,Yes,"4,295","Refinance of projects for well, reservoir, SCADA, & pipeline  improvements","3,929",-,-,-,,
66,-,-,4001153-21-02,All Seasons WUD,Yes,"4,295",Rolla area improvements,924,-,-,2023,,
113,-,-,3000012-22-01,Almont,Yes,115,Water main replacement district no. 2022-1,"1,500",-,-,2023,,
10,-,37,0900017-22-01,Amenia,Yes,94,Distribution system improvements,700,-,45,2023,30,
102,-,-,3200023-21-01,Aneta,Yes,234,Water main replacement,"3,000",-,-,2023,,
186,-,-,0900035-22-01,Arthur,No,328,Control building improvements,400,-,-,2024,,
5,-,-,2600038-21-01,Ashley,Yes,700,Water tower improvements,"2,000",-,-,2023,20+,
97,-,-,2600038-21-02,Ashley,Yes,700,Water main replacement,"1,000",-,-,2023,,
1,3,-,2600038-21-03,Ashley,Yes,700,WTP improvements,"2,500","1,250",-,2023,20+,
170,-,-,1700059-20-01,Beach,Yes,981,South side water tower rehabilitation,398,-,-,2023,,
75,-,20,1700059-22-01,Beach,Yes,981,Water main & lead service line replacement,"1,805",-,181,2023,30,
200,-,51,1700059-22-02,Beach,Yes,981,Lead service line inventory,94,-,94,-,10,
242,-,-,5100072-18-02,Berthold,No,454,Water tower rehabilitation,300,-,-,2023,,
251,-,-,5100072-21-01,Berthold,No,454,Water main replacement,"5,000",-,-,2023,,
6,-,5,0800080-19-01,Bismarck,Yes,"88,000",Water main & lead service line replacement,"3,500",-,"1,500",2023,30,
238,-,-,0700114-21-02,Bowbells,Yes,301,Railway St water main looping,275,-,-,2023,,
250,-,60,0700114-22-01,Bowbells,Yes,301,Lead service line inventory,63,-,63,-,10,
128,-,40,0900134-11-01,Buffalo,No,225,Distribution system improvements,"2,300",-,200,2024,,
172,-,-,5100138-12-01,Burlington,Yes,"1,310",Elevated storage tank,"1,750",-,-,2023,,
98,-,-,5100138-22-01,Burlington,Yes,"1,310",Wallace St water main replacement,457,-,-,2022,,
85,-,-,4800152-13-02,Cando,Yes,"1,115",Water main replacement,"2,000",-,-,2023,,
25,-,3,4800152-22-01,Cando,Yes,"1,115",Lead service line replacement,650,-,650,2023,30,
231,-,-,1600159-20-01,Carrington,Yes,"2,200",Water main replacement & rehab,"1,500",-,-,2023,,
22,-,4,1900162-22-01,Carson,Yes,238,"Railroad, 1st, and 2nd Ave water main replacement","2,577",-,26,2023,30,
58,-,-,1900162-22-02,Carson,Yes,238,Water storage improvements,"2,250",-,-,2023,,
135,-,-,0901060-22-01,Cass RWD,Yes,"17,841",1.5 million gallon water tower,"5,860",-,-,2024,,
197,-,-,0901060-22-02,Cass RWD,Yes,"17,841",County Road 17 water line improvements,"1,189",-,-,2024,,
136,-,-,0901060-22-03,Cass RWD,Yes,"17,841",Reservoir B expansion,982,-,-,2024,,
152,-,11,0900166-19-01,Casselton,Yes,"2,513",Lead service line replacement,910,-,910,2023,30,
182,-,-,0900166-20-01,Casselton,Yes,"2,513",Water main replacement (5th Ave N),"4,500",-,-,2023,,
183,-,-,0900166-22-01,Casselton,Yes,"2,513","Water main replacement & looping (2nd St N, Cottonwood Dr  to ND Hwy 18, Morningside Dr to ND Hwy 18)","1,350",-,-,2023,,
44,-,-,3400170-22-01,Cavalier,Yes,"1,247",Water main replacement,"1,355",-,-,2023,,
126,-,45,3400170-22-02,Cavalier,Yes,"1,247",Lead service line inventory,125,-,125,-,10,
12,-,19,3300174-22-01,Center,Yes,600,Water storage & distribution improvements,"2,600",-,260,2023,20+,
203,-,-,3900183-09-01,Christine,No,150,"Water main, gate valve, & hydrant replacement, water main  looping",700,-,-,2023,,
228,-,-,2800192-20-02,Coleharbor,Yes,82,Water main replacement district no. 2021-1,"1,500",-,-,2023,,
171,-,-,0700198-16-01,Columbus,Yes,133,Water main looping,"1,250",-,-,2023,,
122,-,18,2000203-22-01,Cooperstown,Yes,907,Lead service line replacement,100,-,100,2023,30,
3,-,31,1200211-22-01,Crosby,Yes,"1,065",Hendrickson/Holmes water main improvement,"3,229",-,55,2024,,
219,-,57,2001061-22-01,Dakota RWD,Yes,"2,472",Lead service line inventory,200,-,200,-,10,
56,-,-,2001061-22-02,Dakota RWD,Yes,"2,472",Transmission pipeline expansion,"4,931",-,-,2024,,
38,1,-,2001061-22-03,Dakota RWD,Yes,"2,472",WTP expansion & manganese removal,"5,000","5,000",-,2023,20+,
101,-,-,0200226-22-01,Dazey,Yes,104,"Control panel, electrical, and pump improvements",150,-,-,2023,,
202,-,53,2500266-22-01,Drake,Yes,299,Lead service line inventory,63,-,63,-,10,
