Rank,Project Sponsor,Project Number,Project Name,Population,Building Cost,Support Cost,Estimated Cost,Cat A,Cat B,Cat C.a,Cat C.b,Cat C.c,Cat C.d,Cat D,Cat E,Rank Points,SFY Project Expected Funding,BIL Eligibility
1,Newark City,0714001-012,Construction of a cover for the Cedar Grove Reservoir,285000,50000000,12730000,62730000,500,50,20,0,0,0,80,2.85,652.85,2030,BIL (GEN)
2,Passaic Valley Water Commission,1605002-024,Installation of a 2.0 MG storage tank next to existing Verona storage tank,347052,2970000,1566800,4536800,500,0,20,0,0,0,80,3.47,603.47,2030,BIL (GEN)
4,Passaic Valley Water Commission,1605002-014,Levine Reservoir Water Storage Improvements - Phase 1,314900,17142000,5186920,22328920,500,80,0,0,0,0,0,3.15,583.15,2025,BIL (GEN)
5,Trenton City,1111001-012,Pennington Reservoir Replacement,225000,85000000,466642,107500000,500,0,15,0,5,0,0,2.17,527.17,2025-2027,BIL (GEN)
6,Newark City,0714001-020,Phase-2 Lead Service Line Replacement (LSLR) Project,280139,12989172,418386,15693186,250,50,20,0,5,0,80,2.9,407.9,N/A,BIL (LSLR)
7,Trenton City,1111001-011,Lead Service line replacement,391000,13000000,2900000,15900000,250,50,15,0,5,0,80,3.91,403.91,N/A,BIL (LSLR)
8,Newark City,0714001-019,Phase-1 Lead Service Line Replacement (LSLR) Project,280139,6000000,1528353,7528353,250,50,15,0,5,0,80,2.8,402.8,N/A,BIL (LSLR)
10,Hopatcong Borough,1912001-009,Installation of 48-inch pipe at wells to increase chlorine contact time at nine wells,7900,750000,525000,1275000,350,0,15,0,0,0,0,0.08,365.08,2030,BIL (EC)
12,Passaic Valley Water Commission,1605002-002,Lead Service Line Replacement in Main System,306707,21918500,66200,26302200,250,0,15,0,5,0,80,3.1,353.1,N/A,BIL (LSLR)
13,Orange City,0717001-015,Orange Twp |PFAS in Well 7 Drinking Water System,32000,1200000,200000,1440000,250,80,0,5,5,0,0,0.3,350.3,2027,BIL (EC)
14,Lakewood Township Municipal Utilities Authority,1514002-001,LTMUA GAC Building (New Hampshire & Shorrock St),22000,10281500,3405680,12599300,250,80,20,0,0,0,0,0.28,350.28,N/A,BIL (GEN)
15,Orange City,0717001-011,Orange Twp PFOA in Well 8 Drinking Water System,30731,1200000,-,1550000,250,0,0,5,5,0,80,0.3,340.3,2030,BIL (EC)
15,Orange City,0717001-013,Orange Twp | Well 5 Rehabilitation Project,30731,500000,173000,700000,250,0,0,5,5,0,80,0.3,340.3,N/A,BIL (GEN)
16,Newark City,0714001-022,"PROCESS AND OPERATIONAL UPGRADES AT THE PEQUANNOCK WATER TREATMENT
PLANT",280000,18729224,191412,22551069,250,0,0,0,0,0,80,2.94,332.94,N/A,BIL (GEN)
17,Atlantic City Municipal Utilities Authority,0102001-011,Lead Service Lines Replacement,108998,3754080,-,4504896,175,80,15,0,0,0,0,1.09,321.09,2025,BIL (LSLR)
18,New Brunswick City,1214001-001,LSLR Program,55000,10000000,1332522,12000000,175,80,15,0,0,0,0,0.55,320.55,2027,BIL (LSLR)
20,North Shore Water Association,1904004-001,Existing Well Requires Replacement,105,360000,115000,475000,300,0,20,0,0,0,0,0,320,2030,BIL (GEN)
21,New Brunswick City,1214001-005,Water Treatment Plant Improvements,50000,10435000,3443100,13878100,160,80,15,5,0,0,0,0.55,315.55,2025,BIL (GEN)
22,Camden City,0408001-001,PFAS Treatment Improvements at Morris-Delair Water Treatment Plant,54000,40706900,4520000,51404280,160,80,15,0,5,0,0,0.47,315.47,N/A,BIL (EC)
24,Atlantic City Municipal Utilities Authority,0102001-012,"Water Treatment Plant Facility Infrastructure Replacement & Improvements and
Well Redevolpment",108667,104760000,4634162,125712000,160,80,15,0,0,0,0,1.09,306.09,2028,BIL (GEN)
25,Bloom.eld Township,0702001-003,Lead Service Line Replacement,47982,875000,440000,1098395,300,0,0,5,0,0,0,0.47,305.47,N/A,BIL (LSLR)
26,"NJ American Water Company, Inc.",1345001-017,Oak Street Treatment Plant Improvements,290470,4239000,2763840,7002840,250,50,0,0,0,0,0,2.9,302.9,N/A,BIL (GEN)
27,Aqua New Jersey Incorporate,1103001-005,Addition of radium treatment at Well 9 to resolve MCL exceedance,49000,583100,418226,1001326,250,50,0,0,0,0,0,0.49,300.49,2030,BIL (EC)
29,North Shore Water Association,1904004-004,Water System Refurb,105,100000,145400,245400,300,0,0,0,0,0,0,0,300,2030,BIL (GEN)
30,Wildwood City,0514001-004,Wildwood Boardwalk water main replacement,45500,1820080,712426,2532506,175,80,15,0,0,0,0,0.45,295.45,2027,BIL (GEN)
31,Wildwood City,0514001-007,Wildwood Lead Service Replacement Program,70719,104111500,741500,135344950,175,80,15,0,0,0,0,0.16,295.16,2025,BIL (LSLR)
32,Red Bank Borough,1340001-004,Red Bank Lead Service Line Replacement,13600,3200000,2837700,3840000,175,80,15,0,0,0,0,0.13,295.13,N/A,BIL (LSLR)
33,Trenton City,1111001-005,5-year Lead Service Line Replacement & Veri.cation Project,225000,195000000,863200,239000000,250,0,15,0,5,0,15,2.17,287.17,2024-2030,BIL (LSLR)
34,Manchester Utilities Authority,1603001-001,Heights Tank Rehabilitation,12028,389167,1800000,500000,250,0,15,0,0,0,0,0.12,280.12,2026,BIL (LSLR)
36,Hopatcong Borough,1912001-002,Hopatcong Borough PFAS Removal Improvement Project,7000,840000,1100300,1020000,250,0,15,0,0,0,0,0.07,280.07,2026,BIL (EC)
37,Passaic Valley Water Commission,1605002-026,PVWC Lead Service Line Replacement,147000,1400000,578000,1978000,175,80,20,0,0,0,0,3.1,278.1,2027,BIL (LSLR)
38,Bloom.eld Township,0702001-004,Interconnection Project,47315,1920000,491000,2592000,250,0,0,5,0,0,15,0.47,270.47,N/A,BIL (GEN)
38,Bloom.eld Township,0702001-005,Lead Service Replacement Phases,49973,6000000,879930,7700000,250,0,0,5,0,0,15,0.47,270.47,2030,BIL (LSLR)
41,North Jersey District Water Supply Commission,1613001-013,Construction of a new 50 MGD Bellville Pump Station,872153,25000000,11690000,36690000,160,50,20,0,0,0,30,8.72,268.72,2030,BIL (GEN)
42,Jersey City Municipal Utilities Authority,0906001-035,Lead Service Line Replacement,292449,311040,2875600,373248,175,0,20,5,5,0,0,2.62,267.62,2024-2030,BIL (LSLR)
43,East Orange City,0705001-003,Lead Service Line Replacement Phase 2,,22000000,745890,26520000,175,80,0,5,0,0,0,0.75,265.75,2025-2026,BIL (LSLR)
44,Merchantville Pennsauken Water Commission,0424001-006,Frosthoffer GAC plant,50000,8200000,3787685,9840000,200,0,15,0,0,0,0,0.47,265.47,2027,BIL (GEN)
45,Winslow Township,0436007-006,"Add radium removal treatment at existing wells 1 and 8 to correct Maximum
Contaminant Level violations",39328,4953080,2439355,7392435,250,0,15,0,0,0,0,0.39,265.39,2030,BIL (GEN)
46,Belleville Township,0701001-003,"Replacement of 7,000 lead service lines",35928,14000000,5940000,19940000,250,0,0,0,0,0,15,0.36,265.36,2030,BIL (LSLR)
46,Belleville Township,0701001-004,Installation of lead corrosion control measures at four interconnections,35928,400000,280000,680000,250,0,0,0,0,0,15,0.36,265.36,2030,BIL (LSLR)
47,Upper Deer.eld Township,0613004-001,Radium Treatment Removal for Love Lane WTP (wells # 3 & 4),4500,2200000,1228000,3428000,250,0,0,0,0,0,15,0.04,265.04,2030,BIL (GEN)
48,National Park Borough,0812001-005,Addition of PFOS Treatment at Exisiting Water Plant,2983,1100000,770000,1526500,250,0,0,0,0,0,15,0.03,265.03,N/A,BIL (EC)
50,ADTI Housing Corporation,2103002-001,Chlorination system,83,243700,109665,353365,250,0,0,0,0,0,15,0,265,2030,BIL (EC)
51,Sayreville Borough,1219001-009,Lead Service Line Investigation and Replacement,44243,1650000,797000,2044000,250,0,0,0,5,0,0,0.44,260.44,2027,BIL (LSLR)
52,Orange City,0717001-017,PFAS Treatment at Chestnut Street Pumping Station,34447,13300000,-,17010000,160,80,0,5,5,0,0,0.3,260.3,2025,BIL (EC)
53,Lakewood Township Municipal Utilities Authority,1514002-005,"GAC WELLS 1, 2 & 3",74485,2715741,281250,3358889,160,80,20,0,0,0,0,0.28,260.28,2027,BIL (LSLR)
54,Park Ridge Borough,0247001-001,Permanent PFAS Treatment,16500,5020000,360750,6024000,250,0,0,5,0,0,0,0.16,260.16,2027,BIL (EC)
55,Aqua New Jersey Incorporate,0415002-001,Aqua New Jersey Blackwood Lead Service Line Replacement,4545,10000000,45200,12780000,175,80,0,0,0,0,0,0.44,255.44,2025,BIL (LSLR)
56,Vineland City,0614003-001,Lead Service Line Replacement Project,60491,108330000,408000,129996000,175,80,0,0,0,0,0,0.36,255.36,2027,BIL (LSLR)
57,Newark City,0714001-001,Construction of an ozonation facility,285000,10000000,4660000,14660000,100,50,20,0,0,0,80,2.85,252.85,2030,BIL (GEN)
57,Newark City,0714001-013,Removal and disposal of sludge from lagoon,285000,3000000,1580000,4580000,100,50,20,0,0,0,80,2.85,252.85,2030,BIL (GEN)
58,Middlesex Water Company,1225001-030,PFAS Treatment at CJO Plant,121639,170000000,-,206000000,250,0,0,0,0,0,0,2.33,252.33,2027,BIL (GEN)
59,Camden City,0408001-015,Morris-Delair WTP improvements - Phase II,77344,919790,524245,1444035,100,50,20,0,0,0,80,0.77,250.77,2030,BIL (GEN)
59,Camden City,0408001-016,Parkside WTP various improvements,77344,245277,139797,385074,100,50,20,0,0,0,80,0.77,250.77,2030,BIL (GEN)
60,Ridgewood Village,0251001-001,Water Treatment Centralization for PFAS Removal,61220,62433333,253084,77551983,250,0,0,0,0,0,0,0.62,250.62,2024-2025,BIL (EC)
60,Ridgewood Village,0251001-002,Water Treatment Centralization for PFAS Removal Phase 2,61200,14188500,5196000,17026200,250,0,0,0,0,0,0,0.62,250.62,2024,BIL (EC)
60,Ridgewood Village,0251001-003,Water Treatment Centralization for PFAS Removal Phase 3,61200,7666583,763800,9199900,250,0,0,0,0,0,0,0.62,250.62,2025,BIL (EC)
60,Ridgewood Village,0251001-004,Water Treatment Centralization for PFAS Removal Phase 4,61220,4499334,839600,5799135,250,0,0,0,0,0,0,0.62,250.62,2027,BIL (EC)
60,Ridgewood Village,0251001-005,Water Treatment Centralization for PFAS Removal Phase 5,61220,2582500,6510000,3307250,250,0,0,0,0,0,0,0.62,250.62,2027,BIL (EC)
60,Ridgewood Village,0251001-006,Water Treatment Centralization for PFAS Removal Phase 6,61220,2673333,300000,3425333,250,0,0,0,0,0,0,0.62,250.62,2027,BIL (EC)
61,Perth Amboy City,1216001-011,Upgrades to the Runyon Water Treatment Plant,55436,64159667,366642,83407567,160,80,0,0,5,0,0,0.52,250.52,2027,BIL (GEN)
62,Belleville Township,0701001-008,Belleville Lead Service Line Replacement,36069,2703600,450000,3568752,250,0,0,0,0,0,0,0.35,250.35,N/A,BIL (LSLR)
