PWSID,Water System Name2,Sum of Weighted Muni MHI,Project MHI Factor,Sum of Weighted Muni Unemp Rate,"Project UE
Factor",Sum of Weighted Muni Pop Trend,Project PT Factor,Project Affordability Score,Sum of Weighted Muni OBC,Meets OBC Criteria (OBC >= 35),AC Tier
NJ0102001,ATLANTIC CITY MUA,29232,34.29,4.9,1,-5.14,1,32.29,0.625,Yes,AC1
NJ0104003,BUENA BOROUGH MUA,53434,62.68,4.9,1,-6.2,1,60.68,0.3542,Yes,AC1
NJ0107001,EGG HARBOR CITY WATER DEPT,43582,51.13,4.9,1,-5.22,1,49.13,0.4614,Yes,AC1
NJ0340001,WRIGHTSTOWN MUA,46833,54.94,3.2,0,-2.88,1,53.94,0.4593,Yes,AC1
NJ0340002,MAPLEWOOD APARTMENTS,46833,54.94,3.2,0,-2.88,1,53.94,0.4593,Yes,AC1
NJ0408001,CITY OF CAMDEN,27015,31.69,3.9,1,-5.19,1,29.69,0.6464,Yes,AC1
NJ0410001,TOWN & COUNTRY MHP,55556,65.17,3.9,1,-0.43,1,63.17,0.36,Yes,AC1
NJ0410002,BNAI BRITH CHESILHURST HOUSE,55556,65.17,3.9,1,-0.43,1,63.17,0.36,Yes,AC1
NJ0411001,CLEMENTON WATER DEPARTMENT,53283,62.51,3.9,1,-1.04,1,60.51,0.4109,Yes,AC1
NJ0428002,PINE HILL BOROUGH MUA,56058,65.76,3.9,1,1.3,0,64.76,0.268,No,AC1
NJ0502001,CAPE MAY WATER & SEWER UTILITY,55767,65.42,6.9,1,-5.85,1,63.42,0.3069,No,AC1
NJ0514001,WILDWOOD CITY WATER DEPARTMENT,42632,50.01,6.9,1,-6.9,1,48.01,0.4322,Yes,AC1
NJ0516001,WOODBINE MUA,39615,46.47,6.9,1,-2.9,1,44.47,0.5727,Yes,AC1
NJ0516003,"CAROL LYNN RESORTS, INC.",39615,46.47,6.9,1,-2.9,1,44.47,0.5727,Yes,AC1
NJ0601001,BRIDGETON CITY WATER DEPT,37804,44.35,5.3,1,-4.49,1,42.35,0.5964,Yes,AC1
NJ0604001,BAYVIEW WATER SYSTEM,52321,61.38,5.3,1,-8.94,1,59.38,0.2873,No,AC1
NJ0605001,FAIRTON OAKS M H COMMUNITY,55134,64.68,5.3,1,-6.74,1,62.68,0.334,No,AC1
NJ0605002,TIPS TRAILER PARK & SALE,55134,64.68,5.3,1,-6.74,1,62.68,0.334,No,AC1
NJ0613004,UPPER DEERFIELD TWP WATER DEPT,56534,66.32,5.3,1,-4.98,1,64.32,0.3656,Yes,AC1
NJ0614002,PARKWOOD BRANCH TERRACES,54476,63.91,5.3,1,-1.63,1,61.91,0.3858,Yes,AC1
NJ0614003,VINELAND WATER & SEWER UTILITY,54476,63.91,5.3,1,-1.63,1,61.91,0.3858,Yes,AC1
NJ0614004,CHAPMAN MANUFACTURED HOUSING,54476,63.91,5.3,1,-1.63,1,61.91,0.3858,Yes,AC1
NJ0614005,UNITED MOBILE HOMES OF VINELAND,54476,63.91,5.3,1,-1.63,1,61.91,0.3858,Yes,AC1
NJ0705001,EAST ORANGE WATER COMMISSION,48072,56.39,4.3,1,-0.19,1,55.39,0.4251,Yes,AC1
NJ0714001,NEWARK WATER DEPARTMENT,35696,41.87,4.3,1,2.24,0,40.87,0.5261,Yes,AC1
NJ0717001,ORANGE WATER DEPT,42966,50.4,4.3,1,1.12,0,49.4,0.4436,Yes,AC1
NJ0814001,PAULSBORO WATER DEPARTMENT,45450,53.32,3.5,1,-4.56,1,51.32,0.3732,Yes,AC1
NJ0821001,WESTVILLE WATER DEPARTMENT,51983,60.98,3.5,1,-4.23,1,58.98,0.2874,No,AC1
