Rank,Project Number,Applicant Name,Project Location,Project Description,Population,Total Points,Estimated Project Cost*,Full Estimated Project Cost Prior to 30% Limitation,Disadvantaged,MAHI,Small,LSLR Costs,PFAS Costs,ARP Grant,DWSRF Loan,DWSRF PF,BIL DWSRF Supplemental Loan,BIL DWSRF Supplemental PF,BIL DWSRF Emerging Contaminants PF,BIL DWSRF LSLR Loan,BIL DWSRF LSLR PF,Total PF/Grant**,Percent PF/Grant
Projects With Prior Year Segments,,,,,,,,,,,,,,,,,,,,,,,
1,7580-02,Paw Paw,Van Buren County,WM replacement,"3,534",480,"$1,270,000 ",,Yes,"$49,321 ",Yes,,,,"$317,500 ","$952,500 ",,,,,,"$952,500 ",75%
2,7617-02,Village of Westphalia,Clinton County,WM replacement,"1,000",470,"$250,000 ",,,,Yes,,,"$62,500 ","$187,500 ",,,,,,,"$62,500 ",75%
3,7625-02,Onsted,Lenawee County,"WM replacement, well improvements",917,445,"$4,380,400 ",,Yes,"$54,318 ",Yes,,,,"$1,095,100 ","$3,285,300 ",,,,,,"$3,285,300 ",75%
4,7532-02,GLWA,Wayne County,96 inch trans main relocation P2,"713,777",400,"$64,230,000 ","$222,660,000 ",,,,,,"$16,057,500 ","$25,646,820 ",,"$22,525,680 ",,,,,"$16,057,500 ",75%
Projects Without Prior Year Segments,,,,,,,,,,,,,,,,,,,,,,,
5,7682-01,Village of Marion,Osceola County,"WM, wells, storage, meters, SCADA",795,820,"$5,730,000 ",,Yes,"$35,956 ",Yes,,,,"$1,432,500 ","$2,655,180 ",,"$1,642,320 ",,,,"$4,297,500 ",75%
6,7538-01,Lansing Board of Water and Light,Ingham County,"WM replacement, WTP upgrade","209,000",700,"$32,220,000 ",,Yes,"$51,628 ",,,,,"$12,220,000 ",,,"$20,000,000 ",,,,"$20,000,000 ",62%
7,7444-01,East Lansing Meridian Water & Sewer Authority,Ingham County,"New storage reservoir, wells","79,585",600,"$16,060,000 ",,,,,,,"$4,015,000 ","$12,045,000 ",,,,,,,"$4,015,000 ",25%
8,7539-01,Charter Twp of Ann Arbor,Washtenaw County,Distribution Sys Improv,"3,300",570,"$8,385,000 ",,,,,,,"$2,096,250 ","$6,288,750 ",,,,,,,"$2,096,250 ",25%
9,7655-01,City of Vassar,Tuscola County,"WM replacement, new wells, meters","2,542",570,"$8,910,000 ",,Yes,"$40,719 ",Yes,,,,"$2,227,500 ","$6,682,500 ",,,,,,"$6,682,500 ",75%
10,7639-01,City of Inkster,Wayne County,"LSLR, WM replacement","25,369",565,"$7,115,625 ",,Yes,"$32,109 ",,"$125,000 ",,"$7,115,625 ",,,,,,,,"$7,115,625 ",100%
11,7515-01,Benton Township,Berrien County,WM and filter membrane,"6,733",555,"$5,175,000 ",,Yes,"$32,401 ",Yes,,,"$5,175,000 ",,,,,,,,"$5,175,000 ",100%
12,7666-01,City of Grand Ledge,Eaton County,"WTP, WM repl","8,855",555,"$17,200,000 ",,,,Yes,,,"$4,300,000 ","$12,900,000 ",,,,,,,"$4,300,000 ",25%
13,7687-01,Village of Carsonville,Sanilac County,"tank, meters, WTP, wells",510,545,"$3,900,000 ",,Yes,"$45,000 ",Yes,,,"$2,469,429 ","$975,000 ","$455,571 ",,,,,,"$2,925,000 ",75%
14,7698-01,Village of Addison,Lenawee County,"WM, meters, WTP, tower",605,545,"$3,300,000 ",,Yes,"$41,023 ",Yes,,,"$2,475,000 ","$825,000 ",,,,,,,"$2,475,000 ",75%
15,7491-01,City of Owosso,Shiawassee County,"WM replacement, LSLR, SCADA, well","14,539",540,"$4,045,000 ",,,,,"$318,700 ",,"$1,011,250 ","$3,033,750 ",,,,,,,"$1,011,250 ",25%
16,7670-01,Bedford Charter Township,Calhoun County,WM extension for PFAS,105,535,"$5,100,000 ",,,,Yes,,"$5,100,000 ",,,,,,"$5,100,000 ",,,"$5,100,000 ",100%
17,7669-01,City of Reed City,Osceola County,"LSLR, WM and Well replacement","2,472",520,"$3,505,000 ",,Yes,"$33,646 ",Yes,"$1,008,000 ",,"$3,505,000 ",,,,,,,,"$3,505,000 ",100%
18,7488-01,City of St Joseph,Berrien County,"WM replacement, LSLR, WTP imp","33,000",515,"$13,050,000 ",,,,,"$2,014,800 ",,"$3,262,500 ","$9,787,500 ",,,,,,,"$3,262,500 ",25%
19,7721-01,Genesee County Drain Commissioner,Genesee County,WM extension,"436,000",510,"$9,305,000 ",,,,,,,"$2,326,250 ","$6,978,750 ",,,,,,,"$2,326,250 ",25%
20,7735-01,City of Grand Ledge,Eaton County,New Wells,"8,855",505,"$4,320,000 ",,,,Yes,,,"$1,080,000 ","$3,240,000 ",,,,,,,"$1,080,000 ",25%
21,7691-01,City of Memphis,Macomb and St Clair Counties,"WM, WTP, meter replacement, well imp,LSLR","1,107",495,"$1,420,000 ",,Yes,"$53,542 ",Yes,"$390,000 ",,"$873,900 ","$156,100 ",,,,,"$198,900 ","$191,100 ","$1,065,000 ",75%
22,7701-01,City of Montrose,Genesee County,"WM replacement, well decommission","1,743",495,"$2,245,000 ",,Yes,"$36,458 ",Yes,,,"$1,683,750 ","$561,250 ",,,,,,,"$1,683,750 ",75%
23,7714-01,Brownstown Charter Township,Wayne County,Elevated Storage Tanks,"33,194",490,"$7,425,000 ",,,,,,,"$1,856,250 ","$5,568,750 ",,,,,,,"$1,856,250 ",25%
24,7552-01,City of St. Clair,St. Clair County,"WTP imp, WM replacement","6,285",480,"$10,935,000 ",,,,Yes,,,"$2,733,750 ","$2,513,230 ",,,,,,,"$2,733,750 ",25%
25,7694-01,City of Davison,Genesee County,"WTP, storage tank, WM replacement","5,250",480,"$5,085,000 ",,Yes,"$47,277 ",Yes,,,,,,,,,,,$                 -,0%
26,7600-01,Corunna,Shiawassee County,Water sys imp,"1,600",470,"$7,480,000 ",,Yes,"$41,905 ",Yes,,,,,,,,,,,$                 -,0%
27,7730-01,City of West Branch,Ogemaw County,"New Well, WM, LSLR","2,139",470,"$2,610,000 ",,Yes,"$30,508 ",Yes,"$410,000 ",,"$2,610,000 ",,,,,,,,"$2,610,000 ",100%
28,7608-01,City of Bessemer,Gogebic County,"WM replacement, LSLR, tank upgrades","1,900",470,"$2,000,000 ",,Yes,"$42,566 ",Yes,"$1,000,000 ",,"$1,000,000 ",,,,,,"$510,000 ","$490,000 ","$1,490,000 ",75%
29,7677-01,Village of Shepherd,Isabella County,"LSLR, force main, lagoon imp","1,478",470,"$10,200,000 ",,Yes,"$56,563 ",Yes,"$3,500,000 ",,"$5,935,000 ",,,,,,"$1,785,000 ","$1,715,000 ","$7,650,000 ",75%
30,7716-01,YCUA,Washtenaw County,PS and generator replacement,"42,805",465,"$8,035,000 ",,Yes,"$57,616 ",,,,,,,,,,,,$                 -,0%
31,7729-01,YCUA,Washtenaw County,PS replacement,"20,468",465,"$2,920,000 ",,Yes,"$40,028 ",,,,,,,,,,,,$                 -,0%
32,7467-01,City of Muskegon,Muskegon County,WM & LSLR,"38,401",465,"$9,205,000 ",,Yes,"$35,323 ",,"$6,286,000 ",,"$4,692,745 ",,,,,,"$2,301,250 ","$2,211,005 ","$6,903,750 ",75%
33,7696-01,Independence Township,Oakland County,WM extension - PFAS,"36,818",465,"$5,185,000 ",,,,,,"$5,185,000 ",,,,,,"$5,185,000 ",,,"$5,185,000 ",100%
34,7724-01,City of Omer,Arenac County,"WTP, tower, raw water storage",260,460,"$5,000,000 ",,Yes,"$41,667 ",Yes,,,,,,,,,,,$                 -,0%
35,7643-01,City of Kingsford,Dickinson County,"WM replacement, LSLR","5,480",455,"$7,080,000 ",,Yes,"$47,313 ",Yes,"$2,380,000 ",,"$4,143,800 ",,,,,,"$1,213,800 ","$1,166,200 ","$5,310,000 ",75%
36,7661-01,Charter Twp. of Alpena,Alpena County,"WM replacement, SL replacement, tank painting","5,839",455,"$15,800,000 ",,Yes,"$45,423 ",Yes,,,,,,,,,,,$                 -,0%
37,7633-01,City of Highland Park,Wayne County,"WM replacement, LSLR","8,977",455,"$10,105,000 ",,Yes,"$20,666 ",Yes,"$535,000 ",,"$10,105,000 ",,,,,,,,"$10,105,000 ",100%
38,7710-01,City of Battle Creek,Calhoun County,Well Field,"50,358",450,"$15,000,000 ",,,,,,,,,,,,,,,$                 -,0%
39,7673-01,City of Kalamazoo,Kalamazoo County,WM and LSLR,"144,500",450,"$20,200,000 ",,Yes,"$57,710 ",,"$15,000,000 ",,"$10,298,039 ",,,,,,"$5,050,000 ","$4,851,961 ","$15,150,000 ",75%
40,7620-01,Village of Quincy,Branch County,LSLR and WM replacement,"2,040",445,"$2,035,000 ",,Yes,"$41,544 ",Yes,"$415,000 ",,"$1,322,900 ",,,,,,"$211,650 ","$203,350 ","$1,526,250 ",75%
41,7713-01,City of Sandusky,Sanilac County,WM and LSLR,"2,539",445,"$3,510,000 ",,Yes,"$45,602 ",Yes,"$59,400 ",,"$2,603,394 ",,,,,,"$30,294 ","$29,106 ","$2,632,500 ",75%
42,7640-01,City of Muskegon Heights,Muskegon County,WM and LSLR,"10,800",440,"$8,400,000 ",,Yes,"$31,431 ",,"$3,700,000 ",,"$8,400,000 ",,,,,,,,"$8,400,000 ",100%
43,7537-01,City of Jackson,Jackson County,"LSLR,WM,WTP","33,165",440,"$16,550,000 ",,Yes,"$37,192 ",,"$9,000,000 ",,"$8,437,255 ",,,,,,"$4,137,500 ","$3,975,245 ","$12,412,500 ",75%
44,7733-01,City of Hamtramck,Wayne County,"WM replacement, LSLR","28,433",440,"$795,000 ",,Yes,"$29,230 ",,"$186,400 ",,"$795,000 ",,,,,,,,"$795,000 ",100%
45,7704-01,City of Melvindale,Wayne County,WM and LSRL looping,"12,851",440,"$6,265,000 ",,Yes,"$37,438 ",,"$280,000 ",,"$4,561,550 ",,,,,,"$142,800 ","$137,200 ","$4,698,750 ",75%
46,7731-01,City of Muskegon Heights,Muskegon County,WM and LSLR,"10,800",440,"$3,000,000 ",,Yes,"$31,431 ",,"$285,000 ",,"$3,000,000 ",,,,,,,,"$3,000,000 ",100%
47,7571-01,Village of Pewamo,Ionia County,WM replacement,469,435,"$3,000,000 ",,,,Yes,,,,,,,,,,,$                 -,0%
48,7723-01,City of Mackinac Island,Mackinac County,WTP and reservoir upgrades,492,435,"$1,705,000 ",,Yes,"$43,125 ",Yes,,,,,,,,,,,$                 -,0%
49,7722-01,City of Flint,Genesee County,Trans Main and Reservoir rehab,"81,252",425,"$11,850,000 ",,Yes,"$30,383 ",,,,"$11,850,000 ",,,,,,,,"$11,850,000 ",100%
50,7531-01,GLWA,Wayne County,PS improvement - Ypsilanti,"713,777",425,"$38,700,000 ",,,,,,,,,,,,,,,$                 -,0%
51,7678-01,City of Flat Rock,Wayne County,WM,"10,541",415,"$4,775,000 ",,,,,,,,,,,,,,,$                 -,0%
