Water System Name,"DWRLF Project Number (for ALL BIL projects add either a '-GS', '-EC', '-LSLI', or 'LSLR' to the end)",System Population,Est. Loan Amount,Potential Funding Source (s),Amount of Principal Forgivenes,Expected Loan Term,Priority Points,Est. Date to Close Loan,Project Description,Type of Principal Forgiveness (PF) Received,Readiness to Proceed,Compliance Correction List,Meets Affordability Criteria (DAC),Meets Filtration Requirements,ARPA-WSP Match Project,BIL Project,Preliminary Water System Grade
TRI-Water System,1111020-01,1245,3330000,BASE / IIJA-GS,1631700,20-Yr,50,Apr-26,"Address AO for TTHM, Engineer considering switching to chloramine.
Engineer thought consolidation may be an option.
WS has discussed consolidation option, but felt it wasn't good for customers.
20 YEAR LOAN TERM","Disadvantage d System Addressing AO (30% PF
up to
$200,000)",NONE,AO: C-17-111-031--ETT,Yes,,NO,NO,F
Calcasieu Parish WDN5 of Wards 3 & 8 (Loan 2),1019084-02-GS,5388,10000000,BASE / IIJA-GS,3000000,20-Yr,47,Jan-26,"Construction of a new
0.65 MG ground storage tank, installation of automated meter reading technology, rehabilitation of two (2) elevated storage tanks, and necessary waterline connection from improved
transmission/distribution in the water system.",IIJA-GS,ENVIRONME NTAL,,Yes,,NO,IIJA-GS,C
"Plaisance Water
System",1097012-01-GS,6375,10400000,BASE / IIJA-GS,3000000,20-Yr,42,Jul-26,"Two (2) new water wells to address capacity issues
Rehabilitation of existing wells and existing storage tank
New water treatment plant (iron/manganese removal and softening) Assist the system with training as it relates to operations of the water
system",IIJA-GS,NONE,,Yes,,NO,IIJA-GS,A
"Bastrop
Water System - Loan 1",1067003-01-GS,18105,8700000,BASE / IIJA-GS,3000000,20-Yr,37,Feb-26,"Construction includes new booster station, GST, treatment system, site piping and related work at the Donaldson Facility. Also includes new meters.
Loan Terms = 20 Years",IIJA-GS,NONE,,"Yes
(+4 Add'l Priority Points)",,NO,IIJA-GS,A
City of Ville Platte Water System (Loan 5),1039010-05-GS,6590,7870000,BASE / IIJA-GS,3000000,20-Yr,30,May-26,Construct new Water Well; Repair wells #11 (Railroad St.) & #6 (SW Railroad Ave); Add 3 generators to the system; complete replacement of undersized distribution lines (begun under Phase 4 of WSP),IIJA-GS,PLANNING,N/A,"Yes
(+4 Add'l Priority Points)",,NO,IIJA-GS,B
City of Sulphur Water System,1019044-01-GS,20632,"$19,800,000. 00",BASE / IIJA-GS,3000000,20-Yr,28,Apr-26,"IIJA-GS
Installation of water meters on all connections tied into water system. The high cost is due to the unknown condition of the service lines (but they are old), so the estimate includes extra funds for installing new service lines, including horizontal directional drilling under streets, as well as pavement replacement where necessary for installing
new meter boxes/service lines.",IIJA-GS,PLANNING,,"Yes
(+4 Add'l Priority Points)",,NO,IIJA-GS,A
Walnut Bayou (Loan 2),1065004-02,3531,700000,BASE /USDS Interim Financing,0,30-Yr,25,Jun-26,New Water Well; New remote read water meters; New supply line to Office; Distribution upgrades,NONE,DESIGN,,Yes  (+4 Add'l Priority Points),,NO,NO,A
"Calcasieu
Parish Water District 1
(LOAN 1)",1019051-01-GS,20837,"$7,000,000.0 0",BASE / IIJA-GS,3000000,30-Yr,24,Feb-26,"New treatment plant (two wells; pre-treatment aeration; six greensand filters; chlorine, KMnO4, and caustic feed systems; control building; backwash decant waste collector;
and associated piping and electrical systems)",IIJA-GS,DESIGN,,Yes,,NO,IIJA-GS,A
"Magnolia
Plantation Water System. (Loan 1)",1113032-01-GS,8754,7520000,BASE / IIJA-GS,3000000,30-Yr,18,Feb-26,"The proposed project will provide additional capacity and storage to the distribution system in order to meet current demand and address issues and violations. LOAN TERM = 30 YEARS",IIJA-GS,ENVIRONME NTAL,,Yes,,NO,IIJA-GS,A
"Monterey Rural Water System, Inc.",1029007-01-GS,5250,6700000,BASE / IIJA-GS,3000000,30-Yr,17,Jan-26,"Construction includes 3 new water wells, approximately 13,600
L.F. of water transmission main, and a new 100,000 gallon GST.
LOAN TERM = 30 YEARS",IIJA-GS,NONE,,"Yes
(+4 Add'l Priority Points)",,NO,IIJA-GS,A
Bossier City Water System (Loan 3),1015004-03-GS,76685,30000000,BASE / IIJA-GS,3000000,20-Yr,3,Jun-26,"Addition of a 20 MGD nanofiltration NF system including equipment, building, piping, wet well, pilings, site work, and miscellaneous items needed for a complete and operable NF system. Loan Terms = 20 Years",IIJA-GS,PLANNING,,Yes,,NO,IIJA-GS,A
Natchitoches Waterworks District No. 2,1069006-01,8415,836220,BASE,0,20-Yr,10,Aug-26,"A new groundwater well (650 gpm) will be constructed next to the existing well. The current groundwater well
is considered inoperable and needs replacement.",NONE,NONE,,Yes,,NO,NO,C
