Water System Name,"DWRLF Project Number (for ALL BIL projects add either a '-GS', '-EC', '-LSLI', or 'LSLR' to the end)",System Population,Est. Loan Amount,Potential Funding Source (s),Amount of Principal Forgivenes,Expected Loan Term,Priority Points,Est. Date to Close Loan,Project Description,Type of Principal Forgiveness (PF) Received,Readiness to Proceed,Compliance Correction List,Meets Affordability Criteria (DAC),Meets Filtration Requirements,ARPA-WSP Match Project,IIJA Project,Preliminary Water System Grade
St. Bernard Parish Waterwork s (Loan 4),1087001-04-EC,44000,5000000,IIJA-EC,5000000,10-Yr,20,Dec-25,"N. FOWLERI TREATMENT:
Replacement of existing aged and deteriorated cast iron water line segments in the St. Bernard Parish water distribution system (Lloyd's Avenue - formerly included in Proj 2.4 of 2015 SIP).
LOAN TERM = 10 YEARS (100% PF
since IIJA-EC)",IIJA-EC,CLOSED,,Yes,,NO,IIJA-EC,B
Town of Vinton,1019048-01-EC,4101,"$3,180,000
.00",IIJA-EC,3180000,10-Yr,14,Feb-26,"REPLACE four (4)
OLD 1975 WTP
Filters with four (4) manganese greensand vertical pressure filters, relocation of chemical feed equipment for oxidation, backwash pumping, building to house the filters and equipment, and associated piping and electrical modifications.
BACKGROUND/ELIG IBILITY for EC: NEED
TO REPLACE four
(4) OLD 1975 WTP
Filters for Iron and Manganese that are at the end of their design life and showing signs of deterioration. The latest LDH Sample Results (provided) show water well sample results for Manganese of 0.41 mg/L in Well No 1,
0.38 mg/L in Well NO 2, and 0.27 mg/L in Well NO 3. *0.3 mg/L is the health concern level, and 0.05 mg/L is the SMCL so that explains why the WTP was installed
and required back in 1975.",IIJA-EC,DESIGN,,Yes (+4 Add'l Priority Points),,NO,IIJA-EC,A
"Calcasieu Parish Water District 4
(LOAN 1)",1019053-01-EC,5340,1680000,IIJA-EC,1680000,10-Yr,8,Feb-26,"REHAB of Existing Manganese Green Sand Filter Treatment Plant for treatment of Manganese (0.32 mg/L in raw water).
Loan Term = 10 Years IIJA-EC (100% PF)",IIJA-EC,DESIGN,,,,NO,IIJA-EC,A
"Calcasieu Parish Water District 1
(LOAN 2)",1019051-02-EC,20837,"$2,900,000
.00",IIJA-EC,2900000,10-Yr,9,Feb-26,New Manganese Green Sand Filters for treatment Plant.,IIJA-EC,DESIGN,,Yes,,NO,IIJA-EC,A
"Livingston
Parish Ward 2
(Loan 8)",1063039-08-EC,73506,"$4,460,000
.00",IIJA-EC,4460000,10-Yr,21,Feb-26,"IIJA-EC
PROJECT DESCRIPTION:
Installation of a new test well and operating well on one site in the Ward Two Water System The goal of the project is to find and drill a well site that has significantly better water quality, therefore decreasing the amount""&"" the well with manganese and iron has to be run and improve the water quality provided to the customer.
Loan Term = 10 Years IIJA-EC (100% PF)",IIJA-EC,DESIGN,,Yes,,NO,IIJA-EC,B
"Opelousas, City of (Loan 2)",1097010-01-EC,19764,"$10,500,00 0",IIJA-EC,10500000,10-Yr,50,Feb-26,"Upgrade of existing
3.0 MGD water treatment facility to improve water quality by removing iron and manganese
10 YEAR LOAN TERM - 100%PF",IIJA-EC,DESIGN,AO: C-22-097-021-ETT,"Yes (+4 Add'l Priority
Points",,NO,IIJA-EC,"F
(projected grade of D)"
"BOSSIER PARISH,
Consolidat ed WWKS Dist 1
(Loan 1)",1015026-01-EC,3210,"$6,320,000
.00",IIJA-EC,6320000,10-Yr,35,Mar-26,"Project A - Install new manganese filter system at Bellevue Road Station (Ader Elevated Tank Site) to treat wells #12 and #13.
Project C - Renovate Hwy 528 (Bellevue Road Booster Station) to include a new pump house with manganese filtration and larger capacity pumps for backwashing. Drill one new water well to increase booster station supply that will be needed for backwashing the new filter system.
NOTE: This water system just consolidated several
(3) small systems into one, but some of the wells have issues with Manganese. These two projects (and the others, Projects B and D) have been EPA Approved on 7/24/24 for IIJA-EC.
Loan Term = 10 Years IIJA-EC (100% PF)",IIJA-EC,PLANNING,,Yes (+4 Add'l Priority Points),,NO,IIJA-EC,A
Bayou Teche Water Works,1099002-01-EC,9933,"$9,245,000
.00",IIJA-EC,9245000,,25,Feb-26,"IIJA- EC (Manganese Treatment)
The proposed project is ""Bayou Teche Water Treatment Plant Reconstruction"" and has an estimated
total project cost (incl. Eng) of $9,245,000.",IIJA-EC,PLANNING,,Yes,,NO,IIJA-EC,C
Mire Branch Water Corporatio n,1001024-01-EC,9147,6130000,IIJA-EC,6130000,10-Yr,12,Mar-26,"Replace well #1 with a new 750gpm well; piping modifications so new well and well #3 can supply both plants #1 and #2; new filter with softener; new 500K grd storage tank and replace existing high service pumps and generator
LOAN TERM = 10 YEARS (100% PF
since IIJA-EC)",IIJA-EC,ENVIRONMEN TAL,,Yes,,NO,IIJA-EC,A
Bossier City Water System (Loan 2),1015004-02-EC,76685,550000,IIJA-EC,550000,10-Yr,17,Apr-26,"Pilot two (2) Nanofiltration Membrane Systems in series with a Greensand Filtration System
10 Year Loan Term (100%PF)",IIJA-EC,ENVIRONMEN TAL,,Yes,,NO,IIJA-EC,A
