Water System Name,"DWRLF Project Number (for ALL IIJA projects add either a '-GS', '-EC', '-LSLI', or 'LSLR' to the end)",System Population,Est. Loan Amount,Potential Funding Source (s),Amount of Principal Forgivenes,Expected Loan Term,Priority Points,Est. Date to Close Loan,Project Description,Type of Principal Forgiveness (PF) Received,Readiness to Proceed,Compliance Correction List,Meets Affordability Criteria (DAC),Meets Filtration Requirements,ARPA-WSP Match Project,IIJA Project,Preliminary Water System Grade
"Hebert Water System, Inc. (Loan 2)",1021006-02-GS,3048,3985715,IIJA-GS /Capital Outlay,1953000,20-Yr,38,Nov-25,"Phase 1:
New Pump Station & GST LA561
Painting of Existing Elevated Tank
Pump Station & GST, LA 576 Phase 2: New 150,000 gal Elevated Tanks Painting of New Elevated Tank Distribution to Elevated Tank Loan Terms = 20 Years",IIJA-GS,CLOSED,,Yes,,NO,IIJA-GS,A
"Colyell Communit y Water System
(Loan 3)","1063003-
03-GS",4544,3930000,IIJA-GS,1925700,30-Yr,23,Dec-25,"Construction of production well, and installation of 6"" Water Main and repair of control systems at well site.",IIJA-GS,CLOSED,,Yes,,NO,IIJA-GS,B
"New Orleans Sewage & Water Board - Algiers WWKs
(Loan 1)","1071001-
01-GS",52785,5000000,IIJA-GS,2450000,20-Yr,24,Dec-25,"AMR Meter PROCUREMENT ONLY of
Automated Meter Reading (AMR) System including meters and infrastructure. NO INSTALL. Original application included the install.
Loan Terms = 20 Years",IIJA-GS,CLOSED,NO AOs,Yes,,NO,IIJA-GS,"B,C"
"Calcasieu Parish Water District 1
(LOAN 1)","1019051-
01-GS",20837,7000000,"IIJA-GS /
Base",3000000,30-Yr,24,Feb-26,"New treatment plant (two wells; pre-treatment aeration; six greensand filters; chlorine, KMnO4, and caustic feed systems; control building; backwash decant waste collector; and associated piping and electrical systems)",IIJA-GS,DESIGN,,Yes,,NO,IIJA-GS,A
Town of Vinton,"1019048-
02-GS",4101,"$2,890,000.
00",IIJA-GS,1416100,20-Yr,10,Feb-26,"Description of proposed facilities: New water well, ground storage tank, associated piping, electrical modifications and repairs to existing concrete ground storage tank.",IIJA-EC,DESIGN,,Yes (+4 Add'l Priority Points),,NO,IIJA-EC,A
Magnolia Plantation Water System. (Loan 1),"1113032-
01-GS",8754,7520000,IIJA-GS,3000000,30-Yr,18,Feb-26,The proposed project will provide additional capacity and storage to the distribution system in order to meet current demand and address issues and violations. LOAN TERM = 30 YEARS, IIJA-GS,ENVIRONMENT AL,,Yes,,NO,IIJA-GS,A
East Columbia Water System,"1021004-
01-GS",2829,866000,IIJA-GS,424340,30-Yr,15,Feb-26,The proposed facilities are distribution system improvements including new water mains and services to eliminate aged water mains and services.,IIJA-GS,ENVIRONMENT AL,,Yes (+4 Add'l Priority Points),,NO,IIJA-GS,A
"Calcasieu Parish WDN5 of Wards 3 &
8 (Loan 2)","1019084-
02-GS",5388,10000000,"IIJA-GS /
Base",3000000,20-Yr,47,Feb-26,"Construction of a new 0.65 MG ground storage tank, installation of automated meter reading technology, rehabilitation of two (2) elevated storage tanks, and necessary waterline connection from improved transmission/distribution in the water system.",IIJA-GS,ENVIRONMENT AL,,Yes,,NO,IIJA-GS,C
Bastrop Water System - Loan 2,"1067003-02
-GS",18105,8700000,IIJA-GS,3000000,20-Yr,37,Feb-26,"Construction includes new booster station, GST, treatment system, site piping and related work at the Donaldson Facility. Also includes new meters. Loan Terms = 20 Years",IIJA-GS,PLANNING,,Yes (+4 Add'l Priority Points),,NO,IIJA-GS,A
Greater Ward One Waterwork s District,"1061007-
01-GS",3333,2148000,IIJA-GS,1052520,30-Yr,12,Feb-26,The project proposes to drill a new water well with ancillary improvements for the Greater Ward One Waterworks District.,IIJA-GS,PLANNING,,Yes,,NO,IIJA-GS,A
"Monterey Rural Water System, Inc.","1029007-
01-GS",5250,6700000,IIJA-GS,3000000,30-Yr,17,Jan-26,"Construction includes 3 new water wells, approximately 13,600 L.F. of water transmission main, and a new 100,000 gallon GST.
LOAN TERM = 30 YEARS",IIJA-GS,NONE,,Yes (+4 Add'l Priority Points),,NO,IIJA-GS,A
St. Francisvill e Water System,"1125006-
01-GS",2304,800000,IIJA-GS,392000,20-Yr,11,Mar-26,Replace existing water meters with automatic read meters,IIJA-GS,PLANNING,,Yes,,NO,IIJA-GS,A
"City of Sulphur
Water System","1019044-
01-GS",20632,"$19,800,000
.00","IIJA-GS /
Base",3000000,20-Yr,28,Apr-26,"IIJA-GS
Installation of water meters on all connections tied into water system. The high cost is due to the unknown condition of the service lines (but they are old), so the estimate includes extra funds for installing new service lines, including horizontal directional drilling under streets, as well as pavement replacement where necessary for installing new meter boxes/service
lines.",IIJA-GS,PLANNING,,Yes (+4 Add'l Priority Points),,NO,IIJA-GS,A
City of Ville Platte Water System (Loan 5),"1039010-
05-GS",6590,"$7,870,000.
00",IIJA-GS,3000000,20-Yr,30,May-26,Construct new Water Well; Repair wells #11 (Railroad St.) & #6 (SW Railroad Ave); Add 3 generators to the system; complete replacement of undersized distribution lines (begun under Phase 4 of WSP),IIJA-GS,PLANNING,,Yes (+4 Add'l Priority Points),,NO,IIJA-GS,B
