Project Number,District Number,Project Type,Applicant,Project Title / Description,Priority Class,Consolidation Project,Population,Service Connections ,Degree of Disadvantaged,Estimated/Required Project Costs
0110001-002C,4,Construction,Alameda County Water District,PFAS Treatment Project,F,FALSE,"324,796","79,362",non-DAC,"$20,000,000.00"
3010001-003C,8,Construction,"Anaheim, City of",Groundwater Treatment Plants (PFAS) -Phase A,F,FALSE,"346,823","62,476",non-DAC,"$20,682,483.00"
3010001-004C,8,Construction,"Anaheim, City of",Groundwater Treatment Plant (PFAS) - Phase B,F,FALSE,"346,823","62,476",non-DAC,"$21,802,493.00"
2010009-003C,11,Construction,Bakman Water Company,Rolling Hills Water Meter Project,D,FALSE,727,333,non-DAC,"$5,000,000.00"
4210018-001C,6,Construction,"Buellton, City of",Reservoir 2 Roof,F,FALSE,"4,000","1,500",non-DAC,"$1,500,000.00"
7844-110,5,Construction,California American Water Company,Calam Monterey Peninsula Water Supply Project,F,FALSE,"91,884","38,246",non-DAC,"$279,200,000.00"
3610012-008C,13,Construction,"Chino, City of",State Street Water Treatment Project (WA212),F,FALSE,"62,000","16,677",non-DAC,"$39,000,000.00"
3310037-011C,20,Construction,"Corona, City of",PFAS Removal Project,F,FALSE,"150,253","41,861",non-DAC,"$11,442,500.00"
3310012-019C,20,Construction,Elsinore Valley Municipal Water District,"Canyon Lake Water Treatment Plan Phase 1Improvements (PFAS)",E,FALSE,"121,420","36,817",non-DAC,"$46,500,000.00"
1210004-001C,1,Construction,"Eureka, City of",City of Eureka Energy and Water Conservation Project,F,FALSE,"32,800","9,949",SDAC,"$5,000,000.00"
3310021-020C,20,Construction,Jurupa Community Services District,"Etiwanda Intervalley Water Quality & Water ResiliencyProject-Pipeline Phase 1A (EC)",F,FALSE,"68,297","24,684",non-DAC,"$66,180,000.00"
3310021-021C,20,Construction,Jurupa Community Services District,"Roger Teagarden Ion Exchange Plant ImprovementsProject",E,FALSE,"68,297","24,684",non-DAC,"$20,000,000.00"
3010017-002C,8,Construction,Laguna Beach County Water District,Rimrock Reservoir and Pump Station Replacement Project,F,FALSE,"25,000","8,554",non-DAC,"$9,600,000.00"
1910067-055C,15,Construction,"Los Angeles, City of Acting by and through theDepartment of Water & Power",Fairmont Sedimentation Plant,F,FALSE,"4,071,873","680,607",non-DAC,"$524,700,000.00"
1910067-057C,15,Construction,"Los Angeles, City of Acting by and through theDepartment of Water & Power","Manhattan Wellfield On-site Hypochlorite GenerationStation",D,FALSE,"4,071,873","680,607",non-DAC,"$9,574,000.00"
1910067-059C,15,Construction,"Los Angeles, City of Acting by and through theDepartment of Water & Power",City Trunk Line North Unit 1,F,FALSE,"4,071,873","680,607",non-DAC,"$166,000,000.00"
1910067-061C,15,Construction,"Los Angeles, City of Acting by and through theDepartment of Water & Power",Mission Wells Ammoniation Station,D,FALSE,"4,071,873","680,607",non-DAC,"$25,000,000.00"
1910067-062C,15,Construction,"Los Angeles, City of Acting by and through theDepartment of Water & Power",Western Trunk Line Project,F,FALSE,"4,071,873","680,607",non-DAC,"$142,320,000.00"
1910067-056C,15,Construction,"Los Angeles, City of Acting by and through theDepartment of Water & Power","Century Trunk Line, Unit 2",F,FALSE,"4,071,873","680,607",non-DAC,"$43,900,000.00"
2000690-001P,11,Planning,"Madera, County of",MD-73 Quartz Mountain Water System Improvements,E,FALSE,375,126,non-DAC,"$550,000.00"
2000865-001P,11,Planning,"Madera, County of (MD#58 Sierra Highlands)",MD-58 Sierra Highlands Water System Improvements,E,FALSE,75,25,non-DAC,"$350,000.00"
0103040-001P,4,Planning,Norris Canyon Property Owners Association,NCPOA Water System Upgrades,D,FALSE,100,19,non-DAC,"$245,000.00"
3010010-001C,8,Construction,"Fullerton, City of","City of Fullerton Main Plant PFAS Water Treatment PlantProject",F,FALSE,"137,367","31,359",non-DAC,"$13,190,000.00"
3010027-001C,8,Construction,"Orange, City of","City of Orange Wells 20, 21 and 22 PFAS TreatmentSystems",F,FALSE,"138,640","35,645",non-DAC,"$8,000,000.00"
3010035-001C,8,Construction,Golden State Water Company,"Golden State Water Company (GSWC) PFAS TreatmentSystems",F,FALSE,"49,686","12,894",non-DAC,"$4,431,000.00"
3010038-004C,8,Construction,"Santa Ana, City of","City of Santa Ana Wells 27 and 28 PFAS TreatmentSystem",F,FALSE,"353,428","44,610",non-DAC,"$8,000,000.00"
3010046-001C,8,Construction,"Tustin, City of",City of Tustin PFAS Water Treatment Plant,F,FALSE,"62,100","14,071",non-DAC,"$16,000,000.00"
3010068-001C,8,Construction,East Orange County Water District,East Orange CWD PFAS WATER TREATMENT PLANT,F,FALSE,"3,000","1,207",non-DAC,"$5,146,370.00"
3010092-001C,8,Construction,Irvine Ranch Water District,"Irvine Ranch Water District Well OPA-1 PFAS TreatmentSystem",F,FALSE,"316,000","88,423",non-DAC,"$6,300,000.00"
0110008-001C,4,Construction,"Pleasanton, City of","Per- and Polyfluroroalkyl (PFAS) Treatment and WellsRehabilitation Project",F,FALSE,"67,876","21,516",non-DAC,"$31,400,000.00"
4400598-004C,5,Construction,"Puresource Water, Inc","New Well, Customer Meters, Intertie Electricity, StorageTank Improvements",F,FALSE,450,79,non-DAC,"$406,670.00"
5200555-001C,21,Construction,Rio Ranch Community Services District,Water Source Capacity Improvement,F,FALSE,25,21,non-DAC,"$112,314.00"
4810004-001C,4,Construction,"Rio Vista, City of","New Well, Storage Tank and Booster Station in Core",F,FALSE,"7,376","3,274",non-DAC,"$9,300,000.00"
4810004-002C,4,Construction,"Rio Vista, City of",New Well near the High School,F,FALSE,"7,376","3,274",non-DAC,"$2,700,000.00"
