Project Number,District Number,Project Type,Applicant,Project Title / Description,Priority Class,Population ,Residential Service Connections,Water System Size,Degree of Disadvantaged,Estimated Project Costs,Estimated PF/Grant Amount,Estimated DWSRF Loan
1910067-057C,15,Construction,"Los Angeles, City of Acting by andthrough the Department of Water &Power","Manhattan Wellfield On-site HypochloriteGeneration Station",D,"4,071,873","680,607",Large,non-DAC,"$9,574,000.00",$              -,"$9,574,000.00"
3610039-053C,13,Construction,"San Bernardino, City of - MunicipalWater Department",Water Distribution Mainline Replacement,F,"173,359","42,301",Large,non-DAC,"$3,406,000.00",$               -,"$3,406,000.00"
3710020-077C,14,Construction,"San Diego, City of",Morena Pipeline,F,"1,266,731","271,962",Large,non-DAC,"$57,673,459.00",$               -,"$57,673,459.00"
3710020-079C,14,Construction,"San Diego, City of",Alvarado 2nd Pipeline Extension,F,"1,266,731","271,962",Large,non-DAC,"$145,691,810.00",$               -,"$145,691,810.00"
3410021-004C,9,Construction,San Juan Water District,"Eureka Road Transmission LineReplacement",F,"33,792","10,240",Large,non-DAC,"$3,995,000.00",$               -,"$3,995,000.00"
3610004-002C,13,Construction,West Valley Water District,"Oliver P. Roemer Water Filtration FacilityExpansion Project (RWFF Project)",F,"63,693","18,198",Large,non-DAC,"$46,665,000.00",$-,"$46,665,000.00"
5510016-001C,11,Construction,"Sierra Park Water Company, Inc.","Sierra Park Water Company Water SystemImprovements",E,300,347,Small,non-DAC,"$2,025,230.00","$1,600,000.00","$425,230.00"
3010001-003C,8,Construction,"Anaheim, City of","Groundwater Treatment Plant (PFAS) -Phase A",F,"346,823","62,476",Large,non-DAC,"$20,682,483.00","$2,500,000.00","$18,182,493.00"
3010001-004C,8,Construction,"Anaheim, City of","Groundwater Treatment Plant (PFAS) -Phase B",F,"346,823","62,476",Large,non-DAC,"$21,802,493.00","$2,500,000.00","$19,302,493.00"
3310021-020C,20,Construction,Jurupa Community Services District,"Etiwanda Intervalley Water Quality & WaterResiliency Project - Pipeline Phase I & II",F,"68,297","24,684",Large,non-DAC,"$66,180,000.00","$5,000,000.00","$66,180,000.00"
1910067-059C,15,Construction,"Los Angeles, City of Acting by andthrough the Department of Water &Power",City Trunk Line North Unit 1,F,"4,071,873","680,607",Large,non-DAC,"$166,000,000.00",$               -,"$166,000,000.00"
4410010-004C,8,Construction,"Santa Cruz,City of","Newell Creek Pipeline (Felton/ Graham Hill)Replacement Project",F,"90,000","24,228",Medium,non-DAC,"$41,352,000.00",$               -,"$41,352,000.00"
0910002-030C,9,Construction,South Tahoe Public Utility District,Waterline Ipgrades and Improvement Project,F,"60,000","13,635",Medium,non-DAC,"$16,222,000.00",$               -,"$16,222,000.00"
4600012-008C,2,Construction,Alleghany County Water District,Ram Spring Improvement Project,B,80,55,Small,SDAC,"$1,500,000.00","$1,500,000.00",$                 -
4510001-002C,2,Construction,"Anderson, City of",Anderson Park Village Consolidation,F,"10,050","3,077",Small,SDAC,"$1,238,400.00","$1,238,400.00",$-
0510003-003C,10,Construction,"Angels, City of","City of Angels Water Treatment PlantUpgrade",F,"3,441","1,773",Small,SDAC,"$7,000,000.00","$7,000,000.00",$                 -
3600009-001C,13,Construction,"Apple Valley Heights County WaterDistrict","Storage Tanks and Transmission PipelineImprovements Project",F,977,286,Small,SDAC,"$4,400,000.00","$4,400,000.00",$                 -
3610009-002C,13,Construction,Bighorn-Desert View Water Agency,"Potable Water System ImprovementsConsolidation of Water Systems",E,"5,000","1,903",Small,SDAC,"$11,000,000.00","$11,000,000.00",$-
4510003-003C,2,Construction,Burney Water District,"Burney Water District Water SystemImprovement Project",E,"3,000","1,377",Small,SDAC,"$13,963,000.00","$13,963,000.00",$                 -
0410006-001C,21,Construction,"Butte, County of","Palermo Drinking Water ConsolidationProject",A,"22,348","6,772",Small,SDAC,"$11,715,000.00","$11,715,000.00",$                 -
4700503-004C,1,Construction,Callahan Water District,Water System Improvement Project,B,70,29,Small,SDAC,"$2,100,000.00","$2,100,000.00",$-
1010039-004C,23,Construction,"Caruthers Community ServicesDistrict","Water Line Loop - Tahoe, Mt. View & WestAve",D,"2,103",672,Small,SDAC,"$716,600.00","$716,600.00",$                 -
4510016-003C,2,Construction,"Clear Creek Community ServicesDistrict","Clear Creek Community Services DistrictBackwash Ponds Repair Project",F,"8,000","2,645",Small,SDAC,"$3,060,633.00","$3,060,633.00",$-
3310001-014C,20,Construction,Coachella Valley Water District,"Saint Anthony Mobile Home Park WaterConsolidation Project",C,"244,472","97,789",Small,SDAC,"$215,595.00","$215,595.00",
3310001-015C,20,Construction,Coachella Valley Water District,"Valley View Mobile Home Park ConsolidationProject",C,"244,472","97,789",Small,SDAC,"$10,696,360.00","$10,696,360.00",$                 -
3310007-003C,20,Construction,"Coachella, City of","Shady Lane MHP Water ConsolidationProject",C,200,40,Small,SDAC,"$1,643,006.00","$1,643,006.00",$                 -
