Project Number,Applicant,Project Scope,Project Cost,Emerging Contaminant (EC) Cost,Population,Cost per Population Served,Disadvantaged Status,Project Score,DWSRF Loan Allocation,DWSRF PF Allocation,BIL EC Allocation,BIL Loan Allocation,BIL PF Allocation,Total Award,Percent PF
7920-01,City of Owosso,"WMR, LSLR, Booster Station Upgrades","$12,000,000",$-,"26,650",$450,Overburdened,95,$-,,,"$9,840,000","$2,160,000","$12,000,000",18%
7919-01,City of Mt. Pleasant,"Well Rehab, Storage Repl., LSLR","$27,900,000",$-,"21,688","$1,286","Significantly
Overburdened",90,$-,,,"$21,483,000","$6,417,000","$27,900,000",23%
7902-01,"Ypsilanti Community Utilities
Authority (City)","WMR, Looping, LSLR","$1,140,000",$-,316,"$3,608",Overburdened,90,"$934,800","$205,200",,,,"$1,140,000",18%
7929-01a,City of Muskegon,WMR & LSLR,"$3,400,000",$-,782,"$4,348",Overburdened,90,"$2,788,000","$612,000",,,,"$3,400,000",18%
7930-01a,City of Muskegon Heights,WMR & LSLR,"$2,590,000",$-,207,"$12,512","Significantly
Overburdened",90,"$1,994,300","$595,700",,,,"$2,590,000",23%
7900-01a,City of Saginaw (City Only),"WMR, Looping, LSLR","$6,845,000",$-,516,"$13,266","Significantly
Overburdened",90,"$5,270,650","$1,574,350",,,,"$6,845,000",23%
7899-01a,City of Grand Rapids,WMR & LSLR,"$16,050,000",$-,"1,169","$13,730",Overburdened,90,"$13,161,000",,,,"$2,889,000","$16,050,000",18%
7917-01,Village of Ahmeek,"Storage Tank Repl., Looping, GSLRs","$2,825,000",$-,132,"$21,402","Significantly
Overburdened",90,"$2,175,250","$649,750",,,,"$2,825,000",23%
7932-01a,Detroit Water and Sewage Department & Great Lakes Water Authority,WMR & LSLR,"$40,000,000",$-,"99,900",$400,"Significantly
Overburdened",85,"$30,800,000",,,,"$9,200,000","$40,000,000",23%
7923-01,City of Inkster,WMR & LSLR,"$17,775,000",$-,"25,787",$689,"Significantly
Overburdened",85,"$8,263,720",,,"$5,423,030","$4,088,250","$17,775,000",23%
7803-01,City of Fennville,"WMR, Storage Rehab, New Well, LSLR","$3,210,000",$-,"2,438","$1,317","Significantly
Overburdened",85,"$2,471,700","$738,300",,,,"$3,210,000",23%
7918-01,City of Wakefield,"WMR, LSLR, SCADA, Pump House
Demolition","$2,400,000",$-,"1,702","$1,410",Overburdened,85,"$1,968,000","$432,000",,,,"$2,400,000",18%
7887-01,Detroit Water and Sewage Department & Great Lakes Water Authority,WMR & LSLR,"$25,670,000",$-,"13,495","$1,902","Significantly
Overburdened",85,"$19,765,900",,,,"$5,904,100","$25,670,000",23%
7896-01a,City of Melvindale,"WMR, Looping, LSLR","$4,335,000",$-,"1,405","$3,085",Overburdened,85,"$3,554,700","$780,300",,,,"$4,335,000",18%
7692-01,Village of Baldwin,"WMR, LSLR, Well & Tank Upgrades","$4,550,000",$-,902,"$5,044","Significantly
Overburdened",85,"$3,503,500","$1,046,500",,,,"$4,550,000",23%
7861-01,Village of Manton,"Storage, WMR, LSLR","$7,804,000",$-,"1,258","$6,203","Significantly
Overburdened",85,"$6,009,080","$1,794,920",,,,"$7,804,000",23%
