Project Number,Applicant,Scope of Work,Project Cost,Population Served,Cost per population,Disadvantaged,Score,LSLR BIL Loan,LSLR BIL PF,"Lead & Infrastructure
Grant",DWSRF Loan,BIL PF,Total Award,Percent PF
7899-01b,City of Grand Rapids,LSLR,9000000,3938,2285,Overburdened,85,2500000,2500000,,,,5000000,0.5
7879-01b,City of Hamtramck,LSLR,5605000,2288,2450,"Significantly
Overburdened",85,,,,2802500,2802500,5605000,0.5
7930-01b,City of Muskegon Heights,LSLR,7415000,1992,3722,"Significantly
Overburdened",85,3707500,3707500,,,,7415000,0.5
7929-01b,City of Muskegon,LSLR,10000000,2678,3734,Overburdened,85,2500000,2500000,,,,5000000,0.5
7932-01b,"Detroit Water and Sewage Department & Great Lakes
Water Authority",LSLR,100000000,24600,4065,Significantly Overburdened,85,5000000,5000000,,,,10000000,0.5
7912-01,City of River Rouge,LSLR,6000000,1210,4959,"Significantly
Overburdened",85,3000000,3000000,,,,6000000,0.5
7907-01,City of Ionia,LSLR,6000000,2523,2378,"Significantly
Overburdened",80,3000000,3000000,,,,6000000,0.5
7900-01b,City of Saginaw (City Only),LSLR,2300000,756,3042,"Significantly
Overburdened",80,1150000,1150000,,,,2300000,0.5
7913-01b,City of Lincoln Park,LSLR,6500000,1696,3833,Overburdened,80,2500000,2500000,,,,5000000,0.5
7914-01b,Breitung Township,LSLR,3585000,920,3897,Overburdened,80,1792500,1792500,,,,3585000,0.5
7903-01,City of Kalamazoo,LSLR,24000000,5800,4138,Overburdened,80,2500000,,2500000,,,5000000,0.5
7911-01b,Oakland County (Pontiac),LSLR,5340000,1280,4172,Overburdened,80,2500000,1241404,1258596,,,5000000,0.5
7894-01b,City of Garden City,LSLR,1200000,240,5000,Overburdened,80,600000,,600000,,,1200000,0.5
7909-01b,City of Iron Mountain,LSLR,5245000,1000,5245,Overburdened,80,2500000,1715763,784237,,,5000000,0.5
7876-01b,City of Kingsford,LSLR,16500000,2965,5565,Overburdened,80,1719343,,1715763,780657,784237,5000000,0.5
7674-01b,City of Pinconning,LSLR,390000,62,6290,Overburdened,80,,,,195000,195000,390000,0.5
7627-01,"Coldwater Board of Public
Utilities",LSLR,3000000,1256,2389,Overburdened,75,,,,1500000,1500000,3000000,0.5
7908-01b,City of Jackson,LSLR,20000000,7000,2857,Overburdened,75,2500000,2500000,,,,5000000,0.5
7827-01,City of Gaastra,LSLR,285000,63,4524,"Significantly
Overburdened",75,142500,142500,,,,285000,0.5
7681-01,City of Bay City,LSLR,15525000,3300,4705,Overburdened,75,,,,,,,
7924-01,City of Inkster,LSLR,1125000,239,4707,"Significantly
Overburdened",75,,,,,,,
7770-01b,City of Munising,LSLR,2770000,468,5919,Overburdened,75,,,,,,,
7897-01b,Village of Shelby,LSLR,648000,210,3086,"Significantly
Overburdened",70,,,,,,,
7773-01,City of Roseville,LSLR,6700000,1750,3829,Overburdened,70,,,,,,,
7896-01b,City of Melvindale,LSLR,3000000,725,4138,Overburdened,70,,,,,,,
7927-01,Village of Newberry,LSLR,15700000,1723,9112,"Significantly
Overburdened",70,,,,,,,
7885-01b,City of St Joseph,LSLR,4535000,2490,1821,NA,65,,,,,,,
7753-01,City of Battle Creek,LSLR,27920000,9953,2805,Overburdened,65,,,,,,,
7910-01,City of Livonia,LSLR,5000000,1750,2857,NA,65,,,,,,,
7922-01,Village of Lawrence,LSLR,2734300,924,2959,"Significantly
Overburdened",65,,,,,,,
7685-01b,City of Morenci,LSLR,2350000,548,4288,Overburdened,65,,,,,,,
7752-01,City of Ferndale,LSLR,12000000,2781,4315,NA,65,,,,,,,
7578-01,Village of Augusta,LSLR,1130000,173,6532,Overburdened,65,,,,,,,
7795-01b,City of Manistique,LSLR,3015000,438,6884,Overburdened,65,,,,,,,
7824-01b,Osceola Township,LSLR,3200000,423,7565,Overburdened,65,,,,,,,
7881-01b,City of Escanaba,LSLR,13640000,1320,10333,Overburdened,65,,,,,,,
7814-01b,Rockland Twp,LSLR,685000,63,10873,Overburdened,65,,,,,,,
7679-01,"City of Holland Board of Public
Works",LSLR,7700000,4404,1748,NA,60,,,,,,,
7536-01,City of Dearborn,LSLR,10255000,3654,2807,NA,60,,,,,,,
7759-01,City of Warren,LSLR,12000000,3690,3252,NA,60,,,,,,,
7849-01b,City of Grosse Pointe Woods,LSLR,1100000,300,3667,NA,60,,,,,,,
7921-01,City of Dowagiac,LSLR,750000,182,4121,"Significantly
Overburdened",60,,,,,,,
7877-01b,City of Mt. Clemens,LSLR,960000,120,8000,NA,60,,,,,,,
7906-01,Saugatuck Township,LSLR,520000,119,4370,NA,55,,,,,,,
7926-01,City of Gaylord,LSLR,5400000,822,6569,NA,55,,,,,,,
7850-01b,City of Grosse Pointe,LSLR,3935000,1431,2750,NA,45,,,,,,,
7825-01b,Crystal Falls Township,LSLR,450000,100,4500,NA,45,,,,,,,
7898-01,City of Galesburg,LSLR,635000,116,5474,NA,45,,,,,,,
7706-01b,Village of Schoolcraft,LSLR,2395000,408,5870,NA,45,,,,,,,
7916-01,Ford River Township,LSLR,2055000,272,7555,NA,45,,,,,,,
