"Project
Number",Applicant,Scope of Work,Project Cost,EC Cost,"Population
Served","Cost per
population","Disadvantaged
Status","Project
Score","DWSRF Loan
Allocation","DWSRF PF
Allocation","BIL EC
Allocation","BIL Loan
Allocation","BIL PF
Allocation",Total Award,"Percent
PF",Comment
7920-01,City of Owosso,"WMR, LSLR, Booster Station Upgrades",12000000,$     -,26650,450,Overburdened,95,$     -,,,9840000,2160000,12000000,0.18,
7919-01,City of Mt. Pleasant,"Well Rehab, Storage Repl., LSLR",27900000,$     -,21688,1286,"Significantly
Overburdened",90,$     -,,,21483000,6417000,27900000,0.23,
7902-01,"Ypsilanti Community Utilities
Authority (City)","WMR, Looping, LSLR",1140000,$     -,316,3608,Overburdened,90,934800,205200,,,,1140000,0.18,
7929-01a,City of Muskegon,WMR & LSLR,3400000,$     -,782,4348,Overburdened,90,2788000,612000,,,,3400000,0.18,
7930-01a,City of Muskegon Heights,WMR & LSLR,2590000,$     -,207,12512,"Significantly
Overburdened",90,1994300,595700,,,,2590000,0.23,
7900-01a,City of Saginaw (City Only),"WMR, Looping, LSLR",6845000,$     -,516,13266,"Significantly
Overburdened",90,5270650,,,,1574350,6845000,0.23,
7899-01a,City of Grand Rapids,WMR & LSLR,16050000,$     -,1169,13730,Overburdened,90,13161000,,,,2889000,16050000,0.18,
7917-01,Village of Ahmeek,"Storage Tank Repl., Looping, GSLRs",2825000,$     -,132,21402,"Significantly
Overburdened",90,2175250,649750,,,,2825000,0.23,
7932-01a,"Detroit Water and Sewage
Department & Great Lakes Water Authority",WMR & LSLR,40000000,$     -,99900,400,Significantly Overburdened,85,30800000,,,,9200000,40000000,0.23,
7923-01,City of Inkster,WMR & LSLR,17775000,$     -,25787,689,"Significantly
Overburdened",85,8263720,,,5423030,4088250,17775000,0.23,
7803-01,City of Fennville,"WMR, Storage Rehab, New Well, LSLR",3210000,$     -,2438,1317,Overburdened,85,2632200,577800,,,,3210000,0.18,
7918-01,City of Wakefield,"WMR, LSLR, SCADA, Pump House
Demolition",2400000,$     -,1702,1410,Overburdened,85,1968000,432000,,,,2400000,0.18,
7887-01,"Detroit Water and Sewage Department & Great Lakes
Water Authority",WMR & LSLR,25670000,$     -,13495,1902,Significantly Overburdened,85,19765900,,,,5904100,25670000,0.23,
7896-01a,City of Melvindale,"WMR, Looping, LSLR",4335000,$     -,1405,3085,Overburdened,85,3554700,780300,,,,4335000,0.18,
7692-01,Village of Baldwin,"WMR, LSLR, Well & Tank Upgrades",4550000,$     -,902,5044,"Significantly
Overburdened",85,3503500,1046500,,,,4550000,0.23,
7801-01,City of Mt Morris,WMR & LSLR,7500000,$     -,1215,6173,Significantly Overburdened,85,2583000,,,3192000,1725000,7500000,0.23,"Reduced scope to
$7,500,000"
7861-01,Village of Manton,"Storage, WMR, LSLR",7804000,$     -,1258,6203,"Significantly
Overburdened",85,6009080,121670,,,1673250,7804000,0.23,
7788-01,Village of Marion,"Well Abandonment, New Well, WMR,
LSLR",2830000,$     -,422,6706,Overburdened,85,2320600,509400,,,,2830000,0.18,
7683-01,Albee Township,"New WM Extension for Service Area 
Expansion",7110000,$     -,365,19479,Overburdened,85,$     -,$    -,,,,$     -,0,Declined
7674-01a,City of Pinconning,"WMR, Looping, LSLR",10500000,$     -,513,20468,Overburdened,85,8610000,1890000,,,,10500000,0.18,
7819-01,Village of Clifford,"WMR, LSLR, Looping, Iron Removal, 
Tower, New Well",7100000,$     -,324,21914,Overburdened,85,$     -,$    -,,,$    -,$     -,0,Declined
7805-01,Village of Kaleva,WMR & LSLR,13927000,$     -,507,27469,"Significantly 
Overburdened",85,$     -,$    -,,,$    -,$     -,0,Declined
7876-01a,City of Kingsford,"WMR, LSLR, Looping",16830000,$     -,492,34207,Overburdened,85,,,,,,$     -,0,
7915-01,City of Ironwood,WMR & LSLR,4040000,$     -,100,40400,"Significantly
Overburdened",85,,,,,,$     -,0,
7883-01,City of Ithaca,"WMR, Looping, LSLR",2315000,$     -,50,46300,Overburdened,85,,,,,,$     -,0,
7833-01,"Lansing Board of Water and
Light","WMR, Looping, WTP, Wells",27700000,$     -,215869,128,Overburdened,80,,,,,,$     -,0,
7908-01a,City of Jackson,"WMR, LSLR, WTP Upgrades",7765000,$     -,53737,145,Overburdened,80,,,,,,$     -,0,
7881-01a,City of Escanaba,"WMR, LSLR, WTP Upgrades",21360000,$     -,13659,1564,Overburdened,80,,,,,,$     -,0,
7790-01,City of Imlay City,"WMR, Tower Connection, LSLR",9440000,$     -,3703,2549,Overburdened,80,,,,,,$     -,0,
7831-01,Village of Edmore,"WMR, Tank Mixer, LSLRs, Looping",5090000,$     -,1256,4053,Overburdened,80,,,,,,$     -,0,
7857-01,City of Caspian,"WMR, Tank, Well Pump, PS Upgrades",4110000,$     -,805,5106,"Significantly
Overburdened",80,,,,,,$     -,0,
7711-01,Village of Benzonia,WMR & LSLR,5496000,$     -,551,9975,Overburdened,80,,,,,,$     -,0,
7928-01,Village of Howard City,"WMR, LSLRs, Looping",18690000,$     -,1835,10185,Overburdened,80,,,,,,$     -,0,
7748-01,Royal Oak Township,WMR,7510000,$     -,649,11572,"Significantly
Overburdened",80,,,,,,$     -,0,
7619-01,City of Sturgis,"WMR, LSLR, Looping",2180000,$     -,59,36949,Overburdened,80,,,,,,$     -,0,
7931-01,Village of Pellston,"New WTP, Well, WM, Storage Tank, Private
well abandonment (PFAS)",44000000,44000000,361,121884,Overburdened,80,11778110,,32221890,,,44000000,0.73,
7780-01,Bedford Charter Township,WM Extension (PFAS),5000000,5000000,57,87719,Overburdened,78,,,,,,$     -,0,
7515-01,Benton Township,WM Looping,684000,$     -,7095,96,"Significantly
Overburdened",75,,,,,,$     -,0,
7879-01a,City of Hamtramck,"WMR, Looping",13860000,$     -,14095,983,"Significantly
Overburdened",75,,,,,,$     -,0,
7783-01,City of Caro,"WMR, LSLR, Looping, Meter Upgrades",5365000,$     -,5029,1067,Overburdened,75,,,,,,$     -,0,
7685-01a,City of Morenci,"WMR, LSLR, Well Repl., WTP Upgrades",3680000,$     -,2270,1621,Overburdened,75,,,,,,$     -,0,
7742-01,City of Hudson,"WMR, Storage Rehab, LSLR",8525000,$     -,2415,3530,Overburdened,75,,,,,,$     -,0,
7874-01,Village of Peck,"WMR, Looping, New WH, Tower Mixer,
SCADA, Generator",3050000,$     -,593,5143,"Significantly
Overburdened",75,,,,,,$     -,0,
7754-01,Village of Hillman,"New Wells, Tower, Meters",6800000,$     -,679,10015,Overburdened,75,,,,,,$     -,0,
7764-01,City of Hastings,"WMR, LSLR",8140000,$     -,500,16280,Overburdened,75,,,,,,$     -,0,
7909-01a,City of Iron Mountain,WM Looping,345000,$     -,20,17250,Overburdened,75,,,,,,$     -,0,
7724-01,City of Omer,"Microfiltration, New Tower, Storage
Conversion",6000000,$     -,313,19169,Overburdened,75,,,,,,$     -,0,
7834-01,Village of Akron,"WMR, Looping, Iron Removal, System
Improvments",15300000,$     -,402,38060,Overburdened,75,,,,,,$     -,0,
7716-01,"Ypsilanti Community Utilities
Authority (Township)","WMR, Looping, LSLR, PS Upgrades",7540000,$     -,72665,104,NA,70,,,,,,$     -,0,
7799-01,City of Stanton,WMR & LSLR,3505000,$     -,1348,2600,Overburdened,70,,,,,,$     -,0,
7914-01a,Breitung Township,"WMR, New Well, WH, Elevated Tank",5160000,$     -,1200,4300,Overburdened,70,,,,,,$     -,0,
7594-01,Hampton Charter Township,WMR,3980000,$     -,689,5776,Overburdened,70,,,,,,$     -,0,
7645-01,City of Pleasant Ridge,WMR & LSLR,27130000,$     -,2377,11414,NA,70,,,,,,$     -,0,
7797-01,Iron River Township,"WMR, Valves, Storage Tank Upgrades",20645000,$     -,554,37265,Overburdened,70,,,,,,$     -,0,
7885-01a,City of St Joseph,"WMR, WTP, Tank Painting",3051000,$     -,35000,87,NA,65,,,,,,$     -,0,
7823-01,City of Houghton,"WMR, Tank Upgrades, Booster Station",3840000,$     -,8386,458,"Significantly
Overburdened",65,,,,,,$     -,0,
7719-01,City of Traverse City,"WTP, Transmission Main Repl.",19000000,$     -,31542,602,NA,65,,,,,,$     -,0,
7792-01,City of Iron River,"WMR, Tank Upgrades",2075000,$     -,2796,742,Overburdened,65,,,,,,$     -,0,
7913-01a,City of Lincoln Park,WMR,5240000,$     -,4746,1104,Overburdened,65,,,,,,$     -,0,
7770-01a,City of Munising,WM Looping,140452,$     -,102,1377,Overburdened,65,,,,,,$     -,0,
7858-01,Village of Carsonville,Well Repl.,1000000,$     -,527,1898,"Significantly
Overburdened",65,,,,,,$     -,0,
7680-01,City of Hart,"Well, WH, WMR, Looping, LSLR",4000000,$     -,2063,1939,NA,65,,,,,,$     -,0,
7668-01,City of Carson City,WMR & LSLR,6570000,$     -,2326,2825,Overburdened,65,,,,,,$     -,0,
7494-01,City of Grosse Pointe Park,"WMR, LSLR, Looping",12670000,$     -,2045,6196,NA,65,,,,,,$     -,0,
7891-01,City of Harper Woods,WMR,15750000,$     -,2375,6632,"Significantly
Overburdened",65,,,,,,$     -,0,
7638-01a,Bangor Township,"WMR, Looping, LSLR",4815000,$     -,506,9516,NA,65,,,,,,$     -,0,
7911-01a,Oakland County (Pontiac),WMR & Looping,16175000,$     -,1048,15434,Overburdened,65,,,,,,$     -,0,
7789-01,City of Rose City,"Tank Rehab, WTP & WMR Upgrades",7170000,$     -,180,39833,"Significantly
Overburdened",65,,,,,,$     -,0,
7700-01,City of Grand Blanc,"WMR, Looping, Well Rehab, Overflow
Protection",5000000,$     -,8091,618,Overburdened,60,,,,,,$     -,0,
7653-01,Port Huron Charter Township,"WMR, Meter Upgrades",7305000,$     -,6475,1128,Overburdened,60,,,,,,$     -,0,
7772-01,City of Hancock,"WMR, Looping, Valves, Tank Rehab, Vault
Rebuild",5990000,$     -,4526,1323,Overburdened,60,,,,,,$     -,0,
7821-01,City of Farmington,"WMR, Meter Upgrades, LSLR",15800000,$     -,11597,1362,NA,60,,,,,,$     -,0,
7781-01,Village of Sunfield,New Well & WH Piping,750000,$     -,538,1394,Overburdened,60,,,,,,$     -,0,
7793-01,McMillan Township,"New Well & Treatment, Tank, PS Upgrades",980000,$     -,486,2016,Overburdened,60,,,,,,$     -,0,
7849-01a,City of Grosse Pointe Woods,LSLR,640000,$     -,300,2133,NA,60,,,,,,$     -,0,
7894-01a,City of Garden City,WMR,4935000,$     -,863,5718,Overburdened,60,,,,,,$     -,0,
7796-01,Village of Ontonagon,"WMR, Tank Repl.",8785000,$     -,1441,6096,Overburdened,60,,,,,,$     -,0,
7760-01,Village of Milford,"WMR, Lead/Galv. Service Repl.",5030000,$     -,460,10935,NA,60,,,,,,$     -,0,
7765-01,Village of Vicksburg,WMR & LSLR,5800000,$     -,445,13034,NA,60,,,,,,$     -,0,
7877-01a,City of Mt. Clemens,WMR & LSLR,4040000,$     -,275,14691,NA,60,,,,,,$     -,0,
7762-01,"Saginaw Midland Municipal
Water Supply Corporation",Intake PS Upgrades,2050000,$     -,332735,6,NA,55,,,,,,$     -,0,
7871-01,City of Saginaw,WTP & WMR Upgrades,24555000,$     -,176178,139,NA,55,,,,,,$     -,0,
7709-01,City of Rochester,"Booster Station, Looping, WM
Replacement",6890000,$     -,6786,1015,NA,55,,,,,,$     -,0,
7860-01,City of St. Clair,WTP Upgrades,6300000,$     -,5485,1149,NA,55,,,,,,$     -,0,
