Loan Applicant,L17#,Project Description,Facility No.,"Estimated
Construction Start Date",Estimated Loan Amount
Argenta,6363,Phase 2 - Construct Well No. 4 and connect to the treatment plant.,IL1150050,2024-06-03 0:00:00,1081000
Brookfield,6301,"Project B - Install 7,100' of 8"" watermain, valves, valve vaults, fire hydrants, and 248 water service connections.",IL0310330,2024-10-01 0:00:00,3919200
Broughton,5819,Phase 3 - Replacement of watermains.,IL0650100,2024-04-01 0:00:00,900000
Broughton,5820,Phase 4 - Replacement of watermains.,IL0650100,2025-04-01 0:00:00,900000
Curran Gardner Townships Public Water District,6540,Rehab 3 water storage facilities.,IL1675350,2024-04-01 0:00:00,1585000
Decatur,2292,"Improvements to electrical, raw water pump station, and Nitrate removal facility.",IL1150150,2024-11-01 0:00:00,20120000
Dixon,5650,"Phase 5 - Replacement of 9,400' of watermain.",IL1030200,2025-03-01 0:00:00,2871000
Downers Grove,6107,"Phase 5 - Installation of approximately 6,600 LFof watermain.",IL0430300,2027-09-01 0:00:00,2500000
Downers Grove,6106,"Phase 4 - Installation of approximately 7,040 LF of watermain.",IL0430300,2026-09-01 0:00:00,3000000
Downers Grove,6105,"Phase 3 - Installation of approximately 7,040 LF of watermain.",IL0430300,2025-09-10 0:00:00,3000000
Downers Grove,6104,"Phase 2 - Demolition and replacement of Well Houses #9 and #12, the rehabilitation of the 1 MG elevated storage tank, and
the installation of approximately 6,700 LF of watermain.",IL0430300,2024-09-06 0:00:00,5000000
East Dubuque,6365,Watermain looping of dead-end mains in areas of the city.,,2024-05-01 0:00:00,390000
Forreston,5807,"Phase 2 - Replacement of approximately 3,690 LF of 6"" watermain.",IL0730200,2024-05-01 0:00:00,1981456
Forsyth,5926,Replacement of watermain.,IL1150200,2026-03-01 0:00:00,1818000
Hanover Park,6354,"Phase 2 - Replacement of 9,920' of watermain.",IL0314480,2025-03-31 0:00:00,5213000
Hanover Park,6355,"Phase 3 - Replacement of 7,370' of watermain.",IL0314480,2026-03-31 0:00:00,5138000
