Loan Applicant,Project Description,L17#,Estimated Construction Start Date,Requested Loan Amount,Facility No.,Loan Priority Score,Service Population,Reserved Principal Forgiveness Amount,Reserved Loan Amount
Coal City,Replace lead service lines.,6111,3/7/24,4000000,IL0630060,395,5294,2755000,0
Waukegan,Replace lead service lines.,3957,12/1/23,4000000,IL0971900,350,85453,0,2027000
Naperville,Replace approximately 350 lead service lines.,4061,10/15/23,8021337,IL0434670,305,149294,0,2027000
Aurora,"Year 2 - Replace 24,000 lead service lines.",6016,7/1/23,4000000,IL0894070,295,196383,0,2027000
Knoxville,Replace 145 lead service lines.,6000,10/16/23,1300000,IL0950200,290,2692,1300000,0
Schiller Park,Replace lead service lines.,6360,11/1/23,3574555,IL0312850,285,11709,2755000,0
Freeport,Phase 3 - Replace lead service lines.,5921,10/2/23,4000000,IL1770200,280,23973,2755000,0
Springfield,Replace 300 lead service lines.,6235,8/1/23,2200000,IL1671200,275,152000,0,2027000
Carlinville,Replace 42 lead service lines.,4403,3/1/24,349000,IL1170150,270,6112,349000,0
Joliet,Replace lead service lines.,5747,2/29/24,4920000,IL1970450,270,150372,0,2027000
Elgin,Replace 860 lead service lines.,5872,3/1/24,14500000,IL0894380,260,110196,0,2027000
Chicago,Replace lead service lines.,5857,7/31/23,4000000,IL0316000,255,2677643,0,2027000
Robbins,Phase 2 - Replace lead service lines.,5894,10/17/23,4000000,IL0312700,255,5460,2755000,0
Richton Park,Replace lead service lines.,6126,1/1/24,2650000,IL0312550,240,13138,2650000,0
Berwyn,Replace lead service lines.,6316,12/1/23,4000000,IL0310210,230,57250,0,2027000
Galena,Replace lead service lines.,6109,8/1/23,3988500,IL0850200,230,3429,2755000,0
Hazel Crest,Replace lead service lines.,6596,11/1/23,4000000,IL0311170,230,14000,2755000,0
Steger,Replace lead service lines.,4175,10/2/23,4000000,IL0314860,230,9111,2755000,0
Hillsboro,Replace 74 lead and galvanized service lines.,4223,3/1/24,583000,IL1350300,225,4359,583000,0
Shelbyville,Replace lead and galvanized steel service lines.,5869,8/14/23,5500000,IL1730300,215,4420,2755000,0
Polo,Replace 50 lead service lines.,6298,3/2/24,2000000,IL1410450,210,2291,2000000,0
Harwood Heights,Replace lead service lines.,6281,10/2/23,3000000,IL0311140,205,8236,0,2027000
Pecatonica,Replace 65 lead service lines.,6138,10/2/23,1250000,IL2010250,205,2708,1250000,0
Highland Park,Replace lead service lines.,3784,11/1/23,4000000,IL0970500,200,29427,0,2027000
Dolton,Replace lead service lines.,6393,10/1/23,4000000,IL0310690,195,23153,2755000,0
Hanover,Replace lead service lines.,4214,10/1/23,4000000,IL0850250,195,769,2755000,0
Crystal Lake,Phase 1 - Replace lead service lines.,6129,7/1/23,4000000,IL1110150,190,39642,0,2027000
Brookfield,Project A - Replace 167 lead service lines.,6302,10/2/23,2432700,IL0310330,185,19476,0,2027000
Moweaqua,Replace 225 lead service lines and lead contaminated water meters.,6290,8/16/23,2800000,IL1730200,185,1900,2755000,0
Calumet City,Phase 2 - Replace 400 lead service lines.,5766,3/25/24,4000000,IL0310390,180,39100,0,2027000
South Holland,Phase 1 - Replace lead service lines.,6218,10/17/23,4000000,IL0312970,180,21465,2755000,0
Midlothian,Replace lead service lines.,4235,11/17/23,4000000,IL0311920,175,14179,2755000,0
Batavia,Replace 280 lead service lines.,6057,3/31/24,11000000,IL0894130,170,26316,0,2027000
Lansing,Replace lead service lines.,6119,1/1/24,4000000,IL0311590,170,27059,0,2027000
St. Francisville,Replace lead service lines.,6250,8/1/23,662000,IL1010250,170,610,662000,0
East Dubuque,Replace lead service lines.,6364,8/1/23,530000,IL0850100,160,3186,530000,0
Fox Lake,Replace lead service lines.,3715,3/18/24,6981990,IL0970200,160,10411,2755000,0
Arlington Heights,Replace 250 lead service lines.,6158,3/1/24,2000000,I0314030,155,79000,0,2000000
Crete,Replace lead service lines.,6387,7/1/23,4000000,IL1970300,135,7938,2755000,0
Forest Park,Replace lead service lines over 5 phases.,6160,3/1/24,8000000,IL0310900,120,14339,2755000,0
Matteson,Replace 641 lead service lines.,4310,1/1/24,4000000,IL0311800,120,19073,2755000,0
Norridge,Replace lead service lines.,6330,11/15/23,2000000,IL0312040,120,15250,0,2000000
Barrington,Replace lead service lines.,3696,3/30/24,4000000,IL0974080,105,10327,0,2027000
Carpentersville,Replace 130 lead service lines.,6751,3/1/24,2400000,IL0890200,95,37983,0,2027000
Lincolnwood,Replace lead service lines.,6169,3/4/24,6200000,IL0311650,95,12091,0,2027000
River Forest,Replace lead service lines over 8 phases.,6284,8/15/23,32400000,IL0312610,95,10694,0,2027000
Palatine,Replace lead service lines.,6227,1/1/24,4000000,IL0312340,90,66830,0,2027000
