Loan Applicant,L17#,Project Description,Facility No.,Estimated Construction Start Date,Requested Loan Amount,Service Population,Loan Priority Score
Belvidere,4188,Drilling a new well to replace the existing Wells No. 3 and No. 4 which are contaminated with PFAS.,IL0070050,6/19/23,"$1,300,000 ","24,731",140
Kincaid,6059,"Phase 1 - Replacement of 6,500 LF of watermains and replacement of meters.",IL0210250,8/31/23,"$2,500,000 ","1,727",140
Kincaid,6167,Replacement and looping of watermains,IL0340600,1/16/24,"$1,182,000 ",313,140
Watseka,5979,"Replacement of watermain, upsizing and extension of watermain, and installation of new fire hydrants and valves.",IL0750900,3/1/24,"$1,875,000 ","4,694",140
Desoto,6068,"Installation of radio read meters, watermains, service lines, hydrants and pressure connections.",IL0770200,10/2/23,"$1,063,570 ","1,503",135
Forsyth,5925,"Repair the two water towers, and the ground storage tank located at the WTP.",IL1150200,3/1/24,"$1,671,000 ","3,465",135
Shorewood,1354,"Improvements to the Lake Michigan Water receiving station, transmission mains and distribution main replacements.",IL1975080,3/1/24,"$37,000,000 ","18,186",135
Argenta,6362,"Phase 1 - Construction of a new WTP housing 2 filters, 2 softeners, 2 high service pumps, a brine, fluoride and chemical feed system, an aerator, piping, controls and connecting to the wells.",IL1150050,9/1/23,"$4,537,000 ",913,130
Chicago,5652,Annual watermain replacement among Districts 1 through 4.,,8/31/23,"$69,000,000 ","2,677,643",130
Cullom,5877,Construction of new multi-vessel carbon activated iron/manganese filtration system.,IL1050200,11/7/23,"$1,450,000 ",550,130
Sidell,2942,"Elevated tank replacement with a 75,000 gal. multi-legged tank.",IL1830850,10/2/23,"$1,185,500 ",290,130
St. Charles,6102,Construction of a new deep well and improvements within the treatment facility.,IL0894830,3/15/24,"$16,600,000 ","33,081",130
Fox Lake,6375,"Phase 1 - Rehabilitation of Well No. 2 and construction of a new iron filtration plant, to help eliminate PFAS.",IL0970200,2/1/24,"$8,060,950 ","10,411",125
Fox Lake,6376,"Phase 2 - Drilling and development of a new Well No. 8 and construction of the associated iron filtration plant, to replace Well No. 4, due to PFAS.",IL0970200,2/1/24,"$10,624,570 ","10,411",125
Hanover Park,6353,"Phase 1 - Replacement of 9,540' of watermains.",IL0314480,3/31/24,"$4,920,000 ","38,948",125
Mahomet,5789,"Replacement of 13,600 LF of watermains, watermain fittings, valves, hydrants and appurtenances.",IL0190450,9/30/23,"$3,651,000 ","8,628",125
Mount Carmel,5973,"Demolition of existing water treatment plant and final grading, fencing, and roadways.",IL1850200,1/17/24,"$1,020,000 ","7,300",125
